"";"Symbol";"Chromosome";"Description";"Cluster";"WT_00Hr_1";"WT_00Hr_2";"WT_00Hr_3";"WT_02Hr_1";"WT_02Hr_2";"WT_02Hr_3";"WT_04Hr_1";"WT_04Hr_2";"WT_04Hr_3";"WT_06Hr_1";"WT_06Hr_2";"WT_06Hr_3";"WT_08Hr_1";"WT_08Hr_2";"WT_08Hr_3";"WT_10Hr_1";"WT_10Hr_2";"WT_10Hr_3";"WT_12Hr_1";"WT_12Hr_2";"WT_12Hr_3";"WT_14Hr_1";"WT_14Hr_2";"WT_14Hr_3";"WT_16Hr_1";"WT_16Hr_2";"WT_16Hr_3";"WT_18Hr_1";"WT_18Hr_2";"WT_18Hr_3";"WT_20Hr_1";"WT_20Hr_2";"WT_20Hr_3";"WT_22Hr_1";"WT_22Hr_2";"WT_22Hr_3"
"15953";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=15953"" target=""_blank"">Ifi47</a>";"11";"interferon gamma inducible protein 47";"Cluster_1";0,4928;-1,2273;0,7345;-0,4911;0,4682;-1,2118;1,3855;1,0235;1,087;0,3215;0,5433;0,3334;-0,7076;-0,9349;0,6712;-1,3845;-1,2644;-0,8654;-2,1629;-0,0605;-1,3867;-2,0801;-2,289;-1,8895;-1,0723;-1,3821;-1,6792;-0,971;-0,2502;-1,1679;-0,3331;0,0573;-1,3592;0,2635;-0,2061;-0,0064
"16391";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=16391"" target=""_blank"">Irf9</a>";"14";"interferon regulatory factor 9";"Cluster_1";0,1346;-0,9892;0,8547;0,2833;1,9068;1,2171;0,7766;0,0759;1,0619;-0,0578;1,0846;1,0031;0,8382;-0,1257;-0,0456;-0,913;-0,67;-0,4744;-0,3895;0,9337;-0,9455;-1,4997;-1,6916;-1,1601;-2,1572;-0,8773;-1,2251;-0,659;-0,6027;0,3984;-1,0567;-0,9036;0,1727;-0,7839;-0,6516;1,8558
"17252";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=17252"" target=""_blank"">Rdh11</a>";"12";"retinol dehydrogenase 11";"Cluster_1";-0,5611;-0,2875;0,8486;-0,5502;-0,2875;2,4886;-1,121;-0,3352;-0,6331;-0,5524;-0,3424;0,4623;-1,1387;-0,871;-0,8998;-1,663;-1,2172;-0,5078;-1,3936;-1,8693;-1,6967;-2,1277;-2,1418;-1,2662;-2,3377;-1,5412;-1,8252;-0,9554;-1,4696;-0,5112;-0,2503;-0,6938;-1,2423;0,828;-0,9834;1,1314
"17828";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=17828"" target=""_blank"">Bloc1s5</a>";"13";"biogenesis of lysosomal organelles complex-1, subunit 5, muted";"Cluster_1";-0,4873;0,6088;-0,1215;-0,2034;0,7184;0,6585;-0,0678;0,4138;0,4069;0,9114;-0,4041;0,9492;0,4631;0,1363;0,41;-0,4425;0,2368;-0,191;-0,1507;-1,9659;-1,6807;-2,1489;-2,242;-2,5725;-1,0057;-1,6317;-2,0555;-0,42;-0,5547;-0,3951;0,7449;-0,4111;-1,7901;0,3999;-0,7188;0,2516
"18744";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=18744"" target=""_blank"">Pja1</a>";"X";"praja ring finger 1, E3 ubiquitin protein ligase";"Cluster_1";-0,2182;-0,1333;0,3515;1,4031;1,3433;1,5981;1,734;0,9847;1,8208;1,6248;3,0751;2,1568;1,7273;1,1238;1,6773;1,6571;0,293;1,1766;1,2814;-2,3873;-0,2398;-0,3142;-0,3291;0,0702;-0,5445;0,2809;0,1832;0,4516;0,5695;1,1367;0,9791;0,9064;1,9242;0,3049;0,293;0,8793
"19181";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=19181"" target=""_blank"">Psmc2</a>";"5";"proteasome (prosome, macropain) 26S subunit, ATPase 2";"Cluster_1";-0,4279;1,1639;-0,736;0,268;0,0396;0,9432;-0,2049;0,0396;0,9171;-0,037;0,0856;0,5531;-0,2049;-1,1085;-0,9253;-1,0234;-1,6994;-1,297;-0,9836;-0,1635;-1,6366;-3,3487;-1,5339;-1,8634;-1,1292;-2,3033;-1,6573;-0,3873;0,6343;-0,4731;0,0626;0,8627;-1,3645;-0,4494;-0,7115;0,0856
"19663";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=19663"" target=""_blank"">Rbpms</a>";"8";"RNA binding protein gene with multiple splicing";"Cluster_1";0,3617;-0,1792;-0,1825;1,2034;0,1666;-1,1731;1,3667;1,6492;-0,1095;0,6139;1,2916;0,4458;0,9861;-0,3791;-0,4552;-1,2374;-1,3073;-1,1016;-1,1734;-1,0511;-1,7543;-1,583;-1,4875;-1,9101;-0,8486;-2,1733;-1,9573;-0,7223;-0,3368;-0,206;-0,0839;-0,3893;-0,0667;0,3973;-0,2564;-1,0185
"20276";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=20276"" target=""_blank"">Scnn1a</a>";"6";"sodium channel, nonvoltage-gated 1 alpha";"Cluster_1";0,0667;0,1659;-0,2326;-0,5925;-1,422;-0,6882;-0,7287;-0,9379;0,1419;0,0261;-0,7975;0,2584;-0,6591;0,0861;0,1989;-1,0755;-0,7393;-0,61;-1,0856;-3,0102;-1,3524;-2,0917;-2,1583;-2,1852;-1,6958;-2,5017;-2,1383;0,648;-1,1897;-1,3674;1,1614;-1,3743;-1,0075;0,9068;-1,0448;0,6022
"22059";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=22059"" target=""_blank"">Trp53</a>";"11";"transformation related protein 53";"Cluster_1";-0,359;-0,2012;0,5601;0,2641;0,643;0,1602;1,9157;0,699;0,428;0,9634;1,1608;2,2298;-0,8096;0,5982;0,3264;-0,6495;0,1145;-0,4531;-0,565;-1,3113;-0,3316;-0,9121;-0,7746;0,0295;-2,4128;-1,2795;-1,4627;-1,2608;-0,4724;-0,8483;-0,9614;-1,0661;-1,6013;0,55;0,7711;0,5819
"27219";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=27219"" target=""_blank"">Sgk2</a>";"2";"serum/glucocorticoid regulated kinase 2";"Cluster_1";-0,3126;0,2381;0,0744;-0,2268;0,6392;-0,6887;-0,0024;0,7118;0,6349;1,8897;1,8857;0,6937;1,1904;1,2706;1,1717;-0,1276;0,1599;-0,4392;-0,1524;-3,301;-0,7623;-1,1884;-1,1568;-1,4262;-0,7051;-0,9507;-1,0565;-0,1245;-0,4589;-0,7312;0,359;-0,1194;-1,0585;0,3068;0,2887;0,2034
"28000";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=28000"" target=""_blank"">Prpf19</a>";"19";"PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)";"Cluster_1";-0,0461;0,5637;-0,5175;0,339;0,0227;0,8829;0,7646;0,7212;0,7674;1,2584;-0,5962;1,1029;1,4708;0,2596;0,1144;-0,0545;1,159;0,9185;-0,1733;-2,4964;-1,4893;-1,193;-0,9222;-1,9314;-0,6903;-2,056;-0,8996;-0,078;-0,9269;-1,2626;-0,1152;-0,697;-0,8245;1,1678;0,1284;0,0239
"28019";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=28019"" target=""_blank"">Ing4</a>";"6";"inhibitor of growth family, member 4";"Cluster_1";-0,0122;0,0283;-0,016;1,1905;1,7194;0,7969;1,7049;2,0977;2,1385;1,9401;0,8912;2,1599;0,5969;0,5697;0,7539;-0,9348;-0,0105;0,7011;-0,8387;-2,3644;-0,7047;-1,2286;0,0057;-0,7258;-0,0295;-0,3533;0,6316;0,1625;0,6541;-0,087;0,6408;0,0861;0,8141;0,4719;1,0951;0,444
"52637";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=52637"" target=""_blank"">Cisd1</a>";"10";"CDGSH iron sulfur domain 1";"Cluster_1";0,5695;-1,4509;0,8814;0,1375;-0,0324;0,2464;0,6998;0,97;0,3414;1,3397;-0,2616;0,5181;0,5511;0,6906;0,8814;0,1418;0,1091;-0,0294;-0,3452;-2,3523;-1,061;-1,5181;-2,1561;-1,7381;-1,3293;-1,5213;-1,5294;-1,5034;-1,4749;-1,1442;0,2873;-0,3071;-0,0507;0,256;0,5511;-0,7664
"53310";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=53310"" target=""_blank"">Dlg3</a>";"X";"discs, large homolog 3 (Drosophila)";"Cluster_1";-0,2083;0,012;0,1963;0,7527;0,9084;1,3721;0,0813;1,5839;1,5751;2,5589;0,8014;0,8049;1,6639;1,7975;1,3702;-0,9988;0,3425;-0,4523;-0,0808;-1,3542;-0,7859;-1,4424;-1,0598;-0,8599;0,3293;-0,5557;0,3795;0,4271;-0,1415;1,1185;1,0279;0,9783;2,3484;0,4358;0,6149;0,4223
"54396";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54396"" target=""_blank"">Irgm2</a>";"11";"immunity-related GTPase family M member 2";"Cluster_1";0,2009;-0,9825;0,7817;-0,6104;0,6213;0,0384;0,6913;0,5263;1,5092;0,9015;1,0097;1,3604;0,5795;-0,2354;1,8431;-0,7491;-0,8967;-0,3308;-0,9941;-0,2773;-0,4073;-1,8919;-1,7966;-1,2443;-1,4649;-1,6411;-1,2287;-1,2904;-0,6326;0,1405;-0,2887;0,1227;0,2843;0,3827;-0,3702;1,664
"54634";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54634"" target=""_blank"">Magix</a>";"X";"MAGI family member, X-linked";"Cluster_1";-0,7208;1,1965;-0,4757;0,1826;-0,7195;-0,7407;-0,5977;-0,6952;-0,1382;0,3549;-1,9848;0,194;-0,2323;-0,4839;-0,4671;-1,3176;-1,892;-1,7697;-0,713;-2,4738;-2,2614;-2,4705;-2,6516;-2,3714;-1,5372;-1,9731;-2,2073;-1,9301;-1,9668;-1,6335;-0,9309;-3,1345;-1,0781;0,1115;-1,2033;-1,2362
"56447";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=56447"" target=""_blank"">Copz1</a>";"15";"coatomer protein complex, subunit zeta 1";"Cluster_1";0,0128;0,8281;-0,8409;0,5741;-0,2357;1,3847;0,3718;-1,3273;1,3847;-0,3556;-0,3086;-0,5751;0,3264;0,2417;-1,0181;0,1845;0,4894;-0,8589;-1,3139;-1,1996;-3,4995;-1,094;-0,3862;-1,3715;-1,6389;-1,5887;-1,4105;-1,5475;-0,9561;-1,5754;-0,6951;-0,4129;-1,286;0,9002;-0,5461;0,0622
"56632";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=56632"" target=""_blank"">Sphk2</a>";"7";"sphingosine kinase 2";"Cluster_1";-0,3935;-0,1516;0,5451;0,8258;0,775;1,6844;1,4101;1,7976;2,8528;3,157;1,5438;2,0634;0,2904;-0,1557;0,0729;-0,5702;-0,3388;-0,3881;-0,4738;0,0313;-0,4762;-1,1808;-0,1124;0,0387;0,464;-0,6425;-0,084;0,7396;0,4934;0,4512;1,6466;1,3781;1,0551;1,0024;-0,1651;0,464
"58185";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=58185"" target=""_blank"">Rsad2</a>";"12";"radical S-adenosyl methionine domain containing 2";"Cluster_1";0,2093;-1,0284;0,819;0,0925;-0,4358;0,878;0,8674;0,0667;1,134;0,4349;0,9665;2,0725;0,3171;0,0012;0,6473;-0,2392;-0,942;0,2777;-0,8262;-0,8508;-0,5121;-1,6868;-1,5643;-1,1568;-1,8135;-1,81;-1,0345;-1,2009;-1,0428;-0,2346;0,0677;0,3105;-1,0093;0,1673;-0,4447;2,1263
"60525";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=60525"" target=""_blank"">Acss2</a>";"2";"acyl-CoA synthetase short-chain family member 2";"Cluster_1";0,0069;-0,2979;0,291;0,6858;-0,2206;3,144;-0,7665;-0,0503;-0,3609;0,1373;-0,2454;0,7536;-1,1495;-0,1094;-0,4321;-0,9452;-0,8369;-0,3289;-0,5123;-1,5985;-1,3145;-1,0166;-1,2322;-0,6107;-1,792;-1,731;-1,7872;-0,7046;-1,7208;-1,125;-0,2729;-1,4494;-2,2497;0,565;-1,3165;0,4592
"66151";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=66151"" target=""_blank"">Prr13</a>";"15";"proline rich 13";"Cluster_1";0,0815;-0,3994;0,3179;0,301;0,1925;-0,1742;1,9786;-0,3423;0,4104;1,4068;1,1302;1,4985;0,1104;-0,4437;-0,3584;0,0815;-1,4165;-0,1582;-0,8667;-0,3278;-1,7155;-1,8246;-2,1976;-1,0631;-1,1759;-1,4874;-1,3731;-0,6133;0,1241;-0,8112;-0,3085;1,3353;-0,3713;-0,2362;1,4237;-0,7525
"66233";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=66233"" target=""_blank"">Dmap1</a>";"4";"DNA methyltransferase 1-associated protein 1";"Cluster_1";-0,1575;0,0151;0,1424;-0,401;-0,4105;0,2429;0,941;-0,0865;0,4096;0,8429;0,9073;0,9525;0,488;0,7764;-0,2298;-1,167;-1,3069;-1,2474;-0,9775;-1,7032;-1,5531;-2,9594;-2,07;-1,7365;-1,3844;-0,8533;-1,8305;-0,6257;-0,2715;-2,0884;-0,0319;-0,5996;-1,7426;-0,5437;-1,4768;-0,7704
"66257";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=66257"" target=""_blank"">Nicn1</a>";"9";"nicolin 1";"Cluster_1";-0,1547;-0,8976;1,0523;0,1046;0,5179;-0,5282;-0,6022;-0,0598;-0,9201;-0,0532;-0,1312;-0,4206;-1,7088;-1,0443;-0,9091;-1,2925;-1,8839;-0,8389;-1,4902;-0,9296;-2,3259;-2,2168;-3,6817;-2,5232;-1,671;-2,8619;-1,6968;-0,9815;-1,3167;-0,5038;-0,2312;0,2914;-0,8775;-0,4605;0,1413;-0,3324
"66279";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=66279"" target=""_blank"">Tmem218</a>";"9";"transmembrane protein 218";"Cluster_1";0,9727;-0,7055;-0,2672;0,7726;0,7874;1,2566;0,5524;0,4356;0,7149;0,9295;-0,0657;0,1818;0,0808;0,2424;0,7411;-0,6295;-0,2114;-0,5116;-0,6438;-1,8667;-1,3853;-1,4944;-1,7418;-1,4612;-1,558;-1,4971;-1,539;-1,0528;-1,7767;-1,685;0,005;-1,4655;-1,4269;0,7688;0,4933;0,4619
"66427";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=66427"" target=""_blank"">Cyb5b</a>";"8";"cytochrome b5 type B";"Cluster_1";-0,1942;-0,3118;0,506;-0,3762;-1,2218;0,7731;-0,1288;-1,8725;0,2776;-0,1054;-0,7829;0,0539;-1,417;-1,9695;-0,3925;-1,0781;-1,6512;-0,8436;-1,2011;-3,2407;-1,7664;-1,9562;-2,8049;-1,7824;-2,6808;-2,305;-1,9972;-0,8436;-1,3818;-1,1683;0,0763;-0,4558;-1,2516;0,0539;-0,9429;0,4809
"67013";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=67013"" target=""_blank"">Oma1</a>";"4";"OMA1 homolog, zinc metallopeptidase (S. cerevisiae)";"Cluster_1";0,3526;0,1104;-0,463;0,5338;0,9869;1,1196;0,1799;0,1233;1,2162;0,2054;0,4106;-0,4523;-0,5839;-0,7109;-1,2818;-1,216;-0,7044;-0,5588;-1,2758;-1,8725;-1,8627;-2,0035;-2,0326;-1,0029;-1,6549;-1,1868;-1,8022;-0,6133;-0,7179;-0,5048;1,1055;1,1863;-1,5512;0,5404;-0,1529;0,6539
"67426";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=67426"" target=""_blank"">Adck3</a>";"1";"aarF domain containing kinase 3";"Cluster_1";0,5563;-0,9515;0,3952;0,0357;-0,3229;1,4836;-0,5763;0,0806;-0,023;0,1596;-1,6666;-0,262;-0,9478;-1,1164;-0,8583;-2,3958;-1,2191;-2,2707;-1,5389;-2,0674;-2,1914;-1,8363;-2,0724;-1,8838;-1,9791;-1,8681;-1,7297;-1,5444;-1,6866;-0,5278;0,0741;-1,8893;-0,9092;-0,2931;0,838;-0,4734
"67664";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=67664"" target=""_blank"">Rnf125</a>";"18";"ring finger protein 125";"Cluster_1";0,3343;-0,6272;0,2929;0,6718;0,7671;0,7922;0,9696;1,2426;0,1041;0,5473;0,5113;-0,4412;-0,6787;-0,1266;-0,0045;-1,4274;-0,9731;-1,2627;-1,1245;-0,9503;-1,4705;-1,6564;-1,9577;-1,9092;-1,9831;-1,9212;-1,896;-1,378;-1,7104;-1,2884;0,1921;-0,0144;-0,5818;0,5208;0,6555;-0,13
"67851";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=67851"" target=""_blank"">1700021F05Rik</a>";"10";"RIKEN cDNA 1700021F05 gene";"Cluster_1";-0,3408;0,2509;0,0899;0,0754;0,5532;0,7118;0,7688;0,0754;0,9872;0,1886;0,3914;0,8657;0,7688;0,3713;0,4241;-1,4639;0,4523;0,6349;-0,5867;-2,8987;-0,992;-0,9979;-1,5686;-1,1316;-0,8832;-0,7559;-1,8615;-1,3844;-1,2909;-1,2339;0,8861;-1,0541;-2,343;-0,9365;0,0461;-0,7499
"68118";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=68118"" target=""_blank"">Atg101</a>";"15";"autophagy related 101";"Cluster_1";0,4567;-0,3772;-0,0795;1,3661;1,1915;0,4543;1,6459;0,7812;0,9541;1,5954;0,9316;0,4346;0,3576;-0,1354;-0,5792;-1,0007;-0,5637;-1,0114;-0,2189;-2,7324;-1,6217;-1,006;-1,533;-1,4306;0,0162;-0,9956;-0,4805;-0,1975;-0,3497;-0,618;1,2064;-1,1759;-0,4017;0,6028;0,5067;0,0162
"68591";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=68591"" target=""_blank"">Mocos</a>";"18";"molybdenum cofactor sulfurase";"Cluster_1";0,0965;0,276;-0,3725;-0,0829;0,1146;0,3207;0,4189;-0,2154;0,7903;1,1496;-0,6542;0,4574;-0,5303;-0,4753;-0,3807;-1,4956;-1,3422;-0,4753;-0,8005;-2,9878;-1,7276;-2,1925;-2,6337;-2,4061;-0,7798;-1,4161;-1,7748;-1,1588;-0,7759;-0,863;0,0926;-1,6001;-0,4531;0,5526;-0,1157;0,3446
"69099";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=69099"" target=""_blank"">1810009N02Rik</a>";"12";"RIKEN cDNA 1810009N02 gene";"Cluster_1";-0,5376;-0,1785;0,716;-0,8541;0,1334;-0,9153;-0,4612;0,1036;0,2158;0,0144;-0,2326;-2,1281;-1,5222;-0,7425;-0,7846;-2,1281;-1,4377;-0,3175;-1,8002;-0,7583;-1,0371;-2,6962;-2,7603;-2,5081;-1,1093;-2,7127;-2,8263;-1,1146;-2,46;-1,9806;-0,4508;0,3063;-1,2164;0,1703;-0,9836;-0,9435
"69226";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=69226"" target=""_blank"">Snx24</a>";"18";"sorting nexing 24";"Cluster_1";-0,5567;0,4762;0,0805;-0,2651;0,3048;1,1437;-0,5533;1,0775;0,2119;0,7074;0,2407;0,5377;-0,4925;-0,1177;0,6288;-1,9816;-1,463;-1,0968;-1,6496;0,055;-2,1971;-2,7972;-2,382;-1,967;-1,1095;-1,4571;-1,2024;-0,7497;0,5663;-0,4925;-0,1177;-0,7368;-0,2703;-0,8269;-0,58;0,2145
"69352";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=69352"" target=""_blank"">Necab1</a>";"4";"N-terminal EF-hand calcium binding protein 1";"Cluster_1";-0,4199;0,0077;0,4121;-0,7442;0,9676;-0,3675;-0,6196;0,378;-0,5455;0,3404;0,5771;-0,6697;0,4144;-0,0619;-0,7435;-0,0769;-1,1461;-0,2965;-1,2072;-1,2153;-0,8436;-2,2084;-2,2232;-1,9524;-2,4917;-2,5438;-2,7645;-0,6658;-1,1223;-1,8288;0,1639;-0,4799;-2,1789;0,5159;-0,033;-0,44
"69581";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=69581"" target=""_blank"">Rhou</a>";"8";"ras homolog gene family, member U";"Cluster_1";-0,3287;0,084;0,2448;0,8861;0,7653;0,4917;0,4555;1,2988;0,7934;2,2863;1,7699;-0,4879;1,2936;1,2584;1,9225;-0,3524;0,4463;0,2392;-0,6658;-1,9424;-1,061;-1,2177;-1,6335;-1,0012;-0,1998;-1,048;-0,5248;-0,1782;-1,077;-0,4702;0,3408;-0,2733;-0,1894;0,9389;-0,6357;0,322
"69836";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=69836"" target=""_blank"">Pla2g12b</a>";"10";"phospholipase A2, group XIIB";"Cluster_1";-0,2316;0,1492;0,0824;0,3837;0,2078;0,3434;0,3264;0,5521;0,8453;0,2126;0,2843;0,7751;0,0863;-0,4678;-0,5411;-0,9467;-1,0116;-1,0496;-1,4792;-0,6981;-1,6225;-2,4565;-1,9675;-2,0036;-1,9991;-1,6539;-2,2246;-2,3434;-1,3849;-1,8268;-0,4337;-2,2524;-0,2709;-0,0804;-0,9242;-0,3782
