"";"Symbol";"Chromosome";"Description";"Cluster";"Mean_WT_00Hr";"Mean_WT_02Hr";"Mean_WT_04Hr";"Mean_WT_06Hr";"Mean_WT_08Hr";"Mean_WT_10Hr";"Mean_WT_12Hr";"Mean_WT_14Hr";"Mean_WT_16Hr";"Mean_WT_18Hr";"Mean_WT_20Hr";"Mean_WT_22Hr";"Min";"Max";"Range";"pANOVA";"FDR"
"107503";"Atf5";"7";"activating transcription factor 5";"Cluster_1";10,0907;10,2729;10,1033;9,9538;9,6697;9,4046;9,1315;9,0365;9,0269;9,363;9,6261;9,965;8,8504;10,4363;1,5859;1,2e-09;1e-07
"58185";"Rsad2";"12";"radical S-adenosyl methionine domain containing 2";"Cluster_1";7,8449;7,9158;8,119;8,3053;7,9729;7,7252;7,5548;7,2608;7,2277;7,5165;7,7613;8,0899;7,124;8,6902;1,5662;0,00096;0,0047
"56632";"Sphk2";"7";"sphingosine kinase 2";"Cluster_1";8,1348;8,5174;8,8407;8,9227;8,159;7,9837;8,0278;7,9887;8,1042;8,331;8,61;8,2864;7,7222;9,238;1,5158;1,4e-06;2,6e-05
"13636";"Efna1";"3";"ephrin A1";"Cluster_1";7,7784;8,0749;8,0984;7,8239;7,7238;7,4161;7,3579;7,4301;7,4724;7,4296;7,693;7,7237;6,9426;8,439;1,4964;0,0011;0,0052
"67664";"Rnf125";"18";"ring finger protein 125";"Cluster_1";7,9383;8,2708;8,2835;8,0303;7,8176;7,3922;7,4098;7,115;7,0737;7,2859;7,878;8,0942;7,0515;8,4939;1,4424;1e-09;8,9e-08
"15109";"Hal";"10";"histidine ammonia lyase";"Cluster_1";11,2302;11,22;11,1808;11,3041;11,2001;10,9638;10,4256;10,5359;10,4716;10,4645;10,897;11,1167;10,1159;11,5087;1,3928;4,1e-07;9,6e-06
"74032";"Sdr42e1";"8";"short chain dehydrogenase/reductase family 42E, member 1";"Cluster_1";8,838;8,8946;9,2131;9,0288;9,0047;8,5576;8,4911;8,4933;8,5445;8,5584;8,5509;8,9227;8,035;9,3978;1,3628;0,0055;0,019
"54396";"Irgm2";"11";"immunity-related GTPase family M member 2";"Cluster_1";8,7995;8,8053;9,122;9,1865;9,0582;8,5657;8,6009;8,216;8,2867;8,5886;8,8135;8,9978;8,1281;9,4535;1,3254;0,00013;0,00094
"68118";"Atg101";"15";"autophagy related 101";"Cluster_1";8,3589;8,6431;8,6779;8,6383;8,3252;8,1159;7,9274;7,9844;8,2211;8,249;8,3239;8,4651;7,5855;8,8248;1,2393;0,00016;0,0011
"69226";"Snx24";"18";"sorting nexing 24";"Cluster_1";8,5114;8,6309;8,5857;8,6614;8,5133;8,0531;8,1287;7,7902;8,131;8,4432;8,3979;8,3911;7,6645;8,8577;1,1933;8,3e-05;0,00068
"66427";"Cyb5b";"8";"cytochrome b5 type B";"Cluster_1";11,9638;11,8827;11,7943;11,8817;11,5921;11,6124;11,3532;11,3202;11,277;11,63;11,8034;11,9237;11,0076;12,1919;1,1843;0,0019;0,0083
"15953";"Ifi47";"11";"interferon gamma inducible protein 47";"Cluster_1";7,7242;7,5933;8,0948;7,8512;7,6212;7,3517;7,3415;7,0607;7,286;7,4709;7,5508;7,7296;6,9962;8,1648;1,1686;0,00018;0,0012
"68591";"Mocos";"18";"molybdenum cofactor sulfurase";"Cluster_1";9,2204;9,2515;9,3083;9,3046;9,0978;8,9274;8,7327;8,5809;8,8693;8,973;9,047;9,2895;8,4278;9,5253;1,0975;2,1e-05;0,00024
"328949";"Mcc";"18";"mutated in colorectal cancers";"Cluster_1";8,0077;8,1816;8,169;8,2932;8,3367;7,9017;7,9549;7,4482;7,7626;7,8264;8,1572;8,0803;7,3772;8,4267;1,0495;2,3e-06;3,9e-05
"12739";"Cldn3";"5";"claudin 3";"Cluster_1";9,0391;8,9631;9,1458;9,131;9,0456;8,662;8,5359;8,5482;8,8362;8,8506;9,06;8,9514;8,195;9,235;1,0401;0,00014;0,001
"70266";"Ccbl1";"2";"cysteine conjugate-beta lyase 1";"Cluster_1";10,3382;10,2105;9,974;10,1866;10,0709;9,9547;9,7297;9,9042;9,7525;10,0619;10,1072;10,112;9,4791;10,507;1,0279;0,0041;0,015
"231549";"Lrrc8d";"5";"leucine rich repeat containing 8D";"Cluster_1";9,2542;9,5051;9,53;9,5381;9,44;9,1232;9,1199;8,7568;8,861;8,9458;9,1755;9,3568;8,7409;9,7578;1,0168;1,7e-08;7,8e-07
"268822";"Adck5";"15";"aarF domain containing kinase 5";"Cluster_1";7,9063;7,913;8,1511;8,0275;7,7839;7,6657;7,6927;7,4201;7,4793;7,4831;7,6191;7,8211;7,3179;8,3302;1,0123;0,00053;0,0029
"11737";"Anp32a";"9";"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A";"Cluster_1";7,74;7,8286;7,934;7,8791;7,7447;7,4894;7,3673;7,315;7,5239;7,5674;7,8153;7,8422;7,2872;8,0485;0,7613;4,8e-09;2,6e-07
"11793";"Atg5";"10";"autophagy related 5";"Cluster_1";9,447;9,3654;9,3998;9,4491;9,4127;9,2962;9,348;9,1292;9,2121;9,3316;9,3923;9,4739;9,0772;9,5497;0,4724;0,002;0,0086
"11854";"Rhod";"19";"ras homolog gene family, member D";"Cluster_1";7,6952;7,7885;7,8244;7,895;7,7781;7,5694;7,5845;7,5063;7,578;7,6608;7,6605;7,8041;7,3787;7,9963;0,6176;0,00039;0,0022
"12334";"Capn2";"1";"calpain 2";"Cluster_1";7,282;7,4172;7,323;7,3548;7,2864;7,1951;7,1333;7,1158;7,1272;7,2251;7,1627;7,2931;7,0155;7,4926;0,4771;0,0039;0,015
"15531";"Ndst1";"18";"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1";"Cluster_1";8,9661;8,8786;8,9124;9,0101;9,0058;8,8179;8,7642;8,601;8,5524;8,7877;8,9101;8,9903;8,4209;9,1451;0,7242;0,00039;0,0022
"16391";"Irf9";"14";"interferon regulatory factor 9";"Cluster_1";7,398;7,5219;7,4676;7,4718;7,4223;7,3232;7,3834;7,2399;7,2432;7,3667;7,3331;7,4133;7,1628;7,606;0,4432;0,0072;0,024
"17828";"Bloc1s5";"13";"biogenesis of lysosomal organelles complex-1, subunit 5, muted";"Cluster_1";8,3217;8,3678;8,3512;8,3789;8,3613;8,3061;8,1725;8,0481;8,1373;8,2679;8,2645;8,319;8,0185;8,4335;0,415;0,00012;0,00093
"18744";"Pja1";"X";"praja ring finger 1, E3 ubiquitin protein ligase";"Cluster_1";8,6798;8,8787;8,8877;8,9938;8,8872;8,823;8,6182;8,6535;8,6761;8,7786;8,8543;8,7474;8,3518;9,1022;0,7504;0,00094;0,0046
"19181";"Psmc2";"5";"proteasome (prosome, macropain) 26S subunit, ATPase 2";"Cluster_1";11,0432;11,0976;11,0759;11,0694;10,9459;10,8684;10,9222;10,7498;10,8219;11,0334;11,0241;10,9965;10,6063;11,1951;0,5888;0,00097;0,0047
"19663";"Rbpms";"8";"RNA binding protein gene with multiple splicing";"Cluster_1";7,6502;7,6607;7,8055;7,7758;7,6583;7,4553;7,4376;7,384;7,3841;7,5826;7,6213;7,6033;7,3018;7,9146;0,6128;1e-04;8e-04
"20276";"Scnn1a";"6";"sodium channel, nonvoltage-gated 1 alpha";"Cluster_1";7,59;7,4576;7,5153;7,5649;7,5717;7,4712;7,323;7,2746;7,2795;7,4964;7,5302;7,6128;7,1474;7,7608;0,6134;0,0044;0,016
"22059";"Trp53";"11";"transformation related protein 53";"Cluster_1";7,2938;7,3298;7,3966;7,4409;7,2976;7,2603;7,2191;7,2377;7,1195;7,2065;7,1711;7,3581;7,0491;7,5199;0,4708;2,8e-06;4,6e-05
"28000";"Prpf19";"19";"PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)";"Cluster_1";8,7962;8,8591;8,9101;8,8855;8,8895;8,8985;8,5858;8,5915;8,6117;8,6815;8,7134;8,8629;8,4173;9,0194;0,602;0,00082;0,0041
"28019";"Ing4";"6";"inhibitor of growth family, member 4";"Cluster_1";7,5433;7,7124;7,8143;7,7709;7,6309;7,5321;7,365;7,4544;7,5546;7,5766;7,6136;7,635;7,2197;7,8388;0,6191;3,2e-06;5e-05
"52637";"Cisd1";"10";"CDGSH iron sulfur domain 1";"Cluster_1";9,2886;9,3193;9,4639;9,4277;9,4737;9,3079;8,9611;8,8169;8,9069;8,9293;9,2825;9,2922;8,6736;9,6389;0,9653;3,6e-05;0,00035
"53310";"Dlg3";"X";"discs, large homolog 3 (Drosophila)";"Cluster_1";7,3167;7,4639;7,474;7,5188;7,5512;7,2629;7,2089;7,1535;7,3241;7,3848;7,528;7,3882;7,1067;7,6893;0,5826;4,1e-05;4e-04
"54634";"Magix";"X";"MAGI family member, X-linked";"Cluster_1";7,7107;7,6279;7,618;7,6177;7,634;7,3882;7,3578;7,2253;7,3403;7,3525;7,3775;7,5599;7,1016;7,9431;0,8415;0,0035;0,013
"56447";"Copz1";"15";"coatomer protein complex, subunit zeta 1";"Cluster_1";10,1348;10,208;10,153;10,0821;10,1156;10,1269;9,8791;10,0135;9,9376;9,9613;10,033;10,1525;9,6884;10,3114;0,623;0,0086;0,028
"66151";"Prr13";"15";"proline rich 13";"Cluster_1";10,1188;10,132;10,2036;10,286;10,0901;10,0569;9,9981;9,908;9,9515;10,0649;10,1459;10,1368;9,8455;10,3648;0,5193;0,00097;0,0047
"66233";"Dmap1";"4";"DNA methyltransferase 1-associated protein 1";"Cluster_1";7,4993;7,4788;7,5449;7,5968;7,5366;7,3651;7,3466;7,2553;7,3526;7,3916;7,4137;7,3987;7,1791;7,6024;0,4232;4,2e-06;6,4e-05
"66257";"Nicn1";"9";"nicolin 1";"Cluster_1";7,4423;7,4461;7,3786;7,4179;7,2949;7,2807;7,2513;7,1033;7,1915;7,3295;7,4094;7,416;6,9977;7,5693;0,5716;3,1e-05;0,00032
"66279";"Tmem218";"9";"transmembrane protein 218";"Cluster_1";6,9265;7,0225;6,9845;6,9621;6,9628;6,8803;6,7936;6,7663;6,7698;6,7725;6,828;6,9853;6,7355;7,055;0,3195;1,8e-07;5,7e-06
"67013";"Oma1";"4";"OMA1 homolog, zinc metallopeptidase (S. cerevisiae)";"Cluster_1";8,7236;8,8349;8,7877;8,7305;8,6151;8,6192;8,5125;8,5113;8,5279;8,6463;8,7549;8,7675;8,4667;8,8774;0,4107;5,2e-05;0,00047
"67426";"Adck3";"1";"aarF domain containing kinase 3";"Cluster_1";6,9436;7,0014;6,9186;6,8582;6,8026;6,6596;6,6638;6,664;6,6745;6,7622;6,8121;6,9471;6,5967;7,1585;0,5617;0,00031;0,0019
"67851";"1700021F05Rik";"10";"RIKEN cDNA 1700021F05 gene";"Cluster_1";9,126;9,2013;9,2289;9,2072;9,2139;9,1048;8,8744;8,9182;8,9293;8,9064;8,9849;9,0338;8,6374;9,2924;0,655;0,006;0,021
"69099";"1810009N02Rik";"12";"RIKEN cDNA 1810009N02 gene";"Cluster_1";7,6051;7,5236;7,598;7,4881;7,4531;7,4115;7,4259;7,2081;7,2737;7,3282;7,5373;7,5175;7,1824;7,7122;0,5298;0,0016;0,0073
"69352";"Necab1";"4";"N-terminal EF-hand calcium binding protein 1";"Cluster_1";7,2644;7,2592;7,236;7,2734;7,2503;7,2096;7,1465;7,034;6,9829;7,1339;7,1744;7,266;6,9651;7,3692;0,4041;8,8e-05;0,00071
"69581";"Rhou";"8";"ras homolog gene family, member U";"Cluster_1";8,2023;8,3527;8,3811;8,4528;8,5164;8,2257;7,9448;7,9319;8,0779;8,0812;8,1938;8,2462;7,7933;8,6837;0,8904;7,7e-05;0,00065
"69836";"Pla2g12b";"10";"phospholipase A2, group XIIB";"Cluster_1";8,8997;8,9759;9,0402;9,0034;8,8244;8,6544;8,5899;8,3756;8,4205;8,4468;8,6586;8,7869;8,2988;9,1064;0,8076;6,8e-08;2,5e-06
"70208";"Med23";"10";"mediator complex subunit 23";"Cluster_1";7,1521;7,214;7,2522;7,2186;7,1802;7,1424;7,1261;6,9235;7,0456;7,1086;7,1425;7,1987;6,8737;7,3243;0,4506;0,0035;0,013
"72475";"Ssbp3";"4";"single-stranded DNA binding protein 3";"Cluster_1";7,5279;7,4859;7,5552;7,5253;7,539;7,4377;7,4424;7,3482;7,356;7,486;7,6126;7,5481;7,2837;7,6992;0,4155;0,0062;0,021
"74157";"Cmtr1";"17";"cap methyltransferase 1";"Cluster_1";9,0004;8,911;8,9596;9,0092;8,9161;8,7598;8,7442;8,6128;8,6647;8,8415;8,8283;8,9131;8,5162;9,1203;0,6041;2,2e-05;0,00024
"74411";"Ppapdc2";"19";"phosphatidic acid phosphatase type 2 domain containing 2";"Cluster_1";7,2952;7,2871;7,3888;7,4026;7,3488;7,342;7,1294;7,0806;7,1017;7,2267;7,3149;7,4111;6,968;7,4721;0,5041;4e-05;0,00038
"75221";"Dpp3";"19";"dipeptidylpeptidase 3";"Cluster_1";9,158;9,1734;9,1652;9,1213;9,0793;9,0427;8,8332;8,8454;8,9087;8,8887;8,867;9,0606;8,6413;9,2697;0,6284;0,0026;0,011
"77862";"Thyn1";"9";"thymocyte nuclear protein 1";"Cluster_1";9,2934;9,294;9,268;9,2661;9,1156;9,0165;8,9637;8,9519;8,9249;8,9831;9,0787;9,3363;8,8558;9,463;0,6071;2,5e-05;0,00027
"80861";"Dhx58";"11";"DEXH (Asp-Glu-X-His) box polypeptide 58";"Cluster_1";7,1303;7,2179;7,2108;7,2263;7,2055;7,1264;7,0343;6,8948;6,8967;7,0074;7,0767;7,1983;6,8592;7,4928;0,6336;0,0041;0,016
"98845";"Eps8l2";"7";"EPS8-like 2";"Cluster_1";7,6888;7,6577;7,779;7,8658;7,5544;7,2377;7,0608;7,0862;7,158;7,4118;7,615;7,6154;6,9886;7,9483;0,9597;3e-13;1,1e-10
"105663";"Thtpa";"14";"thiamine triphosphatase";"Cluster_1";8,5381;8,54;8,8485;8,7838;8,6467;8,5378;8,3036;8,2483;8,442;8,5609;8,6506;8,7055;8,1186;8,8993;0,7807;2,4e-06;3,9e-05
"109801";"Glo1";"17";"glyoxalase 1";"Cluster_1";11,9283;11,887;11,9042;11,8631;11,7917;11,6636;11,5532;11,4107;11,3869;11,5233;11,5328;11,734;11,2591;12,0457;0,7866;1,9e-06;3,2e-05
"170770";"Bbc3";"7";"BCL2 binding component 3";"Cluster_1";7,007;7,155;7,1414;7,1221;7,0829;6,975;6,884;6,8179;6,9511;6,9529;7,085;6,989;6,7926;7,2087;0,4161;1,1e-05;0,00014
"208659";"Fam20a";"11";"family with sequence similarity 20, member A";"Cluster_1";7,6705;7,7134;7,7197;7,7901;7,7337;7,5445;7,471;7,3949;7,5888;7,6141;7,6169;7,6147;7,3037;7,8566;0,5529;0,00037;0,0021
"218454";"Lhfpl2";"13";"lipoma HMGIC fusion partner-like 2";"Cluster_1";7,4148;7,455;7,6497;7,5269;7,4242;7,3638;7,3924;7,1867;7,2514;7,3205;7,4301;7,485;7,1031;7,7066;0,6036;2e-04;0,0013
"230696";"AU022252";"4";"expressed sequence AU022252";"Cluster_1";8,3702;8,4094;8,2875;8,4358;8,168;8,0503;8,0788;8,0125;8,1219;8,2379;8,1926;8,2507;7,9733;8,5564;0,5831;1,1e-05;0,00014
"231326";"Aasdh";"5";"aminoadipate-semialdehyde dehydrogenase";"Cluster_1";7,3995;7,3365;7,3627;7,411;7,2187;7,1762;7,14;7,1293;7,1774;7,2905;7,2592;7,3166;7,0627;7,5671;0,5044;0,0022;0,0093
"320751";"D830014E11Rik";"5";"RIKEN cDNA D830014E11 gene";"Cluster_1";6,8314;7,1718;6,9925;6,9803;6,8804;6,7857;6,8022;6,7603;6,732;6,7538;6,7746;6,8555;6,7029;7,5383;0,8354;0,0013;0,0062
"433256";"Acsl5";"19";"acyl-CoA synthetase long-chain family member 5";"Cluster_1";12,1952;12,2733;12,0529;12,2603;12,0036;11,929;11,7579;11,7274;11,5699;11,7642;11,8508;12,1616;11,4476;12,4105;0,9629;7,1e-05;0,00061
"231670";"Fbxo21";"5";"F-box protein 21";"Cluster_2";8,4038;8,4336;9,0876;9,4356;9,8335;9,353;8,8241;8,3009;7,8357;7,8965;8,0301;8,1105;7,6296;9,8988;2,2692;1,6e-09;1,2e-07
"170756";"Slc8b1";"5";"solute carrier family 8 (sodium/lithium/calcium exchanger), member B1";"Cluster_2";8,0459;8,3565;8,8222;9,242;9,3198;8,8758;8,8368;8,1757;7,8833;7,761;8,4179;8,1985;7,6027;9,4776;1,8749;4e-07;9,6e-06
"57436";"Gabarapl1";"6";"gamma-aminobutyric acid (GABA) A receptor-associated protein-like 1";"Cluster_2";9,4759;9,803;9,9481;10,3245;10,5367;10,2742;9,8123;9,6416;9,1188;8,9733;9,2932;9,1533;8,925;10,6354;1,7104;6,3e-09;3,3e-07
"66887";"Lonp2";"8";"lon peptidase 2, peroxisomal";"Cluster_2";10,3082;10,4235;10,5354;10,6012;10,5576;10,5133;10,1965;10,0202;9,6463;9,8355;9,6981;10,2519;9,2181;10,8652;1,6471;1,7e-05;2e-04
"243382";"Ppm1k";"6";"protein phosphatase 1K (PP2C domain containing)";"Cluster_2";8,8933;8,9441;9,337;9,2848;9,5292;9,3689;9,2394;8,7535;8,2223;8,3133;8,7976;8,8359;8,0142;9,6419;1,6277;2,2e-07;6,3e-06
"20661";"Sort1";"3";"sortilin 1";"Cluster_2";8,55;8,5912;8,5899;8,7962;8,9977;8,7724;8,557;8,1742;7,7995;7,9867;8,0658;8,2133;7,4859;9,0808;1,5948;0,00012;0,00093
"272589";"Tbcel";"9";"tubulin folding cofactor E-like";"Cluster_2";9,7415;9,7131;9,5768;9,791;10,3864;10,2996;9,4997;9,1951;9,464;9,5997;9,4567;9,6742;8,913;10,5043;1,5913;7,1e-05;0,00061
"381280";"Hjurp";"1";"Holliday junction recognition protein";"Cluster_2";8,8224;8,9834;9,1422;9,1057;9,4464;9,3205;8,6094;8,88;8,6668;8,7113;8,5754;8,9537;8,1043;9,6289;1,5245;0,0022;0,0092
"11607";"Agtr1a";"13";"angiotensin II receptor, type 1a";"Cluster_2";9,2992;9,3297;9,369;9,7335;9,6781;9,3318;9,2049;8,8129;8,5126;8,802;9,0598;9,3191;8,3665;9,7974;1,431;7,2e-10;7,4e-08
"13009";"Csrp3";"7";"cysteine and glycine-rich protein 3";"Cluster_2";7,9082;7,7078;8,0376;8,073;8,1343;8,0077;8,003;7,6223;7,3762;7,4717;7,3759;7,6064;7,043;8,2961;1,2531;7,8e-06;0,00011
"14062";"F2r";"13";"coagulation factor II (thrombin) receptor";"Cluster_2";10,0493;10,233;10,2638;10,4363;10,422;10,2753;10,4113;10,0672;9,9058;10,0801;9,9171;10,0918;9,6195;10,827;1,2075;0,0026;0,011
"100198";"H6pd";"4";"hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)";"Cluster_2";10,1299;10,0848;10,4785;10,5614;10,5322;10,1726;10,3771;9,909;9,6161;9,7902;10,0128;10,0292;9,5531;10,7554;1,2023;2,3e-05;0,00026
"72567";"Bclaf1";"10";"BCL2-associated transcription factor 1";"Cluster_2";8,9556;8,8366;9,0009;9,0646;9,2259;9,0711;9,0563;8,7007;8,2834;8,5134;8,8218;8,8861;8,2067;9,3732;1,1666;9,2e-06;0,00012
"18816";"Serpinf2";"11";"serine (or cysteine) peptidase inhibitor, clade F, member 2";"Cluster_2";10,9484;11,001;11,1592;11,1943;11,22;11,0939;11,0683;10,6957;10,389;10,3924;10,6941;10,7467;10,3045;11,3633;1,0588;1,3e-08;6,3e-07
"217039";"Ggnbp2";"11";"gametogenetin binding protein 2";"Cluster_2";10,0133;10,0026;10,312;10,3753;10,5119;10,1231;10,1937;9,9065;9,9147;10,0007;9,9815;9,9354;9,6653;10,6828;1,0175;0,00021;0,0014
"74153";"Uba7";"9";"ubiquitin-like modifier activating enzyme 7";"Cluster_2";7,7028;7,754;7,7788;7,8649;7,864;7,8381;7,9118;7,5992;7,4706;7,5646;7,453;7,622;7,2866;8,2994;1,0128;0,0095;0,03
"70454";"Cenpl";"1";"centromere protein L";"Cluster_2";7,625;7,7353;7,7095;7,9233;8,145;7,9244;7,8591;7,3744;7,3971;7,6034;7,6123;7,6432;7,1943;8,203;1,0087;1,8e-06;3,1e-05
"67711";"Nsmce1";"7";"non-SMC element 1 homolog (S. cerevisiae)";"Cluster_2";8,4394;8,4068;8,6461;8,6023;8,7531;8,6533;8,581;8,207;8,0779;8,0757;8,0597;8,3264;7,865;8,8652;1,0002;8,6e-08;3e-06
"12827";"Col4a2";"8";"collagen, type IV, alpha 2";"Cluster_2";7,2808;7,4658;7,4607;7,4492;7,3923;7,4059;7,3036;7,1595;7,1924;7,1156;7,1111;7,2498;7,021;7,5939;0,5729;0,00015;0,001
"12831";"Col5a1";"2";"collagen, type V, alpha 1";"Cluster_2";7,0806;7,0982;7,1876;7,2168;7,176;7,0793;7,1784;6,9042;6,92;6,9655;7,0644;7,0482;6,8402;7,3582;0,518;2,4e-05;0,00026
"13549";"Dyrk1b";"7";"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b";"Cluster_2";7,0725;7,145;7,2691;7,4065;7,4125;7,1836;7,1353;6,9444;6,94;6,9721;7,1261;7,1667;6,908;7,5126;0,6046;2,7e-07;7,1e-06
"13859";"Eps15l1";"8";"epidermal growth factor receptor pathway substrate 15-like 1";"Cluster_2";7,5322;7,6591;7,5982;7,6901;7,7185;7,6873;7,587;7,458;7,458;7,527;7,5528;7,5525;7,3941;7,8739;0,4798;0,0099;0,031
"14693";"Gnb2";"5";"guanine nucleotide binding protein (G protein), beta 2";"Cluster_2";8,4757;8,545;8,5073;8,5537;8,684;8,5701;8,6542;8,4091;8,3661;8,3494;8,4867;8,4895;8,3162;8,7852;0,4691;0,00038;0,0022
"15959";"Ifit3";"19";"interferon-induced protein with tetratricopeptide repeats 3";"Cluster_2";7,1913;7,1951;7,1925;7,3234;7,3762;7,2892;7,267;7,0633;6,9532;7,0135;7,074;7,2209;6,8962;7,5492;0,653;0,0057;0,02
"17997";"Nedd1";"10";"neural precursor cell expressed, developmentally down-regulated gene 1";"Cluster_2";7,6449;7,6783;7,7276;7,8509;7,9244;7,8379;7,8748;7,5104;7,4587;7,593;7,7073;7,6513;7,3784;8,0169;0,6385;8,8e-07;1,8e-05
"18633";"Pex16";"2";"peroxisomal biogenesis factor 16";"Cluster_2";8,5896;8,5395;8,6681;8,8439;8,8849;8,8129;8,6809;8,4936;8,3803;8,5408;8,428;8,681;8,2357;9,0676;0,8318;0,0071;0,024
"19084";"Prkar1a";"11";"protein kinase, cAMP dependent regulatory, type I, alpha";"Cluster_2";9,2513;9,4082;9,587;9,4251;9,4709;9,5223;9,3101;9,2071;9,1029;9,033;9,1263;9,4586;8,9597;9,6706;0,7109;0,00043;0,0024
"19166";"Psma2";"13";"proteasome (prosome, macropain) subunit, alpha type 2";"Cluster_2";11,4632;11,3446;11,4046;11,4817;11,5595;11,399;11,4158;11,3986;11,2374;11,2642;11,2484;11,311;11,1663;11,6403;0,474;0,0011;0,0053
"19272";"Ptprk";"10";"protein tyrosine phosphatase, receptor type, K";"Cluster_2";8,7334;8,7932;8,729;8,7896;8,8363;8,7154;8,8254;8,6151;8,2899;8,4345;8,6563;8,5133;8,1939;9,0706;0,8766;0,00022;0,0014
"19352";"Rabggtb";"3";"Rab geranylgeranyl transferase, b subunit";"Cluster_2";9,3108;9,3146;9,4265;9,3524;9,3803;9,3397;9,3215;9,2631;8,9544;9,0694;8,9757;9,2047;8,8277;9,4874;0,6597;0,00014;0,00099
"20615";"Snapin";"3";"SNAP-associated protein";"Cluster_2";7,6763;7,6239;7,8776;7,8641;7,943;7,8633;7,7782;7,6008;7,578;7,6083;7,6381;7,7287;7,447;7,9996;0,5526;5,1e-05;0,00046
"22592";"Ercc5";"1";"excision repair cross-complementing rodent repair deficiency, complementation group 5";"Cluster_2";7,6138;7,6648;7,6962;7,8199;7,8177;7,7866;7,8038;7,61;7,5258;7,5711;7,621;7,551;7,3898;7,9485;0,5587;0,00013;0,00093
"24110";"Usp18";"6";"ubiquitin specific peptidase 18";"Cluster_2";7,345;7,4502;7,6215;7,747;7,9366;7,7555;7,4874;7,3349;7,1998;7,2869;7,3315;7,5355;7,148;8,117;0,969;3,1e-05;0,00032
"26394";"Lypla2";"4";"lysophospholipase 2";"Cluster_2";11,2455;11,1681;11,1467;11,2585;11,204;11,1783;11,2322;11,0822;10,9003;10,9847;11,0507;11,1478;10,7299;11,4476;0,7177;0,0081;0,026
"26442";"Psma5";"3";"proteasome (prosome, macropain) subunit, alpha type 5";"Cluster_2";11,1784;11,177;11,1938;11,3028;11,2718;11,2139;11,1889;10,9932;10,7741;10,8902;10,9;11,0368;10,7018;11,4546;0,7528;0,00018;0,0013
