"","symbol","chromosome","length","num_transcript","b_cell, Mean_Control","b_cell, Mean_SLE","b_cell, LogFC","b_cell, Pvalue","b_cell, FDR","t_cell, Mean_Control","t_cell, Mean_SLE","t_cell, LogFC","t_cell, Pvalue","t_cell, FDR"
"25","ABL1","chr9","5634.5","2",188.666666666667,150.333333333333,-0.000978670314476473,1,1,150.333333333333,136,-0.292338691472877,0.460988538073423,1
"26","AOC1","chr7","2751.5","4",1.33333333333333,0,-3.40102624589704,0.185115313301794,0.539126660944594,0,0,0,1,1
"27","ABL2","chr1","10811.3333333333","9",749.333333333333,230.333333333333,-1.37030218122808,0.000372133355682975,0.00598086150100428,307,300,-0.324689339857944,0.462642222890581,1
"28","ABO","chr9","1579","1",1.33333333333333,0.666666666666667,-0.631156622286521,0.777637804209884,1,0,2.33333333333333,4.06172064970871,0.0983791574479684,0.43960824733662
"29","ABR","chr17","5175.08333333333","12",353.333333333333,188,-0.567709604111121,0.0904119627936522,0.337839833583412,134,107,-0.489671378145041,0.226763758872629,0.70017861171339
"30","ACAA1","chr3","1695.6","5",141.333333333333,45.6666666666667,-1.28217485704249,0.00177232992968733,0.0198582870118843,46,38,-0.487811882591855,0.316472274539023,0.830210816748209
"31","ACACA","chr17","9641.55555555555","9",161.666666666667,183.666666666667,0.548258301078025,0.106858440367566,0.37736109624188,174.333333333333,177.333333333333,-0.112542898387152,0.76865230990638,1
"32","ACACB","chr12","8501.77777777778","9",87.6666666666667,36.6666666666667,-0.911269540729532,0.0356622863960877,0.17871075129409,93.6666666666667,60.6666666666667,-0.963459612996716,0.0722135478677521,0.369352458456775
"33","ACADL","chr2","2751","2",0,0,0,1,1,0,0,0,1,1
"34","ACADM","chr1","2573.6","5",162.333333333333,62.6666666666667,-1.02251527310719,0.00354902715541518,0.0335880276375852,33,55,0.634777859097348,0.31182505531358,0.830209003961077
"35","ACADS","chr12","1917","1",1.66666666666667,1.33333333333333,0.0411886657516963,0.999999999999999,1,2.33333333333333,3,0.273273684569716,0.855430468291033,1
"36","ACADSB","chr10","5941","1",124,80.6666666666667,-0.259639155414454,0.467529843672547,0.935461656086968,83,104.666666666667,0.147575183702604,0.806978949724101,1
"37","ACADVL","chr17","2370.4","5",340.666666666667,149.333333333333,-0.809084681215343,0.0228446201661949,0.130495827321475,190,148,-0.405813165397385,0.328979416558985,0.842987115410779
"38","ACAT1","chr11","1737.66666666667","3",55.6666666666667,45.6666666666667,0.0448896302563999,0.946436349357623,1,51,53.6666666666667,-0.113462875081603,0.821513815793479,1
"39","ACAT2","chr6","1604","2",211,86,-0.920118307454334,0.00989620804071568,0.0715881542188646,122.333333333333,81.3333333333333,-0.770917907960486,0.0608935411009834,0.334936064406071
"41","ASIC1","chr12","3808.8","5",3.33333333333333,0.333333333333333,-2.55226440192954,0.211136200953376,0.582700504856332,7,1.66666666666667,-2.12222506147484,0.0514632411554741,0.30243751216419
"43","ACHE","chr7","2308.42857142857","7",2.33333333333333,1.66666666666667,-0.153807991779683,1,1,2,0.666666666666667,-1.58050227819087,0.458972047728415,1
"47","ACLY","chr17","4359.6","5",277.333333333333,120.333333333333,-0.842208961348296,0.0135558629067558,0.090285699862148,143,99,-0.657144187697686,0.095782393068435,0.433211698320828
"48","ACO1","chr9","3541.25","4",64.3333333333333,28.3333333333333,-0.83809278310068,0.0487180776446712,0.221872231496436,49.3333333333333,36.3333333333333,-0.559724394581174,0.244310543171315,0.733060831883737
"49","ACR","chr22","1370","1",0.333333333333333,0,-1.77027468277283,0.999999999999995,1,0,0.333333333333333,1.88743777077193,1,1
"50","ACO2","chr22","2741","1",112.333333333333,106,0.266173252539087,0.459041615239172,0.927687530730425,51.6666666666667,99,0.8311343128505,0.0897102331781239,0.417274722272769
"51","ACOX1","chr17","7643","3",339,80.6666666666667,-1.72932707349494,6.74651543070039e-05,0.00159072854207963,129.666666666667,95.3333333333333,-0.680250565651256,0.101680619825638,0.446802583608065
"52","ACP1","chr2","1403.8","5",160.666666666667,254.666666666667,1.03364898219673,0.001650287554885,0.0188724776301148,63.6666666666667,254.333333333333,1.89087746059693,0.000432274948354553,0.0128643255730271
"53","ACP2","chr11","1334.6","5",10.6666666666667,8,-0.0620143443817218,1,1,15.3333333333333,16.6666666666667,-0.0147211383083362,1,1
"54","ACP5","chr19","1598","6",16,30,1.26170626927846,0.0168425053179029,0.105195594138013,2,4.33333333333333,1.00658741693544,0.333511096588959,0.850292532845997
"55","ACPP","chr3","2523","2",96.6666666666667,8,-3.23183141157966,1.54919280873092e-07,1.2389283520545e-05,18,12.6666666666667,-0.461636459917827,0.646631556622568,1
"56","ACRV1","chr11","1067.8","5",1.66666666666667,0.333333333333333,-1.70650259690603,0.303225049727212,0.730653691991269,2.66666666666667,0.666666666666667,-2.00704157939126,0.159471561675335,0.57574033250208
"58","ACTA1","chr1","1493","1",1,0.333333333333333,-1.00775930147227,0.68009517775309,1,2.33333333333333,0.333333333333333,-2.42869158685866,0.173392171167706,0.601701767019715
"59","ACTA2","chr10","1578.5","2",8.66666666666667,2.66666666666667,-1.34439051491314,0.174432650135907,0.518153434330483,5.66666666666667,4.66666666666667,-0.416391344610994,0.659873449110392,1
"60","ACTB","chr7","1814","2",15468.3333333333,4641,-1.36968954243485,3.92824300032308e-05,0.00102716933824178,3184,4300,0.308726427630785,0.489157092889401,1
"70","ACTC1","chr15","3693","1",0.333333333333333,0,-1.7477389625979,0.999999999999991,1,0,0,0,1,1
"71","ACTG1","chr17","1767.2","5",2292.66666666667,639,-1.49058301149177,1.27929254673125e-05,0.000433358022525904,616.333333333333,1508.66666666667,1.0505971327179,0.0102683735361975,0.111095113405108
"72","ACTG2","chr2","1266.5","2",0,0,0,1,1,0,0,0,1,1
"81","ACTN4","chr19","3950.25","4",572.333333333333,179.666666666667,-1.31332461697753,8.41457746724528e-05,0.00189019350210166,190,176.333333333333,-0.117802829003127,0.790906244308682,1
"86","ACTL6A","chr3","1826","3",57,73.3333333333333,0.742043291616925,0.122252933764855,0.411256183084086,35.3333333333333,75,0.934035237722505,0.101284034320722,0.446025979524162
"87","ACTN1","chr14","3742","3",191.333333333333,54.3333333333333,-1.45919976417483,0.00107496407507526,0.013491535450651,129.333333333333,173,0.299756033072485,0.432258762253806,0.969991819259415
"88","ACTN2","chr1","4982.66666666667","3",5.33333333333333,4,-0.0452895178347143,1,1,7.33333333333333,2.33333333333333,-1.62836388393427,0.128692860058588,0.509516883171734
"89","ACTN3","chr11","2938","1",0,1,3.31087354393977,0.306111379849461,0.734144795266948,0.666666666666667,0.333333333333333,-0.837627581986883,1,1
"90","ACVR1","chr2","2886.8","5",65.3333333333333,18.6666666666667,-1.43766378471283,0.00417022883477093,0.0378009208333318,50.3333333333333,34.6666666666667,-0.575439223564181,0.277936257790125,0.79169309562935
"91","ACVR1B","chr12","4605.25","4",129.333333333333,56.6666666666667,-0.842922737936192,0.0297843155173597,0.157496157855032,81,89.6666666666667,-0.00712892327566803,1,1
"92","ACVR2A","chr2","4325.75","4",117.666666666667,62,-0.549087030733164,0.240802887693948,0.635010175910884,95.3333333333333,95,-0.0650738287354202,0.908414608718464,1
"93","ACVR2B","chr3","11393.5","2",32,19,-0.408130181780915,0.42452319998724,0.887118657776966,67.6666666666667,44.3333333333333,-0.718941076495556,0.155747483007211,0.567909625077988
"94","ACVRL1","chr12","4218","3",1.66666666666667,0,-3.69017890862095,0.121073333235862,0.408778128696359,0,0.333333333333333,1.89990297870797,0.999999999999997,1
"95","ACY1","chr3","1573.8","5",0,0,0,1,1,0,0,0,1,1
"97","ACYP1","chr14","608","5",4.33333333333333,8.33333333333333,1.22080764826287,0.201678064015086,0.567508745156285,5.33333333333333,5.33333333333333,-0.102048596014665,0.999999999999997,1
"98","ACYP2","chr2","1224","1",13.6666666666667,11,0.0658295060455812,0.951498122528279,1,4.33333333333333,8.33333333333333,0.844322181058812,0.301647248948315,0.822634215839363
"100","ADA","chr20","1437","4",131.333333333333,49.3333333333333,-1.03821002975215,0.0629605425388211,0.266016293747902,49,46,-0.107534605157447,0.879903129649852,1
"101","ADAM8","chr10","2990.8","5",264.666666666667,127.333333333333,-0.691284953595919,0.0838262380647291,0.321331611306601,78,60.6666666666667,-0.378469285995956,0.462017641153417,1
"102","ADAM10","chr15","4894","2",706.666666666667,256,-1.14283765284,0.0012534883001468,0.0151899557396703,355,241.333333333333,-0.693459706816118,0.0594752603326374,0.330185041671481
"103","ADAR","chr1","6500.1","10",1197.66666666667,1294,0.475172173566425,0.114412438817566,0.393411092813594,709.333333333333,1252,0.692529779870807,0.0567380294701636,0.321110754336004
"104","ADARB1","chr21","5147.71428571429","14",144.666666666667,102.333333333333,-0.101613551128256,0.803059299047989,1,121.333333333333,65,-1.028051239646,0.0175466446104799,0.155435125029254
"105","ADARB2","chr10","8426","1",1,0.333333333333333,-0.948050561868039,0.724397116217514,1,0.333333333333333,0.666666666666667,0.736660001044954,1,1
"107","ADCY1","chr7","4807.25","4",9,6.33333333333333,-0.114691989263126,0.999999999999997,1,13.6666666666667,4,-2.05832094869702,0.0359142488595039,0.24320061340981
"108","ADCY2","chr5","5021","2",0.666666666666667,0,-2.5030509877467,0.59483185919795,1,0,0,0,1,1
"109","ADCY3","chr2","4354.42857142857","7",81.3333333333333,146,1.22632634386137,0.00102028962444881,0.013010509665848,21,30,0.50532122155958,0.405073281998949,0.936784797642804
"111","ADCY5","chr3","5586.16666666667","6",0.333333333333333,1,1.56813858348847,0.674615687298047,1,2.33333333333333,4,0.630245403332536,0.682968495294436,1
"112","ADCY6","chr12","6268.875","8",1,0.333333333333333,-1.00018057438045,0.680566363927262,1,0.666666666666667,1.33333333333333,0.89540306250146,0.749989299974509,1
"113","ADCY7","chr16","5399.27272727273","11",457.333333333333,167.666666666667,-1.07756595515652,0.00261620135360539,0.0268804582344833,350.666666666667,192.333333333333,-0.884068947777365,0.0418931514071225,0.26663600824232
"114","ADCY8","chr8","4123.66666666667","3",0,0,0,1,1,0,0,0,1,1
"115","ADCY9","chr16","7647","2",149,13.6666666666667,-3.09020139404255,5.84139566648891e-10,1.37314100960131e-07,63,33.3333333333333,-1.09972000477392,0.0460633576011142,0.282027481739839
"116","ADCYAP1","chr18","3336.33333333333","3",1,1,0.362454236375786,1,1,0.333333333333333,0.333333333333333,-0.218362032518888,1,1
"117","ADCYAP1R1","chr7","6474.88888888889","9",0,0,0,1,1,0,0,0,1,1
"118","ADD1","chr4","4012.2","10",509.666666666667,259.666666666667,-0.608267853185586,0.0631210720016489,0.266404350312364,144,163.333333333333,0.027220295614488,0.954807690682211,1
"119","ADD2","chr2","3890.4","5",50.3333333333333,41,0.0872278921818885,0.870041744421051,1,17.3333333333333,12.3333333333333,-0.675239943881896,0.308091566091622,0.828491928715752
"120","ADD3","chr10","4336.07692307692","13",1704.66666666667,691.666666666667,-0.939243050968963,0.00330465831314094,0.0318056279005028,1086.66666666667,1340.66666666667,0.122290476367263,0.756538941307505,1
"123","PLIN2","chr9","1931.33333333333","3",1431.33333333333,171.666666666667,-2.70948178709689,5.13642117412797e-12,2.25537346347747e-09,329,201,-0.823186252657742,0.0946873841614104,0.430131720516171
"124","ADH1A","chr4","1500","1",0,0,0,1,1,0,0,0,1,1
"125","ADH1B","chr4","3356.66666666667","3",0,0,0,1,1,0,0,0,1,1
"126","ADH1C","chr4","1473","1",0,0,0,1,1,0,0,0,1,1
"127","ADH4","chr4","1980","1",0.333333333333333,0.333333333333333,0.285373519938135,1,1,1,0,-3.2082885034788,0.306958321849688,0.826606043399007
"128","ADH5","chr4","2652","1",107,111.333333333333,0.395347166524284,0.298458186617432,0.723361687040291,46.6666666666667,153.333333333333,1.52844708124596,0.00087097424997235,0.0213598999505542
"130","ADH6","chr4","2553","4",0.333333333333333,0.333333333333333,0.261993529226846,1,1,0,0,0,1,1
"131","ADH7","chr4","2195.5","2",0,0,0,1,1,0,0,0,1,1
"132","ADK","chr10","1881.4","5",166.333333333333,150,0.237972916612644,0.557056387266671,1,70,59.6666666666667,-0.43779370069773,0.346621562659615,0.865698326487934
"133","ADM","chr11","1449","1",87.3333333333333,24.3333333333333,-1.45355924991489,0.0550087860253528,0.241677264183879,29.6666666666667,16.3333333333333,-0.863332186348772,0.321810890441572,0.835413797269425
"134","ADORA1","chr1","2807.8","5",0.333333333333333,0,-1.74773231730128,0.999999999999994,1,0,0,0,1,1
"135","ADORA2A","chr22","2402","7",1.66666666666667,0.333333333333333,-1.67339513290244,0.329443372271432,0.761729375012494,0.666666666666667,0.333333333333333,-1.019113317848,1,1
"136","ADORA2B","chr17","1885","1",39,8,-1.92413696918041,0.000583363457802257,0.0084585884049683,11.6666666666667,10.6666666666667,-0.307333374202879,0.655166704044075,1
"140","ADORA3","chr1","1498","7",7,2,-1.49216224650983,0.149447098482224,0.468745442247883,0.333333333333333,2.33333333333333,2.29176237937145,0.194593059537183,0.642441435884427
"141","ADPRH","chr3","3439","1",96,79.3333333333333,0.0774533302892116,0.844635067263318,1,25.6666666666667,18.3333333333333,-0.533471289256583,0.554846973321208,1
"142","PARP1","chr1","3985","1",261.666666666667,261.666666666667,0.339734587489326,0.363978557759773,0.809258526434072,111.333333333333,130,0.00811414735697885,1,1
"143","PARP4","chr13","5469","1",579.333333333333,346,-0.411399449941476,0.213231287830517,0.586077539906907,283.666666666667,412,0.291043190544065,0.459481927100941,1
"146","ADRA1D","chr20","2666","1",0,0.333333333333333,2.03433768703487,0.999999999999997,1,0.333333333333333,0,-1.94550131804387,1,1
"147","ADRA1B","chr5","1853","4",0.666666666666667,0.333333333333333,-0.531521037105893,0.999999999999999,1,0,0,0,1,1
"148","ADRA1A","chr8","3919.71428571429","7",0.333333333333333,0,-1.74772568005811,0.999999999999998,1,0.333333333333333,0.333333333333333,-0.10012106802262,1,1
"150","ADRA2A","chr10","3876","1",0.666666666666667,1.33333333333333,1.25985938998653,0.57433196548449,1,0.666666666666667,0.333333333333333,-0.926600623155591,1,1
"151","ADRA2B","chr2","3275","1",23.6666666666667,3,-2.56338406446791,0.00063201020829177,0.00899580523997925,104.666666666667,3.33333333333333,-5.00169349688622,3.81993569734321e-10,1.8520321572619e-07
"152","ADRA2C","chr4","1958","1",0,0,0,1,1,0,0.333333333333333,1.88733070343238,0.999999999999999,1
"153","ADRB1","chr10","2862","1",1.66666666666667,0,-3.67920390862594,0.170571709924483,0.509934622489821,0.333333333333333,1.33333333333333,1.66387089425661,0.469822971933426,1
"154","ADRB2","chr5","2042","1",314,39.6666666666667,-2.59943034679897,5.77034866737367e-09,8.71997105111169e-07,217.666666666667,51,-2.24443236273721,1.18858753004568e-05,0.000864400281225721
"155","ADRB3","chr8","2647","1",0.333333333333333,0,-1.74771965991856,1,1,0,0,0,1,1
"156","ADRBK1","chr11","3444","1",168.333333333333,93,-0.49416032523849,0.159416224314664,0.489178623767943,92,78.6666666666667,-0.420858212591982,0.302854182641472,0.822634215839363
"157","ADRBK2","chr22","8963.5","2",826.333333333333,335.333333333333,-0.945547404808209,0.0030162793380098,0.02978143943749,83.3333333333333,68.6666666666667,-0.302902803714494,0.660192279620144,1
"158","ADSL","chr22","1476.5","2",54.3333333333333,90.6666666666667,1.11313095307103,0.00395784107616543,0.0365068876434887,69,152.333333333333,0.892509638798103,0.0486829559921594,0.292142933576307
"159","ADSS","chr1","2782","1",229,133,-0.427436698607261,0.234334528335791,0.624319764559877,122.333333333333,192.666666666667,0.459644519401015,0.247941280991061,0.739470651188515
"160","AP2A1","chr19","3466","2",61.3333333333333,18.6666666666667,-1.35846307111796,0.00421905593527868,0.0380697866961224,23,14.6666666666667,-0.808318535368511,0.211673372246748,0.673419373742491
"161","AP2A2","chr11","4266.2","5",47,24.3333333333333,-0.591181472112167,0.20528352296727,0.57260195288506,46.6666666666667,32.6666666666667,-0.630452870601178,0.189348849692052,0.634215087799862
"162","AP1B1","chr22","4138","3",326.666666666667,505,0.985962762583235,0.00540381404546027,0.045746657135668,74.3333333333333,97.6666666666667,0.281014879284235,0.489066300456865,1
"163","AP2B1","chr17","5186.4","5",662.666666666667,444,-0.225970536006863,0.475079368349942,0.943709132142536,344.333333333333,436.666666666667,0.222066514056708,0.542704878232384,1
"164","AP1G1","chr16","6845.5","2",1825.33333333333,1399.66666666667,-0.0104284832139803,0.97382431531658,1,905.333333333333,991.666666666667,0.032368596802631,0.92768673377468,1
"165","AEBP1","chr7","4086","1",47.3333333333333,35.6666666666667,-0.0317246002905593,0.978672377766361,1,36.3333333333333,18.6666666666667,-1.01485346258654,0.117191986670388,0.482791983323289
"166","AES","chr19","1743.25","4",290.333333333333,132.333333333333,-0.756211549420296,0.0382313155312822,0.187942369041825,104,166,0.466311313833413,0.272329418750151,0.783489953412475
"172","AFG3L1P","chr16","2679.33333333333","3",36.3333333333333,63.6666666666667,1.15254030328663,0.00495098211935414,0.0428483658912642,44.6666666666667,41.3333333333333,-0.205992384970348,0.678038430630452,1
"173","AFM","chr4","1804","2",0,0,0,1,1,0,0,0,1,1
"174","AFP","chr4","2039","1",0,0,0,1,1,0,0,0,1,1
"175","AGA","chr4","1761","4",27.6666666666667,28,0.367645903476286,0.51862463151355,0.995484195295411,7.66666666666667,32,1.95392170446047,0.00189279161226635,0.0378428233682668
"176","ACAN","chr15","8779","3",1,3,1.82446505699798,0.0946270597665016,0.348774300742164,1.66666666666667,3.66666666666667,0.929555827762741,0.506793726455049,1
"177","AGER","chr6","1446.5","10",19.6666666666667,9.33333333333333,-0.734343541475258,0.216512188499003,0.591596004227113,31.6666666666667,6.33333333333333,-2.42814150313095,0.00110288991875277,0.0256408133758386
"178","AGL","chr1","7217.57142857143","7",96,101.333333333333,0.442601938120855,0.222533382928413,0.603688301578536,72.3333333333333,114.333333333333,0.555910884643391,0.256899910217758,0.756016023088982
"181","AGRP","chr16","764","1",0,0,0,1,1,0,0,0,1,1
"182","JAG1","chr20","5987","1",98,16.6666666666667,-2.18173215970299,0.000844733919025399,0.0112592484327372,24,24,0.105034426345826,0.901638115182579,1
"183","AGT","chr1","2584","1",0.333333333333333,0,-1.74774091705809,1,1,0,1,3.06079541719528,0.302784354457457,0.822634215839363
"185","AGTR1","chr3","2320.4","5",0.333333333333333,0,-1.74776211287256,0.999999999999996,1,0.333333333333333,0.666666666666667,0.714572845571475,0.999999999999998,1
"186","AGTR2","chrX","2899","1",0,0,0,1,1,0,0.666666666666667,2.73005889691773,0.601205418733926,1
"187","APLNR","chr11","2910.5","2",0.333333333333333,0.333333333333333,0.294418259263458,1,1,0,0,0,1,1
"189","AGXT","chr2","1598","1",0,0,0,1,1,0,0,0,1,1
"190","NR0B1","chrX","1585","1",0,0,0,1,1,0,0,0,1,1
"191","AHCY","chr20","2320.25","4",61.6666666666667,24.3333333333333,-0.966928270474648,0.0333119779893055,0.170369873826336,43.3333333333333,27.6666666666667,-0.790366800531736,0.15316077731555,0.561581473087675
"196","AHR","chr7","6247","1",1469.66666666667,502.666666666667,-1.17407230840224,0.00331518411037676,0.0318640266665787,728,653.666666666667,-0.127351562617543,0.795473282752752,1
"199","AIF1","chr6","766","6",909.666666666667,136.333333333333,-2.33875876801094,1.93308402036685e-05,0.000591930675289176,245.333333333333,255.333333333333,0.00687831600738645,0.992040607569809,1
"202","AIM1","chr6","7967.5","2",1468,550,-1.09100156291529,0.00490540447707277,0.0425171594005354,906.666666666667,3247.66666666667,1.59296672111077,0.000341626190257668,0.0108610993164979
"203","AK1","chr9","1865.33333333333","3",34.6666666666667,34.6666666666667,0.348074413157317,0.479448988782859,0.948545172741196,80.3333333333333,50.3333333333333,-0.938790582992017,0.0489316608264865,0.292960537883714
"204","AK2","chr1","3427.33333333333","6",423.333333333333,192.333333333333,-0.818994477444103,0.0244071948995467,0.136473868260993,163.333333333333,193.666666666667,0.0210832644526273,0.965881920736089,1
"205","AK4","chr1","6922","3",17.3333333333333,3.33333333333333,-1.99500842352165,0.04730626740325,0.217700505241929,3,4.66666666666667,0.608757605152111,0.524906815569486,1
"207","AKT1","chr14","2886.25","4",107.333333333333,56,-0.585571751373569,0.149423025942668,0.468745442247883,48.6666666666667,42.3333333333333,-0.258519861029406,0.629111173330175,1
"208","AKT2","chr19","4663.125","8",293.666666666667,587.333333333333,1.36271259308186,2.34800691013621e-05,0.000680483397418306,206.666666666667,319,0.498462747134844,0.169724482866031,0.595672865713369
"210","ALAD","chr9","3252.5","2",64.6666666666667,22.3333333333333,-1.17616089276143,0.0144311911844858,0.0941263120082266,19,36,0.860539086783137,0.207080685739544,0.666882099747575
"211","ALAS1","chr3","2332.5","4",274.666666666667,50.3333333333333,-2.10945863446697,1.7866891570133e-08,2.17066830523628e-06,172,51.6666666666667,-1.91061534640637,2.70711742332166e-05,0.00163636458897511
"212","ALAS2","chrX","2003.25","4",1.66666666666667,31.3333333333333,4.60195242936609,0.000130699065622851,0.00264259657269764,1,32.3333333333333,5.07590668904471,0.00029970325624374,0.00987917022564352
"213","ALB","chr4","2247","1",0.333333333333333,0.666666666666667,0.987328818307925,0.999999999999996,1,0.333333333333333,0,-1.89594624755987,1,1
"214","ALCAM","chr3","3674","4",334,143,-0.852396693593312,0.0158169787065014,0.100736926233634,85,86,0.0281690829663269,0.957532974590365,1
"215","ABCD1","chrX","3664","1",20,8,-0.941519597564411,0.126021559723296,0.41956705835201,6,5,-0.211542862636494,0.920385993741326,1
"216","ALDH1A1","chr9","2369","1",112,8,-3.38915526177379,5.44711632960227e-05,0.00134001364928651,40,7.33333333333333,-2.50435247767224,0.00396115345301149,0.0600786476368443
"217","ALDH2","chr12","1989.5","2",278,39.3333333333333,-2.47167730766931,1.02611224310232e-08,1.39647275564194e-06,58,34.3333333333333,-0.803455470841884,0.284256177518867,0.799441276406178
"218","ALDH3A1","chr17","1973","8",0,0,0,1,1,0,1.33333333333333,3.39376157814015,0.3140266644075,0.830209003961077
"219","ALDH1B1","chr9","3070","1",2.66666666666667,6.33333333333333,1.55103662839496,0.0871159317285135,0.33041356833402,1.66666666666667,6.66666666666667,1.77381195265052,0.0582418989215235,0.326053757926797
"220","ALDH1A3","chr15","3496","1",0.333333333333333,0.333333333333333,0.215858774782946,1,1,0.333333333333333,0,-1.94553780008467,0.999999999999994,1
"221","ALDH3B1","chr11","2795","3",52,7,-2.50405763952361,0.00035618909338067,0.00577244608715526,14.3333333333333,7.66666666666667,-0.891898344408029,0.371490573954418,0.898943865100973
"222","ALDH3B2","chr11","2572","2",0,0,0,1,1,0,0,0,1,1
"223","ALDH9A1","chr1","2500","1",168,176.333333333333,0.441076012373259,0.227703750703474,0.612119866740354,85.3333333333333,183.666666666667,0.938349203384091,0.0230943692948605,0.185774496817465
"224","ALDH3A2","chr17","3762.5","2",132.666666666667,31,-1.7436540082506,1.89892204779707e-05,0.000584546480110231,105.333333333333,63.3333333333333,-0.962002728415484,0.0235211371788859,0.187713295174499
"225","ABCD2","chr12","5341","1",11.3333333333333,2.66666666666667,-1.65116930312252,0.071560233121007,0.288722216572828,39.3333333333333,20.3333333333333,-1.04686311181546,0.0558337395575541,0.318326376275601
"226","ALDOA","chr16","1773","5",653.333333333333,153.666666666667,-1.7398414892985,1.02084146211216e-06,5.69712769934635e-05,161.666666666667,209.333333333333,0.220444899297858,0.573648484145366,1
"229","ALDOB","chr9","2426","1",0,1.33333333333333,3.67550761566274,0.194638336072026,0.556066566008904,10,2,-2.59409007378976,0.0160647199933517,0.147165848767914
"230","ALDOC","chr17","1785","3",32.3333333333333,6.33333333333333,-1.99050100480439,0.00096054377717099,0.0123850944120951,17.6666666666667,18.6666666666667,-0.0703883012384386,0.927773551748943,1
"231","AKR1B1","chr7","1402","2",133.666666666667,65.6666666666667,-0.660991031450992,0.091684493492621,0.341225257086243,57,81.3333333333333,0.346601862099239,0.45217592024818,0.992084285473332
"238","ALK","chr2","6265","1",2.33333333333333,2,0.116825626813569,1,1,9,5.33333333333333,-0.869635986483189,0.250301498813378,0.744315931559536
"239","ALOX12","chr17","2046.75","4",20.3333333333333,8,-0.985443404728896,0.158828724719362,0.488584350923523,13.3333333333333,13,-0.105009818932974,0.917438436468847,1
"240","ALOX5","chr10","2472","3",284.333333333333,229,0.0836363150516267,0.812797846595287,1,30,56,0.945028390185806,0.200781322127892,0.654686431305843
"241","ALOX5AP","chr13","1066.5","2",634,225,-1.1095290805969,0.0120001960315892,0.0823072685078529,72.6666666666667,228,1.61100976065446,0.000576795300873891,0.015810577434555
"242","ALOX12B","chr17","2502","1",0,0,0,1,1,0.333333333333333,1.33333333333333,1.63726220672538,0.558179437159228,1
"245","ALOX12P2","chr17","2768","1",2.33333333333333,0.333333333333333,-2.16025693076381,0.20565730431007,0.57272864939409,7.33333333333333,0.666666666666667,-3.68612518416316,0.0110070999226382,0.116265894393566
