"","ND410-B","ND422-B","ND426-B","SLE1077-B","SLE1169-B","SLE985-B","ND410-T","ND422-T","ND426-T","SLE1077-T","SLE1169-T","SLE985-T"
"55003",14,14,14,36,46,33,9,10,5,44,54,48
"55004",63,44,43,47,35,40,10,16,7,38,60,33
"55005",18,25,21,28,43,19,17,21,29,16,66,14
"55006",18,26,28,27,34,25,23,20,8,20,52,24
"55007",50,153,94,85,88,73,305,363,50,183,590,206
"55008",28,48,98,21,25,28,52,34,92,78,87,47
"55009",31,24,71,15,20,14,26,30,50,8,17,9
"55010",7,5,21,10,4,9,16,4,4,2,7,7
"55011",65,49,39,29,42,32,90,55,70,24,58,27
"55012",78,90,103,84,83,94,75,49,58,90,100,77
"55013",138,136,207,57,54,47,133,117,176,124,279,111
"55014",220,186,336,160,383,169,380,247,194,187,588,161
"55015",181,90,125,280,247,273,238,126,56,178,262,165
"55016",261,189,179,155,358,207,31,40,32,57,81,70
"55017",176,175,163,45,117,41,90,98,93,95,214,75
"55018",0,0,0,0,0,0,0,0,0,0,0,0
"55020",23,44,22,7,6,8,10,12,0,8,4,20
"55022",34,59,45,9,4,0,3,12,25,4,1,7
"55023",1037,887,877,1053,1270,880,1226,756,557,690,1032,506
"55024",3173,433,1612,819,989,1341,21,41,118,81,2,78
"55025",0,0,1,0,0,0,2,1,0,0,1,1
"55026",12,14,1,18,8,21,13,14,8,8,18,21
"55027",53,78,131,63,59,56,55,35,61,38,78,75
"55028",36,59,56,30,139,39,67,63,47,22,70,49
"55030",946,655,456,464,521,484,706,272,239,554,1277,435
"55031",894,856,894,1210,1121,1175,1036,536,396,1268,1953,935
"55032",114,79,80,86,159,77,40,45,53,53,157,44
"55033",18,29,12,6,17,14,14,24,26,6,10,2
"55034",0,2,0,0,0,0,0,0,1,0,0,2
"55035",275,239,227,527,534,620,247,230,99,342,773,421
"55036",0,1,3,2,0,0,1,1,9,1,0,0
"55037",348,246,348,477,589,575,618,386,216,362,873,441
"55038",57,96,29,22,39,30,65,50,20,28,46,39
"55039",40,24,68,32,53,26,38,42,77,36,60,27
"55040",0,0,0,0,0,0,0,0,0,0,0,1
"55041",835,845,768,381,466,373,469,429,256,424,776,310
"55048",64,57,15,14,27,15,14,17,55,16,14,9
"55049",10,18,30,16,17,11,7,9,1,6,18,14
"55051",20,28,45,34,26,31,31,23,55,32,14,17
"55052",74,59,100,82,96,55,64,51,32,45,107,46
"55054",113,93,125,226,203,219,248,146,129,191,396,174
"55055",54,31,49,123,135,65,58,29,15,85,148,76
"55056",365,318,430,290,463,356,354,295,209,203,366,212
"55057",0,0,2,1,0,0,3,0,0,0,1,0
"55061",3,9,3,2,1,0,33,16,5,22,26,12
"55062",65,89,120,70,55,54,17,23,9,43,16,35
"55063",60,36,69,16,31,18,18,30,76,15,19,14
"55064",0,4,0,3,3,2,5,4,1,8,30,7
"55065",0,0,6,0,3,0,4,1,0,0,2,2
"55066",789,656,727,265,873,559,1003,674,303,177,1056,436
"55068",0,0,0,0,0,0,0,0,0,0,0,1
"55069",410,361,513,304,478,259,262,201,239,153,524,159
"55070",12,6,5,6,29,13,10,11,0,9,21,11
"55071",22,10,11,8,16,11,4,6,24,4,13,2
"55072",53,72,45,65,75,58,56,57,52,25,60,25
"55073",245,132,272,99,147,107,180,179,199,70,179,94
"55074",235,181,191,50,56,55,75,63,50,55,85,54
"55075",82,29,26,39,74,33,9,9,3,6,9,9
"55076",0,0,0,0,0,0,0,0,0,0,0,0
"55080",36,60,117,27,27,28,43,39,57,21,43,27
"55081",252,86,233,161,161,164,63,32,72,81,126,86
"55082",1062,738,741,911,925,979,1110,677,434,622,1179,618
"55083",1,0,4,2,3,1,1,0,1,0,0,2
"55084",12,1,0,3,2,11,0,3,0,0,1,1
"55086",32,18,28,58,68,49,81,34,18,22,65,18
"55088",457,502,682,395,468,417,529,369,247,411,684,358
"55089",0,4,1,0,1,0,1,2,1,0,1,0
"55090",15,8,39,19,29,31,23,10,24,16,36,20
"55092",2,17,1,13,8,1,0,2,0,16,0,11
"55093",5,2,7,7,10,8,2,2,0,4,5,6
"55094",19,32,39,64,85,58,25,13,17,38,113,32
"55095",296,190,226,153,178,111,187,114,87,91,151,82
"55096",176,143,102,82,153,80,243,170,120,87,124,47
"55100",56,52,68,26,44,36,43,29,38,17,53,31
"55101",43,36,36,30,39,38,14,18,3,20,50,30
"55102",544,374,610,559,626,476,773,382,206,434,897,404
"55103",2427,457,1398,353,410,664,76,83,182,53,76,50
"55105",28,36,89,65,85,63,61,37,63,60,111,66
"55106",31,80,46,7,16,7,26,21,26,17,26,20
"55107",0,0,0,0,0,0,0,0,0,0,0,0
"55108",123,123,128,103,102,107,142,75,99,99,193,94
"55109",71,89,73,124,155,105,70,30,38,129,246,127
"55110",43,21,31,61,76,58,49,34,18,38,84,37
"55111",38,39,44,61,55,44,12,13,11,19,48,20
"55112",97,67,49,84,108,85,61,49,36,75,137,46
"55113",17,23,17,17,28,11,20,8,1,18,24,15
"55114",450,309,449,165,174,148,142,108,63,105,165,116
"55116",44,34,87,21,30,18,24,32,27,12,18,11
"55117",0,0,1,0,0,0,0,0,0,0,0,0
"55118",0,0,0,0,0,0,1,1,0,0,0,0
"55119",1494,1119,1043,1230,1167,1358,1974,1111,741,924,1689,851
"55120",39,27,24,18,26,22,11,9,17,21,12,8
"55122",306,260,296,137,103,78,78,78,124,76,68,72
"55124",10,1,14,2,2,3,5,11,12,2,10,2
"55125",328,371,470,262,575,389,304,259,292,266,508,297
"55127",1148,842,1233,1467,1127,2128,1235,748,391,989,1944,1251
"55128",16,20,81,21,55,23,29,21,1,26,87,29
"55129",17,17,19,4,4,4,19,11,21,9,11,7
"55130",0,0,0,1,0,0,1,1,0,0,0,2
"55131",119,112,103,178,197,128,136,86,82,82,203,109
"55132",214,161,124,183,159,271,154,102,63,97,142,75
"55133",64,86,37,18,42,29,19,38,10,16,29,29
"55135",7,6,3,6,8,9,6,6,5,4,10,5
"55137",2,0,0,0,0,0,1,0,0,3,0,0
"55138",1,2,0,0,0,0,1,2,1,0,1,0
"55139",65,40,118,46,63,37,137,109,167,42,179,55
"55140",74,68,41,75,114,61,48,50,55,61,212,64
"55142",44,68,60,46,58,65,31,18,31,40,84,41
"55143",3,8,12,2,4,2,5,4,0,2,5,2
"55144",152,189,174,134,310,110,139,107,77,217,221,134
"55145",22,10,22,22,17,16,11,6,12,26,39,19
"55146",26,11,45,27,54,19,23,6,3,20,26,9
"55147",440,269,300,359,444,369,237,203,235,203,416,211
"55148",134,82,166,110,138,113,61,36,2,64,117,53
"55149",151,123,268,230,313,293,105,73,54,130,300,127
"55150",0,0,0,3,0,0,0,1,0,0,1,2
"55151",131,73,81,152,198,139,36,28,28,39,98,42
"55152",286,204,287,162,234,159,376,281,214,108,258,98
"55153",63,57,111,213,215,223,64,43,36,118,256,115
"55154",20,12,3,18,29,31,21,16,21,10,40,23
"55156",51,43,43,71,93,77,47,20,15,96,193,93
"55157",56,49,90,35,66,19,116,121,156,14,59,20
"55159",162,225,128,251,315,259,138,170,66,168,383,211
"55160",34,23,5,6,4,0,0,9,4,1,1,2
"55161",369,427,209,280,398,245,184,182,76,212,626,172
"55163",35,39,38,7,27,10,19,23,10,10,47,15
"55164",33,27,23,23,48,39,19,20,35,21,42,31
"55165",0,3,11,2,1,0,3,2,0,1,1,2
"55166",2,3,15,8,13,6,0,2,0,2,9,6
"55167",962,826,1102,875,895,1064,892,568,553,647,1251,594
"55168",47,29,67,27,44,34,18,22,115,30,52,14
"55170",11,3,2,7,28,23,8,4,17,15,34,16
"55171",8,18,75,22,34,17,22,16,26,27,39,20
"55172",34,26,34,25,57,33,17,13,29,6,28,15
"55173",95,87,137,168,213,168,48,41,85,169,310,163
"55174",192,116,201,185,212,152,122,103,71,94,248,122
"55175",106,67,126,122,130,103,134,55,54,80,154,74
"55176",103,57,114,207,384,199,167,98,154,98,172,126
"55177",41,50,42,55,73,42,40,33,17,39,77,47
"55178",28,29,38,38,38,36,24,9,8,21,36,21
"55179",10,4,33,9,20,10,1,2,0,3,1,7
"55180",61,57,140,76,128,60,188,198,121,144,459,194
"55181",20,26,38,51,73,56,27,12,10,76,81,51
"55182",147,160,184,227,228,219,100,69,95,149,250,141
"55183",462,316,366,549,784,648,759,291,187,601,1207,433
"55184",114,27,51,96,286,206,15,25,4,30,83,22
"55186",346,344,293,464,478,480,283,139,121,387,589,353
"55187",1219,864,1094,583,940,592,1373,967,916,546,1135,474
"55188",20,37,22,11,9,3,90,49,58,29,35,27
"55190",2,4,2,4,2,3,5,1,0,6,1,8
"55191",151,111,208,124,84,118,120,107,212,69,121,78
"55192",10,13,22,6,7,4,6,8,3,4,8,1
"55193",904,766,631,452,767,480,794,497,335,376,835,365
"55194",19,4,1,6,0,1,1,4,0,2,1,0
"55195",1,0,0,1,2,2,2,2,0,0,0,0
"55196",1701,1059,1934,2039,2510,2099,3082,1451,1250,2194,4418,2164
"55197",107,113,88,60,93,33,110,68,60,42,127,42
"55198",223,149,127,211,290,180,317,167,86,154,364,158
"55199",7,5,1,3,12,4,5,1,0,5,24,13
"55200",10,10,13,4,1,0,6,4,1,1,1,3
"55201",26,36,12,28,34,29,9,10,4,15,23,29
"55203",3,2,1,1,0,0,0,1,1,0,1,0
"55204",51,37,67,21,61,28,44,19,6,16,76,17
"55205",370,173,185,358,631,340,41,50,10,50,32,58
"55206",1317,1104,1382,1170,1328,1172,1052,790,535,637,1377,597
"55207",616,588,433,188,214,158,168,157,176,204,232,140
"55208",120,69,91,79,124,49,102,73,25,48,104,48
"55209",1307,924,923,953,1361,765,1308,931,362,516,1026,523
"55210",15,7,2,6,11,13,15,13,9,3,12,4
"55211",9,21,11,41,11,29,6,4,1,10,0,7
"55212",38,23,60,21,33,11,45,24,34,22,62,27
"55213",140,131,192,141,123,55,91,82,52,90,161,71
"55214",7,17,6,0,0,0,1,0,0,0,0,0
"55215",107,112,146,91,124,96,121,82,14,93,151,88
"55216",47,61,110,98,116,106,94,56,37,92,169,93
"55217",39,42,24,21,17,22,19,18,77,13,22,20
"55218",21,27,33,32,38,24,40,32,53,39,107,43
"55219",275,290,323,372,291,292,303,219,164,343,427,287
"55220",3,0,2,1,3,3,0,0,0,1,0,0
"55222",1,1,0,0,1,0,0,0,1,0,0,3
"55223",70,71,80,41,34,27,63,40,40,25,73,37
"55224",6,4,3,5,3,3,6,5,0,8,13,12
"55225",149,116,149,195,106,174,253,128,137,111,124,78
"55226",135,105,86,218,378,240,122,118,77,136,385,148
"55227",9,8,0,8,10,9,6,5,12,0,2,0
"55228",0,0,0,0,0,0,0,0,0,1,0,0
"55229",58,25,42,25,41,33,66,56,27,9,31,16
"55230",50,37,71,50,54,22,13,34,30,28,43,21
"55231",1,0,3,0,0,2,4,2,2,2,0,0
"55233",696,633,875,586,612,532,182,140,295,354,423,337
"55234",663,644,682,596,660,616,408,406,538,404,967,368
"55236",359,263,313,289,318,224,284,158,94,211,237,168
"55237",0,0,1,0,0,0,0,0,0,0,0,1
"55238",39,35,24,11,32,9,17,21,9,3,14,14
"55239",108,54,48,82,146,85,86,57,36,73,190,87
"55240",7,12,6,0,3,4,0,2,1,2,0,2
"55243",0,0,1,1,0,0,0,0,1,0,0,0
"55244",0,3,23,0,0,0,0,2,0,0,1,0
"55245",24,17,25,14,22,7,17,10,14,3,22,12
"55246",47,54,35,73,105,75,23,15,9,82,193,71
"55247",49,62,32,28,7,12,7,12,4,39,10,38
"55248",36,36,66,35,46,26,55,21,20,17,26,22
"55249",595,499,456,486,484,487,405,297,184,295,501,299
"55250",235,122,338,386,371,359,245,153,62,259,527,214
"55251",85,99,105,68,124,92,102,68,61,83,209,95
"55252",600,540,867,194,395,204,515,476,331,162,377,231
"55253",122,110,67,85,129,67,110,114,59,64,195,63
"55254",229,282,294,207,249,198,291,171,197,214,305,185
"55255",78,107,121,51,104,68,48,26,56,44,156,70
"55256",113,115,116,56,94,78,77,48,60,44,174,50
"55257",64,57,45,80,65,67,57,23,16,38,53,31
"55258",5,0,5,0,6,0,2,0,0,0,4,2
"55259",1,1,3,1,2,1,2,0,5,0,2,2
"55260",12,5,7,1,2,5,6,4,5,4,7,3
"55262",66,53,53,49,73,38,58,34,11,18,43,21
"55266",97,73,143,49,45,46,27,15,16,20,37,34
"55267",0,0,0,1,1,0,0,2,3,1,2,1
"55268",12,22,14,18,14,36,52,45,56,38,91,38
"55269",851,594,556,637,878,663,963,690,479,493,752,488
"55270",67,43,59,45,50,28,54,38,15,34,60,26
"55272",47,41,77,46,85,68,27,21,14,52,133,50
"55273",0,0,0,0,0,0,0,0,0,0,0,0
"55274",191,86,155,173,186,253,160,111,49,123,223,123
"55275",340,493,437,135,123,89,276,342,288,93,137,86
"55276",164,168,74,56,74,71,79,51,66,58,105,63
"55277",20,7,10,10,9,7,8,8,2,4,8,5
"55278",105,67,98,85,119,107,29,29,19,44,151,74
"55279",247,216,204,235,316,235,321,129,68,177,367,165
"55280",37,39,74,64,104,74,35,19,31,60,128,58
"55281",55,49,95,66,99,55,31,30,33,67,73,52
"55282",1,6,0,0,0,0,0,0,0,1,0,1
"55283",1,1,0,0,1,0,5,2,0,5,6,6
"55284",174,190,224,142,184,114,104,78,56,92,156,76
"55285",108,81,39,64,142,79,68,68,51,71,138,69
"55286",3,8,47,8,4,5,21,14,15,9,18,11
"55287",7,1,0,7,12,5,1,0,0,9,0,5
"55288",139,157,128,47,41,40,65,40,67,53,64,49
"55289",1,1,0,0,0,3,0,0,0,0,0,0
"55290",5,24,3,10,14,8,12,9,17,14,32,14
"55291",1070,789,733,836,812,719,770,488,326,547,996,578
"55293",30,38,34,21,31,17,14,18,24,11,16,19
"55294",529,541,387,221,288,236,448,278,179,251,328,269
"55295",14,12,1,6,5,9,4,10,23,6,13,7
"55296",14,15,35,12,5,6,40,33,19,14,22,24
"55297",245,223,331,126,174,127,188,150,213,109,224,131
"55298",19,12,23,17,25,17,19,13,10,12,24,13
"55299",67,53,73,170,144,176,40,15,45,90,145,103
"55300",98,57,75,64,92,51,48,30,40,42,124,50
"55301",0,2,6,0,1,3,3,3,1,2,2,2
"55303",97,183,69,22,6,19,212,174,128,142,697,229
"55304",3,8,2,1,2,0,2,6,1,6,13,1
"55308",62,51,31,121,171,124,42,41,9,60,229,82
"55311",3,5,6,6,4,4,8,4,3,3,7,1
"55312",63,45,45,45,75,42,15,19,9,34,52,21
"55313",261,360,95,36,24,25,29,79,85,47,4,50
"55314",32,42,3,4,1,3,1,12,1,4,0,4
"55315",15,21,27,16,17,17,7,7,21,11,23,9
"55316",61,28,54,62,72,42,119,57,2,65,166,84
"55317",7,4,17,3,9,7,5,12,16,9,18,5
"55319",17,27,21,13,71,22,8,10,20,10,38,24
"55320",339,307,275,191,229,206,102,87,84,89,101,100
"55321",0,1,4,2,5,2,6,7,19,3,10,8
"55322",56,83,148,136,189,107,47,25,19,109,224,102
"55323",0,2,0,1,0,0,0,0,2,0,0,0
"55324",82,58,82,95,99,100,115,68,34,68,153,62
"55325",132,80,114,81,117,63,70,66,103,65,103,69
"55326",178,71,79,347,471,588,95,70,40,188,397,223
"55327",324,300,398,267,329,294,170,133,74,244,662,250
"55328",11,20,16,7,4,8,6,5,4,2,7,4
"55329",2,2,0,2,5,2,0,0,0,0,0,0
"55330",32,23,54,31,37,28,21,8,8,26,71,13
"55331",126,197,80,38,62,29,40,37,82,27,33,28
"55332",547,450,264,90,86,60,67,97,53,45,14,35
"55333",81,85,89,73,142,53,86,97,30,65,226,56
"55334",330,279,303,229,364,212,208,184,88,166,408,151
"55335",26,22,23,30,47,18,4,8,1,11,3,4
"55336",1,0,3,1,0,0,0,1,1,0,1,0
"55337",72,70,75,78,74,81,95,56,63,53,55,69
"55339",585,525,672,416,702,457,951,495,470,417,989,429
"55340",0,2,0,0,0,0,4,8,1,0,1,0
"55341",173,137,155,221,280,272,234,163,130,127,263,167
"55342",985,238,676,510,416,417,223,115,96,125,104,86
"55343",37,26,55,16,18,6,5,13,7,8,8,9
"55344",292,272,115,37,37,29,21,67,72,29,46,32
"55345",73,67,94,87,139,70,84,62,65,40,72,53
"55346",82,64,59,42,81,35,83,55,44,31,76,36
"55347",29,27,57,49,93,41,29,10,19,56,140,60
"55349",1,1,23,0,0,0,3,1,1,1,1,0
"55350",26,15,10,26,1,8,4,3,1,23,1,3
"55351",0,9,0,2,0,3,1,1,0,1,0,0
"55352",8,7,5,26,19,5,6,2,0,4,3,1
"55353",28,21,15,35,43,25,22,17,7,58,141,41
"55355",4,11,1,2,2,6,3,3,0,5,2,8
"55356",70,57,37,47,48,23,10,14,10,45,2,23
"55357",98,76,44,40,12,14,27,33,32,36,11,28
"55359",0,1,0,0,4,0,1,0,8,4,1,6
"55361",340,189,154,111,117,120,121,133,95,116,101,108
"55362",87,49,33,169,129,185,48,31,46,127,64,82
"55363",8,6,23,61,45,66,17,12,33,100,31,60
"55364",41,71,103,54,41,35,13,19,12,16,43,50
"55365",126,144,0,19,0,8,12,41,0,24,0,29
"55366",14,4,1,9,12,8,10,7,0,7,8,5
"55367",22,11,7,6,10,12,20,16,20,6,27,8
"55370",56,23,28,74,55,83,35,30,21,44,32,40
"55374",25,19,54,17,14,14,25,25,17,22,49,11
"55379",160,149,175,99,96,105,50,56,78,65,78,69
"55384",9,32,11,4,0,8,6,2,0,7,0,28
"55388",9,14,5,1,2,2,6,4,7,1,1,14
"55421",405,356,540,395,615,364,464,337,92,233,583,243
"55422",2735,1706,2715,1138,1125,1540,1169,944,1115,937,1787,873
"55423",3,14,40,1,1,0,39,35,41,29,28,39
"55425",59,45,43,64,71,60,52,45,46,51,118,39
"55432",131,73,113,124,98,131,118,64,75,123,109,89
"55435",75,49,79,38,56,45,39,26,26,16,48,16
"55437",72,34,57,107,20,71,24,22,4,110,16,50
"55449",25,22,41,14,48,11,11,5,1,11,43,19
"55450",6,14,21,1,2,3,32,24,6,17,39,20
"55454",1317,1318,654,390,247,322,534,468,352,466,474,410
"55466",418,618,164,92,121,64,301,348,62,90,249,90
"55471",103,56,60,110,148,95,118,97,58,97,191,64
"55472",15,15,21,17,18,15,12,19,28,6,23,4
"55486",43,52,45,65,78,64,26,19,3,40,80,42
"55500",207,191,227,78,170,70,190,105,120,90,217,93
"55501",8,11,34,3,4,5,7,3,17,8,3,13
"55502",5,8,5,9,6,21,6,4,0,0,3,2
"55503",1,1,2,0,1,3,6,3,0,1,2,0
"55504",4,3,5,6,1,4,0,1,0,0,1,4
"55505",104,110,89,47,48,29,24,19,12,59,47,42
"55506",2,6,0,0,1,0,1,5,1,1,5,4
"55507",0,1,0,1,0,0,0,2,0,0,0,2
"55508",9,24,16,5,11,13,9,8,5,7,11,15
"55509",6,10,33,0,1,3,1,4,1,3,0,1
"55510",21,19,10,16,6,9,7,14,2,7,7,6
"55511",0,0,0,0,0,0,0,0,0,0,0,0
"55512",13,44,71,5,6,4,13,14,4,8,9,12
"55515",0,0,0,0,0,0,1,0,1,1,0,1
"55520",8,7,0,16,31,14,2,4,6,20,44,6
"55521",21,49,15,7,11,8,3,9,4,4,5,7
"55526",148,92,222,90,149,105,18,18,4,19,18,12
"55527",162,103,88,90,76,77,44,56,75,68,95,54
"55529",19,38,14,13,10,9,12,17,9,17,21,11
"55532",0,0,0,0,0,0,0,0,0,0,0,0
"55534",163,282,215,68,49,42,52,59,131,46,13,54
"55536",226,77,220,383,248,388,20,15,26,43,88,68
"55539",0,0,0,0,0,0,0,0,0,0,0,0
"55540",34,53,119,23,40,11,43,72,50,21,70,10
"55544",814,389,694,769,619,999,274,168,94,299,591,318
"55545",1,2,0,0,0,0,1,1,3,3,2,1
"55552",10,4,33,5,5,6,16,4,14,9,7,4
"55553",1,0,9,1,0,4,0,0,0,5,0,0
"55554",0,0,1,0,1,0,0,0,0,0,0,0
"55556",119,194,140,57,79,63,243,234,131,155,231,157
"55558",87,46,124,37,67,42,130,83,208,15,35,29
"55559",12,16,33,9,10,4,12,0,8,2,11,10
"55561",1,4,1,2,1,2,4,9,31,2,0,2
"55565",35,3,33,36,65,42,9,8,2,11,6,6
"55567",1,2,0,0,0,0,0,3,0,1,1,0
"55568",316,293,318,92,128,125,140,130,67,100,119,97
"55571",136,113,168,117,153,131,179,86,105,138,214,104
"55572",40,27,49,42,58,47,37,44,89,23,36,21
"55573",1738,2038,1794,1765,1674,1576,846,637,479,1180,2310,1226
"55576",0,0,0,0,0,0,0,0,0,0,0,0
"55577",265,241,185,134,140,108,87,76,133,74,102,51
"55578",155,223,194,290,329,279,130,117,93,256,532,255
"55582",57,50,126,85,57,40,55,36,54,63,32,25
"55584",1,2,0,1,0,0,1,1,3,1,1,1
"55585",280,319,238,366,320,365,184,137,121,201,340,225
"55586",1,0,1,0,0,0,1,2,0,0,0,0
"55588",396,368,289,133,202,119,174,212,349,109,256,92
"55589",874,425,1002,581,933,664,162,122,192,184,287,138
"55591",246,179,197,245,296,222,217,147,78,225,431,196
"55592",54,17,61,41,27,62,54,35,25,34,90,37
"55593",325,261,396,302,258,288,248,184,176,170,266,175
"55596",154,168,143,171,156,130,225,135,108,105,210,89
"55599",288,216,418,293,300,320,419,347,514,287,531,288
"55600",5,4,0,1,0,0,0,1,0,0,0,1
"55601",72,76,115,61,59,51,85,67,138,149,144,104
"55602",183,134,307,197,167,153,211,128,213,133,263,134
"55603",220,504,477,170,95,107,169,116,136,84,88,77
"55604",279,53,167,76,44,57,131,78,74,25,52,30
"55605",21,62,23,20,38,13,155,85,82,65,141,54
"55607",39,20,55,19,14,26,1,6,0,10,0,2
"55608",564,342,275,325,366,322,238,186,117,178,259,167
"55609",98,51,70,137,147,123,96,54,23,69,171,68
"55610",85,82,106,83,177,77,81,67,39,69,149,58
"55611",95,74,73,102,101,77,62,45,7,49,97,61
"55612",0,1,0,0,0,0,0,0,0,0,0,1
"55613",13,2,15,9,9,3,10,6,5,2,5,3
"55614",121,85,156,42,60,44,99,87,97,47,94,47
"55615",12,21,11,6,9,0,16,10,7,9,19,14
"55616",3,3,0,5,3,1,2,0,0,1,1,3
"55617",39,34,73,57,61,40,42,33,46,27,47,30
"55619",2688,1714,2017,500,504,501,2988,1927,1775,1268,2999,1531
"55620",0,0,1,0,0,0,1,2,1,0,0,1
"55621",36,22,25,40,69,42,36,34,2,27,54,16
"55622",91,60,71,77,149,100,59,67,74,70,173,59
"55623",334,232,259,258,316,297,257,174,90,203,395,227
"55624",15,11,12,13,7,11,9,12,2,10,26,9
"55625",97,121,102,107,115,84,106,47,81,87,200,98
"55626",90,113,103,143,233,168,177,117,93,111,184,101
"55627",104,99,116,180,185,178,85,50,73,89,183,117
"55628",655,578,492,353,533,361,928,727,522,356,490,361
"55629",793,775,659,280,327,257,288,265,339,279,507,229
"55630",8,6,39,1,2,2,3,4,1,0,3,0
"55631",62,47,49,83,89,76,61,32,25,52,84,65
"55632",113,91,148,93,169,144,94,62,55,77,195,85
"55633",54,42,31,40,67,42,57,24,40,56,79,44
"55634",31,16,37,50,73,34,30,22,2,42,93,52
"55635",0,1,0,1,0,0,0,0,0,1,0,0
"55636",1298,769,1509,1149,1370,1024,839,490,290,596,1058,839
"55638",8,0,9,6,18,6,4,1,0,1,0,0
"55640",17,16,16,17,22,2,19,15,14,12,17,16
"55643",67,48,72,24,34,37,27,19,10,11,35,21
"55644",103,73,109,94,117,119,99,68,79,48,116,46
"55646",51,52,50,44,65,50,26,16,39,52,78,38
"55647",91,86,66,31,14,8,4,17,2,34,3,17
"55650",22,23,16,2,11,1,23,25,21,8,18,9
"55651",58,36,49,42,47,42,15,13,21,23,70,31
"55652",64,46,71,65,141,82,30,13,40,22,31,9
"55653",16,7,15,6,10,3,9,5,9,4,15,1
"55654",519,389,414,317,291,231,209,166,165,216,303,183
"55655",58,14,36,13,20,4,56,11,31,20,19,8
"55656",116,95,128,75,128,89,115,60,65,101,206,91
"55657",36,30,33,11,12,19,42,38,17,4,25,26
"55658",27,29,27,33,27,23,28,28,7,21,40,19
"55659",41,12,30,49,59,50,31,13,0,24,79,29
"55660",683,740,736,638,913,824,745,551,488,633,995,577
"55661",478,240,369,459,691,594,256,200,199,253,696,273
"55662",311,199,444,255,323,225,360,237,144,183,565,204
"55663",3,0,0,3,11,6,6,2,0,3,3,1
"55664",19,22,10,23,43,26,43,22,40,56,107,44
"55665",72,65,40,54,114,46,36,29,19,32,101,36
"55666",126,114,166,109,148,67,58,54,46,77,129,58
"55667",334,372,454,168,194,162,335,339,226,226,349,231
"55668",777,870,786,487,767,466,930,712,640,405,933,402
"55669",246,135,184,110,158,155,192,114,148,88,139,91
"55670",26,19,68,38,57,29,25,27,11,18,71,21
"55671",1943,1348,1251,1169,1049,1080,1045,663,439,696,1318,700
"55672",16,12,25,5,4,7,10,17,0,5,7,4
"55676",95,74,91,73,152,55,35,46,9,61,231,47
"55677",377,258,151,373,495,345,289,137,101,333,569,331
"55679",15,6,14,2,2,3,2,0,2,1,4,3
"55680",177,139,183,169,214,162,145,168,153,127,187,94
"55681",508,556,538,424,436,375,311,195,105,324,421,305
"55683",421,404,405,486,529,343,393,262,173,357,544,263
"55684",47,66,37,35,56,44,35,40,8,33,56,26
"55686",35,12,5,48,37,31,34,11,5,22,14,10
"55687",7,12,6,36,53,26,17,8,5,15,48,13
"55689",116,167,249,105,158,155,183,134,140,97,182,106
"55690",457,285,527,218,231,233,220,227,187,152,331,228
"55691",35,24,46,23,95,29,92,59,37,31,84,37
"55692",580,359,403,495,697,463,564,378,352,297,549,278
"55693",0,0,0,3,5,1,0,2,4,0,1,2
"55695",14,24,9,32,64,69,39,42,5,17,68,52
"55696",224,232,277,156,135,164,167,129,146,104,121,121
"55697",136,140,103,109,151,80,80,64,63,49,135,56
"55698",0,0,0,0,0,0,0,0,0,0,0,1
"55699",162,186,147,91,162,59,98,69,47,73,221,101
"55700",220,253,104,72,39,35,256,159,80,77,93,89
"55701",45,58,16,19,11,4,11,19,32,4,3,10
"55702",34,25,32,58,37,41,15,8,9,19,46,18
"55703",57,104,112,72,105,90,72,55,46,36,80,35
"55704",782,1678,938,184,159,168,293,328,355,270,102,191
"55705",383,275,336,399,628,364,599,415,172,209,676,233
"55706",80,83,82,83,131,86,52,28,13,66,250,76
"55707",139,115,104,160,211,118,75,83,40,130,356,122
"55709",51,33,70,73,55,57,44,38,52,34,82,41
"55711",44,45,7,12,15,10,27,28,47,14,20,15
"55713",1,1,1,2,0,1,3,0,0,1,0,0
"55714",1,2,2,0,0,0,0,0,0,2,0,1
"55715",5,4,18,5,10,5,16,27,13,2,7,6
"55716",101,89,210,122,80,73,199,156,124,91,174,67
"55717",546,381,368,347,576,348,108,95,132,130,191,155
"55718",310,152,215,312,310,396,746,465,430,315,1040,373
"55719",271,175,188,204,309,145,185,149,101,120,272,157
"55720",204,120,124,267,306,337,161,128,43,153,375,193
"55721",10,2,15,5,13,7,14,14,3,12,10,4
"55722",18,5,14,9,19,12,14,9,2,9,24,17
"55723",10,18,29,4,3,6,3,15,32,1,5,3
"55726",52,42,35,41,45,37,44,35,20,18,39,27
"55727",461,545,358,271,343,161,394,360,294,149,354,152
"55728",282,329,320,157,198,211,301,258,125,230,606,277
"55729",2661,883,2324,1647,1856,1412,1485,1047,935,711,1833,729
"55731",256,161,259,186,287,162,168,140,190,64,188,81
"55732",40,31,32,18,26,18,41,24,19,13,32,20
"55733",30,15,17,6,14,7,27,21,6,10,2,3
"55734",11,11,32,5,16,8,19,8,8,8,15,6
"55735",62,55,77,92,89,57,29,38,16,43,123,43
"55737",275,371,341,212,355,169,114,95,77,182,361,160
"55738",50,49,91,45,51,30,48,27,55,34,49,41
"55739",57,48,56,88,105,92,95,61,66,81,175,88
"55740",13,4,16,4,4,8,4,5,13,2,1,0
