"";"Symbol";"Type";"Title";"Cluster";"Breast";"CNS";"Colon";"Blood";"Skin";"Lung";"Ovary";"Prostate";"Kidney";"Min";"Max";"Range";"pANOVA";"FDR"
"4921";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4921"" target=""_blank"">DDR2</a>";"protein-coding";"discoidin domain receptor tyrosine kinase 2";"Cluster_1";5,292;5,705;4,6686;4,9167;5,28;4,8289;4,7029;4,825;4,8012;4,3;6,77;2,47;0,0015;0,0045
"5764";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5764"" target=""_blank"">PTN</a>";"protein-coding";"pleiotrophin";"Cluster_1";4,316;6,59;3,3629;3,455;3,669;3,3189;3,5957;3,43;3,42;3,06;7,77;4,71;5,2e-11;4,1e-09
"7070";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7070"" target=""_blank"">THY1</a>";"protein-coding";"Thy-1 cell surface antigen";"Cluster_1";6,974;8,1767;5,5129;5,6667;5,607;5,7789;5,4971;5,595;5,8712;5,01;10,81;5,8;8,3e-06;6,8e-05
"7837";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7837"" target=""_blank"">PXDN</a>";"protein-coding";"peroxidasin";"Cluster_1";5,972;6,925;4,1214;4,3267;4,256;5,38;4,6771;4,99;5,8662;3,63;8,17;4,54;3,5e-07;6e-06
"8038";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=8038"" target=""_blank"">ADAM12</a>";"protein-coding";"ADAM metallopeptidase domain 12";"Cluster_1";4,478;6,5133;3,4586;3,625;3,68;4,0722;3,6;3,85;4,72;3,05;8,21;5,16;5e-07;7,7e-06
"9902";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=9902"" target=""_blank"">MRC2</a>";"protein-coding";"mannose receptor, C type 2";"Cluster_1";6,212;7,5383;5,7614;6,3483;5,838;6,5522;6,4386;5,705;6,6825;5,44;9,23;3,79;0,00033;0,0014
"10085";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10085"" target=""_blank"">EDIL3</a>";"protein-coding";"EGF-like repeats and discoidin I-like domains 3";"Cluster_1";5,162;8,5083;2,6714;2,6883;2,713;4,7078;2,93;7,495;5,3975;2,27;9,01;6,74;1,1e-10;7,1e-09
"10234";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10234"" target=""_blank"">LRRC17</a>";"protein-coding";"leucine rich repeat containing 17";"Cluster_1";3,252;4,7083;3,19;3,1983;3,38;3,2133;3,3843;3,215;3,245;2,95;6,38;3,43;0,00023;0,001
"23621";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=23621"" target=""_blank"">BACE1</a>";"protein-coding";"beta-site APP-cleaving enzyme 1";"Cluster_1";5,334;5,7517;4,1871;3,7883;4,16;4,5889;4,36;4,835;4,3275;3,55;6,44;2,89;4,5e-13;6,9e-11
"51226";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=51226"" target=""_blank"">COPZ2</a>";"protein-coding";"coatomer protein complex, subunit zeta 2";"Cluster_1";6,34;6,73;5,5786;5,425;5,92;5,7144;5,6357;5,665;6,3825;5,08;7,93;2,85;0,0017;0,005
"55033";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55033"" target=""_blank"">FKBP14</a>";"protein-coding";"FK506 binding protein 14, 22 kDa";"Cluster_1";4,192;5,215;3,4571;3,6817;4,043;3,8889;3,7243;4,095;4,06;3,06;6,47;3,41;4,2e-05;0,00025
"56975";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=56975"" target=""_blank"">FAM20C</a>";"protein-coding";"family with sequence similarity 20, member C";"Cluster_1";6,324;7,9583;5,3186;5,1483;5,398;6,13;5,6443;5,585;6,085;4,98;9,86;4,88;9,9e-11;6,5e-09
"57451";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=57451"" target=""_blank"">TENM2</a>";"protein-coding";"teneurin transmembrane protein 2";"Cluster_1";3,616;6,485;2,5871;2,765;2,75;3,15;3,1829;2,745;3,2075;2,44;7,92;5,48;8,6e-09;2,9e-07
"64175";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=64175"" target=""_blank"">P3H1</a>";"protein-coding";"prolyl 3-hydroxylase 1";"Cluster_1";7,994;8,8867;6,9757;7,6717;7,987;7,9111;7,59;7,535;8,1237;6,62;10,36;3,74;0,00041;0,0017
"430";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=430"" target=""_blank"">ASCL2</a>";"protein-coding";"achaete-scute family bHLH transcription factor 2";"Cluster_2";5,814;5,2683;6,85;5,375;5,543;5,4978;5,3971;5,85;5,4625;4,73;8,37;3,64;6,6e-06;5,6e-05
"638";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=638"" target=""_blank"">BIK</a>";"protein-coding";"BCL2-interacting killer (apoptosis-inducing)";"Cluster_2";3,784;3,6667;5,8871;4,36;3,728;4,1044;4,58;4,43;3,8475;3,41;6,87;3,46;8,7e-08;2e-06
"652";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=652"" target=""_blank"">BMP4</a>";"protein-coding";"bone morphogenetic protein 4";"Cluster_2";5,94;4,8267;8,0186;4,8517;4,808;5,2811;5,2329;4,99;4,8563;4,56;8,9;4,34;3e-16;1e-13
"688";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=688"" target=""_blank"">KLF5</a>";"protein-coding";"Kruppel-like factor 5 (intestinal)";"Cluster_2";4,002;4,6783;7,5529;3,2583;3,254;5,5756;6,2829;6,455;4,2787;2,63;8,63;6;2e-14;5,2e-12
"780";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=780"" target=""_blank"">DDR1</a>";"protein-coding";"discoidin domain receptor tyrosine kinase 1";"Cluster_2";7,538;7,095;7,8429;6,1517;6,786;7,0844;7,1057;6,95;6,7912;5,59;9,02;3,43;0,00015;0,00072
"999";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=999"" target=""_blank"">CDH1</a>";"protein-coding";"cadherin 1, type 1";"Cluster_2";5,25;4,3667;5,8257;4,58;4,795;4,8622;4,7271;4,75;4,6113;4,3;6,99;2,69;0,0012;0,004
"1015";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1015"" target=""_blank"">CDH17</a>";"protein-coding";"cadherin 17, LI cadherin (liver-intestine)";"Cluster_2";3,008;2,865;4,4757;3,0433;2,913;2,9333;2,8486;3;3,0488;2,68;7,15;4,47;0,00035;0,0015
"1040";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1040"" target=""_blank"">CDS1</a>";"protein-coding";"CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1";"Cluster_2";3,814;3,7167;4,88;3,5617;3,44;3,68;4,0686;3,495;3,7462;3,01;5,64;2,63;5,8e-05;0,00033
"1364";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1364"" target=""_blank"">CLDN4</a>";"protein-coding";"claudin 4";"Cluster_2";7,282;6,2883;8,2986;6,225;6,315;7,1889;6,86;7,875;6,9688;5,84;9,1;3,26;4,5e-06;4,1e-05
"1365";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1365"" target=""_blank"">CLDN3</a>";"protein-coding";"claudin 3";"Cluster_2";6,664;4,6617;8,2329;5,1083;4,827;5,18;6,36;6,885;5,1712;4,42;10,73;6,31;1,4e-06;1,7e-05
"1366";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1366"" target=""_blank"">CLDN7</a>";"protein-coding";"claudin 7";"Cluster_2";6,152;4,98;8,5486;5,07;5,042;5,4767;6,1943;5,57;4,9062;4,58;9,97;5,39;8,8e-07;1,2e-05
"1644";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1644"" target=""_blank"">DDC</a>";"protein-coding";"dopa decarboxylase (aromatic L-amino acid decarboxylase)";"Cluster_2";2,688;2,6017;4,3557;2,79;2,665;2,7478;2,6886;2,68;2,6738;2,38;7,4;5,02;2e-04;0,00093
"1999";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1999"" target=""_blank"">ELF3</a>";"protein-coding";"E74-like factor 3 (ets domain transcription factor, epithelial-specific )";"Cluster_2";6,556;6,2683;7,8986;6,325;6,262;7,0222;7,0657;6,86;7,105;5,85;9,04;3,19;2,8e-06;2,8e-05
"2114";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2114"" target=""_blank"">ETS2</a>";"protein-coding";"v-ets avian erythroblastosis virus E26 oncogene homolog 2";"Cluster_2";3,944;4,1317;5,4029;4,2633;3,595;4,03;4,29;4,545;4,1338;3,13;6,12;2,99;1,2e-06;1,5e-05
"2264";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2264"" target=""_blank"">FGFR4</a>";"protein-coding";"fibroblast growth factor receptor 4";"Cluster_2";5,988;5,4867;6,7886;5,8517;5,857;5,9689;6,3457;6,02;6,275;5,19;7,8;2,61;0,00018;0,00086
"2706";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2706"" target=""_blank"">GJB2</a>";"protein-coding";"gap junction protein, beta 2, 26kDa";"Cluster_2";2,974;3,21;4,9114;2,915;2,935;3,2333;3,8957;3,305;3,45;2,7;7,95;5,25;0,0028;0,0075
"2877";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2877"" target=""_blank"">GPX2</a>";"protein-coding";"glutathione peroxidase 2";"Cluster_2";7,64;7,585;10,2929;7,4117;7,544;8,3756;7,7543;7,21;7,4487;6,98;12,7;5,72;4,6e-06;4,3e-05
"3174";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3174"" target=""_blank"">HNF4G</a>";"protein-coding";"hepatocyte nuclear factor 4, gamma";"Cluster_2";2,876;2,7417;4,4371;2,7733;2,646;2,8233;2,9557;3,16;3,3188;2,38;5,34;2,96;7,5e-07;1e-05
"3728";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3728"" target=""_blank"">JUP</a>";"protein-coding";"junction plakoglobin";"Cluster_2";7,782;6,215;8,8229;6,95;6,183;7,7822;7,7343;7,205;6,6775;5,51;10,21;4,7;1,6e-06;1,8e-05
"3880";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3880"" target=""_blank"">KRT19</a>";"protein-coding";"keratin 19, type I";"Cluster_2";7,676;4,2283;10,0943;4,7917;4,156;7,7556;7,8343;9,215;7,9575;3,58;11,99;8,41;4,5e-07;7,2e-06
"3898";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3898"" target=""_blank"">LAD1</a>";"protein-coding";"ladinin 1";"Cluster_2";6,534;6,0083;7,8329;6,0617;6,048;6,1889;6,7729;6,265;6,3288;5,66;9,15;3,49;7,8e-07;1,1e-05
"3934";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3934"" target=""_blank"">LCN2</a>";"protein-coding";"lipocalin 2";"Cluster_2";3,444;3,4017;5,0414;3,4367;3,411;3,9533;4,3914;3,515;3,5787;2,94;7,69;4,75;0,0066;0,015
"3960";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3960"" target=""_blank"">LGALS4</a>";"protein-coding";"lectin, galactoside-binding, soluble, 4";"Cluster_2";4,02;3,86;6,7729;4,03;4,12;3,9689;3,9857;4,16;4,075;3,56;9,62;6,06;1,6e-06;1,8e-05
"3993";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3993"" target=""_blank"">LLGL2</a>";"protein-coding";"lethal giant larvae homolog 2 (Drosophila)";"Cluster_2";6,656;6,4533;7,5071;6,5017;5,902;6,5644;6,4686;6,68;6,3438;5,21;8,17;2,96;6e-07;8,9e-06
"4072";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4072"" target=""_blank"">EPCAM</a>";"protein-coding";"epithelial cell adhesion molecule";"Cluster_2";4,35;2,5883;8,44;3,9083;2,621;3,7678;5,9671;5,215;3,9088;2,41;8,87;6,46;9,8e-11;6,5e-09
"4486";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4486"" target=""_blank"">MST1R</a>";"protein-coding";"macrophage stimulating 1 receptor";"Cluster_2";4,602;4,1767;5,4443;4,4133;4,251;4,6722;4,8843;5,425;4,4238;3,98;6,26;2,28;3,5e-07;6e-06
"5268";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5268"" target=""_blank"">SERPINB5</a>";"protein-coding";"serpin peptidase inhibitor, clade B (ovalbumin), member 5";"Cluster_2";3,08;3,0083;5,22;3,2567;3,08;3,99;3,2057;5,035;3,0875;2,82;7,63;4,81;2,4e-05;0,00016
"5287";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5287"" target=""_blank"">PIK3C2B</a>";"protein-coding";"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 beta";"Cluster_2";5,124;4,74;5,9057;5,04;5,101;5,3378;5,0643;5,08;4,9262;4,03;6,55;2,52;0,00095;0,0033
"5603";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5603"" target=""_blank"">MAPK13</a>";"protein-coding";"mitogen-activated protein kinase 13";"Cluster_2";4,416;3,09;5,1257;3,3017;3,033;3,6633;3,4543;3,675;3,3213;2,56;6,22;3,66;9,8e-06;7,7e-05
"5646";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5646"" target=""_blank"">PRSS3</a>";"protein-coding";"protease, serine, 3";"Cluster_2";6,03;6,3017;7,4729;6,12;5,992;6,09;6,1571;7,565;6,1575;5,68;8,91;3,23;4,2e-08;1,1e-06
"5653";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5653"" target=""_blank"">KLK6</a>";"protein-coding";"kallikrein-related peptidase 6";"Cluster_2";6,166;6,4583;8,4986;6,1783;6,119;6,2667;6,1114;5,86;5,9538;5,65;11,31;5,66;7,7e-07;1e-05
"5655";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5655"" target=""_blank"">KLK10</a>";"protein-coding";"kallikrein-related peptidase 10";"Cluster_2";2,94;3,0017;4,9;2,8083;2,777;2,8678;3,5329;2,73;2,7563;2,43;7,25;4,82;7,5e-05;0,00041
"6286";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=6286"" target=""_blank"">S100P</a>";"protein-coding";"S100 calcium binding protein P";"Cluster_2";4,556;4,1583;7,7071;4,3783;4,257;5,2989;4,2757;5,005;4,065;3,72;9,69;5,97;9,6e-07;1,2e-05
"6337";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=6337"" target=""_blank"">SCNN1A</a>";"protein-coding";"sodium channel, non voltage gated 1 alpha subunit";"Cluster_2";5,652;5,3267;7,59;5,4883;5,35;5,7644;6,1186;5,825;5,4188;4,98;8,73;3,75;4,9e-07;7,7e-06
"6359";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=6359"" target=""_blank"">CCL15</a>";"protein-coding";"chemokine (C-C motif) ligand 15";"Cluster_2";5,264;5,2533;6,3686;5,5317;5,348;5,1411;5,1943;5,16;5,365;4,78;8,49;3,71;0,00053;0,0021
"6692";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=6692"" target=""_blank"">SPINT1</a>";"protein-coding";"serine peptidase inhibitor, Kunitz type 1";"Cluster_2";7,212;6,5867;8,0457;6,695;6,626;6,8567;6,9014;6,87;6,6813;6,32;9,1;2,78;2,8e-05;0,00018
"6768";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=6768"" target=""_blank"">ST14</a>";"protein-coding";"suppression of tumorigenicity 14 (colon carcinoma)";"Cluster_2";6,976;6,4933;7,7514;6,7967;6,563;6,7433;6,8357;6,565;6,535;6,26;8,52;2,26;0,00032;0,0013
"7103";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7103"" target=""_blank"">TSPAN8</a>";"protein-coding";"tetraspanin 8";"Cluster_2";3,062;3,2317;7,11;3,3733;3,161;4,1544;3,0986;5,695;3,0562;2,74;9,96;7,22;5,5e-07;8,4e-06
"7263";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7263"" target=""_blank"">TST</a>";"protein-coding";"thiosulfate sulfurtransferase (rhodanese)";"Cluster_2";7,212;6,7267;8,5729;6,7467;6,567;6,8733;7,2429;7,13;6,6837;5,97;10,67;4,7;6,1e-06;5,3e-05
"7429";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7429"" target=""_blank"">VIL1</a>";"protein-coding";"villin 1";"Cluster_2";3,064;2,9483;5,4286;2,9833;3,038;2,8578;2,8971;3,265;3,0137;2,59;7,36;4,77;1,8e-11;1,7e-09
"7538";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7538"" target=""_blank"">ZFP36</a>";"protein-coding";"ZFP36 ring finger protein";"Cluster_2";6,388;5,9717;7,5671;6,5783;5,645;6,4144;6,3186;6,245;6,0062;5,06;8,81;3,75;0,00065;0,0024
"7718";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7718"" target=""_blank"">ZNF165</a>";"protein-coding";"zinc finger protein 165";"Cluster_2";3,094;2,765;4,7243;3,0933;2,753;3,1256;3,49;3,555;3,0713;2,37;5,64;3,27;7,6e-08;1,8e-06
"9245";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=9245"" target=""_blank"">GCNT3</a>";"protein-coding";"glucosaminyl (N-acetyl) transferase 3, mucin type";"Cluster_2";3,168;2,9883;4,2971;3,0033;3,138;3,4233;3,0629;3,18;3,4638;2,78;5,54;2,76;7e-04;0,0026
"9965";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=9965"" target=""_blank"">FGF19</a>";"protein-coding";"fibroblast growth factor 19";"Cluster_2";3,776;3,7667;5,8943;3,75;3,777;3,6311;3,7971;3,725;3,79;3,42;8,21;4,79;1e-08;3,3e-07
"10062";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10062"" target=""_blank"">NR1H3</a>";"protein-coding";"nuclear receptor subfamily 1, group H, member 3";"Cluster_2";4,372;3,9533;5,3114;4,2417;4,042;4,5444;4,3786;4,155;4,2112;3,7;6,41;2,71;8,6e-05;0,00046
"10223";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10223"" target=""_blank"">GPA33</a>";"protein-coding";"glycoprotein A33 (transmembrane)";"Cluster_2";3,388;3,3667;5,0729;3,7533;3,301;3,2344;3,2929;3,265;3,285;3,01;9,52;6,51;0,0051;0,012
"10653";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10653"" target=""_blank"">SPINT2</a>";"protein-coding";"serine peptidase inhibitor, Kunitz type, 2";"Cluster_2";7,318;5,4917;9,0786;6,61;5,581;6,8211;8,5157;8,595;6,8963;4,99;10,52;5,53;2,3e-08;6,4e-07
"10809";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10809"" target=""_blank"">STARD10</a>";"protein-coding";"StAR-related lipid transfer (START) domain containing 10";"Cluster_2";7,172;5,9;7,7729;5,53;6,105;6,3856;6,1771;6,475;5,985;5,29;9,57;4,28;1,9e-05;0,00013
"11033";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11033"" target=""_blank"">ADAP1</a>";"protein-coding";"ArfGAP with dual PH domains 1";"Cluster_2";6,838;6,72;8,2229;6,7733;6,722;7,1;6,9857;6,6;6,7188;6,37;9,13;2,76;1,7e-08;4,9e-07
"11187";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11187"" target=""_blank"">PKP3</a>";"protein-coding";"plakophilin 3";"Cluster_2";7,092;6,4583;7,99;6,7733;6,411;7,0822;7,4871;7,62;7,0075;6,03;8,55;2,52;8,2e-07;1,1e-05
"26499";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=26499"" target=""_blank"">PLEK2</a>";"protein-coding";"pleckstrin 2";"Cluster_2";4,358;3,7;6,6214;3,8083;4,379;4,9456;5,3029;5,92;5,5062;3,3;7,86;4,56;9,1e-08;2e-06
"51361";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=51361"" target=""_blank"">HOOK1</a>";"protein-coding";"hook microtubule-tethering protein 1";"Cluster_2";3,142;2,81;4,74;3,2883;3,097;3,0978;4,1171;3,31;3,6;2,49;5,72;3,23;6,4e-08;1,5e-06
"51599";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=51599"" target=""_blank"">LSR</a>";"protein-coding";"lipolysis stimulated lipoprotein receptor";"Cluster_2";4,914;3,3133;7,2814;3,9583;3,88;5,28;6,34;4,83;4,515;2,82;7,9;5,08;1,8e-08;5,2e-07
"54682";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54682"" target=""_blank"">MANSC1</a>";"protein-coding";"MANSC domain containing 1";"Cluster_2";2,24;2,355;3,3729;2,2667;2,641;2,3056;2,4443;2,225;2,2513;1,91;5,46;3,55;0,00056;0,0021
"54894";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=54894"" target=""_blank"">RNF43</a>";"protein-coding";"ring finger protein 43";"Cluster_2";4,454;4,1683;5,9271;4,1783;4,555;4,4278;4,3771;4,495;4,2387;3,95;6,74;2,79;2,1e-12;2,6e-10
"55107";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55107"" target=""_blank"">ANO1</a>";"protein-coding";"anoctamin 1, calcium activated chloride channel";"Cluster_2";2,594;2,5233;3,6557;2,545;2,531;2,6389;2,4986;2,535;2,4588;2,31;5,2;2,89;5,5e-06;4,9e-05
"55930";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55930"" target=""_blank"">MYO5C</a>";"protein-coding";"myosin VC";"Cluster_2";5,5;4,8933;6,25;5,0217;4,922;5,2656;5,4943;5,765;5,1175;4,54;6,9;2,36;6,7e-06;5,7e-05
"57111";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=57111"" target=""_blank"">RAB25</a>";"protein-coding";"RAB25, member RAS oncogene family";"Cluster_2";6,566;5,395;7,9614;5,65;5,293;5,7478;5,9271;5,14;5,475;4,94;9;4,06;4,4e-06;4,1e-05
"57402";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=57402"" target=""_blank"">S100A14</a>";"protein-coding";"S100 calcium binding protein A14";"Cluster_2";7,444;7,18;9,1743;7,1917;7,147;7,4289;7,5486;7,165;7,2175;6,88;11,27;4,39;2,6e-06;2,7e-05
"57662";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=57662"" target=""_blank"">CAMSAP3</a>";"protein-coding";"calmodulin regulated spectrin-associated protein family, member 3";"Cluster_2";5,092;4,5117;5,7586;4,6217;4,633;4,7933;5,3014;5,24;4,8325;4,09;6,27;2,18;1,1e-05;8,8e-05
"58191";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=58191"" target=""_blank"">CXCL16</a>";"protein-coding";"chemokine (C-X-C motif) ligand 16";"Cluster_2";6,618;6,53;7,2529;6,1433;6,369;6,62;6,5886;6,405;6,235;5,86;8,05;2,19;0,0081;0,018
"58495";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=58495"" target=""_blank"">OVOL2</a>";"protein-coding";"ovo-like zinc finger 2";"Cluster_2";5,644;5,4767;6,3429;5,6633;5,436;5,6411;6,0986;5,65;5,5163;5,15;7,5;2,35;0,0067;0,015
"79152";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79152"" target=""_blank"">FA2H</a>";"protein-coding";"fatty acid 2-hydroxylase";"Cluster_2";4,942;4,7733;5,9043;4,57;4,5;5,2644;4,9429;4,88;4,85;4,26;7,79;3,53;0,00037;0,0015
"79170";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79170"" target=""_blank"">PRR15L</a>";"protein-coding";"proline rich 15-like";"Cluster_2";4,544;3,8917;5,9471;4,0083;4,023;4,0933;4,0586;3,95;3,955;3,71;7,35;3,64;1,2e-06;1,5e-05
"79574";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79574"" target=""_blank"">EPS8L3</a>";"protein-coding";"EPS8-like 3";"Cluster_2";4,972;4,7433;6,3857;4,81;4,916;4,8367;4,9057;4,75;4,8462;4,44;7,59;3,15;1,4e-06;1,7e-05
"79774";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79774"" target=""_blank"">GRTP1</a>";"protein-coding";"growth hormone regulated TBC protein 1";"Cluster_2";4,92;4,44;5,9514;4,5817;4,597;4,7333;5,17;4,63;4,735;4,21;6,39;2,18;6,2e-10;3,5e-08
"79784";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=79784"" target=""_blank"">MYH14</a>";"protein-coding";"myosin, heavy chain 14, non-muscle";"Cluster_2";5,536;5,2533;6,55;5,2017;5,613;5,69;5,7671;5,24;5,2612;4,73;7,96;3,23;0,0041;0,011
