"";"Symbol";"Type";"Title";"Cluster";"Breast_GSM133995";"Breast_GSM134000";"Breast_GSM134005";"Breast_GSM134010";"Breast_GSM134015";"CNS_GSM134020";"CNS_GSM134025";"CNS_GSM134030";"CNS_GSM134035";"CNS_GSM134040";"CNS_GSM134045";"Colon_GSM134050";"Colon_GSM134055";"Colon_GSM134060";"Colon_GSM134065";"Colon_GSM134070";"Colon_GSM134075";"Colon_GSM134080";"Blood_GSM134085";"Blood_GSM134090";"Blood_GSM134095";"Blood_GSM134100";"Blood_GSM134105";"Blood_GSM134110";"Skin_GSM134115";"Skin_GSM134120";"Skin_GSM134125";"Skin_GSM134130";"Skin_GSM134135";"Skin_GSM134140";"Skin_GSM134145";"Skin_GSM134150";"Skin_GSM134155";"Skin_GSM134160";"Lung_GSM134165";"Lung_GSM134170";"Lung_GSM134175";"Lung_GSM134180";"Lung_GSM134185";"Lung_GSM134190";"Lung_GSM134195";"Lung_GSM134200";"Lung_GSM134209";"Ovary_GSM134214";"Ovary_GSM134219";"Ovary_GSM134224";"Ovary_GSM134229";"Ovary_GSM134234";"Ovary_GSM134239";"Ovary_GSM134244";"Prostate_GSM134249";"Prostate_GSM134254";"Kidney_GSM134259";"Kidney_GSM134264";"Kidney_GSM134269";"Kidney_GSM134274";"Kidney_GSM134279";"Kidney_GSM134284";"Kidney_GSM134289";"Kidney_GSM134294"
"4921";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4921"" target=""_blank"">DDR2</a>";"protein-coding";"discoidin domain receptor tyrosine kinase 2";"Cluster_1";-1,0916;-0,3787;3,3172;1,9102;-1,0353;2,154;0,822;1,8163;-0,0222;2,6981;0,4468;-0,9227;-0,3787;-0,4912;-0,4912;-0,5287;-0,8101;-0,7539;-0,0034;0,1466;-0,4162;-0,2848;-0,116;-0,2848;-0,4912;-0,191;0,5594;0,4843;0,5031;0,7095;0,1279;1,1034;1,291;1,1222;-0,3411;-0,4725;-0,904;-0,51;2,6231;-0,8101;-0,5287;-1,3167;-0,6601;-0,6413;-0,7539;-0,4912;-0,4912;0,0528;-0,7914;-0,8101;-0,6038;-0,0597;-0,3411;-0,191;0,0716;-0,7163;-1,1291;0,0341;-0,2848;-0,4537
"5764";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=5764"" target=""_blank"">PTN</a>";"protein-coding";"pleiotrophin";"Cluster_1";-0,5834;-0,2328;3,0713;0,3456;-0,5834;0,5121;2,9573;2,0634;2,3877;3,4306;3,0275;-0,5483;-0,3731;-0,3906;-0,3468;-0,3818;-0,5045;-0,4782;-0,2854;-0,4432;-0,5396;-0,0926;-0,2854;-0,4607;-0,6272;-0,6973;-0,4081;0,2317;-0,5571;-0,2504;-0,3818;0,3368;0,6611;0,0564;-0,2942;-0,3818;-0,3555;-0,3468;-0,6097;-0,487;-0,6886;-0,5133;-0,5571;-0,4607;0,2667;-0,3818;-0,2942;-0,1189;-0,3205;-0,2854;-0,487;-0,2591;-0,2065;-0,487;-0,5045;-0,487;-0,3205;-0,4256;-0,2065;-0,4169
"7070";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7070"" target=""_blank"">THY1</a>";"protein-coding";"Thy-1 cell surface antigen";"Cluster_1";-0,0439;-0,4942;2,9354;1,8874;-0,1565;4,1478;2,0953;-0,7627;2,1299;2,1819;1,4111;-0,6501;-0,4163;-0,5289;-0,399;-0,4249;-0,3124;-0,347;-0,3643;-0,3297;-0,5982;-0,295;0,0254;-0,2777;0,2159;-0,6241;-0,2777;-0,4769;-0,6588;-0,1565;-0,6848;-0,3816;-0,321;-0,2171;-0,321;-0,5808;-0,6501;-0,4163;1,2465;-0,295;-0,4163;-0,5722;0,1207;-0,4076;-0,3124;-0,2864;-0,2604;-0,7281;-0,5462;-0,6328;-0,3557;-0,3816;-0,4336;-0,295;1,4111;-0,8753;-0,5808;0,4411;-0,295;-0,4076
"7837";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=7837"" target=""_blank"">PXDN</a>";"protein-coding";"peroxidasin";"Cluster_1";-0,5726;0,6744;2,5156;1,0092;-0,037;1,5113;1,8879;2,5574;-0,1207;2,0218;1,2351;-0,9408;-1,2421;-0,4721;-0,6814;-0,7316;-0,9659;-0,7818;-0,0788;-0,8488;-0,9073;-0,3801;-0,7483;-0,991;-0,7985;-0,9743;-0,1374;-0,7316;-0,6981;-0,9157;-0,7065;-0,7232;-0,6563;-0,8404;-0,832;-0,9073;1,1849;-0,5475;1,6452;0,5907;0,1806;-0,1123;0,7999;-0,8069;0,4484;-0,1207;-0,8822;-0,6646;0,1555;-0,6897;0,3396;-0,5475;-0,8236;2,1139;0,1053;0,7832;1,2602;0,2476;0,1723;1,1765
"8038";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=8038"" target=""_blank"">ADAM12</a>";"protein-coding";"ADAM metallopeptidase domain 12";"Cluster_1";-0,9684;-0,6632;2,2954;1,2103;-0,6632;0,1421;1,8207;3,4059;1,2272;2,4649;2,7447;-0,8328;-0,4852;-0,5954;-0,6293;-0,5106;-0,4258;-0,8751;-0,5784;-0,6463;-0,7649;-0,2139;-0,8328;0,1506;-0,5276;-0,4513;-0,748;-0,4513;-0,5191;-0,3496;-0,2987;-0,0274;-0,5191;-0,4513;-0,1546;0,9136;-0,4513;-0,4682;0,7695;-0,553;-0,3835;0,1421;-0,731;-0,6123;-0,7565;-0,5276;-0,57;-0,7649;0,3286;-0,6123;-0,3411;-0,2393;0,3456;1,2611;-0,2987;-0,4767;2,2869;0,5236;0,0235;-0,0868
"9902";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=9902"" target=""_blank"">MRC2</a>";"protein-coding";"mannose receptor, C type 2";"Cluster_1";-0,3577;-0,5698;1,1521;-0,2704;-0,9192;-0,4451;2,3625;3,5729;0,0915;2,6745;0,5158;-0,9192;-0,7071;-0,208;-0,5823;-1,1064;-0,9317;-0,8319;0,1664;0,7653;-0,1456;-0,7695;-0,8194;0,6655;0,3535;-1,1189;-0,495;-0,8943;-0,7944;-0,782;-0,8943;-0,3078;-0,6821;-0,9816;-0,0083;0,5906;0,94;-0,1331;1,6638;0,7528;-1,1563;-0,9317;0,366;0,4159;-0,2204;-0,9941;-0,3827;1,1397;0,0166;0,653;-0,8319;-0,8194;0,2787;0,7404;-0,1705;1,7885;1,4017;-0,4575;-0,208;-0,2204
"10085";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10085"" target=""_blank"">EDIL3</a>";"protein-coding";"EGF-like repeats and discoidin I-like domains 3";"Cluster_1";-0,7605;1,1744;1,7684;0,3795;-0,7474;1,8732;2,0435;1,9693;1,1962;1,9562;1,9081;-0,6513;-0,6644;-0,7474;-0,6076;-0,7692;-0,8697;-0,7648;-0,8129;-0,6775;-0,7386;-0,5508;-0,7386;-0,7867;-0,7386;-0,7212;-0,5814;-0,6819;-0,6906;-0,4984;-0,7124;-0,66;-0,8828;-0,9002;-0,7954;-0,3412;1,7596;0,231;1,0827;0,9167;-0,6163;-0,0573;-0,6993;-0,7692;-0,3019;-0,874;-0,8566;-0,7867;-0,2888;-0,4067;1,4015;1,3622;1,0958;0,6765;0,6983;0,0257;1,3971;-0,6993;-0,826;1,3578
"10234";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=10234"" target=""_blank"">LRRC17</a>";"protein-coding";"leucine rich repeat containing 17";"Cluster_1";0,0977;-0,4632;-0,1533;-0,3452;-0,3304;-0,4485;4,2011;4,3782;-0,0204;3,2269;0,1272;-0,5075;-0,2418;-0,2271;-0,4485;-0,4632;-0,3599;-0,0647;-0,3747;-0,1828;-0,3894;-0,3747;-0,2713;-0,3156;-0,4928;-0,3009;0,26;-0,1828;-0,2271;-0,3156;-0,4337;1,5147;-0,1385;-0,1828;-0,5666;-0,5223;0,1419;-0,109;-0,2123;-0,4337;-0,5666;-0,3009;-0,0942;-0,2271;-0,0647;-0,2418;-0,2271;-0,6404;1,4999;-0,4042;-0,2271;-0,3599;0,7471;-0,109;-0,5075;-0,6846;-0,6256;-0,3747;-0,109;-0,3304
"23621";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=23621"" target=""_blank"">BACE1</a>";"protein-coding";"beta-site APP-cleaving enzyme 1";"Cluster_1";0,3179;1,3283;1,8879;1,6392;1,1884;1,7013;2,1366;1,8568;1,2816;2,9915;1,5614;-0,879;-0,5526;-0,6614;-0,506;-0,6459;-0,7391;0,4112;-1,5008;-1,0189;-1,3298;-0,677;-1,2366;-1,0189;-0,5681;-0,4438;0,0692;-0,9879;-0,2883;-0,677;-0,7702;-0,3816;-0,6925;-0,7858;-0,5837;-0,2262;-0,4593;1,3749;1,235;-0,164;-0,8013;0,1003;0,5511;-0,9101;-0,7391;0,2868;0,6599;-0,6148;0,1469;-0,5215;0,9241;0,0692;-0,3505;0,1314;-0,6148;-1,0034;0,3801;-0,5681;-0,4749;0,1624
"51226";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=51226"" target=""_blank"">COPZ2</a>";"protein-coding";"coatomer protein complex, subunit zeta 2";"Cluster_1";0,0508;-0,38;2,9622;-0,276;0,6449;-0,3206;2,3532;2,1749;-0,5286;2,8731;0,5261;-0,6177;-0,6177;-0,5731;-0,3355;-0,6325;-0,4394;-0,4989;-1,1524;-0,7514;-0,9445;-0,8256;-0,0235;-0,8554;-0,8999;2,0264;-0,2018;-0,8108;0,125;-0,989;0,0656;1,1648;-0,3355;-0,38;0,0953;-0,0829;0,3181;-0,484;-1,1376;-0,0235;-0,8405;-0,0532;-0,7514;-1,2713;-0,3503;0,0359;-0,5731;-0,1869;-0,7514;-0,0235;-0,6028;-0,2018;0,734;1,9818;-0,4989;0,2141;1,3134;1,7293;-0,5583;0,3924
"55033";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=55033"" target=""_blank"">FKBP14</a>";"protein-coding";"FK506 binding protein 14, 22 kDa";"Cluster_1";-0,6738;0,0867;1,921;0,728;-0,7186;1,5184;2,2939;3,6659;-0,5545;2,1596;1,6824;-1,151;-0,6589;-0,9273;-0,4054;-0,9273;-1,3002;-0,4203;-0,9721;-0,6142;-0,1519;-0,808;-0,0326;-0,3756;0,9815;-0,7484;0,5192;-0,1071;-0,1668;-0,1519;0,0122;1,1307;-0,7782;-0,2264;-0,6887;0,4447;0,6982;0,8175;-1,4195;-1,0616;-0,4501;-0,3308;0,3403;0,5341;-1,1958;-0,0326;-0,2861;-1,1063;-0,8379;-0,0773;0,6982;-0,4501;0,8771;0,8026;-0,4352;0,6684;0,2806;-1,0765;-0,6589;0,1166
"56975";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=56975"" target=""_blank"">FAM20C</a>";"protein-coding";"family with sequence similarity 20, member C";"Cluster_1";-0,3343;0,3379;1,3194;0,4765;0,2845;0,8713;3,0584;2,2156;1,1914;4,1893;1,4368;-0,5903;-0,729;-0,0569;-0,9104;-0,6437;-0,6437;-1,0171;-0,9318;-0,7824;-0,9211;-0,8357;-0,7824;-0,7717;-0,729;-0,7931;-0,569;-0,5903;-0,697;-0,697;-0,1636;-0,0889;-0,697;-0,6864;0,0498;0,3272;0,3805;0,3165;0,9353;-0,1636;0,0818;0,0391;-0,0782;-0,7504;-0,9424;-0,601;0,5832;-0,1316;-0,1102;-0,2063;-0,7611;0,0178;1,2554;0,5619;-0,0889;-0,7717;1,4154;-0,2916;-0,6117;-0,1743
"57451";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=57451"" target=""_blank"">TENM2</a>";"protein-coding";"teneurin transmembrane protein 2";"Cluster_1";-0,5809;-0,4138;1,9257;0,2038;-0,1667;3,3207;-0,5155;3,0882;2,4779;2,5724;2,725;-0,6535;-0,501;-0,501;-0,5882;-0,5518;-0,421;-0,6608;-0,3774;-0,5228;-0,5155;-0,3411;-0,5155;-0,2757;-0,2249;-0,5373;-0,5373;-0,6027;-0,501;-0,501;-0,4792;-0,3266;-0,2539;-0,392;-0,283;-0,1304;-0,2539;-0,0432;1,1047;-0,6317;-0,4283;-0,3629;-0,2757;-0,5518;-0,5228;-0,0868;1,0902;-0,3266;-0,283;-0,1667;-0,5736;-0,3048;-0,3702;-0,3629;-0,4574;-0,6027;1,3954;0,6252;-0,5591;-0,4937
"64175";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=64175"" target=""_blank"">P3H1</a>";"protein-coding";"prolyl 3-hydroxylase 1";"Cluster_1";-1,2465;0,436;2,0117;1,1437;-1,5403;0,4093;0,9434;2,7861;-0,205;3,3203;0,8633;-1,6738;-1,4869;-0,886;-1,3266;-1,2599;-1,0596;-0,699;-0,0581;-0,1916;0,209;-0,3385;-0,9527;-0,2851;-0,0981;-0,1382;0,6096;0,2223;0,5695;-0,8326;0,5161;0,93;-0,0981;-0,1649;-0,6189;1,5576;0,5161;0,1689;0,1422;0,2624;-1,6204;0,022;0,022;0,3292;-1,2332;-1,0729;-0,205;-0,1516;0,3559;-0,6723;-0,0314;-0,8726;0,8633;0,3024;-0,6323;0,6897;1,5576;0,022;0,2223;-0,3519
"430";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=430"" target=""_blank"">ASCL2</a>";"protein-coding";"achaete-scute family bHLH transcription factor 2";"Cluster_2";0,1548;8e-04;-0,338;0,6168;0,8324;-1,1234;-0,723;-0,338;-0,4612;-0,2302;-0,646;3,0499;2,1567;0,0778;4,1895;-0,2302;0,4782;3,2193;-0,261;-0,261;-1,416;0,3858;-0,6922;-0,2918;0,2164;-0,1378;-1,031;-0,5228;-0,5074;0,047;-0,5074;0,663;0,0932;0,047;-0,1378;0,047;-0,7846;-1,0156;0,1086;-0,723;0,7092;0,4936;-0,8;-0,0762;-0,3842;-0,646;0,2472;-0,338;-0,8154;-0,7076;-0,2764;0,894;-0,0608;0,1856;-0,1532;-0,3842;-0,6768;-0,4612;8e-04;-0,7538
"638";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=638"" target=""_blank"">BIK</a>";"protein-coding";"BCL2-interacting killer (apoptosis-inducing)";"Cluster_2";0,2996;-0,6908;-0,8616;-0,6339;-0,6908;-0,7592;-0,5884;-0,9071;-0,2355;-0,8616;-0,5428;2,3374;2,3488;1,4267;1,7682;-0,2241;2,4968;2,9977;0,5956;0,5728;-0,8161;0,1174;1,1193;-0,7478;-0,7933;-0,2696;-0,3038;-0,5315;-0,6112;-0,4404;-0,8161;-0,5428;-0,9413;-0,5428;-0,6225;-0,5998;0,5728;-0,3379;-0,7705;-0,6908;2,2122;-0,7022;-0,4176;2,0186;-0,4062;0,4931;0,4248;-0,1785;0,015;0,3679;-0,3265;0,7664;-0,2924;-0,6453;-0,5315;-0,5656;-0,8275;-0,5542;-0,3379;0,2085
"652";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=652"" target=""_blank"">BMP4</a>";"protein-coding";"bone morphogenetic protein 4";"Cluster_2";-0,302;1,8179;-0,3199;1,0544;0,1023;-0,0774;-0,7421;-0,7241;-0,3828;-0,6613;-0,5894;2,5725;1,5664;1,773;3,1294;3,1114;2,0066;2,2042;-0,5445;-0,5984;-0,7241;-0,2121;-0,4008;-0,5625;-0,7062;-0,7062;-0,4637;-0,4098;-0,7691;-0,3828;-0,5714;-0,5265;-0,4547;-0,4726;0,2639;0,0753;0,1472;-0,2032;-0,4906;-0,5894;0,758;-0,5984;-0,4547;-0,4098;0,6322;-0,4547;0,8478;-0,7062;-0,4187;-0,6433;-0,3738;-0,3918;-0,3648;-0,6074;-0,6253;-0,5625;-0,5984;-0,6792;-0,293;-0,293
"688";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=688"" target=""_blank"">KLF5</a>";"protein-coding";"Kruppel-like factor 5 (intestinal)";"Cluster_2";-0,8027;-0,1326;-0,3109;-0,1695;-1,3621;0,267;-0,2617;0,1072;-0,1633;-0,3662;-0,4215;1,6932;1,9514;0,4391;1,4781;1,8285;2,2895;1,7117;-1,399;-0,9994;-1,3067;-0,9932;-0,944;-0,4338;-0,7781;-1,3744;-0,8272;-1,067;-0,8211;-0,5076;-1,0793;-1,1346;-1,1715;-1,3928;0,642;1,0231;0,267;0,015;-0,1326;-0,9195;1,5026;0,1133;1,1953;1,4289;1,0354;0,7834;0,4699;0,4022;1,2322;0,5744;1,0723;0,8326;-0,9871;-0,5936;-0,526;0,6481;-0,0281;-0,0895;-1,2514;-0,2555
"780";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=780"" target=""_blank"">DDR1</a>";"protein-coding";"discoidin domain receptor tyrosine kinase 1";"Cluster_2";2,4214;-0,2042;-0,4267;-0,9607;2,9554;-0,7976;-0,0559;-0,2932;0,4781;0,5375;0,7303;1,3534;1,9022;1,3237;0,9083;1,8132;0,7007;0,4633;-1,3909;-1,4503;-0,4861;-0,8866;-2,1326;-1,4503;0,1815;0,9825;-0,5454;0,76;-1,6579;-0,219;-0,6344;-1,836;-0,0559;-0,5602;-0,4119;0,6562;-0,3526;-0,4267;0,4336;0,7303;1,4127;-0,3377;-0,9459;0,3446;0,9825;0,5672;-0,1745;-0,6196;-0,3229;0,0331;-0,5454;0,315;-0,9311;-0,219;-0,13;0,048;-0,5306;-0,7976;-0,3971;0,1518
