ID	Symbol	chromosome	Length
11640	Akap1	11	4027
11641	Akap2	4	6869
11642	Akap3	6	3153
11643	Akap4	X	2998
11647	Alpl	4	2983
11648	Akp3	1	1680
11650	Alppl2	1	2112
11651	Akt1	12	2690
11652	Akt2	7	3241
11655	Alas1	9	3259
11656	Alas2	X	1979
11657	Alb	5	2043
11658	Alcam	16	4959
11666	Abcd1	X	3401
11668	Aldh1a1	19	2032
11669	Aldh2	5	2207
11670	Aldh3a1	11	1727
11671	Aldh3a2	11	3131
11674	Aldoa	7	1824
11676	Aldoc	11	1702
11677	Akr1b3	6	1402
11682	Alk	17	5918
11684	Alox12	11	2991
11685	Alox12e	11	2309
11686	Alox12b	11	2347
11687	Alox15	11	2414
11688	Alox8	11	3273
11689	Alox5	6	2827
11690	Alox5ap	5	854
11692	Gfer	17	1775
11694	Alx3	3	1973
11695	Alx4	2	5203
11698	Ambn	5	1852
11699	Ambp	4	1233
11702	Amd1	10	3206
11704	Amelx	X	967
11705	Amh	10	1665
11717	Ampd3	7	4271
11720	Mat1a	14	3486
11722	Amy1	3	1822
11727	Ang	14	1275
11730	Ang3	14	697
11731	Ang2	14	438
11732	Ank	15	3496
11733	Ank1	8	9018
11735	Ank3	10	10685
11736	Ankfy1	11	8034
11737	Anp32a	9	2092
11739	Slc25a4	8	1106
11740	Slc25a5	X	1238
11744	Anxa11	14	2395
11745	Anxa3	5	1597
11746	Anxa4	6	2003
11747	Anxa5	3	1723
11749	Anxa6	11	2661
11750	Anxa7	14	2965
11752	Anxa8	14	1879
11754	Aoc3	11	4396
11757	Prdx3	19	1445
11758	Prdx6	1	2334
11761	Aox1	1	4382
11764	Ap1b1	11	4543
11765	Ap1g1	8	6817
11766	Ap1g2	14	2673
11767	Ap1m1	8	1964
11768	Ap1m2	9	1738
11769	Ap1s1	5	1277
11770	Fabp4	3	641
11771	Ap2a1	7	3443
11772	Ap2a2	7	4639
11773	Ap2m1	16	2057
11774	Ap3b1	13	4020
11775	Ap3b2	7	3806
11776	Ap3d1	10	4730
11777	Ap3s1	18	1479
11778	Ap3s2	7	5804
11781	Ap4m1	5	1716
11782	Ap4s1	12	1113
11783	Apaf1	10	6557
11784	Apba2	7	3435
11785	Apbb1	7	3176
11787	Apbb2	5	6937
11789	Apc	18	12449
11790	Speg	1	11925
11792	Apex1	14	1307
11793	Atg5	10	2352
11796	Birc3	9	2811
11797	Birc2	9	3140
11798	Xiap	X	6550
11799	Birc5	11	3416
11800	Api5	2	3702
11801	Cd5l	3	2037
11803	Aplp1	7	2392
11804	Aplp2	9	3694
11806	Apoa1	9	988
11807	Apoa2	1	521
11808	Apoa4	9	1666
11810	Apobec1	6	2265
11811	Apobec2	17	1218
11812	Apoc1	7	554
11813	Apoc2	7	727
11814	Apoc3	9	746
11815	Apod	16	1862
11816	Apoe	7	1251
11818	Apoh	11	1186
11819	Nr2f2	7	4870
11820	App	16	3357
11821	Aprt	8	866
11826	Aqp1	6	2760
11827	Aqp2	15	1416
11828	Aqp3	4	1763
11829	Aqp4	18	5082
11830	Aqp5	15	1551
11831	Aqp6	15	2060
11832	Aqp7	4	2524
11833	Aqp8	7	1486
11834	Aqr	2	5097
11835	Ar	X	2999
11836	Araf	X	3237
11837	Rplp0	5	1360
11838	Arc	15	3059
11839	Areg	5	1199
11840	Arf1	11	2086
11841	Arf2	11	2659
11842	Arf3	15	3481
11843	Arf4	14	2042
11844	Arf5	6	933
11845	Arf6	12	3731
11846	Arg1	10	1477
11847	Arg2	12	1417
11848	Rhoa	9	2126
11852	Rhob	12	2227
11853	Rhoc	3	1074
11854	Rhod	19	1338
11855	Arhgap5	12	5196
11856	Arhgap6	X	6255
11857	Arhgdib	6	1100
11858	Rnd2	11	684
11859	Phox2a	7	1609
11861	Arl4a	12	3807
11863	Arnt	3	4369
11864	Arnt2	7	6073
11865	Arntl	7	2908
11867	Arpc1b	5	1551
11870	Art1	7	1417
11871	Art2a-ps	7	1257
11872	Art2b	7	870
11875	Art5	7	1714
11876	Artn	4	2411
11877	Arvcf	16	5040
11878	Arx	X	2729
11881	Arsb	13	3989
11883	Arsa	15	3491
11886	Asah1	8	2251
11889	Asgr1	11	1284
11890	Asgr2	11	1372
11891	Rab27a	9	2971
11898	Ass1	2	1631
11899	Astn1	1	7224
11905	Serpinc1	1	2161
11906	Zfhx3	8	16439
11907	Ate1	7	5356
11908	Atf1	15	2329
11909	Atf2	2	6433
11910	Atf3	1	1976
11911	Atf4	15	1729
11920	Atm	9	11964
11921	Atoh1	6	2090
11922	Neurod6	6	2153
11923	Neurod4	10	3345
11924	Neurog2	3	2217
11925	Neurog3	10	1540
11927	Atox1	11	438
11928	Atp1a1	3	3702
11931	Atp1b1	1	2590
11932	Atp1b2	11	2959
11933	Atp1b3	9	1831
11936	Fxyd2	9	1017
11937	Atp2a1	7	3440
11938	Atp2a2	5	5725
11941	Atp2b2	6	7218
11944	Atp4a	7	3497
11945	Atp4b	8	1327
11946	Atp5a1	18	2431
11947	Atp5b	10	1879
11949	Atp5c1	2	1800
11950	Atp5f1	3	1456
11951	Atp5g1	11	868
11957	Atp5j	16	758
11958	Atp5k	5	292
11964	Atp6v1a	16	3946
11966	Atp6v1b2	8	2741
11972	Atp6v0d1	8	1617
11973	Atp6v1e1	6	1204
11974	Atp6v0e	17	796
11975	Atp6v0a1	11	4027
11977	Atp7a	X	8198
11979	Atp7b	8	4711
11980	Atp8a1	5	8250
11981	Atp9a	2	3897
11982	Atp10a	7	5469
11983	Atpif1	4	539
11984	Atp6v0c	17	1151
11987	Slc7a1	5	7179
11988	Slc7a2	8	7857
11989	Slc7a3	X	2371
11990	Atrn	2	8737
11991	Hnrnpd	5	6811
11992	Auh	13	1345
11993	Aup1	6	1511
11994	Pcdh15	10	15987
11997	Akr1b7	6	1248
11998	Avp	2	507
12000	Avpr2	X	1812
12005	Axin1	17	3779
12006	Axin2	11	4258
12007	Azgp1	5	1314
12009	Cep131	11	3578
12010	B2m	2	858
12012	Baat	4	1946
12013	Bach1	16	5858
12014	Bach2	4	8493
12015	Bad	19	1521
12017	Bag1	4	1349
12018	Bak1	17	2002
12020	Nkx3-2	5	1437
12021	Bard1	1	5448
12022	Barx1	13	1361
12023	Barx2	9	1791
12028	Bax	7	869
12029	Bcl6b	11	3426
12032	Bcan	3	3808
12033	Bcap29	12	2008
12034	Phb2	6	1360
12035	Bcat1	6	8102
12036	Bcat2	7	2204
12038	Bche	3	6209
12039	Bckdha	7	1773
12040	Bckdhb	9	1398
12041	Bckdk	7	2857
12042	Bcl10	3	1957
12043	Bcl2	1	7738
12044	Bcl2a1a	9	796
12045	Bcl2a1b	9	764
12046	Bcl2a1c	9	444
12047	Bcl2a1d	9	796
12048	Bcl2l1	2	3195
12049	Bcl2l10	9	1228
12050	Bcl2l2	14	3461
12051	Bcl3	7	1835
12053	Bcl6	16	3285
12054	Bcl7b	5	1666
12055	Bcl7c	7	965
12057	Opn1sw	6	2410
12061	Bdkrb1	12	1338
12062	Bdkrb2	12	1680
12064	Bdnf	2	6714
12068	Bet1	6	1466
12069	Bex2	X	902
12070	Ngfrap1	X	938
12075	Bfsp1	2	2390
12091	Glb1	9	2487
12095	Bglap3	3	611
12096	Bglap	3	685
12097	Bglap2	3	471
12111	Bgn	X	2389
12116	Bhmt	13	2071
12121	Bicd1	6	9664
12122	Bid	6	1891
12123	Hrk	5	5366
12124	Bik	15	943
12125	Bcl2l11	2	7137
12140	Fabp7	10	762
12142	Prdm1	10	5143
12143	Blk	14	2475
12144	Blm	7	4946
12145	Cxcr5	9	2615
12151	Bmi1	2	3594
12153	Bmp1	14	4454
12154	Bmp10	6	1317
12155	Bmp15	X	3063
12156	Bmp2	2	3566
12159	Bmp4	14	1994
12160	Bmp5	9	2528
12161	Bmp6	13	2410
12162	Bmp7	2	3670
12163	Bmp8a	4	2400
12164	Bmp8b	4	2940
12165	Gdf2	14	2988
12166	Bmpr1a	14	5481
12167	Bmpr1b	3	5830
12168	Bmpr2	1	11087
12169	Bmx	X	3005
12173	Bnc1	7	4663
12175	Bnip2	9	5806
12176	Bnip3	7	1756
12177	Bnip3l	14	3237
12180	Smyd1	6	3361
12181	Bop1	15	2476
12182	Bst1	5	2336
12183	Bpgm	6	2068
12189	Brca1	11	6648
12190	Brca2	5	11133
12192	Zfp36l1	12	2984
12193	Zfp36l2	17	3533
12209	Brs3	X	2772
12211	Birc6	17	15768
12212	Chic1	X	7401
12215	Bsg	10	1752
12217	Bsn	9	15937
12223	Btc	5	2876
12224	Klf5	14	1725
12226	Btg1	10	5008
12227	Btg2	1	3083
12228	Btg3	16	1389
12229	Btk	X	2535
12231	Btn1a1	13	3448
12234	Btrc	19	6325
12235	Bub1	2	4337
12236	Bub1b	2	3669
12237	Bub3	7	2055
12238	Commd3	2	881
12257	Tspo	15	856
12258	Serping1	2	1820
12259	C1qa	4	1082
12260	C1qb	4	1062
12261	C1qbp	11	1165
12262	C1qc	4	1054
12263	C2	17	2644
12265	Ciita	16	5693
12266	C3	17	5133
12267	C3ar1	6	4299
12268	C4b	17	5393
12269	C4bp	1	1883
12270	C4bp-ps1	1	754
12273	C5ar1	7	2570
12274	C6	15	2841
12279	C9	15	1767
12282	Hyou1	9	4432
12283	Cab39	1	3800
12286	Cacna1a	8	7929
12287	Cacna1b	2	9776
12288	Cacna1c	6	14774
12289	Cacna1d	14	9252
12290	Cacna1e	1	12697
12291	Cacna1g	11	8223
12292	Cacna1s	1	6260
12293	Cacna2d1	5	7493
12294	Cacna2d3	14	3695
12295	Cacnb1	11	3848
12296	Cacnb2	2	4450
12297	Cacnb3	15	3015
12298	Cacnb4	2	8682
12299	Cacng1	11	1203
12300	Cacng2	15	2887
12301	Cacybp	1	2115
12304	Pdia4	6	2481
12305	Ddr1	17	4006
12306	Anxa2	9	1374
12307	Calb1	4	2867
12308	Calb2	8	1431
12309	S100g	X	480
12310	Calca	7	1513
12311	Calcr	6	3864
12313	Calm1	12	4001
12314	Calm2	17	1216
12315	Calm3	7	2208
12316	Aspm	1	9866
12317	Calr	8	1943
12319	Car8	4	5722
12321	Calu	6	3423
12322	Camk2a	18	5358
12323	Camk2b	11	4166
12325	Camk2g	14	3705
12326	Camk4	18	12331
12328	Caml	13	1387
12330	Canx	11	4289
12331	Cap1	4	2393
12332	Capg	6	1917
12333	Capn1	19	3191
12334	Capn2	1	3185
12335	Capn3	2	3488
12336	Capns1	7	1430
12337	Capn5	7	4411
12338	Capn6	X	3553
12339	Capn7	14	3561
12340	Capza1	3	3187
12343	Capza2	6	1986
12344	Capza3	6	1262
12345	Capzb	4	1993
12346	Car1	3	1248
12348	Car11	7	1440
12349	Car2	3	1790
12350	Car3	3	1529
12351	Car4	11	1300
12352	Car5a	8	1245
12353	Car6	4	1369
12354	Car7	8	1538
12355	Nr1i3	1	1414
12359	Cat	2	2551
12361	Cask	X	8361
12362	Casp1	9	1513
12363	Casp4	9	1432
12364	Casp12	9	2605
12365	Casp14	10	2331
12366	Casp2	6	3463
12367	Casp3	8	2610
12368	Casp6	3	1455
12369	Casp7	19	2349
12370	Casp8	1	2893
12371	Casp9	4	3899
12372	Casq1	1	1874
12373	Casq2	3	2514
12374	Casr	16	4534
12380	Cast	13	2894
12385	Ctnna1	18	3676
12386	Ctnna2	6	4130
12387	Ctnnb1	9	3623
12388	Ctnnd1	2	5475
12389	Cav1	6	2767
12390	Cav2	6	3350
12391	Cav3	6	1157
12393	Runx2	17	8554
12394	Runx1	16	7378
12395	Runx1t1	4	8305
12396	Cbfa2t2	2	6080
12398	Cbfa2t3	8	7964
12399	Runx3	4	3891
12400	Cbfb	8	2913
12401	Serpina6	12	1462
12402	Cbl	9	5083
12404	Cbln1	8	2335
12405	Cbln2	18	2201
12406	Serpinh1	7	2444
12408	Cbr1	16	1081
12409	Cbr2	11	1021
12411	Cbs	17	2503
12412	Cbx1	11	1274
12416	Cbx2	11	3740
12417	Cbx3	6	1803
12418	Cbx4	11	5197
12419	Cbx5	15	8986
12421	Rb1cc1	1	7046
12424	Cck	9	854
12425	Cckar	5	2929
12426	Cckbr	7	2483
12427	Ccna1	3	1566
12428	Ccna2	3	2811
12442	Ccnb2	9	1541
12443	Ccnd1	7	3796
12444	Ccnd2	6	5771
12445	Ccnd3	17	2260
12447	Ccne1	7	1956
12448	Ccne2	4	3220
12449	Ccnf	17	3099
12450	Ccng1	11	3487
12452	Ccng2	5	2494
12453	Ccni	5	2804
12454	Ccnk	12	2632
12455	Ccnt1	15	2175
12457	Ccrn4l	3	3069
12458	Ccr6	17	2080
12460	Ccs	19	1057
12461	Cct2	10	1962
12462	Cct3	3	1957
12464	Cct4	11	1966
12465	Cct5	15	1769
12466	Cct6a	5	2171
12467	Cct6b	11	1873
12468	Cct7	6	2452
12469	Cct8	16	2391
12475	Cd14	18	1497
12476	Cd151	7	2012
12477	Ctla4	1	1933
12478	Cd19	7	2436
12479	Cd1d1	3	1843
12480	Cd1d2	3	1244
12481	Cd2	3	1144
12482	Ms4a1	19	2057
12483	Cd22	7	4421
12484	Cd24a	10	1816
12487	Cd28	1	4317
12488	Cd2ap	17	5399
12489	Cd33	7	2571
12490	Cd34	1	2621
12491	Cd36	5	3927
12492	Scarb2	5	2110
12493	Cd37	7	1382
12494	Cd38	5	2995
12495	Entpd1	19	4197
12496	Entpd2	2	1937
12497	Entpd6	2	2500
12499	Entpd5	12	5076
12500	Cd3d	9	1330
12501	Cd3e	9	1436
12502	Cd3g	9	1023
12503	Cd247	1	4604
12504	Cd4	6	3095
12505	Cd44	2	5653
12506	Cd48	1	1142
12507	Cd5	19	2069
12508	Cd53	3	2802
12509	Cd59a	2	1867
12511	Cd6	19	3034
12512	Cd63	10	1211
12514	Cd68	11	1274
12515	Cd69	6	1620
12516	Cd7	11	1040
12517	Cd72	4	1503
12518	Cd79a	7	1327
12519	Cd80	16	1700
12520	Cd81	7	1518
12521	Cd82	2	2077
12522	Cd83	13	2141
12523	Cd84	1	6253
12524	Cd86	16	2539
12525	Cd8a	6	3130
12526	Cd8b1	6	1416
12527	Cd9	6	1192
12530	Cdc25a	9	3627
12531	Cdc25b	2	3151
12532	Cdc25c	18	1941
12534	Cdk1	10	2860
12537	Cdk11b	4	2589
12539	Cdc37	9	2456
12540	Cdc42	4	3004
12544	Cdc45	16	2143
12545	Cdc7	5	3241
12549	Arhgap31	16	7722
12550	Cdh1	8	4413
12552	Cdh11	8	4216
12554	Cdh13	8	2290
12555	Cdh15	8	2843
12556	Cdh16	8	3318
12557	Cdh17	4	3462
12558	Cdh2	18	4646
12560	Cdh3	8	4037
12561	Cdh4	2	6343
12562	Cdh5	8	3986
12563	Cdh6	15	2632
12564	Cdh8	8	5273
12565	Cdh9	15	2902
12566	Cdk2	10	2432
12567	Cdk4	10	1346
12568	Cdk5	5	2058
12569	Cdk5r1	11	4134
12570	Cdk5r2	1	2704
12571	Cdk6	5	2470
12572	Cdk7	13	7597
12575	Cdkn1a	17	2026
12576	Cdkn1b	6	2405
12577	Cdkn1c	7	1942
12578	Cdkn2a	4	1136
12579	Cdkn2b	4	1393
12580	Cdkn2c	4	1106
12581	Cdkn2d	9	1270
12583	Cdo1	18	1530
12585	Cdr2	7	2524
12587	Mia	7	567
12589	Ift81	5	2950
12590	Cdx1	18	1750
12591	Cdx2	5	2145
12592	Cdx4	X	1595
12593	Cdyl	13	3929
12606	Cebpa	7	2639
12607	Cebpz	17	4077
12608	Cebpb	2	1518
12609	Cebpd	16	2260
12611	Cebpg	7	4702
12613	Cel	2	2038
12614	Celsr1	15	11050
12615	Cenpa	5	1337
12616	Cenpb	2	2724
12617	Cenpc1	5	3191
12622	Cer1	4	1742
12623	Ces1g	8	2289
12626	Cetn3	13	1013
12627	Cfc1	1	1038
12628	Cfh	1	4365
12630	Cfi	3	2073
12631	Cfl1	19	1184
12632	Cfl2	12	2938
12633	Cflar	1	8218
12638	Cftr	6	6304
12640	Cga	4	691
12642	Ch25h	19	1352
12643	Chad	11	1653
12647	Chat	14	2810
12648	Chd1	17	7918
12649	Chek1	9	3397
12651	Chkb	15	1922
12652	Chga	12	1882
12653	Chgb	2	2733
12654	Chil1	1	1689
12655	Chil3	3	1539
12659	Ovgp1	3	2525
12660	Chka	19	2687
12661	Chl1	6	7751
12662	Chm	X	4867
12663	Chml	1	6116
12667	Chrd	16	3341
12669	Chrm1	19	6286
12671	Chrm3	13	3168
12672	Chrm4	2	2768
12675	Chuk	19	3500
12677	Vsx2	12	3180
12683	Cidea	18	1164
12684	Cideb	14	1173
12686	Elovl3	19	1879
12695	Inadl	4	8808
12696	Cirbp	10	1256
12700	Cish	9	2161
12702	Socs3	11	2724
12703	Socs1	16	1339
12704	Cit	5	6896
12705	Cited1	X	1519
12709	Ckb	12	1478
12715	Ckm	7	1415
12716	Ckmt1	2	1589
12721	Coro1a	7	1597
12722	Clca1	3	3022
12723	Clcn1	6	3545
12724	Clcn2	16	3645
12725	Clcn3	8	6038
12727	Clcn4-2	7	4578
12728	Clcn5	X	4353
12729	Clns1a	7	3395
12733	Clcnka	4	2455
12737	Cldn1	16	3241
12738	Cldn2	X	3066
12739	Cldn3	5	1263
12740	Cldn4	5	1811
12741	Cldn5	16	1416
12745	Clgn	8	2278
12747	Clk1	1	3088
12748	Clk2	3	2310
12750	Clk4	11	1892
12751	Tpp1	7	3494
12752	Cln3	7	2627
12753	Clock	5	9925
12757	Clta	4	1172
12759	Clu	14	1808
12763	Cmah	13	9938
12764	Cmas	6	1760
12765	Cxcr2	1	3043
12766	Cxcr3	X	1608
12767	Cxcr4	1	1814
12768	Ccr1	9	2831
12769	Ccr9	9	4392
12770	Ccr1l1	9	1460
12771	Ccr3	9	3273
12772	Ccr2	9	3589
12773	Ccr4	9	2787
12774	Ccr5	9	2926
12775	Ccr7	11	1975
12776	Ccr8	9	1156
12777	Ccr10	11	1725
12778	Ackr3	1	2319
12780	Abcc2	19	5389
12785	Cnbp	6	2178
12788	Cnga1	5	2738
12789	Cnga2	X	3038
12790	Cnga3	1	3832
12793	Cnih1	14	1483
12794	Cnih2	19	1237
12795	Plk3	4	2367
12796	Camp	9	599
12797	Cnn1	9	1987
12798	Cnn2	10	1782
12799	Cnp	11	2678
12801	Cnr1	4	5807
12802	Cnr2	4	3860
12803	Cntf	19	1205
12804	Cntfr	4	2267
12805	Cntn1	15	6184
12807	Hps3	3	4616
12808	Cobl	11	5728
12810	Coch	12	2683
12812	Coil	11	2607
12813	Col10a1	10	3130
12814	Col11a1	3	7275
12815	Col11a2	17	5605
12816	Col12a1	9	11719
12817	Col13a1	10	2900
12818	Col14a1	15	6448
12819	Col15a1	4	5319
12821	Col17a1	19	5539
12822	Col18a1	10	5791
12823	Col19a1	1	10542
12824	Col2a1	15	5133
12825	Col3a1	1	5564
12826	Col4a1	8	6615
12827	Col4a2	8	6426
12828	Col4a3	1	8609
12829	Col4a4	1	7808
12830	Col4a5	X	6491
12831	Col5a1	2	8402
12832	Col5a2	1	6615
12833	Col6a1	10	3976
12834	Col6a2	10	3729
12835	Col6a3	1	10841
12836	Col7a1	9	9198
12837	Col8a1	16	5110
12839	Col9a1	1	4143
12840	Col9a2	4	2746
12841	Col9a3	2	2846
12842	Col1a1	11	4698
12843	Col1a2	6	5143
12845	Comp	8	2426
12846	Comt	16	2400
12847	Copa	1	4629
12848	Cops2	2	3364
12850	Coq7	7	871
12854	Cort	4	498
12856	Cox17	16	436
12857	Cox4i1	8	679
12858	Cox5a	9	692
12859	Cox5b	1	569
12861	Cox6a1	5	533
12862	Cox6a2	7	659
12864	Cox6c	15	503
12865	Cox7a1	7	366
12866	Cox7a2	9	754
12867	Cox7c	13	449
12868	Cox8a	19	545
12869	Cox8b	7	363
12870	Cp	3	6265
12873	Cpa3	3	1453
12874	Cpd	11	9152
12876	Cpe	8	2094
12877	Cpeb1	7	3114
12879	Cys1	12	1838
12889	Cplx1	5	2192
12890	Cplx2	13	4928
12891	Cpne6	14	2289
12892	Cpox	16	3184
12894	Cpt1a	19	4301
12895	Cpt1b	15	2894
12896	Cpt2	4	2350
12902	Cr2	1	6207
12903	Crabp1	9	802
12904	Crabp2	3	900
12905	Cradd	10	1650
12908	Crat	2	4393
12909	Crcp	5	1470
12912	Creb1	1	8421
12913	Creb3	4	1582
12914	Crebbp	16	7507
12915	Atf6b	17	2566
12916	Crem	18	4253
12918	Crh	3	1320
12919	Crhbp	13	1681
12921	Crhr1	11	2428
12922	Crhr2	6	2945
12925	Crip1	12	447
12927	Bcar1	8	3279
12928	Crk	11	6005
12929	Crkl	16	5050
12931	Crlf1	8	1646
12933	Crmp1	5	3436
12934	Dpysl2	14	4432
12936	Pcdha4	18	5322
12937	Pcdha6	18	5242
12939	Pcdha7	18	5215
12941	Pcdha5	18	5206
12942	Pcdha11	18	5254
12943	Pcdha10	18	5242
12944	Crp	1	1698
12945	Dmbt1	7	6243
12946	Cr1l	1	1662
12950	Hapln1	13	5055
12951	Crx	7	3018
12952	Cry1	10	3016
12953	Cry2	2	4001
12954	Cryaa	17	1214
12955	Cryab	9	1226
12957	Cryba1	11	683
12958	Cryba2	1	720
12959	Cryba4	5	752
12960	Crybb1	5	873
12961	Crybb2	5	724
12962	Crybb3	5	828
12964	Cryga	1	615
12965	Crygb	1	633
12966	Crygc	1	629
12967	Crygd	1	635
12968	Cryge	1	642
12969	Crygf	1	622
12970	Crygs	16	708
12971	Crym	7	1256
12972	Cryz	3	2507
12974	Cs	10	2828
12977	Csf1	3	4422
12978	Csf1r	18	3875
12981	Csf2	11	1033
12982	Csf2ra	19	1849
12983	Csf2rb	15	4765
12984	Csf2rb2	15	4739
12985	Csf3	11	1363
12986	Csf3r	4	4047
12988	Csk	9	2276
12990	Csn1s1	5	1435
12991	Csn2	5	1144
12992	Csn1s2b	5	765
12993	Csn1s2a	5	920
12994	Csn3	5	1597
12995	Csnk2a1	2	4204
13000	Csnk2a2	8	3766
13001	Csnk2b	17	1125
13002	Dnajc5	2	4533
13003	Vcan	13	14689
13004	Ncan	8	7166
13006	Smc3	19	4851
13007	Csrp1	1	1770
13008	Csrp2	10	889
13009	Csrp3	7	973
13010	Cst3	2	742
13011	Cst7	2	986
13012	Cst8	2	703
13013	Cst9	2	686
13014	Cstb	10	602
13016	Ctbp1	5	2482
13017	Ctbp2	7	4777
13018	Ctcf	8	3823
13019	Ctf1	7	1345
13024	Ctla2a	13	1394
13025	Ctla2b	13	1147
13026	Pcyt1a	16	5194
13030	Ctsb	14	4743
13032	Ctsc	7	2472
13033	Ctsd	7	1954
13034	Ctse	1	2120
13035	Ctsg	14	1002
13036	Ctsh	9	1623
13038	Ctsk	3	1583
13039	Ctsl	13	1971
13040	Ctss	3	1360
13041	Ctsw	19	1232
13043	Cttn	7	3223
13046	Celf1	2	7965
13047	Cux1	5	15378
13048	Cux2	5	5113
13051	Cx3cr1	9	3753
13052	Cxadr	16	6951
13056	Cyb561	11	2474
13057	Cyba	8	759
13058	Cybb	X	4750
13063	Cycs	6	3059
13067	Cyct	2	652
13070	Cyp11a1	9	1774
13072	Cyp11b2	15	1625
13074	Cyp17a1	19	1841
13075	Cyp19a1	9	2373
13076	Cyp1a1	9	2787
13077	Cyp1a2	9	1892
13078	Cyp1b1	17	5128
13079	Cyp21a1	17	1923
13081	Cyp24a1	2	3296
13082	Cyp26a1	19	1781
13085	Cyp2a12	7	1664
13086	Cyp2a4	7	1715
13087	Cyp2a5	7	1715
13088	Cyp2b10	7	1878
13089	Cyp2b13	7	1876
13090	Cyp2b19	7	2695
13094	Cyp2b9	7	1877
13095	Cyp2c29	19	1786
13096	Cyp2c37	19	1824
13097	Cyp2c38	19	2869
13098	Cyp2c39	19	1857
13099	Cyp2c40	19	1801
13101	Cyp2d10	15	1647
13105	Cyp2d9	15	1651
13106	Cyp2e1	7	1736
13107	Cyp2f2	7	1820
13108	Cyp2g1	7	1853
13109	Cyp2j5	4	3651
13110	Cyp2j6	4	3595
13112	Cyp3a11	5	2053
