"","sample1","sample2","sample3","sample4"
"gene189",0,0,2,0
"gene190",0,0,2,0
"gene191",1,0,5,12
"gene192",23,82,45,34
"gene193",0,2,0,0
"gene194",21,14,28,64
"gene195",0,9,30,4
"gene196",4,4,2,10
"gene197",11,24,15,44
"gene198",0,0,0,18
"gene199",13,34,14,74
"gene200",0,32,0,36
"gene201",15,32,9,30
"gene202",245,354,699,1166
"gene203",22,22,30,8
"gene204",73,78,94,38
"gene205",53,54,32,58
"gene206",7,16,5,34
"gene207",9,27,19,22
"gene208",24,3,26,24
"gene209",19,18,15,24
"gene210",36,40,28,28
"gene211",8,3,10,8
"gene212",43,60,9,112
"gene213",52,21,15,36
"gene214",30,166,150,212
"gene215",393,906,405,724
"gene216",0,0,2,2
"gene217",0,8,2,2
"gene218",0,8,4,0
"gene219",93,148,174,214
"gene220",51,68,45,76
"gene221",13,33,68,62
"gene222",11,27,36,10
"gene223",48,129,49,30
"gene224",4,0,0,0
"gene225",60,129,14,168
"gene226",40,56,112,42
"gene227",3,8,20,0
"gene228",5,21,2,14
"gene229",20,12,44,14
"gene230",31,82,75,104
"gene231",55,54,52,72
"gene232",29,8,41,54
"gene233",38,45,21,76
"gene234",23,62,35,56
"gene235",3,20,6,24
"gene236",6,10,19,12
"gene237",25,134,95,66
"gene238",237,282,178,222
"gene239",4,4,0,2
"gene240",9,0,10,20
"gene241",10,4,6,0
"gene242",73,200,201,254
"gene243",78,68,40,50
"gene244",112,236,146,120
"gene245",0,9,1,0
"gene246",5,0,2,8
"gene247",3,15,4,10
"gene248",4,0,1,2
"gene249",11,21,32,40
"gene250",9,2,2,32
"gene251",7,28,18,26
"gene252",11,2,8,10
"gene253",41,22,29,68
"gene254",10,30,36,32
"gene255",41,28,30,96
"gene256",0,0,0,0
"gene257",18,10,10,18
"gene258",14,6,24,20
"gene259",4,2,11,20
"gene260",20,42,11,2
"gene261",10,60,40,4
"gene262",10,4,6,16
"gene263",105,72,101,242
"gene264",11,60,39,60
"gene265",73,140,195,292
"gene266",23,3,36,52
"gene267",8,21,5,4
"gene268",8,10,0,10
"gene269",10,24,29,26
"gene270",11,34,19,44
"gene271",14,14,42,20
"gene272",18,62,12,36
"gene273",46,69,72,104
"gene274",0,0,1,0
"gene275",3,2,6,0
"gene276",3,2,0,2
"gene277",23,40,30,80
"gene278",3,33,1,8
"gene279",33,68,22,14
"gene280",2,2,11,34
"gene281",14,54,60,48
"gene282",18,8,16,42
"gene283",49,34,108,34
"gene284",46,32,22,28
"gene285",1,15,4,0
"gene286",21,21,2,44
"gene287",1,20,1,28
"gene288",0,0,4,0
"gene289",10,8,1,12
"gene290",38,74,42,76
"gene291",0,6,11,6
"gene292",0,0,2,0
"gene293",11,14,16,18
"gene294",32,27,24,28
"gene295",27,74,31,74
"gene296",47,64,69,110
"gene297",27,69,71,76
"gene298",3,2,1,2
"gene299",59,100,105,122
"gene300",26,18,28,8
"gene301",248,230,315,736
"gene302",588,460,624,1174
"gene303",190,309,305,314
"gene304",3,9,14,60
"gene305",11,27,2,26
"gene306",86,202,242,222
"gene307",2,8,41,24
"gene308",207,453,138,768
"gene309",48,22,24,92
"gene310",13,18,4,34
"gene311",25,6,1,4
"gene312",64,176,91,104
"gene313",192,171,228,420
"gene314",14,10,2,12
"gene315",12,14,10,28
"gene316",43,63,31,52
"gene317",24,27,64,76
"gene318",26,6,71,58
"gene319",18,82,40,70
"gene320",60,69,72,58
"gene321",17,8,8,38
"gene322",10,27,11,16
"gene323",6,22,6,10
"gene324",17,21,30,56
"gene325",144,357,301,350
"gene326",0,22,2,18
"gene327",0,22,20,2
"gene328",0,6,0,0
"gene329",44,38,46,32
"gene330",37,36,50,42
"gene331",57,135,54,100
"gene332",0,15,4,34
"gene333",13,6,1,0
"gene334",172,84,174,314
"gene335",4,3,10,52
"gene336",6,15,0,30
"gene337",1,12,0,6
"gene338",63,66,106,40
"gene339",84,75,46,174
"gene340",3,3,4,12
"gene341",10,0,1,6
"gene342",30,30,50,48
"gene343",1,0,0,0
"gene344",3,30,2,30
"gene345",0,8,0,6
"gene346",4,8,0,32
"gene347",38,117,146,46
"gene348",17,16,35,32
"gene349",10,21,10,70
"gene350",12,40,15,56
"gene351",18,20,32,54
"gene352",11,10,0,0
"gene353",22,36,40,22
"gene354",5,2,12,32
"gene355",14,75,21,80
"gene356",4,6,16,20
"gene357",38,6,11,18
"gene358",6,12,15,0
"gene359",25,12,26,24
"gene360",26,16,41,22
"gene361",3,6,0,4
"gene362",38,51,58,56
"gene363",0,4,0,22
"gene364",42,39,10,78
"gene365",10,3,12,20
"gene366",62,98,78,112
"gene367",10,15,15,42
"gene368",2,4,10,22
"gene369",148,238,50,108
"gene370",0,0,10,0
"gene371",1,3,0,22
"gene372",19,14,9,46
"gene373",9,0,16,6
"gene374",14,16,11,0
"gene375",7,2,4,2
"gene376",100,126,271,284
"gene377",59,50,40,54
"gene378",14,6,15,0
"gene379",11,0,4,0
"gene380",19,75,22,40
"gene381",17,69,69,52
"gene382",0,0,10,0
"gene383",15,18,26,64
"gene384",0,0,0,0
"gene385",8,6,8,6
"gene386",30,66,40,94
"gene387",13,39,29,30
"gene388",46,24,38,36
"gene389",0,0,0,0
"gene390",1,27,8,18
"gene391",13,87,35,82
"gene392",11,8,2,8
"gene393",10,0,2,16
"gene394",8,6,12,32
"gene395",45,56,36,36
"gene396",46,34,34,106
"gene397",25,46,60,98
"gene398",33,82,16,164
"gene399",19,12,8,18
"gene400",5,3,4,2
"gene401",113,178,69,218
"gene402",6,26,16,14
"gene403",14,30,11,8
"gene404",87,32,24,34
"gene405",3,0,1,2
"gene406",36,24,68,44
"gene407",50,66,28,38
"gene408",0,6,0,0
"gene409",6,4,10,46
"gene410",70,88,111,112
"gene411",49,98,175,108
"gene412",9,10,10,8
"gene413",6,21,18,10
"gene414",20,15,12,50
"gene415",3,8,0,2
"gene416",54,48,30,72
"gene417",41,48,54,96
"gene418",34,44,44,28
"gene419",1,0,0,0
"gene420",4,14,9,40
"gene421",13,48,15,14
"gene422",4,24,6,16
"gene423",5,2,4,2
"gene424",20,15,0,36
"gene425",69,56,98,138
"gene426",2,0,4,0
"gene427",30,51,58,64
"gene428",135,334,262,398
"gene429",140,132,52,136
"gene430",2,46,1,0
"gene431",10,3,0,12
"gene432",77,93,15,72
"gene433",27,58,46,166
"gene434",1,3,8,14
"gene435",3,4,1,22
"gene436",78,178,35,162
"gene437",39,32,20,70
"gene438",8,44,26,78
"gene439",8,2,16,4
"gene440",39,108,62,64
"gene441",13,10,40,22
"gene442",283,570,368,332
"gene443",4,24,26,10
"gene444",6,8,6,14
"gene445",0,2,0,4
"gene446",433,801,675,1014
"gene447",31,48,51,194
"gene448",0,2,8,10
"gene449",27,66,68,100
"gene450",1,0,20,24
"gene451",48,34,135,48
"gene452",42,84,62,72
"gene453",4,8,14,30
"gene454",17,39,39,6
"gene455",30,75,34,30
"gene456",3,3,9,2
"gene457",2,8,52,30
"gene458",37,22,48,34
"gene459",23,54,61,104
"gene460",3,3,22,8
"gene461",119,99,154,166
"gene462",37,21,22,62
"gene463",10,10,2,14
"gene464",57,54,52,122
"gene465",17,12,28,20
"gene466",79,100,81,72
"gene467",42,30,2,8
"gene468",0,9,29,28
"gene469",36,56,56,72
"gene470",80,50,56,60
"gene471",0,0,0,16
"gene472",126,68,85,220
"gene473",5,3,2,6
"gene474",27,14,29,34
"gene475",0,18,5,2
"gene476",0,22,0,0
"gene477",12,3,38,20
"gene478",12,32,20,48
"gene479",35,33,35,28
"gene480",29,148,59,82
"gene481",33,8,24,64
"gene482",18,87,154,94
"gene483",5,0,21,0
"gene484",10,27,39,14
"gene485",130,76,61,50
"gene486",10,14,4,2
"gene487",28,126,30,52
"gene488",4,12,0,10
"gene489",3,2,0,0
"gene490",75,105,104,140
"gene491",16,8,30,20
"gene492",27,30,46,30
"gene493",2,8,55,18
"gene494",4,0,1,12
"gene495",6,9,2,14
"gene496",6,70,24,46
"gene497",147,222,92,148
"gene498",6,3,5,18
"gene499",38,57,35,68
"gene500",21,30,31,34
"gene501",62,22,39,110
"gene502",24,6,2,0
"gene503",4,2,12,50
"gene504",37,52,64,18
"gene505",34,57,21,70
"gene506",6,15,18,22
"gene507",29,56,18,50
"gene508",33,34,38,66
"gene509",6,26,10,0
"gene510",27,72,108,60
"gene511",1,4,0,6
"gene512",2,0,1,26
"gene513",0,2,8,18
"gene514",135,336,174,254
"gene515",107,80,80,140
"gene516",0,0,0,0
"gene517",5,0,6,18
"gene518",3,14,4,0
"gene519",162,32,80,186
"gene520",0,0,1,8
"gene521",66,90,36,112
"gene522",31,16,12,18
"gene523",27,52,21,34
"gene524",63,153,100,148
"gene525",12,39,39,22
"gene526",13,26,18,2
"gene527",31,78,25,140
"gene528",1,28,0,0
"gene529",18,9,10,48
"gene530",7,8,5,18
"gene531",25,38,19,60
"gene532",51,78,31,126
"gene533",41,39,120,44
"gene534",306,261,119,188
"gene535",0,0,0,0
"gene536",5,3,9,30
"gene537",11,22,15,92
"gene538",192,220,69,202
"gene539",0,3,1,0
"gene540",15,24,36,140
"gene541",102,30,58,126
"gene542",47,51,28,58
"gene543",45,74,35,70
"gene544",14,16,11,30
"gene545",54,44,104,100
"gene546",82,102,136,224
"gene547",3,0,0,0
"gene548",0,0,0,2
"gene549",17,33,30,44
"gene550",33,226,131,86
"gene551",18,27,36,40
"gene552",49,57,9,80
"gene553",221,184,142,384
"gene554",46,16,30,20
"gene555",9,6,14,8
"gene556",3,10,21,30
"gene557",76,80,28,84
"gene558",13,33,31,12
"gene559",31,112,31,56
"gene560",29,20,16,36
"gene561",63,196,156,164
"gene562",23,76,39,78
"gene563",11,38,35,114
"gene564",33,26,35,20
"gene565",2,0,0,2
"gene566",4,32,32,72
"gene567",9,6,9,22
"gene568",0,2,8,12
"gene569",0,9,12,6
"gene570",117,552,198,204
"gene571",69,50,35,60
"gene572",15,27,12,90
"gene573",14,33,21,42
"gene574",245,110,161,256
"gene575",14,15,15,28
"gene576",0,4,1,2
"gene577",96,162,102,222
"gene578",27,58,38,100
"gene579",29,4,12,2
"gene580",344,200,184,530
"gene581",16,18,14,42
"gene582",22,50,25,100
"gene583",15,14,18,20
"gene584",41,44,45,98
"gene585",9,9,2,30
"gene586",9,34,18,42
"gene587",148,228,136,322
"gene588",27,18,12,26
"gene589",38,78,50,124
"gene590",12,20,9,14
"gene591",9,75,31,30
"gene592",2,10,5,8
"gene593",102,72,108,182
"gene594",88,172,71,152
"gene595",14,48,36,36
"gene596",6,21,8,42
"gene597",10,39,20,0
"gene598",24,14,11,42
"gene599",16,9,5,36
"gene600",14,16,10,8
"gene601",1,3,5,4
"gene602",25,33,38,106
"gene603",0,0,0,6
"gene604",3,6,5,12
"gene605",3,2,0,0
"gene606",37,78,88,56
"gene607",19,75,30,78
"gene608",65,118,66,152
"gene609",12,21,8,12
"gene610",53,24,56,104
"gene611",2,0,18,28
"gene612",34,58,49,22
"gene613",11,64,31,118
"gene614",36,24,14,32
"gene615",13,64,11,24
"gene616",127,177,90,174
"gene617",6,4,9,4
"gene618",40,46,74,34
"gene619",0,4,16,26
"gene620",1,12,11,14
"gene621",6,15,2,16
"gene622",0,2,0,0
"gene623",12,26,5,0
"gene624",49,22,29,50
"gene625",571,386,750,776
"gene626",4,2,16,2
"gene627",43,27,58,106
"gene628",17,12,15,4
"gene629",19,9,25,48
"gene630",13,4,11,50
"gene631",2,36,9,12
"gene632",7,6,32,18
"gene633",34,92,59,128
"gene634",104,136,91,88
"gene635",18,44,11,4
"gene636",15,16,8,24
"gene637",119,194,288,314
"gene638",62,27,30,40
"gene639",12,4,8,8
"gene640",32,24,29,40
"gene641",72,172,166,176
"gene642",8,14,16,8
"gene643",6,14,12,4
"gene644",0,3,0,4
"gene645",1,15,35,20
"gene646",43,30,32,80
"gene647",92,142,129,274
"gene648",8,21,4,0
"gene649",409,546,259,632
"gene650",0,0,0,0
"gene651",6,3,0,24
"gene652",35,98,62,14
"gene653",31,18,59,162
"gene654",17,21,8,0
"gene655",0,2,0,0
"gene656",58,44,34,42
"gene657",402,646,236,470
"gene658",3,14,36,14
"gene659",20,4,52,26
"gene660",38,26,35,106
"gene661",4,0,8,8
"gene662",0,0,2,0
"gene663",3,40,8,4
"gene664",83,81,52,152
"gene665",28,44,14,46
"gene666",4,0,1,4
"gene667",0,2,16,4
"gene668",1,0,0,4
"gene669",481,735,371,536
"gene670",29,70,32,40
"gene671",107,160,85,202
"gene672",0,0,0,0
"gene673",2,3,14,0
"gene674",7,81,35,66
"gene675",54,69,48,124
"gene676",9,60,22,24
"gene677",3,3,5,10
"gene678",22,30,5,22
"gene679",12,14,10,10
"gene680",0,10,0,0
"gene681",8,22,18,46
"gene682",1,2,1,6
"gene683",9,22,18,38
"gene684",6,8,25,2
"gene685",7,0,0,8
"gene686",6,32,0,4
"gene687",71,300,272,252
"gene688",3,0,0,0
"gene689",0,0,0,0
"gene690",3,15,10,20
"gene691",59,142,74,108
"gene692",15,9,11,16
"gene693",4,9,0,4
"gene694",0,18,9,24
"gene695",9,26,11,32
"gene696",20,15,15,28
"gene697",6,3,15,4
"gene698",77,328,129,112
"gene699",58,111,38,84
"gene700",155,152,74,94
"gene701",0,10,21,12
"gene702",0,6,0,10
"gene703",25,54,34,60
"gene704",15,8,0,10
"gene705",0,4,2,0
"gene706",2,0,1,4
"gene707",97,69,185,154
"gene708",206,162,209,92
"gene709",118,86,48,54
"gene710",17,39,52,48
"gene711",3,33,2,18
"gene712",31,68,62,94
"gene713",18,28,72,52
"gene714",5,4,20,18
"gene715",160,202,142,226
"gene716",128,120,120,64
"gene717",9,36,21,14
"gene718",14,0,19,48
"gene719",3,0,6,16
"gene720",12,8,2,26
"gene721",14,24,5,8
"gene722",44,66,138,166
"gene723",0,2,2,0
"gene724",9,10,5,8
"gene725",2,0,4,0
"gene726",44,66,18,6
"gene727",62,60,109,148
"gene728",12,12,18,2
"gene729",111,201,80,390
"gene730",3,24,25,24
"gene731",31,10,29,8
"gene732",5,112,50,16
"gene733",56,66,72,82
"gene734",59,36,58,60
"gene735",26,57,89,106
"gene736",20,50,12,0
"gene737",7,0,18,0
"gene738",27,32,41,86
"gene739",9,28,19,18
"gene740",7,0,8,4
"gene741",12,39,18,66
"gene742",11,22,14,10
"gene743",39,32,19,40
"gene744",119,123,166,402
"gene745",26,50,89,64
"gene746",1,18,0,6
"gene747",0,2,4,0
"gene748",6,32,6,10
"gene749",21,24,8,50
"gene750",11,20,0,18
"gene751",42,22,54,54
"gene752",1,2,2,0
"gene753",1,2,0,6
"gene754",35,68,21,48
"gene755",36,40,28,20
"gene756",43,22,28,48
"gene757",24,20,18,10
"gene758",22,14,21,24
"gene759",44,130,100,86
"gene760",83,423,206,188
"gene761",164,120,111,190
"gene762",84,44,79,212
"gene763",1,9,4,16
"gene764",15,6,15,34
"gene765",8,3,10,4
"gene766",4,10,8,0
"gene767",23,94,69,68
"gene768",33,116,78,60
"gene769",5,20,40,96
"gene770",0,0,1,12
"gene771",7,2,19,0
"gene772",5,30,11,6
"gene773",22,30,10,36
"gene774",16,10,24,34
"gene775",0,2,0,8
"gene776",14,14,11,18
"gene777",11,2,16,14
"gene778",0,4,1,0
"gene779",203,564,250,340
"gene780",6,2,9,18
"gene781",54,108,40,80
"gene782",45,28,60,70
"gene783",5,2,8,2
"gene784",3,6,4,18
"gene785",5,18,1,0
"gene786",13,21,4,24
"gene787",14,10,21,82
"gene788",181,261,176,422
"gene789",20,15,22,44
"gene790",39,64,52,76
"gene791",12,70,38,58
"gene792",19,8,16,56
"gene793",18,8,9,40
"gene794",261,404,240,476
"gene795",3,3,4,2
"gene796",3,21,6,12
"gene797",26,12,84,58
"gene798",11,44,75,54
"gene799",6,18,2,18
"gene800",0,2,1,0
"gene801",28,54,36,22
"gene802",26,100,29,112
"gene803",104,138,212,198
"gene804",28,30,44,60
"gene805",6,8,18,6
"gene806",364,285,289,424
"gene807",0,3,0,0
"gene808",10,56,40,28
"gene809",14,4,51,10
"gene810",11,33,30,62
"gene811",30,138,49,84
"gene812",22,2,6,0
"gene813",84,72,61,18
"gene814",0,4,0,0
"gene815",6,4,2,0
"gene816",73,51,50,106
"gene817",12,4,6,2
"gene818",6,18,5,12
"gene819",87,148,89,116
"gene820",0,0,1,32
"gene821",31,42,106,156
"gene822",131,204,246,206
"gene823",0,3,1,6
"gene824",7,33,41,16
"gene825",10,12,25,38
"gene826",170,280,150,332
"gene827",113,204,116,238
"gene828",6,4,11,38
"gene829",570,1014,830,3032
"gene830",4,4,9,6
"gene831",356,429,596,740
"gene832",0,2,0,6
"gene833",10,24,29,18
"gene834",46,36,104,34
"gene835",115,174,71,120
"gene836",0,0,0,0
"gene837",6,16,5,12
"gene838",12,14,48,42
"gene839",10,6,14,48
"gene840",2,2,0,4
"gene841",10,21,19,56
"gene842",88,182,126,112
"gene843",12,28,51,74
"gene844",46,60,48,104
"gene845",66,75,62,50
"gene846",30,16,31,18
"gene847",4,30,8,6
"gene848",423,645,500,658
"gene849",94,42,49,88
"gene850",0,3,0,6
"gene851",53,20,30,18
"gene852",49,36,24,48
"gene853",259,620,636,626
"gene854",35,45,72,86
"gene855",18,18,59,20
"gene856",1,15,66,18
"gene857",0,0,4,24
"gene858",25,14,104,74
"gene859",10,20,0,8
"gene860",38,94,120,46
"gene861",7,27,35,56
"gene862",15,12,8,22
"gene863",62,196,112,58
"gene864",12,36,25,22
"gene865",6,40,9,20
"gene866",10,6,18,40
"gene867",1,0,2,6
"gene868",8,9,19,16
"gene869",19,14,32,44
"gene870",10,16,15,16
"gene871",17,12,25,52
"gene872",25,100,82,92
"gene873",42,30,10,26
"gene874",17,58,19,54
"gene875",0,0,0,0
"gene876",66,99,78,136
"gene877",1,6,14,24
"gene878",18,66,52,152
"gene879",2,6,1,4
"gene880",2,4,1,8
"gene881",13,8,4,6
"gene882",9,30,9,12
"gene883",4,15,10,10
"gene884",14,9,41,108
"gene885",10,34,51,80
"gene886",22,22,38,12
"gene887",184,358,200,288
"gene888",14,8,16,14
"gene889",49,81,45,192
"gene890",32,94,46,96
"gene891",26,9,10,8
"gene892",13,51,39,2
"gene893",2,33,6,4
"gene894",22,48,25,88
"gene895",6,12,28,40
"gene896",36,106,14,146
"gene897",16,12,15,56
"gene898",1,0,0,0
"gene899",861,1281,965,1956
"gene900",407,1008,612,1044
"gene901",105,234,176,318
"gene902",10,6,26,6
"gene903",94,88,86,138
"gene904",10,15,5,8
"gene905",49,24,110,74
"gene906",24,4,35,20
"gene907",2,21,6,10
"gene908",0,6,2,10
"gene909",27,98,131,188
"gene910",271,902,319,446
"gene911",60,240,91,134
"gene912",27,40,8,24
"gene913",9,32,22,22
"gene914",51,62,26,10
"gene915",8,12,19,56
"gene916",6,8,0,6
"gene917",3,3,0,8
"gene918",9,6,0,0
"gene919",8,21,14,82
"gene920",6,3,34,16
"gene921",23,24,14,24
"gene922",96,148,90,154
"gene923",40,70,81,64
"gene924",40,50,41,30
"gene925",0,2,0,8
"gene926",36,50,58,54
"gene927",77,142,129,192
"gene928",6,3,4,22
"gene929",18,76,20,52
"gene930",87,94,48,64
"gene931",11,22,15,32
"gene932",34,30,30,28
"gene933",18,6,15,10
"gene934",28,27,56,54
"gene935",70,117,138,264
"gene936",9,21,2,30
"gene937",61,14,21,78
"gene938",61,152,139,200
"gene939",34,84,116,114
"gene940",223,216,44,246
"gene941",21,18,8,4
"gene942",3,2,0,14
"gene943",0,0,8,16
"gene944",4,26,25,14
"gene945",11,8,12,4
"gene946",5,3,5,2
"gene947",0,2,1,2
"gene948",30,39,15,42
"gene949",6,33,31,60
"gene950",17,74,18,36
"gene951",96,105,62,108
"gene952",118,174,96,266
"gene953",165,230,184,538
"gene954",13,16,0,6
"gene955",1,15,4,4
"gene956",89,250,302,214
"gene957",7,33,10,18
"gene958",5,9,24,52
"gene959",2,9,0,6
"gene960",35,158,16,196
"gene961",18,40,26,52
"gene962",75,82,84,162
"gene963",22,26,22,16
"gene964",54,82,42,172
"gene965",159,128,95,194
"gene966",63,66,72,90
"gene967",50,36,71,138
"gene968",18,4,6,2
"gene969",35,57,68,66
"gene970",78,81,91,40
"gene971",277,849,236,486
"gene972",5,6,1,2
"gene973",14,14,35,32
"gene974",44,98,65,70
"gene975",19,64,59,14
"gene976",30,8,12,56
"gene977",63,21,89,122
"gene978",6,0,1,0
"gene979",8,6,0,0
"gene980",0,3,1,4
"gene981",8,10,8,4
"gene982",19,30,24,78
"gene983",40,57,38,32
"gene984",1,21,0,14
"gene985",6,14,26,34
"gene986",7,39,4,26
"gene987",63,54,29,44
"gene988",3,0,0,4
"gene989",34,120,98,126
"gene990",11,3,1,18
"gene991",26,12,32,72
"gene992",0,0,0,0
"gene993",138,86,76,214
"gene994",0,2,2,0
"gene995",2,14,8,6
"gene996",18,4,11,76
"gene997",1,10,1,12
"gene998",50,28,25,78
"gene999",12,14,10,4
"gene1000",74,98,35,180
