"","Collection","Gene_set","Size","NES_b_cell","PValue_b_cell","FDR_b_cell","SLE>Control","NES_t_cell","PValue_t_cell","FDR_t_cell","SLE>Control"
"38","C7_Immunologic_signatures","C7_ALL_68_GSE11057_CD4_EFF_MEM_VS_PBMC_DN",196,-2.7957,0,0,"No",-0.9305,0.64,1,"No"
"39","C7_Immunologic_signatures","C7_ALL_1897_GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP",191,-2.7895,0,0,"No",-1.853,0,7.6e-05,"No"
"40","C4_Cancer_gene_neighborhoods","C4_CGN_404_GNF2_S100A4",47,-2.7652,0,0,"No",-0.8093,0.79,1,"No"
"41","C7_Immunologic_signatures","C7_ALL_1284_GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_DN",199,-2.7441,0,0,"No",-0.8712,0.81,1,"No"
"42","C4_Cancer_gene_neighborhoods","C4_CGN_353_GNF2_FOS",41,-2.7107,0,0,"No",-1.9897,0,0.0039,"No"
"43","C4_Cancer_gene_neighborhoods","C4_CGN_328_GNF2_CD14",34,-2.7103,0,0,"No",-1.6445,0.0057,0.098,"No"
"44","C2_Chemical_and_genetic_perturbations","C2_CGP_3357_ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION",127,-2.6846,0,0,"No",-1.1916,0.13,0.81,"No"
"45","C2_Chemical_and_genetic_perturbations","C2_CGP_1522_VERHAAK_AML_WITH_NPM1_MUTATED_UP",182,-2.6803,0,0,"No",0.9557,0.58,0.86,"Yes"
"46","C4_Cancer_gene_neighborhoods","C4_CGN_376_GNF2_MCL1",57,-2.6763,0,0,"No",0.6816,0.98,1,"Yes"
"47","C2_Chemical_and_genetic_perturbations","C2_CGP_2547_RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN",313,-2.6729,0,0,"No",-0.8232,0.95,1,"No"
"48","C7_Immunologic_signatures","C7_ALL_43_GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP",195,-2.6647,0,0,"No",1.1236,0.15,0.38,"Yes"
"49","C7_Immunologic_signatures","C7_ALL_1909_GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP",190,-2.6559,0,0,"No",-1.7713,0,7e-04,"No"
"50","C2_Chemical_and_genetic_perturbations","C2_CGP_321_JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",223,-2.6502,0,0,"No",1.769,0,0.054,"Yes"
"51","C2_Chemical_and_genetic_perturbations","C2_CGP_1455_GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN",85,-2.6482,0,0,"No",-1.5701,0,0.44,"No"
"52","C7_Immunologic_signatures","C7_ALL_1907_GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP",193,-2.6424,0,0,"No",-1.8862,0,8.8e-05,"No"
"53","C7_Immunologic_signatures","C7_ALL_40_GSE10325_CD4_TCELL_VS_MYELOID_DN",199,-2.6298,0,0,"No",-1.0852,0.27,1,"No"
"54","C2_Chemical_and_genetic_perturbations","C2_CGP_3035_KAMIKUBO_MYELOID_CEBPA_NETWORK",27,-2.6119,0,0,"No",-0.5732,0.98,1,"No"
"55","C7_Immunologic_signatures","C7_ALL_1070_GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN",200,-2.6084,0,0,"No",-1.0335,0.35,1,"No"
"56","C2_Chemical_and_genetic_perturbations","C2_CGP_1554_HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_DN",62,-2.6063,0,0,"No",-1.0161,0.43,0.99,"No"
"57","C2_Chemical_and_genetic_perturbations","C2_CGP_1493_HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN",76,-2.6041,0,0,"No",0.8666,0.76,0.96,"Yes"
"58","C7_Immunologic_signatures","C7_ALL_64_GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN",197,-2.6037,0,0,"No",0.548,1,1,"Yes"
"59","C7_Immunologic_signatures","C7_ALL_1748_GSE6269_HEALTHY_VS_STREP_PNEUMO_INF_PBMC_DN",169,-2.5953,0,0,"No",-0.6937,1,1,"No"
"60","C2_Chemical_and_genetic_perturbations","C2_CGP_3030_LI_INDUCED_T_TO_NATURAL_KILLER_UP",305,-2.5816,0,0,"No",-0.6567,1,1,"No"
"61","C0_Hallmark","H_ALL_1_HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,-2.5575,0,0,"No",-1.7409,0,0.015,"No"
"62","C7_Immunologic_signatures","C7_ALL_1272_GSE29618_BCELL_VS_PDC_DN",197,-2.5557,0,0,"No",0.7606,0.98,1,"Yes"
"63","C4_Cancer_modules","C4_CM_156_MODULE_165",76,-2.5547,0,0,"No",-0.9183,0.62,0.88,"No"
"64","C2_Chemical_and_genetic_perturbations","C2_CGP_1984_MCLACHLAN_DENTAL_CARIES_UP",239,-2.5544,0,0,"No",0.9099,0.75,0.91,"Yes"
"65","C7_Immunologic_signatures","C7_ALL_1064_GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN",199,-2.5503,0,0,"No",-0.6924,1,1,"No"
"66","C0_Hallmark","H_ALL_31_HALLMARK_INFLAMMATORY_RESPONSE",196,-2.55,0,0,"No",0.8484,0.9,1,"Yes"
"67","C4_Cancer_gene_neighborhoods","C4_CGN_352_GNF2_FGR",32,-2.5392,0,0,"No",-0.3997,1,1,"No"
"68","C7_Immunologic_signatures","C7_ALL_1631_GSE3982_DC_VS_BCELL_UP",196,-2.5256,0,0,"No",0.7754,0.98,1,"Yes"
"69","C7_Immunologic_signatures","C7_ALL_961_GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP",200,-2.5233,0,0,"No",1.1998,0.086,0.23,"Yes"
"70","C2_Chemical_and_genetic_perturbations","C2_CGP_160_GAL_LEUKEMIC_STEM_CELL_DN",234,-2.5231,0,0,"No",-1.0513,0.31,0.97,"No"
"71","C7_Immunologic_signatures","C7_ALL_4_KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN",198,-2.5211,0,0,"No",0.938,0.64,0.94,"Yes"
"72","C4_Cancer_gene_neighborhoods","C4_CGN_420_GNF2_TNFSF10",30,-2.5206,0,0,"No",0.6218,0.97,1,"Yes"
"73","C2_Chemical_and_genetic_perturbations","C2_CGP_3056_VERHAAK_GLIOBLASTOMA_MESENCHYMAL",216,-2.5186,0,0,"No",0.8439,0.9,0.97,"Yes"
"74","GO_BP","511686_GO_0050715_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION",72,-2.513,0,0,"No",-1.1769,0.2,0.9,"No"
"75","C4_Cancer_gene_neighborhoods","C4_CGN_366_GNF2_ITGB2",57,-2.5111,0,0,"No",-0.4994,1,1,"No"
"76","C2_Chemical_and_genetic_perturbations","C2_CGP_3375_GHANDHI_BYSTANDER_IRRADIATION_UP",83,-2.5092,0,0,"No",-1.6594,0.0018,0.38,"No"
"77","C7_Immunologic_signatures","C7_ALL_1090_GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN",199,-2.5081,0,0,"No",-0.8276,0.89,1,"No"
"78","C4_Cancer_modules","C4_CM_70_MODULE_75",381,-2.5031,0,0,"No",1.1802,0.05,0.41,"Yes"
"79","C7_Immunologic_signatures","C7_ALL_1114_GSE2706_UNSTIM_VS_2H_R848_DC_DN",189,-2.4972,0,0,"No",-1.6907,0,0.0031,"No"
"80","C2_Chemical_and_genetic_perturbations","C2_CGP_1510_LENAOUR_DENDRITIC_CELL_MATURATION_DN",128,-2.4972,0,0,"No",-0.8547,0.82,1,"No"
"81","C2_Chemical_and_genetic_perturbations","C2_CGP_2550_RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP",406,-2.4942,0,0,"No",0.6886,1,1,"Yes"
"82","C7_Immunologic_signatures","C7_ALL_941_GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP",198,-2.4925,0,0,"No",1.0673,0.28,0.53,"Yes"
"83","C7_Immunologic_signatures","C7_ALL_992_GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_DN",193,-2.4891,0,0,"No",-0.8635,0.81,1,"No"
"84","C7_Immunologic_signatures","C7_ALL_16_GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN",199,-2.4862,0,0,"No",-0.7341,0.99,1,"No"
"85","C7_Immunologic_signatures","C7_ALL_1637_GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP",199,-2.4857,0,0,"No",-0.8296,0.92,1,"No"
"86","C2_Chemical_and_genetic_perturbations","C2_CGP_1832_MCLACHLAN_DENTAL_CARIES_DN",234,-2.4851,0,0,"No",0.9588,0.58,0.86,"Yes"
"87","C7_Immunologic_signatures","C7_ALL_1060_GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN",197,-2.4828,0,0,"No",-0.8194,0.91,1,"No"
"88","C7_Immunologic_signatures","C7_ALL_986_GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_DN",186,-2.4811,0,0,"No",-0.8321,0.88,1,"No"
"89","C4_Cancer_modules","C4_CM_42_MODULE_46",374,-2.4701,0,0,"No",1.1663,0.083,0.44,"Yes"
"90","GO_BP","516145_GO_0071219_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",120,-2.4697,0,0,"No",-1.0506,0.35,0.97,"No"
"91","C2_Chemical_and_genetic_perturbations","C2_CGP_2513_ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP",130,-2.4679,0,0,"No",1.0797,0.25,0.67,"Yes"
"92","C2_Chemical_and_genetic_perturbations","C2_CGP_1491_NEMETH_INFLAMMATORY_RESPONSE_LPS_UP",88,-2.4663,0,0,"No",-1.2303,0.14,0.77,"No"
"93","GO_BP","516148_GO_0071222_CELLULAR_RESPONSE_TO_LIPOPOLYSACCHARIDE",113,-2.4509,0,0,"No",-0.9965,0.46,0.99,"No"
"94","C2_Chemical_and_genetic_perturbations","C2_CGP_360_HAHTOLA_MYCOSIS_FUNGOIDES_CD4_UP",62,-2.4508,0,0,"No",-1.3845,0.054,0.61,"No"
"95","C7_Immunologic_signatures","C7_ALL_6_KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN",198,-2.4481,0,0,"No",0.7683,0.99,1,"Yes"
"96","GO_BP","501901_GO_0032675_REGULATION_OF_INTERLEUKIN_6_PRODUCTION",87,-2.4407,0,0,"No",-1.1039,0.26,0.94,"No"
"97","C2_Chemical_and_genetic_perturbations","C2_CGP_219_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN",204,-2.4405,0,0,"No",0.9367,0.68,0.88,"Yes"
"98","WikiPathways","198912_WP98_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION",30,-2.4397,0,0,"No",-0.9298,0.55,1,"No"
"99","GO_BP","516142_GO_0071216_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS",139,-2.4392,0,0,"No",-1.1246,0.2,0.94,"No"
"100","C2_Chemical_and_genetic_perturbations","C2_CGP_1284_ROSS_AML_WITH_CBFB_MYH11_FUSION",51,-2.4371,0,0,"No",-0.9599,0.52,1,"No"
"101","C7_Immunologic_signatures","C7_ALL_14_GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",198,-2.4332,0,0,"No",1.0079,0.44,0.71,"Yes"
"102","C7_Immunologic_signatures","C7_ALL_982_GSE22886_NAIVE_BCELL_VS_DC_DN",199,-2.4272,0,0,"No",-0.5703,1,1,"No"
"103","KEGG_pathway","HSA05134_LEGIONELLOSIS",55,-2.4262,0,0,"No",-1.397,0.048,0.38,"No"
"104","C4_Cancer_modules","C4_CM_5_MODULE_5",426,-2.4241,0,0,"No",1.0123,0.4,0.71,"Yes"
"105","C7_Immunologic_signatures","C7_ALL_976_GSE22886_NAIVE_TCELL_VS_DC_DN",200,-2.4224,0,0,"No",-0.6838,1,1,"No"
"106","C7_Immunologic_signatures","C7_ALL_1901_GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP",195,-2.4217,0,0,"No",-1.2809,0.048,0.51,"No"
"107","C4_Cancer_gene_neighborhoods","C4_CGN_394_GNF2_PTPN4",49,-2.4197,0,0,"No",0.8396,0.75,0.94,"Yes"
"108","C7_Immunologic_signatures","C7_ALL_1068_GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN",200,-2.4176,0,0,"No",-1.1837,0.12,0.88,"No"
"109","C4_Cancer_gene_neighborhoods","C4_CGN_333_GNF2_CD7",38,-2.417,0,0,"No",0.9625,0.51,0.67,"Yes"
"110","C7_Immunologic_signatures","C7_ALL_1078_GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_DN",199,-2.4145,0,0,"No",-0.6617,1,1,"No"
"111","C7_Immunologic_signatures","C7_ALL_334_GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN",199,-2.4141,0,0,"No",-1.7053,0,0.0028,"No"
"112","C7_Immunologic_signatures","C7_ALL_1056_GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN",200,-2.4135,0,0,"No",0.8463,0.89,1,"Yes"
"113","C7_Immunologic_signatures","C7_ALL_1647_GSE3982_MAC_VS_BCELL_UP",197,-2.4062,0,0,"No",-0.7665,0.98,1,"No"
"114","C7_Immunologic_signatures","C7_ALL_1577_GSE3982_MEMORY_CD4_TCELL_VS_BCELL_UP",194,-2.405,0,0,"No",0.9744,0.52,0.82,"Yes"
"115","C2_Chemical_and_genetic_perturbations","C2_CGP_2904_NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP",71,-2.4044,0,0,"No",-0.8186,0.81,1,"No"
"116","C7_Immunologic_signatures","C7_ALL_336_GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN",198,-2.4016,0,0,"No",-1.5881,0,0.02,"No"
"117","C2_Chemical_and_genetic_perturbations","C2_CGP_1652_RAMALHO_STEMNESS_DN",74,-2.4009,0,0,"No",-1.1733,0.18,0.82,"No"
"118","C7_Immunologic_signatures","C7_ALL_1137_GSE2706_2H_VS_8H_R848_STIM_DC_UP",193,-2.4009,0,0,"No",-1.2584,0.065,0.59,"No"
"119","C4_Cancer_gene_neighborhoods","C4_CGN_363_GNF2_IL2RB",45,-2.3994,0,0,"No",0.8842,0.69,0.86,"Yes"
"120","C7_Immunologic_signatures","C7_ALL_1635_GSE3982_DC_VS_EFF_MEMORY_CD4_TCELL_UP",199,-2.397,0,0,"No",0.6528,1,1,"Yes"
"121","REACTOME","106413_REACT_11152_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",67,-2.396,0,0,"No",1.1322,0.23,0.54,"Yes"
"122","C7_Immunologic_signatures","C7_ALL_60_GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN",195,-2.3959,0,0,"No",-0.7093,1,1,"No"
"123","C7_Immunologic_signatures","C7_ALL_1025_GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP",195,-2.3947,0,0,"No",-1.021,0.4,1,"No"
"124","GO_BP","501981_GO_0032755_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION",55,-2.3875,0,0,"No",-1.1156,0.26,0.94,"No"
"125","C2_Chemical_and_genetic_perturbations","C2_CGP_1349_WIELAND_UP_BY_HBV_INFECTION",100,-2.3861,0,0,"No",0.9035,0.68,0.92,"Yes"
"126","C7_Immunologic_signatures","C7_ALL_1073_GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP",197,-2.3768,0,0,"No",-0.8424,0.86,1,"No"
"127","C2_Chemical_and_genetic_perturbations","C2_CGP_2410_QI_PLASMACYTOMA_UP",258,-2.3755,0,0,"No",1.0259,0.37,0.76,"Yes"
"128","C2_Chemical_and_genetic_perturbations","C2_CGP_334_GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_UP",65,-2.3747,0,0,"No",-1.0093,0.43,0.99,"No"
"129","C2_Chemical_and_genetic_perturbations","C2_CGP_1564_TAVOR_CEBPA_TARGETS_UP",48,-2.373,0,0,"No",-0.6367,0.98,1,"No"
"130","C7_Immunologic_signatures","C7_ALL_1023_GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP",196,-2.372,0,0,"No",-0.7558,0.99,1,"No"
"131","C7_Immunologic_signatures","C7_ALL_1870_GSE9650_NAIVE_VS_EFF_CD8_TCELL_DN",198,-2.3713,0,0,"No",1.2168,0.073,0.2,"Yes"
"132","C2_Chemical_and_genetic_perturbations","C2_CGP_2528_PARK_APL_PATHOGENESIS_DN",49,-2.3669,0,0,"No",-0.6645,0.97,1,"No"
"133","C4_Cancer_modules","C4_CM_59_MODULE_63",207,-2.3618,0,0,"No",-1.2681,0.041,0.57,"No"
"134","C2_Chemical_and_genetic_perturbations","C2_CGP_2515_LINDSTEDT_DENDRITIC_CELL_MATURATION_A",66,-2.3584,0,0,"No",-1.036,0.4,0.97,"No"
"135","C2_Chemical_and_genetic_perturbations","C2_CGP_1787_LIAN_LIPA_TARGETS_3M",59,-2.3497,0,0,"No",1.0253,0.4,0.76,"Yes"
"136","C2_Chemical_and_genetic_perturbations","C2_CGP_1172_ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP",219,-2.3455,0,0,"No",-1.0107,0.43,0.99,"No"
"137","C2_Chemical_and_genetic_perturbations","C2_CGP_1341_FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP",86,-2.3421,0,0,"No",1.3679,0.027,0.32,"Yes"
"138","GO_BP","491964_GO_0007159_LEUKOCYTE_CELL_CELL_ADHESION",258,-2.3412,0,0,"No",-0.7505,1,1,"No"
"139","KEGG_compound","C07645_ALDOPHOSPHAMIDE",27,-2.3376,0,0,"No",-1.8616,0.0018,0.011,"No"
"140","C2_Chemical_and_genetic_perturbations","C2_CGP_214_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_UP",85,-2.3336,0,0,"No",0.9382,0.6,0.88,"Yes"
"141","C2_Chemical_and_genetic_perturbations","C2_CGP_423_MARKEY_RB1_ACUTE_LOF_UP",214,-2.3334,0,0,"No",1.1222,0.17,0.6,"Yes"
"142","C7_Immunologic_signatures","C7_ALL_988_GSE22886_NAIVE_CD8_TCELL_VS_DC_DN",199,-2.3321,0,0,"No",0.6525,1,1,"Yes"
"143","C7_Immunologic_signatures","C7_ALL_1874_GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_DN",199,-2.3318,0,0,"No",0.8235,0.92,1,"Yes"
"144","GO_BP","511678_GO_0050707_REGULATION_OF_CYTOKINE_SECRETION",112,-2.3303,0,0.00015,"No",-0.8554,0.79,1,"No"
"145","C7_Immunologic_signatures","C7_ALL_994_GSE22886_NAIVE_CD4_TCELL_VS_DC_DN",200,-2.3268,0,0,"No",0.9753,0.51,0.82,"Yes"
"146","C2_Chemical_and_genetic_perturbations","C2_CGP_2174_WALLACE_PROSTATE_CANCER_RACE_UP",285,-2.326,0,0,"No",1.1873,0.076,0.51,"Yes"
"147","C7_Immunologic_signatures","C7_ALL_1122_GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN",190,-2.3225,0,0,"No",-1.262,0.056,0.58,"No"
"148","C2_Chemical_and_genetic_perturbations","C2_CGP_508_DUNNE_TARGETS_OF_AML1_MTG8_FUSION_UP",50,-2.3213,0,0,"No",1.1436,0.25,0.56,"Yes"
"149","C7_Immunologic_signatures","C7_ALL_2_KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN",200,-2.319,0,0,"No",1.3848,0.012,0.043,"Yes"
"150","C2_Chemical_and_genetic_perturbations","C2_CGP_1504_HALMOS_CEBPA_TARGETS_UP",51,-2.3189,0,0,"No",-1.0589,0.35,0.97,"No"
"151","C2_Chemical_and_genetic_perturbations","C2_CGP_1447_NADLER_OBESITY_UP",59,-2.315,0,0,"No",0.8776,0.71,0.94,"Yes"
"152","C2_Chemical_and_genetic_perturbations","C2_CGP_2472_BOYLAN_MULTIPLE_MYELOMA_C_D_DN",249,-2.3128,0,0,"No",1.0627,0.27,0.69,"Yes"
"153","C7_Immunologic_signatures","C7_ALL_1758_GSE6269_E_COLI_VS_STREP_PNEUMO_INF_PBMC_DN",162,-2.3122,0,0,"No",0.8407,0.88,1,"Yes"
"154","C7_Immunologic_signatures","C7_ALL_1118_GSE2706_UNSTIM_VS_2H_LPS_DC_DN",190,-2.31,0,0,"No",-1.4021,0.016,0.23,"No"
"155","C2_Chemical_and_genetic_perturbations","C2_CGP_221_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN",140,-2.3075,0,0,"No",1.1283,0.2,0.59,"Yes"
"156","C7_Immunologic_signatures","C7_ALL_1088_GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN",197,-2.3065,0,0,"No",-0.8045,0.93,1,"No"
"157","C2_Chemical_and_genetic_perturbations","C2_CGP_2699_POOLA_INVASIVE_BREAST_CANCER_UP",273,-2.3027,0,0,"No",1.1008,0.19,0.63,"Yes"
