"","symbol","chromosome","length","num_transcript","N_Comp","Pval_Max","Pval_Meta","Abs_LogFC_Min","Abs_LogFC_Avg","B_Cell_Log2FC","T_Cell_Pval","Monocyte_Log2FC","B_Cell_Pval","T_Cell_Log2FC","Monocyte_Pval"
"23060","ZNF609","chr15","8618","1",3,2.25655763689577e-05,2.19297682717911e-42,1.69320345175426,1.98385129595104,-2.47431669764556,1.65731160570226e-11,-1.78403373845331,2.25655763689577e-05,-1.69320345175426,1.74425117268874e-06
"2205","FCER1A","chr1","1172","1",3,6.20287340302427e-05,2.43927377120519e-45,2.63384991687638,4.02496292713625,-6.02781036721992,6.65441631663731e-12,-3.41322849731244,6.20287340302427e-05,-2.63384991687638,7.31024652503189e-08
"9903","KLHL21","chr1","3256.5","2",3,6.19834925869969e-06,4.18561984097582e-48,1.91238524674932,2.31951548105512,-2.84996333043289,2.56903963249416e-12,-1.91238524674932,6.19834925869969e-06,-2.19619786598317,1.07303601629431e-07
"9775","EIF4A3","chr17","1734","1",3,3.27218669873667e-05,3.13144228573399e-47,1.68448028423256,2.04328657517104,-2.46277227505877,3.37496500998472e-13,-1.68448028423256,3.27218669873667e-05,-1.9826071662218,3.83147401264353e-07
"171024","SYNPO2","chr4","6728","5",3,7.03349084584167e-08,6.41864171434086e-57,3.74564677901205,5.02850262256977,-5.85195824649465,4.27368927423353e-14,-5.4879028422026,7.03349084584167e-08,-3.74564677901205,6.23880180728479e-08
"2944","GSTM1","chr1","1090.25","4",3,2.34677645399099e-06,1.31364686897756e-53,7.05336880976597,8.23324413798014,-8.69596700039966,6.08514269027071e-15,-7.05336880976597,2.34677645399099e-06,-8.95039660377479,4.01180473540093e-07
"9172","MYOM2","chr8","4963.5","2",3,1.18936462118716e-09,5.87512917214801e-58,3.41727864597389,3.91393353937707,-4.49226173533734,1.18936462118716e-09,-3.41727864597389,8.38295222115148e-11,-3.83226023681998,6.44395280959557e-10
"10614","HEXIM1","chr17","4785","1",3,2.00392699949878e-07,5.44803500457102e-53,1.76911095119908,2.30664670333881,-2.22931942966505,4.60649045191032e-10,-2.92150972915229,1.17542932635715e-10,-1.76911095119908,2.00392699949878e-07
"2717","GLA","chrX","1418","1",3,5.5991059685059e-07,1.06473092197578e-52,2.16619833919985,2.4659690507529,-2.21097431598391,9.82463259555993e-11,-3.02073449707494,2.66503419555736e-10,-2.16619833919985,5.5991059685059e-07
"154","ADRB2","chr5","2042","1",3,1.18858753004568e-05,2.85069682761901e-39,1.79622496313845,2.21336255755821,-2.59943034679897,5.77034866737367e-09,-2.24443236273721,1.18858753004568e-05,-1.79622496313845,2.45006820390962e-07
"10766","TOB2","chr22","5141.33333333333","3",3,1.83545048576632e-07,3.51287114270637e-44,1.75166227733242,2.04787407355979,-1.75166227733242,1.38917888872989e-07,-2.10594040966397,1.83545048576632e-07,-2.28601953368297,3.9467268807077e-09
"2947","GSTM3","chr1","4089","2",3,4.84476366522816e-06,2.96900075074585e-35,3.09834157596168,3.58031376919286,-4.06259099594304,4.84476366522816e-06,-3.09834157596168,3.71391981554152e-06,-3.58000873567385,6.27222720491638e-08
"3014","H2AFX","chr11","1594","1",3,5.40044588298051e-05,3.91632177028468e-32,2.4314948157723,2.53895198339695,-2.48093150645115,9.43669881804963e-08,-2.70442962796741,5.40044588298051e-05,-2.4314948157723,5.89450117591143e-06
"339287","MSL1","chr17","4523","3",3,6.23300973828801e-05,3.19122871426997e-28,1.34153396647648,1.51021580672315,-1.56234194529962,1.52714136627053e-06,-1.62677150839334,1.97168332970243e-05,-1.34153396647648,6.23300973828801e-05
"10383","TUBB4B","chr9","1591","1",3,8.33482652601121e-05,2.93557641960181e-28,1.67045770726593,1.76069122945557,-1.83478632671186,1.16933030688107e-06,-1.77682965438892,8.33482652601121e-05,-1.67045770726593,1.85299903213316e-05
"9873","FCHSD2","chr11","4490","1",3,0.00329632270302765,3.12971086985312e-24,1.17507892512788,1.49830614150529,-1.52031335529993,7.14250071927832e-05,-1.17507892512788,0.00329632270302765,-1.79952614408805,5.59398991467363e-07
"27338","UBE2S","chr19","1191","1",3,0.0016275330040139,4.28693355230147e-23,2.12748086010957,2.26589506072929,-2.15310512832125,4.56428809456917e-06,-2.12748086010957,0.0016275330040139,-2.51709919375704,5.99097559642214e-05
"170482","CLEC4C","chr12","1689","3",3,0.00159411930743789,1.19725488854518e-22,4.60924813132532,5.39249581412291,-4.60924813132532,8.64158263111639e-06,-5.71583967584095,0.00159411930743789,-5.85239963520245,5.21463988580948e-05
"114793","FMNL2","chr2","4740.57142857143","7",3,7.61923602873438e-05,1.56703688249671e-25,1.87008354437388,1.93694893841137,-2.065587570724,2.53219360273456e-05,-1.87517570013621,7.61923602873438e-05,-1.87008354437388,1.70207842753276e-05
"23382","AHCYL2","chr7","5036","5",3,0.000976723492482448,6.9244048696301e-23,1.62838953742784,1.69452175324943,-1.76574212943942,2.7974565021493e-05,-1.62838953742784,0.000976723492482448,-1.68943359288103,2.0366253685317e-05
"644794","LOC644794","chr7","2434","1",3,0.000615146664238342,1.344173784853e-21,1.97744634635094,2.20148327575501,-1.97744634635094,0.000166301206306929,-2.22476960458633,0.000615146664238342,-2.40223387632778,2.17324220665057e-05
"9749","PHACTR2","chr6","9462","4",3,0.0500714682212166,2.31180379101414e-28,0.744110351207941,1.62419184957348,-2.76906312023078,2.57921767607464e-10,-0.744110351207941,0.0500714682212166,-1.35940207728173,0.000125270229029808
"3717","JAK2","chr9","5977","2",3,0.0353782278706016,2.74104175666203e-27,0.918816415338172,1.68249957771927,-2.6012402534758,5.01789704777326e-09,-0.918816415338172,0.0353782278706016,-1.52744206434383,2.84954761570581e-05
"57698","KIAA1598","chr10","3743.71428571429","7",3,0.0378289338297394,2.11064644547766e-30,1.49816950196014,2.18129497316359,-3.4903848517446,5.17804073357954e-10,-1.55533056578604,0.0378289338297394,-1.49816950196014,9.53474990626711e-06
"115","ADCY9","chr16","7647","2",3,0.0460633576011142,1.57930093614874e-29,1.09972000477392,2.09929570509358,-3.09020139404255,5.84139566648891e-10,-1.09972000477392,0.0460633576011142,-2.10796571646426,1.7492422437874e-05
"29074","MRPL18","chr6","886.5","2",3,0.100731760431247,1.92505090254891e-32,0.873037891469407,2.05241841839203,-2.39442857151118,1.21054144451804e-10,-0.873037891469407,0.100731760431247,-2.88978879219549,1.77993027574254e-06
"11080","DNAJB4","chr1","2583.33333333333","3",3,0.130252694624344,1.79392144845384e-27,0.757389413603892,1.75917510235856,-2.5970922423774,2.66719494382486e-09,-0.757389413603892,0.130252694624344,-1.92304365109439,1.19741002674228e-05
"1359","CPA3","chr3","1411","2",3,0.144790508708835,6.03575630938417e-27,1.26898891480565,2.94302079059343,-4.79999378738775,7.37908748234613e-09,-1.26898891480565,0.144790508708835,-2.76007966958688,6.81629220660934e-06
"481","ATP1B1","chr1","2200","1",3,0.000495327038596361,7.72897715211151e-33,1.90581054451843,2.55600929036005,-3.52940511143373,1.32596277272148e-09,-2.23281221512799,0.000495327038596361,-1.90581054451843,2.17696462251407e-05
"80311","KLHL15","chrX","6270.33333333333","3",3,0.00043576590947638,2.9729045004086e-31,1.4282915729246,1.81563960075145,-2.01761654140081,1.4195134768135e-08,-1.4282915729246,0.00043576590947638,-2.00101068792895,1.22886347202132e-05
"83937","RASSF4","chr10","2545","6",3,0.00697548629408807,3.31186031953133e-33,1.78931671662168,2.73108350843699,-3.48025035683713,5.49249143910678e-10,-2.92368345185217,0.00697548629408807,-1.78931671662168,2.53324443187703e-06
"1028","CDKN1C","chr11","1706.2","5",3,0.00839680161101447,1.06243628614401e-27,2.11976907516136,2.79872679084639,-4.07532887475119,8.58396538088262e-08,-2.11976907516136,0.00839680161101447,-2.20108242262662,4.5326848154025e-06
"493","ATP2B4","chr1","8831","2",3,0.0125128570693411,2.57363244897017e-28,1.31493493015029,1.94373012920156,-3.16543340799327,4.92933612902194e-10,-1.35082204946112,0.0125128570693411,-1.31493493015029,0.000275576145295115
"3015","H2AFZ","chr4","1091.5","2",3,0.00775529761626797,5.73012885961009e-26,1.01813121319213,1.48522867435426,-2.13401818616731,3.28222143882076e-09,-1.01813121319213,0.00775529761626797,-1.30353662370333,0.000809750908782396
"26118","WSB1","chr17","2681","5",3,0.00588888098959934,8.92820459267671e-26,1.08880207340794,1.45229887768113,-1.94177293588556,4.54347144317507e-09,-1.08880207340794,0.00588888098959934,-1.32632162374988,0.000945883742851778
"23344","ESYT1","chr12","4262","2",3,0.00405879285104577,4.07875612460953e-27,1.19752017808244,1.56921221369246,-2.28073856225506,5.76022372947057e-09,-1.19752017808244,0.00405879285104577,-1.22937790073988,0.000259937250411808
"9750","FAM65B","chr6","4669","12",3,0.00811804551922391,7.37997642150379e-27,1.06434423299294,1.58267028847678,-2.10371628001323,4.90326023835652e-09,-1.06434423299294,0.00811804551922391,-1.57995035242416,0.000200762973166644
"11237","RNF24","chr20","3183.4","5",3,0.00145680887028017,3.73122584078641e-27,1.30093235081417,1.62341423205964,-2.18585464057173,1.09803173692383e-08,-1.30093235081417,0.00145680887028017,-1.38345570479303,0.000364614137026791
"23043","TNIK","chr3","4892.9","10",3,0.00312377643090586,1.521602932015e-23,1.06587102371297,1.73069519265261,-2.60928727085754,4.46806315480842e-08,-1.06587102371297,0.00312377643090586,-1.51692728338731,0.00196850945847339
"10462","CLEC10A","chr17","1742.75","4",3,0.00387887241460936,1.40630725571693e-22,1.84835952735754,3.81582168740042,-5.29917218858567,6.53025890380652e-07,-4.29993334625805,0.00387887241460936,-1.84835952735754,0.000305709439163026
"57107","PDSS2","chr6","3552","1",3,0.0194067903450972,1.21172373523465e-23,1.52268110681126,2.18851917237619,-3.19553590460169,5.09589779764106e-08,-1.52268110681126,0.0194067903450972,-1.84734050571561,0.000249887594004571
"92345","NAF1","chr4","1374.33333333333","6",3,0.000417317155673194,4.05924570090847e-49,1.53411532484575,2.1233220408344,-1.79299734109978,9.65960690065006e-07,-1.53411532484575,0.000417317155673194,-3.04285345655765,1.4823128470711e-15
"6752","SSTR2","chr17","2996","1",3,0.132706528376847,9.97017775322654e-45,2.00176347544852,4.70277658913452,-7.40731311072582,4.38208334721582e-09,-2.00176347544852,0.132706528376847,-4.6992531812292,9.79745165508888e-14
"57282","SLC4A10","chr2","5258.9","10",3,0.00240897290183657,9.09818142340953e-27,2.31924177185633,4.34530863169196,-3.54799287698835,0.00240897290183657,-2.31924177185633,0.000112822793419425,-7.1686912462312,3.23876620055566e-08
"8503","PIK3R3","chr1","5288.33333333333","3",3,0.000887104862022326,3.30558581692175e-29,1.96447672147424,2.35976732275802,-2.17406970988565,0.000306690484229345,-1.96447672147424,0.000887104862022326,-2.94075553691416,2.42951962677531e-09
"4929","NR4A2","chr2","3050.66666666667","6",3,0.00612364383171775,4.54173738672927e-30,1.02763322293153,1.55692709520086,-1.16227195246548,0.000892548395871806,-1.02763322293153,0.00612364383171775,-2.48087611020557,4.85776516885294e-11
"2288","FKBP4","chr12","3743","1",3,0.00111971354016149,5.27510610034823e-37,1.43576599611713,2.05310787952078,-1.87911570394642,6.93382998868131e-08,-1.43576599611713,0.00111971354016149,-2.84444193849879,2.31962818375188e-09
"26973","CHORDC1","chr11","2572.75","4",3,0.110690260338809,1.92819010266807e-28,0.67139744595284,1.75833522868855,-1.68863217177707,4.6233717887105e-06,-0.67139744595284,0.110690260338809,-2.91497606833575,2.90782971791454e-09
"101928081","LOC101928081","chr4","2502","1",3,0.000743751453999242,6.49648610154828e-41,2.0023824603035,2.49279042178234,-2.0023824603035,0.000743751453999242,-2.42043841363138,1.21670596366878e-06,-3.05555039141214,3.34312271769987e-12
"220594","USP32P2","chr17","4775","1",3,1.70201571029495e-05,1.87722481344737e-48,4.0656402870932,4.88772615076434,-4.0656402870932,1.70201571029495e-05,-5.53474419613307,5.72462695471768e-10,-5.06279396906675,1.22208338729695e-10
"102723398",NA,NA,NA,NA,3,0.00427189033031501,1.19379683795784e-40,2.62957922891529,4.19380690636854,-2.62957922891529,0.00427189033031501,-5.34757616378518,2.38304236634629e-10,-4.60426532640514,3.91518874137787e-09
"1948","EFNB2","chr13","4387","1",3,0.0051215689246159,1.16641934615676e-25,1.68520180466683,2.39290984110105,-1.68520180466683,0.0051215689246159,-2.9225552964332,1.65818961854423e-06,-2.57097242220313,3.37263288306362e-06
"8324","FZD7","chr2","3851","1",3,0.000650712053362397,2.29449632485302e-25,2.29913286889517,3.17489470872105,-2.29913286889517,0.000650712053362397,-4.14000977004365,2.51879177975907e-06,-3.08554148722432,2.39070465118062e-05
"9819","TSC22D2","chr3","3965.66666666667","3",3,0.00356942101100777,3.8113905724785e-24,1.00882156449596,1.37671688432376,-1.00882156449596,0.00356942101100777,-1.79173347437945,1.10765684730946e-06,-1.32959561409587,3.65056632813231e-05
"8573","CASK","chrX","8310","6",3,0.000783934834857704,1.92004267237163e-22,1.37269804752259,1.58546365973772,-1.37269804752259,0.000783934834857704,-1.56199684121488,0.000100369806194423,-1.8216960904757,1.13806351775031e-05
"8831","SYNGAP1","chr6","6010","1",3,0.000434451144227541,1.32016236753304e-21,1.87778344505485,1.92792940736736,-1.92074751636253,0.000434451144227541,-1.87778344505485,1.21648607100084e-05,-1.9852572606847,0.000417130189561368
"23409","SIRT4","chr12","1252.14285714286","7",3,0.047959779942603,3.29089999055633e-29,1.78782006420286,3.24797586663088,-1.78782006420286,0.047959779942603,-5.30640562549428,5.66324860553224e-08,-2.64970191019549,2.42864265582562e-07
"93953","ACRC","chrX","3047.5","4",3,0.112210547509193,2.05608342446366e-27,0.684323946813573,1.77553354378309,-0.684323946813573,0.112210547509193,-2.4894514177147,2.14452700308803e-08,-2.152825266821,1.84097520415105e-06
"11232","POLG2","chr17","1462.33333333333","3",3,0.0231003440996567,3.6502042093056e-29,1.14568383065777,1.88286429824539,-1.14568383065777,0.0231003440996567,-2.77296620838555,7.03939813376101e-10,-1.72994285569286,4.25449322604233e-05
"338651","KRTAP5-AS1","chr11","2265","1",3,0.0199502639549247,4.00450711152876e-24,1.23146501364962,2.682868741365,-1.23146501364962,0.0199502639549247,-3.27861088948017,8.76376765501166e-09,-3.53853032096522,0.000844691928633509
"23236","PLCB1","chr20","5250.25","4",3,2.71934323696195e-05,3.99195377286309e-43,1.43159849502135,2.66871249136283,-4.17264455305411,2.36483685681898e-12,-2.40189442601304,4.69403014474256e-06,-1.43159849502135,2.71934323696195e-05
"54407","SLC38A2","chr12","4782","2",3,0.000246008299698493,4.87758307059647e-39,1.40160591583597,1.77696855382412,-2.08056448590663,1.03915533046661e-10,-1.84873525972976,8.38767756710566e-07,-1.40160591583597,0.000246008299698493
"6790","AURKA","chr20","2257.77777777778","9",3,0.000273844020790501,1.40243146891995e-37,2.16419049245399,3.03934090430901,-3.82851713618111,2.65290119198425e-10,-3.12531508429193,1.35718767913958e-06,-2.16419049245399,0.000273844020790501
"100129518","LOC100129518","chr6","1718","1",3,0.000656635280665756,3.573922235606e-41,1.27000923229112,2.6910545161556,-2.89441662492732,1.00409665442435e-09,-3.90873769124838,3.50020994283939e-09,-1.27000923229112,0.000656635280665756
"29035","C16orf72","chr16","3979","1",3,8.7929626086137e-05,2.42235939557169e-35,1.32593191522269,1.77493687041112,-2.0836463579398,5.58003747635795e-09,-1.91523233807087,2.09640422808435e-06,-1.32593191522269,8.7929626086137e-05
"6615","SNAI1","chr20","1709","1",3,0.000244894802517203,6.39517036744264e-33,1.38649260841519,2.98185972563051,-3.05844697287772,3.46067864787086e-08,-4.50063959559861,1.54709444134696e-06,-1.38649260841519,0.000244894802517203
"730249","IRG1","chr13","2103","1",3,0.0156507997218357,5.85206276076337e-40,2.01219230129682,4.62436305975583,-6.96630955127926,6.07189694812623e-13,-4.89458732669139,8.62208953433532e-07,-2.01219230129682,0.0156507997218357
"221079","ARL5B","chr10","5936.33333333333","3",3,0.11794730202194,4.99146431342518e-37,0.78280002813631,1.89999926384475,-2.7789929293061,2.51713567410276e-12,-2.13820483409183,5.91541601499373e-07,-0.78280002813631,0.11794730202194
"2077","ERF","chr19","2607.8","5",3,0.0103351886301962,4.33394437871873e-29,1.20251323522247,2.06550794770184,-2.0536896152841,6.12537802094736e-08,-2.94032099259894,1.18261934590129e-06,-1.20251323522247,0.0103351886301962
"80149","ZC3H12A","chr1","2357.2","5",3,0.0123163954202356,5.60676870330125e-29,0.973383927687365,1.70953669374784,-2.05623073728703,1.14915040607353e-08,-2.09899541626911,5.95493019583119e-06,-0.973383927687365,0.0123163954202356
"7167","TPI1","chr12","1468.33333333333","3",3,0.0372350777932252,3.80062049951551e-30,0.706530521629811,1.62108742917576,-2.20501187240495,1.48855248662617e-09,-1.95171989349251,4.4140556626099e-06,-0.706530521629811,0.0372350777932252
"4097","MAFG","chr17","5357.66666666667","3",3,0.0460962655706075,2.89243373308341e-27,0.718204507530353,1.68110069590805,-2.20000799286009,3.39868251998805e-08,-2.1250895873337,3.31003234429658e-06,-0.718204507530353,0.0460962655706075
"59340","HRH4","chr18","3525.33333333333","3",3,0.015537494373247,2.11915611660897e-26,2.60867314565088,4.72615771435429,-7.65201893746368,1.24317214103167e-09,-3.91778105994831,0.000673590792717768,-2.60867314565088,0.015537494373247
"441478","NRARP","chr9","2621","1",3,0.015905901144592,2.85203858761618e-24,1.13000982651651,1.99104739597936,-2.04898199308057,2.51900190790967e-08,-2.79415036834101,0.00031482632548151,-1.13000982651651,0.015905901144592
"2921","CXCL3","chr4","1159","1",3,0.00997619655916154,5.66003859318036e-32,1.90470026302919,3.40790360780837,-5.24075674580942,2.84226423629349e-10,-3.07825381458651,1.25396378646376e-05,-1.90470026302919,0.00997619655916154
"84879","MFSD2A","chr1","2077.16666666667","6",3,0.00918246733378512,2.58526175469024e-31,1.53846561860656,2.71596330951953,-3.40062936439521,3.73202392829059e-10,-3.20879494555683,2.08057904168831e-05,-1.53846561860656,0.00918246733378512
"1164","CKS2","chr9","613","1",3,0.00636225717076982,5.84841378589062e-26,1.45341709469545,2.16064382864571,-2.55530799261169,9.65394128733129e-08,-2.47320639862998,3.38772465065233e-05,-1.45341709469545,0.00636225717076982
"2948","GSTM4","chr1","1380.66666666667","3",3,0.00303298904434079,2.22874323686592e-30,1.92800423347809,3.00209543311927,-3.60558059850713,1.74494389605376e-09,-3.47270146737261,3.6182468387622e-05,-1.92800423347809,0.00303298904434079
"51099","ABHD5","chr3","5353","1",3,0.00163027954186903,8.46645007522561e-30,1.12230003148567,1.94546166237529,-2.81250824050847,4.35810727895334e-09,-1.90157671513173,4.97447029832548e-05,-1.12230003148567,0.00163027954186903
"119391","GSTO2","chr10","2124.16666666667","6",3,0.000474913287799498,5.4399331704413e-30,1.42349088477988,1.87300981406107,-1.73276066335172,8.52119111503416e-05,-2.46277789405161,7.12776196030353e-09,-1.42349088477988,0.000474913287799498
"7286","TUFT1","chr1","2646.25","4",3,0.0001013725683259,4.58027221641652e-36,1.77088848601619,2.32272916898576,-2.27003662745335,4.43469206710391e-06,-2.92726239348775,1.07133661567623e-09,-1.77088848601619,0.0001013725683259
"6173","RPL36A","chrX","1621","2",3,1.56419657797139e-05,3.75309105773382e-35,2.12711810697961,2.80959326667457,-2.12711810697961,1.078989985316e-05,-3.92781332814654,7.44070350358013e-09,-2.37384836489757,1.56419657797139e-05
"124637","CYB5D1","chr17","3684","2",3,3.02471526637294e-06,3.80844801520978e-47,1.57899327542474,2.44040294251346,-2.03739756508768,5.50014066185904e-07,-3.70481798702795,2.77798608618453e-12,-1.57899327542474,3.02471526637294e-06
"84727","SPSB2","chr12","1416.66666666667","3",3,0.000242024499194864,8.46412874101533e-39,2.43732275586261,3.62109853215235,-2.43732275586261,0.000242024499194864,-5.95253320990592,1.18843339448124e-12,-2.47343963068852,9.5742285666255e-05
"219968","OR5B21","chr11","930","1",3,0.000336647048159763,6.0786848070505e-36,2.3568660732512,3.38599398939942,-2.3568660732512,6.52008634630002e-05,-5.21352070426049,2.49608805300059e-11,-2.58759519068656,0.000336647048159763
"57035",NA,NA,NA,NA,3,0.0459553345343986,1.11620409212485e-28,0.740210511376061,1.55125589449921,-1.71329516311197,1.77848649618604e-06,-2.20026200900961,1.41564107664417e-08,-0.740210511376061,0.0459553345343986
"63035","BCORL1","chrX","7513.1","10",3,0.00799903930392121,8.62923801930192e-36,1.17021803028094,2.09775121044365,-2.30627072406802,3.90870484596652e-08,-2.81676487698198,2.05553590191458e-09,-1.17021803028094,0.00799903930392121
"7124","TNF","chr6","1676","1",3,0.0215252158726062,2.33219326083086e-34,1.45527944154299,2.57749868154198,-3.49929723338938,5.36091651678938e-09,-2.77791936969358,2.50379360924826e-08,-1.45527944154299,0.0215252158726062
"221078","NSUN6","chr10","2178.83333333333","6",3,0.0155658776575268,2.02772794191712e-23,1.14760354098111,1.65341845166363,-1.69451677765878,5.26652623868224e-06,-2.11813503635101,3.8307423270448e-06,-1.14760354098111,0.0155658776575268
"171220","DSTNP2","chr12","1105","1",3,0.000378415000015256,3.07888946638718e-27,2.46585709944087,3.81091407401279,-4.87419371007656,1.92684678550244e-05,-4.09269141252095,7.32005425821671e-07,-2.46585709944087,0.000378415000015256
"379","ARL4D","chr17","1585","1",3,0.000548106355627627,1.48718030384141e-28,3.61211068048401,3.85571627625391,-3.98426325663709,5.76293809996979e-07,-3.97077489164063,4.1802074462044e-06,-3.61211068048401,0.000548106355627627
"3925","STMN1","chr1","1745","4",3,0.000215878657653271,1.64109054704512e-27,1.98882058890141,2.23749223493928,-2.07787722134435,1.90479217135621e-06,-1.98882058890141,9.70930568820444e-06,-2.64577889457208,0.000215878657653271
