"Collection","Gene_Set","Size","N_Comp","Pval_Max","Pval_Meta","Abs_NES_Min","Abs_NES_Avg","B_Cell_NES","T_Cell_Pval","Monocyte_NES","B_Cell_Pval","T_Cell_NES","Monocyte_Pval"
"GO_BP","513882_GO_0060326_CELL_CHEMOTAXIS",146,3,0.3775281,1.98038733234218e-06,1.0248444,1.46780976666667,-2.2271485,0.001,1.0248444,0.3775281,1.1514364,0.1509434
"GO_BP","493740_GO_0009620_RESPONSE_TO_FUNGUS",37,3,0.34511435,1.92068280501411e-07,1.0468665,1.55239123333333,-2.2270727,0.001,1.3832345,0.048387095,1.0468665,0.34511435
"C4_Cancer_modules","C4_CM_123_MODULE_128",95,3,0.125,3.61093711876206e-08,1.1847051,1.57308936666667,-2.22291,0.001,1.311653,0.056306306,1.1847051,0.125
"C7_Immunologic_signatures","C7_ALL_1891_GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_UP",194,3,0.7878049,4.79214409100443e-10,0.8911948,1.58153303333333,-2.2125678,0.001,0.8911948,0.7878049,1.6408365,0.001
"C7_Immunologic_signatures","C7_ALL_974_GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_DN",193,3,0.56658596,9.15070673832875e-07,0.9590296,1.4623009,-2.2043655,0.001,0.9590296,0.56658596,1.2235076,0.066797644
"C2_BioCarta_Pathways","C2_CP_BIOCARTA_191_BIOCARTA_TCYTOTOXIC_PATHWAY",12,3,0.02892562,6.90303647374638e-11,1.5920632,1.82307503333333,-2.201661,0.001,1.6755009,0.010373444,-1.5920632,0.02892562
"C4_Cancer_modules","C4_CM_87_MODULE_92",138,3,0.01981982,5.70952324436613e-11,1.3597591,1.6602984,-2.192768,0.001,-1.3597591,0.01981982,1.4283681,0.0137795275
"C4_Cancer_modules","C4_CM_103_MODULE_108",49,3,0.053537283,9.57643170165051e-11,1.3753401,1.73128996666667,-2.1883342,0.001,1.6301956,0.0065934067,1.3753401,0.053537283
"GO_BP","911357_GO_0097530_GRANULOCYTE_MIGRATION",53,3,0.7637969,1.44475344994772e-06,0.8487248,1.46710763333333,-2.1876366,0.001,0.8487248,0.7637969,1.3649615,0.063097514
"C2_Chemical_and_genetic_perturbations","C2_CGP_2805_KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS",44,3,0.19881889,3.6632706922541e-07,1.1645529,1.54092803333333,-2.1866014,0.001,1.2716298,0.11764706,1.1645529,0.19881889
"C4_Cancer_modules","C4_CM_74_MODULE_79",97,3,0.118,2.66764072907218e-08,1.2060568,1.57082743333333,-2.1572697,0.001,1.3491558,0.05106383,1.2060568,0.118
"GO_BP","499915_GO_0030595_LEUKOCYTE_CHEMOTAXIS",94,3,0.17142858,3.69256317353678e-07,1.163435,1.49929123333333,-2.1380396,0.001,1.163435,0.17142858,1.1963991,0.13701431
"C2_BioCarta_Pathways","C2_CP_BIOCARTA_83_BIOCARTA_TCAPOPTOSIS_PATHWAY",9,3,0.6932773,2.4054497644992e-07,0.8302016,1.53611343333333,-2.1328363,0.001,1.6453024,0.027083334,-0.8302016,0.6932773
"KEGG_pathway","HSA04060_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",247,3,0.43735224,3.65346605401005e-07,1.0011815,1.4529334,-2.132175,0.001,1.0011815,0.43735224,1.2254437,0.053407
"C0_Hallmark","H_ALL_46_HALLMARK_ALLOGRAFT_REJECTION",195,3,0.18934911,1.54406852366295e-10,1.1163145,1.6193468,-2.1211736,0.001,1.6205523,0.0023640662,-1.1163145,0.18934911
"C4_Cancer_modules","C4_CM_237_MODULE_263",37,3,0.04008016,1.98540160732522e-10,1.4639689,1.76445543333333,-2.0959175,0.001,1.7334799,0.012658228,1.4639689,0.04008016
"C2_Chemical_and_genetic_perturbations","C2_CGP_182_SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP",158,3,0.064367816,3.0376145695119e-12,1.2393442,1.71458153333333,-2.0917106,0.001,1.2393442,0.064367816,1.8126898,0.001
"C7_Immunologic_signatures","C7_ALL_39_GSE10325_CD4_TCELL_VS_MYELOID_UP",195,3,0.001,5.52677165183571e-16,1.4806612,1.70521586666667,-2.0848637,0.001,1.4806612,0.001,-1.5501227,0.001
"C2_BioCarta_Pathways","C2_CP_BIOCARTA_91_BIOCARTA_IL17_PATHWAY",15,3,0.050373133,2.19695149394504e-09,1.508172,1.73331956666667,-2.0667856,0.001,1.6250011,0.033613447,-1.508172,0.050373133
"C4_Cancer_modules","C4_CM_140_MODULE_148",13,3,0.31992337,5.0035573672208e-07,1.1196164,1.537917,-2.04945,0.001,1.4446846,0.08609272,1.1196164,0.31992337
"C2_Chemical_and_genetic_perturbations","C2_CGP_1556_LIAN_NEUTROPHIL_GRANULE_CONSTITUENTS",25,3,0.60952383,1.60419915052395e-07,0.9045377,1.4983999,-2.046299,0.001,1.544363,0.024948025,0.9045377,0.60952383
"C2_Chemical_and_genetic_perturbations","C2_CGP_1092_WU_CELL_MIGRATION",178,3,0.011299435,1.82940871280087e-12,1.384722,1.6084375,-2.0359077,0.001,1.4046828,0.0044444446,1.384722,0.011299435
"C2_Chemical_and_genetic_perturbations","C2_CGP_716_FARMER_BREAST_CANCER_CLUSTER_1",41,3,0.010183299,6.88326369827044e-14,1.6687785,1.91213766666667,-2.0218043,0.001,2.0458302,0.001,-1.6687785,0.010183299
"GO_BP","489316_GO_0050832_DEFENSE_RESPONSE_TO_FUNGUS",24,3,0.050314464,7.16170371829465e-10,1.4513421,1.68792006666667,-2.0204809,0.001,1.5919372,0.019148936,1.4513421,0.050314464
"C7_Immunologic_signatures","C7_ALL_1141_GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP",197,3,0.072769955,3.90161013589123e-12,1.2435836,1.80028816666667,-2.0090165,0.001,1.2435836,0.072769955,-2.1482644,0.001
"GO_CC","487622_GO_0005882_INTERMEDIATE_FILAMENT",136,3,0.062937066,2.90138040643473e-12,1.2649885,1.7069984,-1.9880735,0.001,1.2649885,0.062937066,1.8679332,0.001
"GO_CC","495323_GO_0031225_ANCHORED_COMPONENT_OF_MEMBRANE",141,3,0.06323185,1.20142188696859e-11,1.2708713,1.5951975,-1.9794236,0.001,1.2708713,0.06323185,1.5352976,0.002
"C2_Chemical_and_genetic_perturbations","C2_CGP_2806_KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS_AND_CYCLIC_RGD",20,3,0.124497995,5.01731073407027e-11,1.2946392,1.6707893,-1.9701042,0.001,1.7476245,0.002057613,1.2946392,0.124497995
"C2_Chemical_and_genetic_perturbations","C2_CGP_1518_ABBUD_LIF_SIGNALING_1_UP",43,3,0.095744684,2.79474503026394e-08,1.3042356,1.5309879,-1.9248596,0.001,1.3042356,0.095744684,1.3638685,0.064453125
"GO_BP","505458_GO_0042312_REGULATION_OF_VASODILATION",40,3,0.13675214,1.26270248339867e-08,1.2551486,1.55687056666667,-1.9194592,0.001,1.2551486,0.13675214,1.4960039,0.03006012
"C4_Cancer_modules","C4_CM_69_MODULE_73",23,3,0.01446281,8.60847782222515e-12,1.6137105,1.74544886666667,-1.894236,0.001,1.6137105,0.01446281,1.7284001,0.0074211503
"C2_Chemical_and_genetic_perturbations","C2_CGP_223_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN",139,3,0.02851711,1.5436813255712e-10,1.3307385,1.54420933333333,-1.8813418,0.001,1.4205477,0.015695067,1.3307385,0.02851711
"C7_Immunologic_signatures","C7_ALL_9_KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP",199,3,0.025531914,4.57275807310069e-13,1.3060054,1.61017926666667,-1.8789072,0.001,1.6456252,0.001,-1.3060054,0.025531914
"REACTOME","106359_REACT_15344_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES",50,3,0.004310345,4.14448096356674e-14,1.6676576,1.7565047,-1.8763626,0.001,1.7254939,0.004310345,1.6676576,0.0018484289
"KEGG_compound","C01176_17ALPHA_HYDROXYPROGESTERONE_17ALPHA_HYDROXY_4_PREGNENE_3_20_DIONE_PREGN_4_ENE_3_20_DIONE_17_OL_17ALPHA_HYDROXY_PROGESTERONE",6,3,0.2,1.10818423441191e-06,1.2750022,1.5478506,-1.8707774,0.0034129692,1.2750022,0.2,1.4977722,0.061349694
"C7_Immunologic_signatures","C7_ALL_281_GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP",199,3,0.40554157,1.26610100782183e-10,1.0253128,1.52341726666667,-1.8517615,0.001,1.0253128,0.40554157,1.6931775,0.001
"C4_Cancer_modules","C4_CM_39_MODULE_43",98,3,0.021978023,3.36045724581832e-13,1.4192082,1.7143711,-1.8440933,0.001,1.4192082,0.021978023,-1.8798118,0.001
"REACTOME","530759_REACT_115897_BETA_DEFENSINS",14,3,0.13407822,4.92941109397548e-11,1.3402252,1.67551536666667,-1.8318703,0.001,-1.3402252,0.13407822,1.8544506,0.0018939395
"REACTOME","106357_REACT_14828_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_",295,3,0.001,5.52677165183571e-16,1.4951141,1.64165286666667,-1.7831229,0.001,1.4951141,0.001,1.6467216,0.001
"WikiPathways","198886_WP455_GPCRS_CLASS_A_RHODOPSIN_LIKE",244,3,0.0025188916,3.7981103582262e-15,1.4316351,1.66105326666667,-1.7676222,0.001,1.4316351,0.0025188916,1.7839025,0.001
"KEGG_pathway","HSA04740_OLFACTORY_TRANSDUCTION",336,3,0.001,5.52677165183571e-16,1.7410856,2.5550836,-1.7410856,0.001,2.4514365,0.001,3.4727287,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_1772_RHODES_UNDIFFERENTIATED_CANCER",69,3,0.001953125,2.23581858853472e-15,1.5712792,1.65628243333333,-1.7288847,0.001,1.5712792,0.001,-1.6686834,0.001953125
"GO_MF","490271_GO_0004984_OLFACTORY_RECEPTOR_ACTIVITY",311,3,0.001,5.52677165183571e-16,1.7277601,2.6239827,-1.7277601,0.001,2.460442,0.001,3.683746,0.001
"GO_BP","511847_GO_0050911_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SMELL",311,3,0.001,5.52677165183571e-16,1.7199664,2.63385156666667,-1.7199664,0.001,2.47336,0.001,3.7082283,0.001
"REACTOME","530757_REACT_115846_DEFENSINS",23,3,0.39834026,2.47182808692974e-09,1.0396378,1.57025246666667,-1.714219,0.004511278,1.0396378,0.39834026,1.9569006,0.001
"REACTOME","106383_REACT_15488_OLFACTORY_SIGNALING_PATHWAY",313,3,0.001,5.52677165183571e-16,1.7138404,2.6098739,-1.7138404,0.001,2.4373047,0.001,3.6784766,0.001
"GO_MF","490241_GO_0004950_CHEMOKINE_RECEPTOR_ACTIVITY",25,3,0.010845987,2.06732405406889e-11,1.6549559,1.6609018,-1.6716278,0.007633588,1.6561217,0.010845987,1.6549559,0.001996008
"GO_BP","492350_GO_0007608_SENSORY_PERCEPTION_OF_SMELL",338,3,0.001,5.52677165183571e-16,1.6623081,2.5093699,-1.6623081,0.001,2.3530734,0.001,3.5127282,0.001
"C7_Immunologic_signatures","C7_ALL_1596_GSE3982_EOSINOPHIL_VS_BASOPHIL_DN",195,3,0.001,5.52677165183571e-16,1.6389889,1.64611943333333,-1.6595691,0.001,1.6398003,0.001,-1.6389889,0.001
"GO_BP","515036_GO_0070098_CHEMOKINE_MEDIATED_SIGNALING_PATHWAY",45,3,0.03557312,1.28739103397107e-09,1.4909593,1.6263322,-1.6561072,0.0040816325,1.7319301,0.008908686,1.4909593,0.03557312
"GO_MF","490644_GO_0005549_ODORANT_BINDING",62,3,0.0026455026,4.20629100718847e-15,1.641929,2.201569,-1.641929,0.0026455026,1.8601913,0.001,3.1025867,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_1294_GNATENKO_PLATELET_SIGNATURE",47,3,0.22474226,6.7664343604448e-10,1.1542593,1.55520103333333,-1.639137,0.004166667,1.8722068,0.001,-1.1542593,0.22474226
"C4_Cancer_gene_neighborhoods","C4_CGN_276_CAR_HPX",69,3,0.010416667,3.36116529283243e-12,1.5564286,1.69644606666667,-1.6166987,0.0064935065,1.5564286,0.010416667,1.9162109,0.001
"GO_MF","492691_GO_0008391_ARACHIDONIC_ACID_MONOOXYGENASE_ACTIVITY",16,3,0.03526971,1.01686852327585e-09,1.5456772,1.70097496666667,-1.6144192,0.03257329,-1.9428285,0.001,1.5456772,0.03526971
"GO_BP","511843_GO_0050906_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION",397,3,0.001,5.52677165183571e-16,1.6103706,2.20627283333333,-1.6103706,0.001,2.0789232,0.001,2.9295247,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_2490_SPIRA_SMOKERS_LUNG_CANCER_UP",37,3,0.12695312,1.00708918639122e-08,1.2794663,1.5648666,-1.6010542,0.013157895,1.8140793,0.0021929825,-1.2794663,0.12695312
"C7_Immunologic_signatures","C7_ALL_1902_GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN",196,3,0.27868852,5.94737733127758e-11,1.0605296,1.56634886666667,-1.6010269,0.001,1.0605296,0.27868852,2.0374901,0.001
"GO_MF","487554_GO_0001637_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY",26,3,0.03522505,2.70141949583151e-10,1.5891347,1.6440673,-1.5999941,0.016793894,1.7430731,0.001,1.5891347,0.03522505
"C4_Cancer_modules","C4_CM_129_MODULE_134",29,3,0.01459854,2.60138989275014e-11,1.5947391,1.7297676,-1.5947391,0.01459854,1.6650132,0.006289308,1.9295505,0.002016129
"C7_Immunologic_signatures","C7_ALL_966_GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_DN",200,3,0.001,5.52677165183571e-16,1.5802841,1.6242132,-1.5868216,0.001,1.7055339,0.001,-1.5802841,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_775_DAUER_STAT3_TARGETS_DN",50,3,0.020746889,7.45696716261685e-11,1.4930925,1.70714006666667,-1.577385,0.015027323,1.4930925,0.020746889,-2.0509427,0.001
"GO_MF","492692_GO_0008392_ARACHIDONIC_ACID_EPOXYGENASE_ACTIVITY",16,3,0.037113402,5.05724139996463e-10,1.5516777,1.69081433333333,-1.5768551,0.021806853,-1.9439102,0.001,1.5516777,0.037113402
"REACTOME","106358_REACT_14819_PEPTIDE_LIGAND_BINDING_RECEPTORS",175,3,0.0011723329,7.70559881701981e-16,1.576499,1.6776107,-1.576499,0.0011723329,1.6684669,0.001,1.7878662,0.001
"GO_BP","493721_GO_0009593_DETECTION_OF_CHEMICAL_STIMULUS",388,3,0.001,5.52677165183571e-16,1.5708109,2.27589183333333,-1.5708109,0.001,2.156513,0.001,3.1003516,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_237_RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN",361,3,0.001,5.52677165183571e-16,1.5680691,1.7843917,-1.5680691,0.001,1.748267,0.001,-2.036839,0.001
"GO_BP","492347_GO_0007606_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS",416,3,0.001,5.52677165183571e-16,1.5678121,2.19719636666667,-1.5678121,0.001,2.017915,0.001,3.005862,0.001
"GO_BP","511844_GO_0050907_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION",350,3,0.001,5.52677165183571e-16,1.5443336,2.39266246666667,-1.5443336,0.001,2.2908301,0.001,3.3428237,0.001
"C7_Immunologic_signatures","C7_ALL_1883_GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_UP",199,3,0.017199017,2.02898776394976e-13,1.3759584,1.6893578,-1.5356473,0.001,1.3759584,0.017199017,2.1564677,0.001
"KEGG_compound","C00535_TESTOSTERONE_17BETA_HYDROXY_4_ANDROSTEN_3_ONE",31,3,0.022922637,3.66413400809168e-13,1.522524,1.72491873333333,-1.522524,0.022922637,1.7618912,0.001,1.890341,0.001
"GO_BP","1053349_GO_0098742_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES",187,3,0.009756098,3.56205385157945e-13,1.3766304,1.67418696666667,-1.4964482,0.002317497,1.3766304,0.009756098,2.1494823,0.001
"GO_BP","982314_GO_0098609_CELL_CELL_ADHESION",188,3,0.0112866815,4.76019449047791e-13,1.3598646,1.66829803333333,-1.4955167,0.002306805,1.3598646,0.0112866815,2.1495128,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_3395_HECKER_IFNB1_TARGETS",91,3,0.026156941,1.37077710016754e-10,1.4214854,1.64775656666667,-1.4829388,0.016129032,2.0388455,0.001,-1.4214854,0.026156941
"C7_Immunologic_signatures","C7_ALL_1003_GSE22886_CTRL_VS_LPS_24H_DC_UP",200,3,0.0034324944,7.22977993823182e-15,1.4366164,1.67160806666667,-1.477351,0.0034324944,2.1008568,0.001,-1.4366164,0.001
"KEGG_compound","C00486_BILIRUBIN",21,3,0.051928785,7.91892566596298e-11,1.4727288,1.70859203333333,-1.4727288,0.051928785,1.7389507,0.006185567,1.9140966,0.001
"C7_Immunologic_signatures","C7_ALL_1290_GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_DN",198,3,0.04375,1.80463495596955e-12,1.2675039,1.5472319,-1.4709667,0.0011402508,1.9032251,0.001,-1.2675039,0.04375
"C7_Immunologic_signatures","C7_ALL_987_GSE22886_NAIVE_CD8_TCELL_VS_DC_UP",198,3,0.0022573364,3.02290361046104e-15,1.467081,1.71463176666667,-1.467081,0.0022573364,1.7624148,0.001,-1.9143995,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_660_LI_AMPLIFIED_IN_LUNG_CANCER",175,3,0.63495576,1.91962831687941e-08,0.9365477,1.51785913333333,-1.4619167,0.008018328,2.155113,0.001,-0.9365477,0.63495576
"KEGG_compound","C05299_2_METHOXYESTRONE",20,3,0.04863222,7.46486137368037e-12,1.4597527,1.84476373333333,-1.4597527,0.04863222,1.8652285,0.002057613,2.20931,0.001
"GO_BP","491962_GO_0007156_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES",140,3,0.008363202,2.50434194276022e-13,1.4584762,1.79291393333333,-1.4584762,0.008363202,1.5048084,0.0022779044,2.4154572,0.001
"C2_BioCarta_Pathways","C2_CP_BIOCARTA_188_BIOCARTA_STATHMIN_PATHWAY",19,3,0.091617934,2.27562999246288e-07,1.4180839,1.5943944,-1.4558243,0.046589017,1.909275,0.0042735045,-1.4180839,0.091617934
"KEGG_compound","C05302_2_METHOXY_17BETA_ESTRADIOL_2_METHOXYESTRADIOL_17BETA",20,3,0.05287009,3.33906556259215e-11,1.434134,1.8376321,-1.434134,0.05287009,1.8758669,0.0019646366,2.2028954,0.002016129
"GO_MF","492498_GO_0008146_SULFOTRANSFERASE_ACTIVITY",48,3,0.038620688,7.65814841089444e-11,1.426974,1.69507713333333,-1.426974,0.038620688,2.0061984,0.001,1.652059,0.008179959
"WikiPathways","198914_WP1600_NICOTINE_METABOLISM",6,3,0.18540435,1.63264807283308e-07,1.295354,1.5563579,-1.4133368,0.08277027,-1.295354,0.18540435,1.9603829,0.001
"KEGG_compound","C06174_CODEINE_5ALPHA_6ALPHA_7_8_DIDEHYDRO_4_5_EPOXY_3_METHOXY_17_METHYLMORPHINAN_6_OL",21,3,0.07981928,5.14274004414095e-10,1.3913624,1.81980966666667,-1.3913624,0.07981928,1.6642349,0.010224949,2.4038317,0.001
"KEGG_compound","C07490_TRICHLOROETHANOL_2_2_2_TRICHLOROETHANOL",27,3,0.07851852,4.55579030936559e-12,1.3719866,1.82708176666667,-1.3719866,0.07851852,1.8409405,0.001,2.2683182,0.001
"KEGG_compound","C14869_TRICHLOROETHANOL_GLUCURONIDE_UROCHLORALIC_ACID_2_2_2_TRICHLOROETHYL_BETA_D_GLUCOPYRANOSIDURONIC_ACID",19,3,0.14263323,6.49322876007617e-11,1.3386378,1.90042946666667,-1.3386378,0.14263323,1.9686432,0.0020408162,2.3940074,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_2632_HSIAO_HOUSEKEEPING_GENES",389,3,1,3.95596101083086e-08,0.6076704,1.65102823333333,-1.3295397,0.0073761856,3.0158746,0.001,-0.6076704,1
"C2_Chemical_and_genetic_perturbations","C2_CGP_2288_MOSERLE_IFNA_RESPONSE",31,3,0.11509716,9.92210028239408e-12,1.3273159,1.7750292,-1.3273159,0.11509716,2.1962347,0.001,-1.801537,0.001
"KEGG_compound","C11132_2_METHOXYESTRONE_3_GLUCURONIDE",19,3,0.13201821,1.31099040892827e-11,1.3260868,1.88605986666667,-1.3260868,0.13201821,1.9289925,0.001,2.4031003,0.001
"C7_Immunologic_signatures","C7_ALL_1885_GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_UP",198,3,0.0247191,1.04356043349983e-11,1.3260208,1.723603,-1.3260208,0.0247191,1.4762042,0.00477327,2.368584,0.001
"C7_Immunologic_signatures","C7_ALL_7_KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP",199,3,0.1595092,3.60982138889645e-08,1.1407071,1.58154846666667,-1.3223149,0.04411765,2.2816234,0.001,-1.1407071,0.1595092
"KEGG_compound","C00191_D_GLUCURONATE_GLUCURONIC_ACID_GLUCURONATE",23,3,0.1194487,1.14854206235497e-09,1.3210595,1.73697006666667,-1.3210595,0.1194487,1.6224657,0.010224949,2.267385,0.001
