"","Collection","Gene_Set","Size","N_Comp","Pval_Max","Pval_Meta","Abs_NES_Min","Abs_NES_Avg","B_Cell_NES","T_Cell_Pval","Monocyte_NES","B_Cell_Pval","T_Cell_NES","Monocyte_Pval"
"18","C7_Immunologic_signatures","C7_ALL_1886_GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN",196,3,0.001,5.52677165183571e-16,2.1013978,2.41578093333333,-2.9266202,0.001,-2.1013978,0.001,-2.2193248,0.001
"19","C7_Immunologic_signatures","C7_ALL_978_GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN",200,3,0.991684,8.23607574683988e-06,0.71377563,1.60288551,-2.922952,0.001,-1.1719289,0.12347826,-0.71377563,0.991684
"20","C7_Immunologic_signatures","C7_ALL_1289_GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP",200,3,0.986014,0.000332814579028091,0.7430721,1.47815506666667,-2.9229066,0.001,-0.7430721,0.986014,0.7684865,0.9765166
"21","C7_Immunologic_signatures","C7_ALL_1280_GSE29618_PDC_VS_MDC_DN",199,3,0.9982238,1.42316519393059e-07,0.6720595,1.64759103333333,-2.914601,0.001,-0.6720595,0.9982238,-1.3561126,0.014314928
"22","C2_Chemical_and_genetic_perturbations","C2_CGP_1446_BROWN_MYELOID_CELL_DEVELOPMENT_UP",162,3,0.9480249,0.000221535368471767,0.79134023,1.51695187666667,-2.899783,0.001,-0.8597324,0.8038194,-0.79134023,0.9480249
"23","C7_Immunologic_signatures","C7_ALL_996_GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN",200,3,0.93873084,7.96868433889994e-05,0.8064628,1.5659608,-2.8965707,0.001,-0.9948489,0.45499182,-0.8064628,0.93873084
"24","C7_Immunologic_signatures","C7_ALL_1899_GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP",192,3,0.001,5.52677165183571e-16,1.9496381,2.2911178,-2.8879342,0.001,-1.9496381,0.001,-2.0357811,0.001
"25","C4_Cancer_gene_neighborhoods","C4_CGN_419_GNF2_TNFRSF1B",64,3,0.9402985,1.72820645131044e-05,0.7386314,1.59736036666667,-2.887274,0.001,-0.7386314,0.9402985,-1.1661757,0.19491525
"26","C4_Cancer_gene_neighborhoods","C4_CGN_330_GNF2_CD33",51,3,0.038617887,1.06860451182934e-12,1.4680915,2.13339903333333,-2.8852642,0.001,-2.0468414,0.001,-1.4680915,0.038617887
"27","C7_Immunologic_signatures","C7_ALL_73_GSE11057_PBMC_VS_MEM_CD4_TCELL_UP",193,3,0.54816115,2.31876708757034e-10,0.971648,1.79757743333333,-2.8695803,0.001,-0.971648,0.54816115,-1.551504,0.001
"28","C7_Immunologic_signatures","C7_ALL_1746_GSE6269_HEALTHY_VS_STREP_AUREUS_INF_PBMC_DN",167,3,1,2.17071055388416e-05,0.609666,1.5264718,-2.8629835,0.001,0.609666,1,1.1067659,0.20766129
"29","C7_Immunologic_signatures","C7_ALL_1905_GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP",192,3,0.001,5.52677165183571e-16,1.970719,2.2827404,-2.8612406,0.001,-1.970719,0.001,-2.0162616,0.001
"30","C7_Immunologic_signatures","C7_ALL_37_GSE10325_CD4_TCELL_VS_BCELL_UP",195,3,0.050847456,1.87647100777136e-12,1.2235934,1.93500006666667,-2.8542745,0.001,1.2235934,0.050847456,-1.7271323,0.001
"31","C4_Cancer_gene_neighborhoods","C4_CGN_329_GNF2_CD1D",44,3,0.010593221,7.46789604958067e-14,1.5933502,2.12228396666667,-2.8498337,0.001,-1.923668,0.001,-1.5933502,0.010593221
"32","C7_Immunologic_signatures","C7_ALL_1884_GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_DN",197,3,0.001,5.52677165183571e-16,1.7934937,2.27863713333333,-2.8365862,0.001,-1.7934937,0.001,-2.2058315,0.001
"33","C4_Cancer_gene_neighborhoods","C4_CGN_392_GNF2_PECAM1",56,3,0.9087221,0.000221813215403566,0.7593746,1.46109136666667,-2.835399,0.001,-0.7885005,0.83918667,-0.7593746,0.9087221
"34","C7_Immunologic_signatures","C7_ALL_1888_GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN",191,3,0.001,5.52677165183571e-16,2.0906882,2.40493216666667,-2.8171124,0.001,-2.0906882,0.001,-2.3069959,0.001
"35","C7_Immunologic_signatures","C7_ALL_1062_GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN",199,3,0.5860869,4.59131992945835e-07,0.9525243,1.68092046666667,-2.8108075,0.001,-0.9525243,0.5860869,1.2794296,0.044921875
"36","C7_Immunologic_signatures","C7_ALL_1903_GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP",193,3,0.001,5.52677165183571e-16,2.0208032,2.3045605,-2.8015575,0.001,-2.0208032,0.001,-2.0913208,0.001
"37","C7_Immunologic_signatures","C7_ALL_70_GSE11057_CD4_CENT_MEM_VS_PBMC_DN",191,3,0.35323384,1.57785816271037e-09,1.0419571,1.78881773333333,-2.8003778,0.001,-1.0419571,0.35323384,-1.5241183,0.004056795
"38","C7_Immunologic_signatures","C7_ALL_68_GSE11057_CD4_EFF_MEM_VS_PBMC_DN",196,3,0.63506263,3.11394282328765e-10,0.9305004,1.76148686666667,-2.7956846,0.001,-0.9305004,0.63506263,-1.5582756,0.001
"39","C7_Immunologic_signatures","C7_ALL_1897_GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP",191,3,0.001,5.52677165183571e-16,1.8530394,2.20247633333333,-2.7895362,0.001,-1.8530394,0.001,-1.9648534,0.001
"40","C4_Cancer_gene_neighborhoods","C4_CGN_404_GNF2_S100A4",47,3,0.7936803,1.16576147093607e-05,0.80933934,1.58518688,-2.7652209,0.001,-0.80933934,0.7936803,-1.1810004,0.18629551
"41","C7_Immunologic_signatures","C7_ALL_1284_GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_DN",199,3,0.81488204,2.05252561164672e-08,0.87115145,1.67029745,-2.7441432,0.001,-0.87115145,0.81488204,-1.3955977,0.0064655175
"42","C4_Cancer_gene_neighborhoods","C4_CGN_353_GNF2_FOS",41,3,0.018480493,2.35253740396484e-13,1.4643075,2.0548784,-2.7106776,0.001,-1.9896501,0.001,-1.4643075,0.018480493
"43","C4_Cancer_gene_neighborhoods","C4_CGN_328_GNF2_CD14",34,3,0.02357564,1.37128103895061e-11,1.5043917,1.95304483333333,-2.7102797,0.001,-1.6444631,0.005725191,-1.5043917,0.02357564
"44","C2_Chemical_and_genetic_perturbations","C2_CGP_3357_ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION",127,3,0.13176896,3.80609528999451e-08,1.1915976,1.7160793,-2.684637,0.001,-1.1915976,0.13176896,-1.2720033,0.05487805
"45","C2_Chemical_and_genetic_perturbations","C2_CGP_1522_VERHAAK_AML_WITH_NPM1_MUTATED_UP",182,3,0.58156025,5.03776801528479e-06,0.9556746,1.58816186666667,-2.6802766,0.001,0.9556746,0.58156025,-1.1285344,0.16149068
"46","C4_Cancer_gene_neighborhoods","C4_CGN_376_GNF2_MCL1",57,3,0.97911835,4.03227689122273e-05,0.6816308,1.48126136666667,-2.6763225,0.001,0.6816308,0.97911835,-1.0858308,0.29841897
"47","C2_Chemical_and_genetic_perturbations","C2_CGP_2547_RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN",313,3,0.94975686,1.92320924261058e-06,0.823197,1.56638333333333,-2.6728582,0.001,-0.823197,0.94975686,-1.2030948,0.05907173
"48","C7_Immunologic_signatures","C7_ALL_43_GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP",195,3,0.14868106,1.66857853681923e-11,1.1235952,1.7781989,-2.6647236,0.001,1.1235952,0.14868106,-1.5462779,0.001
"49","C7_Immunologic_signatures","C7_ALL_1909_GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP",190,3,0.01446281,1.41980900261603e-13,1.4337919,1.95367816666667,-2.6559205,0.001,-1.7713221,0.001,-1.4337919,0.01446281
"50","C2_Chemical_and_genetic_perturbations","C2_CGP_321_JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",223,3,0.001,5.52677165183571e-16,1.5823779,2.00050723333333,-2.6501586,0.001,1.7689852,0.001,-1.5823779,0.001
"51","C2_Chemical_and_genetic_perturbations","C2_CGP_1455_GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN",85,3,0.22474226,3.85162413710463e-11,1.1201205,1.77944873333333,-2.6481616,0.001,-1.5700641,0.001,-1.1201205,0.22474226
"52","C7_Immunologic_signatures","C7_ALL_1907_GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP",193,3,0.001,5.52677165183571e-16,1.6789812,2.0691873,-2.6423519,0.001,-1.8862288,0.001,-1.6789812,0.001
"53","C7_Immunologic_signatures","C7_ALL_40_GSE10325_CD4_TCELL_VS_MYELOID_DN",199,3,0.27097902,6.05798801721472e-08,1.0851582,1.6669711,-2.629782,0.001,-1.0851582,0.27097902,-1.2859731,0.033898305
"54","C2_Chemical_and_genetic_perturbations","C2_CGP_3035_KAMIKUBO_MYELOID_CEBPA_NETWORK",27,3,0.9849906,0.000211339380025677,0.5732052,1.33476668,-2.6119218,0.001,-0.5732052,0.9849906,-0.81917304,0.75308645
"55","C7_Immunologic_signatures","C7_ALL_1070_GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN",200,3,0.44467214,1.26160167369698e-05,0.9991757,1.5470148,-2.6083505,0.001,-1.0335182,0.3471223,-0.9991757,0.44467214
"56","C2_Chemical_and_genetic_perturbations","C2_CGP_1554_HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_DN",62,3,0.4275093,6.22062007933464e-08,1.0160955,1.69849523333333,-2.6062894,0.001,-1.0160955,0.4275093,-1.4731008,0.021782178
"57","C2_Chemical_and_genetic_perturbations","C2_CGP_1493_HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN",76,3,0.76086956,1.65854025572034e-05,0.8666019,1.53688883333333,-2.6040556,0.001,0.8666019,0.76086956,1.140009,0.23552124
"58","C7_Immunologic_signatures","C7_ALL_64_GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN",197,3,1,1.27446403601252e-05,0.5479754,1.42766996666667,-2.6036575,0.001,0.5479754,1,-1.131377,0.15521064
"59","C7_Immunologic_signatures","C7_ALL_1748_GSE6269_HEALTHY_VS_STREP_PNEUMO_INF_PBMC_DN",169,3,0.9982699,0.000345334035036347,0.69366425,1.34448290666667,-2.5952911,0.001,-0.69366425,0.9982699,0.74449337,0.9853211
"60","C2_Chemical_and_genetic_perturbations","C2_CGP_3030_LI_INDUCED_T_TO_NATURAL_KILLER_UP",305,3,1,0.000283401421291256,0.65674216,1.36809260333333,-2.581562,0.001,-0.65674216,1,-0.86597365,0.8776824
"61","C0_Hallmark","H_ALL_1_HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,3,0.041753653,1.25387721515611e-12,1.2524732,1.8502978,-2.5574877,0.001,-1.7409325,0.001,-1.2524732,0.041753653
"62","C7_Immunologic_signatures","C7_ALL_1272_GSE29618_BCELL_VS_PDC_DN",197,3,0.9769585,1.03442765831492e-07,0.76055473,1.55508404333333,-2.5556664,0.001,0.76055473,0.9769585,-1.349031,0.012396694
"63","C4_Cancer_modules","C4_CM_156_MODULE_165",76,3,0.6238361,4.51377000791567e-09,0.91832197,1.69909089,-2.5547068,0.001,-0.91832197,0.6238361,-1.6242439,0.00390625
"64","C2_Chemical_and_genetic_perturbations","C2_CGP_1984_MCLACHLAN_DENTAL_CARIES_UP",239,3,0.7529412,4.17084155717813e-05,0.9099436,1.4938234,-2.5543952,0.001,0.9099436,0.7529412,-1.0171314,0.39539748
"65","C7_Immunologic_signatures","C7_ALL_1064_GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN",199,3,1,0.000120324020584928,0.6923842,1.40354096666667,-2.550266,0.001,-0.6923842,1,0.9679727,0.5386064
"66","C0_Hallmark","H_ALL_31_HALLMARK_INFLAMMATORY_RESPONSE",196,3,0.8997613,4.07705895223267e-05,0.848438,1.483292,-2.5500078,0.001,0.848438,0.8997613,1.0514302,0.32673267
"67","C4_Cancer_gene_neighborhoods","C4_CGN_352_GNF2_FGR",32,3,1,0.000277965791424747,0.399675,1.23001198666667,-2.539215,0.001,-0.399675,1,-0.75114596,0.86796117
"68","C7_Immunologic_signatures","C7_ALL_1631_GSE3982_DC_VS_BCELL_UP",196,3,0.9831731,1.93896342100547e-06,0.7754065,1.51500676666667,-2.5255811,0.001,0.7754065,0.9831731,-1.2440327,0.057312254
"69","C7_Immunologic_signatures","C7_ALL_961_GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP",200,3,0.086363636,5.53134569362187e-12,1.1998061,2.0245446,-2.5232787,0.001,1.1998061,0.086363636,-2.350549,0.001
"70","C2_Chemical_and_genetic_perturbations","C2_CGP_160_GAL_LEUKEMIC_STEM_CELL_DN",234,3,0.33690986,6.14409554104152e-06,1.0373907,1.53726783333333,-2.5230887,0.001,-1.0513241,0.3102253,-1.0373907,0.33690986
"71","C7_Immunologic_signatures","C7_ALL_4_KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN",198,3,0.6504237,7.60143202417169e-05,0.93561745,1.46488828333333,-2.5210748,0.001,0.9379726,0.6395349,-0.93561745,0.6504237
"72","C4_Cancer_gene_neighborhoods","C4_CGN_420_GNF2_TNFSF10",30,3,0.97363085,0.000275844269890417,0.621757,1.29014896666667,-2.5205817,0.001,0.621757,0.97363085,-0.7281082,0.8875502
"73","C2_Chemical_and_genetic_perturbations","C2_CGP_3056_VERHAAK_GLIOBLASTOMA_MESENCHYMAL",216,3,0.9041096,8.66089505381218e-09,0.8439403,1.57383866666667,-2.5186486,0.001,0.8439403,0.9041096,1.3589271,0.0037523452
"74","GO_BP","511686_GO_0050715_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION",72,3,0.19850187,1.23673762410053e-07,1.176907,1.67224646666667,-2.5129578,0.001,-1.176907,0.19850187,-1.3268746,0.06692913
"75","C4_Cancer_gene_neighborhoods","C4_CGN_366_GNF2_ITGB2",57,3,1,0.000133109597427335,0.49935484,1.31431396666667,-2.511065,0.001,-0.49935484,1,-0.93252206,0.57026476
"76","C2_Chemical_and_genetic_perturbations","C2_CGP_3375_GHANDHI_BYSTANDER_IRRADIATION_UP",83,3,0.02053388,9.71598089763906e-13,1.4411346,1.8699296,-2.5092335,0.001,-1.6594207,0.0017953322,-1.4411346,0.02053388
"77","C7_Immunologic_signatures","C7_ALL_1090_GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN",199,3,0.8875839,8.49142239058831e-08,0.82755,1.5720614,-2.5080936,0.001,-0.82755,0.8875839,-1.3805406,0.0123203285
"78","C4_Cancer_modules","C4_CM_70_MODULE_75",381,3,0.49888143,4.06398559594262e-07,0.98200405,1.55509478333333,-2.5031195,0.001,1.1801608,0.04950495,-0.98200405,0.49888143
"79","C7_Immunologic_signatures","C7_ALL_1114_GSE2706_UNSTIM_VS_2H_R848_DC_DN",189,3,0.030368764,6.52917690427425e-13,1.2838894,1.82394743333333,-2.4972188,0.001,-1.6907341,0.001,-1.2838894,0.030368764
"80","C2_Chemical_and_genetic_perturbations","C2_CGP_1510_LENAOUR_DENDRITIC_CELL_MATURATION_DN",128,3,0.8648111,0.000193391771175134,0.8293238,1.39372986666667,-2.4971943,0.001,-0.8546715,0.8153565,-0.8293238,0.8648111
"81","C2_Chemical_and_genetic_perturbations","C2_CGP_2550_RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP",406,3,1,0.000329823782141461,0.68861586,1.34154883666667,-2.4942355,0.001,0.68861586,1,0.84179515,0.9578544
"82","C7_Immunologic_signatures","C7_ALL_941_GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP",198,3,0.2817552,6.08014687050046e-11,1.0673217,1.7113347,-2.4924588,0.001,1.0673217,0.2817552,-1.5742236,0.001
"83","C7_Immunologic_signatures","C7_ALL_992_GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_DN",193,3,0.8068376,1.73115314085504e-05,0.8634644,1.48145006666667,-2.489055,0.001,-0.8634644,0.8068376,-1.0918308,0.22736841
"84","C7_Immunologic_signatures","C7_ALL_16_GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN",199,3,0.9877408,5.70057934000527e-06,0.7340557,1.4721585,-2.4862027,0.001,-0.7340557,0.9877408,-1.1962171,0.101626016
"85","C7_Immunologic_signatures","C7_ALL_1637_GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP",199,3,0.91511035,7.53452703833453e-07,0.8296322,1.52242236666667,-2.4856534,0.001,-0.8296322,0.91511035,-1.2519815,0.037328094
"86","C2_Chemical_and_genetic_perturbations","C2_CGP_1832_MCLACHLAN_DENTAL_CARIES_DN",234,3,0.5755396,1.34253280066677e-05,0.95875454,1.50443951333333,-2.485116,0.001,0.95875454,0.5755396,-1.069448,0.2774327
"87","C7_Immunologic_signatures","C7_ALL_1060_GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN",197,3,0.9134948,2.60778786566226e-05,0.81937385,1.46294871666667,-2.482794,0.001,-0.81937385,0.9134948,1.0866783,0.25143954
"88","C7_Immunologic_signatures","C7_ALL_986_GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_DN",186,3,0.8799314,5.58433209283435e-05,0.8320864,1.44787383333333,-2.4810638,0.001,-0.8320864,0.8799314,-1.0304713,0.39791667
"89","C4_Cancer_modules","C4_CM_42_MODULE_46",374,3,0.39823008,7.0306875083926e-07,1.0206665,1.55238346666667,-2.4701438,0.001,1.1663401,0.082706764,-1.0206665,0.39823008
"90","GO_BP","516145_GO_0071219_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",120,3,0.63394684,2.49804604407407e-05,0.91805226,1.47942228666667,-2.4696643,0.001,-1.0505503,0.35384616,-0.91805226,0.63394684
"91","C2_Chemical_and_genetic_perturbations","C2_CGP_2513_ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP",130,3,0.88865095,2.52649944232922e-05,0.82179517,1.45647639,-2.4679456,0.001,1.0796884,0.25400457,-0.82179517,0.88865095
"92","C2_Chemical_and_genetic_perturbations","C2_CGP_1491_NEMETH_INFLAMMATORY_RESPONSE_LPS_UP",88,3,0.60160965,4.13824485474849e-06,0.93693346,1.54448468666667,-2.466268,0.001,-1.2302526,0.14044943,-0.93693346,0.60160965
"93","GO_BP","516148_GO_0071222_CELLULAR_RESPONSE_TO_LIPOPOLYSACCHARIDE",113,3,0.59322035,3.5298248085501e-05,0.9388107,1.4620487,-2.4508634,0.001,-0.996472,0.45756456,-0.9388107,0.59322035
"94","C2_Chemical_and_genetic_perturbations","C2_CGP_360_HAHTOLA_MYCOSIS_FUNGOIDES_CD4_UP",62,3,0.29752067,1.77344456879614e-07,1.0724951,1.63591613333333,-2.450785,0.001,-1.3844683,0.053846154,-1.0724951,0.29752067
"95","C7_Immunologic_signatures","C7_ALL_6_KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN",198,3,0.9909297,5.9888029012086e-05,0.76826584,1.41116594666667,-2.4480853,0.001,0.76826584,0.9909297,-1.0171467,0.36739132
"96","GO_BP","501901_GO_0032675_REGULATION_OF_INTERLEUKIN_6_PRODUCTION",87,3,0.35946462,5.03215096028811e-06,1.035185,1.52660023333333,-2.4407399,0.001,-1.1038758,0.2611111,-1.035185,0.35946462
"97","C2_Chemical_and_genetic_perturbations","C2_CGP_219_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN",204,3,0.6804598,3.73700209432317e-07,0.93668014,1.54450714666667,-2.4404895,0.001,0.93668014,0.6804598,1.2563518,0.034734916
"98","WikiPathways","198912_WP98_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION",30,3,0.56846476,4.54566309637366e-05,0.929797,1.43406646666667,-2.4397209,0.001,-0.929797,0.549323,0.9326815,0.56846476
"99","GO_BP","516142_GO_0071216_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS",139,3,0.22177419,1.27846269759587e-06,1.1075655,1.55712556666667,-2.439176,0.001,-1.1246352,0.20366973,-1.1075655,0.22177419
"100","C2_Chemical_and_genetic_perturbations","C2_CGP_1284_ROSS_AML_WITH_CBFB_MYH11_FUSION",51,3,0.52434456,1.31942717726453e-05,0.9599197,1.49584653333333,-2.4371274,0.001,-0.9599197,0.52434456,-1.0904925,0.30165288
"101","C7_Immunologic_signatures","C7_ALL_14_GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",198,3,0.43822843,1.47957675271492e-10,1.0078754,1.70581076666667,-2.4331949,0.001,1.0078754,0.43822843,-1.676362,0.001
"102","C7_Immunologic_signatures","C7_ALL_982_GSE22886_NAIVE_BCELL_VS_DC_DN",199,3,1,0.000243585391012994,0.5703076,1.29388398333333,-2.4271672,0.001,-0.5703076,1,0.88417715,0.8045977
"103","KEGG_pathway","HSA05134_LEGIONELLOSIS",55,3,0.048148148,1.67840471413555e-12,1.3970107,1.90561266666667,-2.426154,0.001,-1.3970107,0.048148148,-1.8936733,0.001
"104","C4_Cancer_modules","C4_CM_5_MODULE_5",426,3,0.41941747,1.43802869788877e-05,1.0040675,1.48017393333333,-2.424132,0.001,1.0123223,0.3952381,1.0040675,0.41941747
"105","C7_Immunologic_signatures","C7_ALL_976_GSE22886_NAIVE_TCELL_VS_DC_DN",200,3,0.99832493,0.000185831099769318,0.6837971,1.34019163333333,-2.4224439,0.001,-0.6837971,0.99832493,0.9143339,0.69043154
"106","C7_Immunologic_signatures","C7_ALL_1901_GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP",195,3,0.04761905,2.53435771599482e-09,1.2554207,1.65265903333333,-2.4216752,0.001,-1.2808812,0.04761905,-1.2554207,0.03821656
"107","C4_Cancer_gene_neighborhoods","C4_CGN_394_GNF2_PTPN4",49,3,0.7484277,1.55581378521134e-08,0.83964807,1.62843162333333,-2.4197357,0.001,0.83964807,0.7484277,-1.6259111,0.0061099795
"108","C7_Immunologic_signatures","C7_ALL_1068_GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN",200,3,0.41651705,1.65435431258167e-06,1.0137933,1.5383609,-2.4176266,0.001,-1.1836628,0.124333926,1.0137933,0.41651705
"109","C4_Cancer_gene_neighborhoods","C4_CGN_333_GNF2_CD7",38,3,0.50873363,1.996330078762e-10,0.9624804,1.74034923333333,-2.4170227,0.001,0.9624804,0.50873363,-1.8415446,0.001
"110","C7_Immunologic_signatures","C7_ALL_1078_GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_DN",199,3,0.9982578,1.26285330881206e-05,0.66172934,1.40398361333333,-2.414483,0.001,-0.66172934,0.9982578,-1.1357385,0.15470852
"111","C7_Immunologic_signatures","C7_ALL_334_GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN",199,3,0.13207547,1.31214499820889e-11,1.1584866,1.75930543333333,-2.4141204,0.001,-1.7053093,0.001,-1.1584866,0.13207547
