id	chromosome	start	end	transcript	gene
exon_8492	chr1	34502027	34502196	rna631	21755
exon_8493	chr1	34502624	34503062	rna631	21755
exon_8665	chr1	35869588	35870039	rna666	68483
exon_8666	chr1	35879709	35879972	rna666	68483
exon_8667	chr1	35880682	35881164	rna666	68483
exon_8668	chr1	35869591	35870039	rna667	68483
exon_8669	chr1	35879709	35879972	rna667	68483
exon_8670	chr1	35880682	35880828	rna667	68483
exon_8671	chr1	35880944	35881165	rna667	68483
exon_8678	chr1	36010991	36011073	rna670	102636039
exon_8679	chr1	36003814	36003991	rna670	102636039
exon_8680	chr1	36001939	36003406	rna670	102636039
exon_8681	chr1	36010884	36011004	rna671	102636039
exon_8682	chr1	36003814	36003991	rna671	102636039
exon_8683	chr1	36001939	36003406	rna671	102636039
exon_11328	chr1	37957735	37957759	rna865	69541
exon_11329	chr1	37952740	37952814	rna865	69541
exon_11330	chr1	37950657	37950761	rna865	69541
exon_11331	chr1	37949796	37949989	rna865	69541
exon_11332	chr1	37947177	37947309	rna865	69541
exon_11333	chr1	37946738	37947003	rna865	69541
exon_11334	chr1	37957735	37957750	rna866	69541
exon_11335	chr1	37952740	37952814	rna866	69541
exon_11336	chr1	37950657	37950761	rna866	69541
exon_11337	chr1	37949796	37949989	rna866	69541
exon_11338	chr1	37947177	37947309	rna866	69541
exon_11339	chr1	37946742	37946960	rna866	69541
exon_11340	chr1	37997109	37997208	rna867	98258
exon_11341	chr1	37995633	37995841	rna867	98258
exon_11342	chr1	37993992	37994110	rna867	98258
exon_11343	chr1	37990203	37990457	rna867	98258
exon_11344	chr1	37983867	37987779	rna867	98258
exon_11345	chr1	37997164	37997725	rna868	98258
exon_11346	chr1	37995633	37995841	rna868	98258
exon_11347	chr1	37993992	37994110	rna868	98258
exon_11348	chr1	37990203	37990457	rna868	98258
exon_11349	chr1	37987391	37987779	rna868	98258
exon_11350	chr1	37996893	37997725	rna869	98258
exon_11351	chr1	37995633	37995841	rna869	98258
exon_11352	chr1	37993992	37994110	rna869	98258
exon_11353	chr1	37990203	37990457	rna869	98258
exon_11354	chr1	37987391	37987779	rna869	98258
exon_11791	chr1	38226402	38246122	rna893	102638318
exon_11792	chr1	38246449	38247651	rna893	102638318
exon_11793	chr1	38226402	38245709	rna894	102638318
exon_11794	chr1	38246069	38246122	rna894	102638318
exon_11795	chr1	38246449	38247651	rna894	102638318
exon_11796	chr1	38226402	38239967	rna895	102638318
exon_11797	chr1	38245577	38245709	rna895	102638318
exon_11798	chr1	38246069	38246122	rna895	102638318
exon_11799	chr1	38246449	38247651	rna895	102638318
exon_11892	chr1	38987814	38987849	rna911	68833
exon_11893	chr1	38991246	38991375	rna911	68833
exon_11894	chr1	38994915	38995005	rna911	68833
exon_11895	chr1	38995245	38995388	rna911	68833
exon_11896	chr1	38995735	38995943	rna911	68833
exon_11897	chr1	38996141	38997236	rna911	68833
exon_12070	chr1	39650506	39651182	rna933	263764
exon_12071	chr1	39647776	39647945	rna933	263764
exon_12072	chr1	39624870	39624983	rna933	263764
exon_12073	chr1	39618406	39623243	rna933	263764
exon_12074	chr1	39650506	39651510	rna934	263764
exon_12075	chr1	39647776	39647945	rna934	263764
exon_12076	chr1	39624870	39624983	rna934	263764
exon_12077	chr1	39623160	39623243	rna934	263764
exon_12078	chr1	39618574	39623002	rna934	263764
exon_13136	chr1	40681712	40682165	rna1014	226999
exon_13137	chr1	40718595	40719058	rna1014	226999
exon_13138	chr1	40726208	40726458	rna1014	226999
exon_13139	chr1	40742620	40742837	rna1014	226999
exon_13140	chr1	40743803	40744005	rna1014	226999
exon_13141	chr1	40755709	40755798	rna1014	226999
exon_13142	chr1	40756259	40756329	rna1014	226999
exon_13143	chr1	40761901	40762062	rna1014	226999
exon_13144	chr1	40763543	40763639	rna1014	226999
exon_13145	chr1	40765565	40765696	rna1014	226999
exon_13146	chr1	40766243	40766333	rna1014	226999
exon_13147	chr1	40767626	40768885	rna1014	226999
exon_13154	chr1	40790485	40790657	rna1017	211798
exon_13155	chr1	40787530	40787617	rna1017	211798
exon_13156	chr1	40786167	40786210	rna1017	211798
exon_13157	chr1	40784377	40784506	rna1017	211798
exon_13158	chr1	40781381	40781590	rna1017	211798
exon_13159	chr1	40772040	40774546	rna1017	211798
exon_13311	chr1	42581774	42582017	rna1049	102640854
exon_13312	chr1	42581337	42581420	rna1049	102640854
exon_13313	chr1	42577928	42578146	rna1049	102640854
exon_13314	chr1	42577071	42577154	rna1049	102640854
exon_13315	chr1	42573783	42574023	rna1049	102640854
exon_13568	chr1	43445749	43446027	rna1093	17974
exon_13569	chr1	43509621	43509783	rna1093	17974
exon_13570	chr1	43533555	43533793	rna1093	17974
exon_13571	chr1	43553861	43554582	rna1093	17974
exon_13572	chr1	43569148	43570518	rna1093	17974
exon_13573	chr1	43445751	43446027	rna1094	17974
exon_13574	chr1	43509621	43509783	rna1094	17974
exon_13575	chr1	43533552	43533793	rna1094	17974
exon_13576	chr1	43553861	43554582	rna1094	17974
exon_13577	chr1	43569148	43570518	rna1094	17974
exon_13926	chr1	44218840	44218931	rna1130	403183
exon_13927	chr1	44218111	44218230	rna1130	403183
exon_13928	chr1	44211032	44211198	rna1130	403183
exon_13929	chr1	44210164	44210281	rna1130	403183
exon_13930	chr1	44204070	44206753	rna1130	403183
exon_13934	chr1	44551380	44551457	rna1132	105243918
exon_13935	chr1	44550309	44550710	rna1132	105243918
exon_13936	chr1	44522564	44522601	rna1132	105243918
exon_13937	chr1	44551380	44551457	rna1133	105243918
exon_13938	chr1	44550309	44550710	rna1133	105243918
exon_13939	chr1	44550054	44550080	rna1133	105243918
exon_16857	chr1	52504495	52504944	rna1250	227091
exon_16858	chr1	52507829	52507857	rna1250	227091
exon_16859	chr1	52509067	52509112	rna1250	227091
exon_16860	chr1	52514019	52514159	rna1250	227091
exon_16861	chr1	52514999	52515141	rna1250	227091
exon_16862	chr1	52520208	52520703	rna1250	227091
exon_16863	chr1	52504495	52504944	rna1251	227091
exon_16864	chr1	52507829	52507857	rna1251	227091
exon_16865	chr1	52509067	52509112	rna1251	227091
exon_16866	chr1	52514019	52514159	rna1251	227091
exon_16867	chr1	52520208	52520703	rna1251	227091
exon_17569	chr1	53704477	53705028	rna1303	102634815
exon_17570	chr1	53713807	53713853	rna1303	102634815
exon_17571	chr1	53716294	53716349	rna1303	102634815
exon_17572	chr1	53760071	53760971	rna1303	102634815
exon_17573	chr1	53710992	53711373	rna1304	102634815
exon_17574	chr1	53713807	53713853	rna1304	102634815
exon_17575	chr1	53716294	53716349	rna1304	102634815
exon_17576	chr1	53760071	53760971	rna1304	102634815
exon_18631	chr1	55505881	55509448	rna1378	105243926
exon_18632	chr1	55505681	55505728	rna1378	105243926
exon_18633	chr1	55502042	55505271	rna1378	105243926
exon_18634	chr1	55505881	55509448	rna1379	105243926
exon_18635	chr1	55502042	55505728	rna1379	105243926
exon_19875	chr1	58791383	58791874	rna1498	105243931
exon_19876	chr1	58768884	58769063	rna1498	105243931
exon_19877	chr1	58767583	58767695	rna1498	105243931
exon_19878	chr1	58791383	58791872	rna1499	105243931
exon_19879	chr1	58768884	58769063	rna1499	105243931
exon_19880	chr1	58767583	58767706	rna1499	105243931
exon_20562	chr1	59670680	59670834	rna1560	22218
exon_20563	chr1	59655458	59655532	rna1560	22218
exon_20564	chr1	59644517	59644594	rna1560	22218
exon_20565	chr1	59642418	59642489	rna1560	22218
exon_20566	chr1	59639434	59640268	rna1560	22218
exon_22020	chr1	60599358	60599635	rna1637	105243936
exon_22021	chr1	60598740	60598775	rna1637	105243936
exon_22022	chr1	60594002	60598305	rna1637	105243936
exon_22023	chr1	60599358	60599633	rna1638	105243936
exon_22024	chr1	60594002	60598775	rna1638	105243936
exon_23113	chr1	65057090	65057116	rna1788	12968
exon_23114	chr1	65050770	65051012	rna1788	12968
exon_23115	chr1	65048555	65048896	rna1788	12968
exon_23116	chr1	65051105	65051163	rna1789	12968
exon_23117	chr1	65050770	65051012	rna1789	12968
exon_23118	chr1	65048557	65048896	rna1789	12968
exon_25073	chr1	66863173	66863309	rna1885	11363
exon_25074	chr1	66857399	66857554	rna1885	11363
exon_25075	chr1	66854624	66854761	rna1885	11363
exon_25076	chr1	66853127	66853291	rna1885	11363
exon_25077	chr1	66848400	66848466	rna1885	11363
exon_25078	chr1	66845168	66845332	rna1885	11363
exon_25079	chr1	66843081	66843182	rna1885	11363
exon_25080	chr1	66841622	66841735	rna1885	11363
exon_25081	chr1	66838279	66838406	rna1885	11363
exon_25082	chr1	66836962	66837048	rna1885	11363
exon_25083	chr1	66830839	66831527	rna1885	11363
exon_25369	chr1	69431135	69431453	rna1904	102640814
exon_25370	chr1	69433531	69433655	rna1904	102640814
exon_25371	chr1	69441000	69444090	rna1904	102640814
exon_25372	chr1	69431135	69431453	rna1905	102640814
exon_25373	chr1	69433533	69433655	rna1905	102640814
exon_25374	chr1	69441000	69444090	rna1905	102640814
exon_25375	chr1	69431135	69431453	rna1906	102640814
exon_25376	chr1	69433533	69433655	rna1906	102640814
exon_25377	chr1	69441000	69441195	rna1906	102640814
exon_25378	chr1	69442873	69442905	rna1906	102640814
exon_25379	chr1	69443467	69444090	rna1906	102640814
exon_25380	chr1	69433662	69434200	rna1907	102640814
exon_25381	chr1	69441000	69444090	rna1907	102640814
exon_26232	chr1	71813563	71813837	rna1965	102632161
exon_26233	chr1	71830540	71832026	rna1965	102632161
exon_26234	chr1	71835433	71835845	rna1965	102632161
exon_26235	chr1	71813567	71813837	rna1966	102632161
exon_26236	chr1	71814363	71814507	rna1966	102632161
exon_26243	chr1	71916970	71917125	rna1969	102632274
exon_26244	chr1	71893835	71896900	rna1969	102632274
exon_26245	chr1	71898858	71899295	rna1970	102632274
exon_26246	chr1	71896353	71896900	rna1970	102632274
exon_26247	chr1	71894415	71895387	rna1970	102632274
exon_26248	chr1	71898678	71898790	rna1971	102632274
exon_26249	chr1	71896353	71896900	rna1971	102632274
exon_26250	chr1	71894415	71895387	rna1971	102632274
exon_26255	chr1	72123537	72123738	rna1973	100043255
exon_26256	chr1	72114496	72114584	rna1973	100043255
exon_26257	chr1	72107142	72109017	rna1973	100043255
exon_26258	chr1	72121945	72122001	rna1974	100043255
exon_26259	chr1	72121237	72121275	rna1974	100043255
exon_26260	chr1	72114496	72114584	rna1974	100043255
exon_26261	chr1	72107142	72109017	rna1974	100043255
exon_26366	chr1	72284093	72284314	rna1994	111175
exon_26367	chr1	72277287	72277420	rna1994	111175
exon_26368	chr1	72276166	72276331	rna1994	111175
exon_26369	chr1	72274886	72274967	rna1994	111175
exon_26370	chr1	72270277	72270373	rna1994	111175
exon_26371	chr1	72267407	72267517	rna1994	111175
exon_26372	chr1	72261952	72262063	rna1994	111175
exon_26373	chr1	72259172	72259433	rna1994	111175
exon_26374	chr1	72284093	72284260	rna1995	111175
exon_26375	chr1	72277287	72277420	rna1995	111175
exon_26376	chr1	72274886	72274967	rna1995	111175
exon_26377	chr1	72270277	72270373	rna1995	111175
exon_26378	chr1	72267407	72267517	rna1995	111175
exon_26379	chr1	72261952	72262063	rna1995	111175
exon_26380	chr1	72259172	72259433	rna1995	111175
exon_26384	chr1	72284362	72284472	rna1997	271711
exon_26385	chr1	72292920	72293045	rna1997	271711
exon_26386	chr1	72297770	72298178	rna1997	271711
exon_26387	chr1	72300684	72303104	rna1997	271711
exon_26388	chr1	72284362	72284472	rna1998	271711
exon_26389	chr1	72297770	72298178	rna1998	271711
exon_26390	chr1	72300684	72303104	rna1998	271711
exon_26391	chr1	72284362	72284466	rna1999	271711
exon_26392	chr1	72292920	72293045	rna1999	271711
exon_26393	chr1	72297770	72298178	rna1999	271711
exon_26394	chr1	72300684	72303104	rna1999	271711
exon_26395	chr1	72284373	72284466	rna2000	271711
exon_26396	chr1	72297770	72298178	rna2000	271711
exon_26397	chr1	72300684	72302995	rna2000	271711
exon_26803	chr1	72824480	72824964	rna2037	16008
exon_26804	chr1	72849086	72849312	rna2037	16008
exon_26805	chr1	72849564	72849704	rna2037	16008
exon_26806	chr1	72851998	72852474	rna2037	16008
exon_26807	chr1	72825327	72825474	rna2038	16008
exon_26808	chr1	72849086	72849312	rna2038	16008
exon_26809	chr1	72849564	72849704	rna2038	16008
exon_26810	chr1	72851998	72852474	rna2038	16008
exon_26815	chr1	72936864	72936982	rna2040	102633145
exon_26816	chr1	72937077	72937177	rna2040	102633145
exon_26817	chr1	72937356	72937493	rna2040	102633145
exon_26818	chr1	72940496	72940540	rna2040	102633145
exon_26819	chr1	72941684	72941818	rna2040	102633145
exon_26820	chr1	72942754	72942891	rna2040	102633145
exon_26821	chr1	72948389	72948561	rna2040	102633145
exon_26822	chr1	72950075	72952744	rna2040	102633145
exon_26868	chr1	73407341	73407569	rna2054	723792
exon_26869	chr1	73404996	73405053	rna2054	723792
exon_26870	chr1	73400204	73400276	rna2054	723792
exon_26871	chr1	73397031	73397214	rna2054	723792
exon_26872	chr1	73391385	73392400	rna2054	723792
exon_27920	chr1	74215602	74215644	rna2107	102634001
exon_27921	chr1	74214704	74214841	rna2107	102634001
exon_27922	chr1	74208480	74209258	rna2107	102634001
exon_27923	chr1	74215203	74215555	rna2108	102634001
exon_27924	chr1	74214704	74214841	rna2108	102634001
exon_27925	chr1	74208480	74209258	rna2108	102634001
exon_27926	chr1	74215104	74215193	rna2109	102634001
exon_27927	chr1	74214704	74214841	rna2109	102634001
exon_27928	chr1	74208480	74209258	rna2109	102634001
exon_28169	chr1	74391609	74391964	rna2134	227292
exon_28170	chr1	74393278	74393426	rna2134	227292
exon_28171	chr1	74393797	74393901	rna2134	227292
exon_28172	chr1	74394019	74394075	rna2134	227292
exon_28173	chr1	74394640	74394732	rna2134	227292
exon_28174	chr1	74394837	74395022	rna2134	227292
exon_28175	chr1	74395456	74397285	rna2134	227292
exon_29896	chr1	75219426	75219860	rna2272	22145
exon_29897	chr1	75217212	75217434	rna2272	22145
exon_29898	chr1	75216827	75216975	rna2272	22145
exon_29899	chr1	75214974	75216593	rna2272	22145
exon_29900	chr1	75219193	75219253	rna2273	22145
exon_29901	chr1	75217212	75217434	rna2273	22145
exon_29902	chr1	75216827	75216975	rna2273	22145
exon_29903	chr1	75214974	75216593	rna2273	22145
exon_29904	chr1	75223623	75224048	rna2274	381272
exon_29905	chr1	75223294	75223430	rna2274	381272
exon_29906	chr1	75219955	75220573	rna2274	381272
exon_29907	chr1	75231975	75232093	rna2275	381272
exon_29908	chr1	75223294	75223430	rna2275	381272
exon_29909	chr1	75220095	75220573	rna2275	381272
exon_29910	chr1	75223623	75223654	rna2276	381272
exon_29911	chr1	75223294	75223430	rna2276	381272
exon_29912	chr1	75220095	75220573	rna2276	381272
exon_30954	chr1	75450510	75451413	rna2327	241118
exon_30955	chr1	75469111	75469255	rna2327	241118
exon_30956	chr1	75469357	75469484	rna2327	241118
exon_30957	chr1	75469671	75469833	rna2327	241118
exon_30958	chr1	75470279	75470335	rna2327	241118
exon_30959	chr1	75472284	75472437	rna2327	241118
exon_30960	chr1	75472822	75472913	rna2327	241118
exon_30961	chr1	75472992	75473071	rna2327	241118
exon_30962	chr1	75473243	75473347	rna2327	241118
exon_30963	chr1	75473519	75474340	rna2327	241118
exon_30987	chr1	75479532	75479885	rna2334	319998
exon_30988	chr1	75480193	75480397	rna2334	319998
exon_30989	chr1	75482569	75483144	rna2334	319998
exon_30990	chr1	75484375	75484577	rna2334	319998
exon_30991	chr1	75484847	75485693	rna2334	319998
exon_30992	chr1	75479799	75479885	rna2335	319998
exon_30993	chr1	75480193	75480329	rna2335	319998
exon_30994	chr1	75482569	75483144	rna2335	319998
exon_30995	chr1	75484375	75484577	rna2335	319998
exon_30996	chr1	75484847	75485693	rna2335	319998
exon_31671	chr1	78199983	78200793	rna2393	102635943
exon_31672	chr1	78201224	78201354	rna2393	102635943
exon_31673	chr1	78201579	78201928	rna2393	102635943
exon_31674	chr1	78202452	78203051	rna2393	102635943
exon_31675	chr1	78201161	78201354	rna2394	102635943
exon_31676	chr1	78201579	78201928	rna2394	102635943
exon_31677	chr1	78202452	78203051	rna2394	102635943
exon_31678	chr1	78201162	78201354	rna2395	102635943
exon_31679	chr1	78201579	78201828	rna2395	102635943
exon_31680	chr1	78202452	78203051	rna2395	102635943
exon_31880	chr1	78719984	78722008	rna2420	102642773
exon_31881	chr1	78737210	78737331	rna2420	102642773
exon_31882	chr1	78745255	78746154	rna2420	102642773
exon_31883	chr1	78719984	78720492	rna2421	102642773
exon_31884	chr1	78721489	78722008	rna2421	102642773
exon_31885	chr1	78737210	78737331	rna2421	102642773
exon_31886	chr1	78745255	78746154	rna2421	102642773
exon_31997	chr1	80217816	80218504	rna2440	241128
exon_31998	chr1	80216142	80216389	rna2440	241128
exon_31999	chr1	80214471	80214626	rna2440	241128
exon_32000	chr1	80212933	80213866	rna2440	241128
exon_32001	chr1	80200063	80200548	rna2440	241128
exon_32002	chr1	80193154	80193240	rna2440	241128
exon_32003	chr1	80186969	80187050	rna2440	241128
exon_32004	chr1	80212933	80213944	rna2441	241128
exon_32005	chr1	80198699	80200548	rna2441	241128
exon_32006	chr1	80217816	80218504	rna2442	241128
exon_32007	chr1	80216142	80216389	rna2442	241128
exon_32008	chr1	80201211	80201260	rna2442	241128
exon_34153	chr1	84284341	84284645	rna2573	98496
exon_34154	chr1	84159232	84159378	rna2573	98496
exon_34155	chr1	84036293	84038507	rna2573	98496
exon_34156	chr1	84284341	84284675	rna2574	98496
exon_34157	chr1	84159232	84159378	rna2574	98496
exon_34158	chr1	84080733	84080798	rna2574	98496
exon_34159	chr1	84036296	84038507	rna2574	98496
exon_34160	chr1	84284341	84284674	rna2575	98496
exon_34161	chr1	84036296	84038507	rna2575	98496
exon_34162	chr1	84191340	84191362	rna2576	98496
exon_34163	chr1	84159232	84159378	rna2576	98496
exon_34164	chr1	84080733	84080798	rna2576	98496
exon_34165	chr1	84036296	84038507	rna2576	98496
exon_35346	chr1	84839841	84839968	rna2610	66153
exon_35347	chr1	84881092	84881200	rna2610	66153
exon_35348	chr1	84896490	84896662	rna2610	66153
exon_35349	chr1	84899997	84900486	rna2610	66153
exon_35350	chr1	84874361	84875239	rna2611	66153
exon_35351	chr1	84881092	84881200	rna2611	66153
exon_35352	chr1	84896490	84896662	rna2611	66153
exon_35353	chr1	84899997	84900487	rna2611	66153
exon_35401	chr1	85317125	85317341	rna2622	102638555
exon_35402	chr1	85314352	85314520	rna2622	102638555
exon_35403	chr1	85156899	85157722	rna2622	102638555
exon_35404	chr1	85308659	85309015	rna2623	102638555
exon_35405	chr1	85156899	85157722	rna2623	102638555
exon_35406	chr1	85308439	85309015	rna2624	102638555
exon_35407	chr1	85156899	85157722	rna2624	102638555
exon_35408	chr1	85199980	85200251	rna2625	102638555
exon_35409	chr1	85156899	85157722	rna2625	102638555
exon_36158	chr1	86045863	86046572	rna2716	72792
exon_36159	chr1	86048588	86048701	rna2716	72792
exon_36160	chr1	86052950	86055456	rna2716	72792
exon_36161	chr1	86045863	86046572	rna2717	72792
exon_36162	chr1	86048591	86048701	rna2717	72792
exon_36163	chr1	86052950	86055456	rna2717	72792
exon_36658	chr1	86464249	86464599	rna2755	102635408
exon_36659	chr1	86463924	86464093	rna2755	102635408
exon_36660	chr1	86463728	86463813	rna2755	102635408
exon_36661	chr1	86457350	86457503	rna2755	102635408
exon_36662	chr1	86456652	86457248	rna2755	102635408
exon_36663	chr1	86463924	86464599	rna2756	102635408
exon_36664	chr1	86463728	86463813	rna2756	102635408
exon_36665	chr1	86457350	86457503	rna2756	102635408
exon_36666	chr1	86456652	86457248	rna2756	102635408
exon_36979	chr1	87125008	87125074	rna2793	11648
exon_36980	chr1	87125158	87125274	rna2793	11648
exon_36981	chr1	87125392	87125507	rna2793	11648
exon_36982	chr1	87125627	87125801	rna2793	11648
exon_36983	chr1	87125880	87126052	rna2793	11648
exon_36984	chr1	87126310	87126444	rna2793	11648
exon_36985	chr1	87126526	87126598	rna2793	11648
exon_36986	chr1	87126728	87126862	rna2793	11648
exon_36987	chr1	87126936	87127127	rna2793	11648
exon_36988	chr1	87127330	87127443	rna2793	11648
exon_36989	chr1	87127530	87127912	rna2793	11648
exon_37309	chr1	87264308	87264754	rna2820	98363
exon_37310	chr1	87289468	87289615	rna2820	98363
exon_37311	chr1	87297629	87297763	rna2820	98363
exon_37312	chr1	87309661	87309846	rna2820	98363
exon_37313	chr1	87309972	87310839	rna2820	98363
exon_37314	chr1	87264364	87264754	rna2821	98363
exon_37315	chr1	87289468	87289615	rna2821	98363
exon_37316	chr1	87297629	87297763	rna2821	98363
exon_37317	chr1	87309661	87310791	rna2821	98363
exon_37601	chr1	87470216	87470411	rna2834	73234
exon_37602	chr1	87475026	87475205	rna2834	73234
exon_37603	chr1	87475329	87475482	rna2834	73234
exon_37604	chr1	87470264	87470411	rna2835	73234
exon_37605	chr1	87475023	87475205	rna2835	73234
exon_37606	chr1	87475329	87475459	rna2835	73234
exon_37890	chr1	87740702	87740855	rna2854	102636458
exon_37891	chr1	87739781	87739885	rna2854	102636458
exon_37892	chr1	87728681	87729737	rna2854	102636458
exon_37893	chr1	87740702	87740855	rna2855	102636458
exon_37894	chr1	87739781	87739885	rna2855	102636458
exon_37895	chr1	87728681	87729899	rna2855	102636458
exon_38509	chr1	88055411	88056336	rna2886	394430
exon_38510	chr1	88215044	88215175	rna2886	394430
exon_38511	chr1	88215795	88215882	rna2886	394430
exon_38512	chr1	88216138	88216357	rna2886	394430
exon_38513	chr1	88218127	88220002	rna2886	394430
exon_38536	chr1	88166012	88166903	rna2891	394433
exon_38537	chr1	88215044	88215175	rna2891	394433
exon_38538	chr1	88215795	88215882	rna2891	394433
exon_38539	chr1	88216138	88216357	rna2891	394433
exon_38540	chr1	88218127	88220002	rna2891	394433
exon_39262	chr1	89070462	89070597	rna2941	98402
exon_39263	chr1	89107258	89107336	rna2941	98402
exon_39264	chr1	89137559	89137803	rna2941	98402
exon_39265	chr1	89143550	89145906	rna2941	98402
exon_39266	chr1	89152200	89152388	rna2941	98402
exon_39267	chr1	89153127	89153793	rna2941	98402
exon_39274	chr1	89133716	89133965	rna2944	98402
exon_39275	chr1	89137559	89137803	rna2944	98402
exon_39276	chr1	89143550	89145906	rna2944	98402
