"","ND410-B","ND422-B","ND426-B","SLE1077-B","SLE1169-B","SLE985-B","ND410-T","ND422-T","ND426-T","SLE1077-T","SLE1169-T","SLE985-T","ND410-M","ND422-M","ND430-M","SLE1077-M","SLE1169-M","SLE985-M"
"71",1652,2642,2584,709,695,513,478,536,835,1127,2150,1249,3855,4776,3202,3971,3389,3900
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",467,664,586,180,189,170,272,158,140,166,143,220,819,834,827,388,599,696
"86",66,21,84,58,88,74,50,47,9,41,122,62,25,24,51,22,22,25
"87",166,238,170,85,51,27,147,145,96,164,212,143,622,611,554,430,699,629
"88",6,10,0,6,2,4,6,11,5,3,0,4,6,8,11,4,0,0
"89",0,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0
"90",46,44,106,16,23,17,65,42,44,31,27,46,193,84,126,88,246,142
"91",99,166,123,53,64,53,69,63,111,82,94,93,283,298,431,323,437,610
"92",187,109,57,81,58,47,148,101,37,78,118,89,697,224,136,153,411,276
"93",32,29,35,20,26,11,110,65,28,34,68,31,13,6,20,13,12,11
"94",3,2,0,0,0,0,0,0,0,1,0,0,4,1,11,1,1,6
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",5,8,0,7,13,5,8,6,2,1,7,8,5,1,8,5,0,4
"98",20,15,6,10,9,14,7,4,2,10,10,5,11,18,17,7,10,10
"100",138,213,43,61,32,55,65,61,21,38,39,61,275,252,60,66,149,152
"101",271,360,163,152,111,119,85,86,63,77,38,67,424,332,343,317,344,356
"102",750,851,519,214,362,192,376,354,335,195,288,241,1463,1374,1622,406,720,821
"103",1185,1116,1292,1181,1441,1260,1025,667,436,915,1817,1024,1240,1164,3069,954,901,1134
"104",165,80,189,88,96,123,196,81,87,48,99,48,90,32,93,7,51,24
"105",0,0,3,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
"107",4,2,21,11,6,2,4,7,30,4,6,2,0,0,6,3,0,1
"108",2,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0
"109",94,59,91,116,148,174,28,24,11,40,23,27,38,62,19,55,45,47
"111",0,0,1,0,2,1,5,2,0,0,7,5,0,0,1,1,0,0
"112",1,2,0,0,0,1,1,1,0,1,0,3,0,0,2,2,0,2
"113",424,569,379,159,152,192,501,311,240,142,165,270,632,566,1047,264,359,340
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"115",136,217,94,12,14,15,35,89,65,23,38,39,229,774,309,44,91,74
"116",1,2,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0
"117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",471,427,631,210,302,267,188,128,116,87,234,169,473,445,566,130,130,218
"119",85,40,26,29,41,53,11,21,20,9,15,13,4,21,5,4,1,4
"120",1545,1528,2041,535,808,732,1608,1022,630,782,2308,932,960,1215,1389,486,739,627
"123",1004,1788,1502,220,179,116,181,460,346,229,159,215,2421,6636,3278,1378,1375,1591
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"127",1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"128",109,98,114,66,159,109,74,38,28,93,272,95,97,140,174,50,62,66
"130",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",267,91,141,149,155,146,56,62,92,48,79,52,176,89,73,20,20,37
"133",87,149,26,54,7,12,15,38,36,33,2,14,430,600,457,329,208,385
"134",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
"135",2,3,0,1,0,0,0,2,0,0,1,0,12,15,6,2,1,7
"136",26,41,50,9,10,5,7,16,12,9,13,10,80,81,169,91,145,116
"140",3,13,5,0,5,1,1,0,0,1,4,2,9,3,4,3,85,16
"141",120,82,86,78,99,61,12,18,47,36,3,16,170,182,175,178,196,172
"142",387,196,202,210,377,198,117,98,119,79,200,111,108,122,155,32,67,46
"143",477,615,646,282,476,280,302,285,264,219,707,310,759,666,1069,346,554,542
"146",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"147",2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
"148",0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"150",2,0,0,2,0,2,0,0,2,1,0,0,1,0,1,1,0,0
"151",14,17,40,3,3,3,111,51,152,8,1,1,25,17,41,7,8,4
"152",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"153",3,1,1,0,0,0,0,1,0,2,0,2,5,0,11,2,5,7
"154",215,342,385,61,28,30,160,165,328,46,46,61,452,618,610,77,116,131
"155",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",134,180,191,99,97,83,98,82,96,60,116,60,238,283,313,195,172,153
"157",946,719,814,263,417,326,48,96,106,82,16,108,997,813,1209,360,417,397
"158",53,52,58,80,88,104,67,46,94,100,241,116,48,68,90,44,64,49
"159",205,175,307,95,172,132,165,104,98,126,321,131,234,226,198,75,271,171
"160",46,80,58,20,19,17,18,17,34,13,15,16,96,115,116,52,38,80
"161",45,60,36,28,24,21,63,37,40,23,41,34,57,67,105,46,54,58
"162",460,213,307,404,661,450,98,72,53,87,125,81,349,429,401,223,307,300
"163",638,602,748,456,540,336,462,345,226,313,589,408,724,645,877,332,440,433
"164",2128,1634,1714,1351,1450,1398,1162,960,594,911,1222,842,3211,2355,2938,1483,2105,1733
"165",56,32,54,28,39,40,68,29,12,9,26,21,2,1,8,0,0,0
"166",236,214,421,135,138,124,144,101,67,101,297,100,112,199,151,87,74,66
"172",35,37,37,54,81,56,67,40,27,37,54,33,26,17,61,28,39,35
"173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",42,29,12,22,34,28,13,6,4,20,41,35,66,36,33,40,51,48
"176",1,0,2,2,3,4,0,4,1,3,4,4,0,0,0,0,0,5
"177",25,17,17,7,15,6,28,56,11,7,8,4,18,14,20,11,11,6
"178",112,74,102,80,120,104,128,63,26,71,179,93,41,21,60,11,18,18
"181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"182",82,154,58,35,9,6,34,22,16,49,5,18,617,165,554,383,455,515
"183",0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"185",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"186",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"187",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"191",74,65,46,22,23,28,54,57,19,23,42,18,80,126,71,47,49,48
"196",2034,1525,850,680,451,377,887,641,656,976,322,663,9188,4132,4873,3848,7286,5283
"199",890,1347,492,228,53,128,121,202,413,349,57,360,2662,3565,2944,1904,1650,2800
"202",1209,1086,2109,339,883,428,1306,671,743,1232,6196,2315,1088,772,1263,431,978,758
"203",23,32,49,37,43,24,64,87,90,39,85,27,31,8,15,9,9,5
"204",317,449,504,151,291,135,194,136,160,113,323,145,431,566,514,113,156,211
"205",34,17,1,5,4,1,3,5,1,6,2,6,103,22,24,38,130,91
"207",113,137,72,59,59,50,68,54,24,37,46,44,177,212,192,100,101,88
"208",326,231,324,493,700,569,273,174,173,273,422,262,264,324,341,196,167,253
"210",68,83,43,17,24,26,23,31,3,27,39,42,101,133,122,33,34,63
"211",281,236,307,47,73,31,138,153,225,43,59,53,835,539,585,191,229,468
"212",5,0,0,41,2,51,3,0,0,62,1,34,0,1,1,0,0,0
"213",0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
"214",321,399,282,156,127,146,112,69,74,140,54,64,851,420,268,288,459,176
"215",28,17,15,8,8,8,11,6,1,7,3,5,63,57,65,47,33,42
"216",207,118,11,11,4,9,15,42,63,12,1,9,658,826,601,116,128,246
"217",258,376,200,53,40,25,27,60,87,50,8,45,1005,1187,1516,483,650,895
"218",0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0
"219",4,4,0,6,7,6,2,1,2,3,9,8,4,7,9,5,3,5
"220",0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
"221",49,85,22,12,3,6,6,25,12,7,0,16,200,235,294,91,77,145
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",154,149,201,118,193,218,128,59,69,111,292,148,155,193,238,84,85,102
"224",121,123,154,36,38,19,104,105,107,38,102,50,169,217,326,106,134,147
"225",5,10,19,3,1,4,49,31,38,13,21,27,3,3,2,1,0,1
"226",578,815,567,179,167,115,147,189,149,187,254,187,1411,2112,1460,998,961,1345
"229",0,0,0,0,3,1,3,8,19,2,4,0,1,0,0,1,0,0
"230",24,35,38,3,9,7,21,17,15,8,25,23,26,22,49,7,7,17
"231",118,96,187,72,77,48,84,49,38,48,132,64,115,150,79,55,51,43
"238",3,4,0,3,2,1,9,11,7,4,6,6,3,0,4,4,2,2
"239",14,13,34,10,11,3,12,12,16,14,8,17,23,14,36,17,7,23
"240",253,251,349,244,180,263,25,40,25,83,9,76,482,477,569,288,307,469
"241",292,612,998,295,184,196,81,59,78,285,160,239,461,416,379,862,1237,1443
"242",0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
"245",1,4,2,0,1,0,1,2,19,0,2,0,0,0,1,0,0,1
"246",0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"247",6,5,0,0,0,0,0,1,0,0,0,1,9,15,7,2,1,3
"248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249",24,3,4,22,77,14,0,0,0,21,0,6,2,0,0,33,17,36
"250",0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
"251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"257",0,0,0,1,2,0,0,1,0,0,0,0,3,0,2,0,0,1
"258",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262",841,698,1044,488,427,570,484,322,344,342,589,338,863,741,932,349,361,357
"265",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267",269,135,280,253,278,227,88,53,88,112,216,102,287,196,226,227,220,168
"268",0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
"269",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"270",0,1,0,0,0,0,6,4,2,0,0,1,0,0,0,0,0,1
"271",207,232,123,80,38,49,182,129,160,94,77,103,389,393,645,268,285,297
"272",440,166,108,143,411,173,96,59,51,68,105,54,978,335,260,258,515,431
"273",5,7,2,0,1,0,2,4,3,0,1,5,3,16,10,3,7,3
"274",123,130,142,39,89,52,75,45,72,42,117,58,234,122,118,118,223,152
"275",34,36,27,23,30,52,65,57,67,18,47,42,20,21,43,15,12,33
"277",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279",0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0
"280",87,52,68,87,84,76,180,114,71,73,141,79,86,47,63,66,45,70
"283",3,3,4,0,0,0,4,0,0,0,1,0,13,9,18,0,5,4
"284",2,9,0,5,0,3,1,3,0,4,0,4,9,5,14,3,1,1
"285",34,29,51,34,94,32,52,60,28,25,53,20,13,3,20,5,11,3
"286",32,12,24,41,33,39,14,37,15,30,4,28,12,14,10,4,1,4
"287",20,3,1,15,5,5,3,4,5,6,0,8,0,0,1,4,1,4
"288",195,109,285,71,153,34,780,625,401,276,734,220,27,48,11,35,6,5
"290",950,261,508,222,185,74,89,37,318,270,30,268,4299,749,2913,1913,4357,4857
"291",60,30,50,68,94,57,86,51,116,26,65,36,12,6,11,4,4,1
"292",792,708,831,306,339,325,239,188,170,218,341,276,938,1194,694,523,516,516
"293",1187,1138,1330,665,721,866,230,251,510,451,793,548,1573,2528,1358,1358,1097,1507
"301",1641,1658,1149,511,181,172,789,341,726,887,625,737,6550,4037,5705,2848,4779,4618
"302",1917,2167,1233,354,213,157,422,444,423,478,167,504,5470,4673,3927,2070,3432,3774
"303",0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
"304",13,15,4,3,2,0,3,4,1,0,0,4,43,28,21,22,33,29
"305",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"306",19,47,1,7,1,9,1,4,0,10,1,6,0,2,2,5,3,7
"307",178,218,118,34,21,33,29,38,40,13,10,52,288,334,457,55,68,261
"308",2457,2360,735,428,250,279,282,468,489,387,174,400,8056,6158,4976,2666,4054,3847
"309",350,210,224,58,127,87,168,113,123,56,77,100,132,177,327,49,58,128
"310",406,370,300,479,558,482,157,132,106,395,715,362,666,719,655,373,559,488
"311",226,246,448,136,140,172,139,79,70,108,162,175,416,428,396,237,342,416
"313",605,815,135,73,48,44,180,311,113,99,146,154,1755,2026,3743,647,634,1085
"314",13,12,12,9,6,12,18,11,16,6,7,7,14,16,14,5,5,6
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
"317",366,450,368,86,132,75,68,117,96,47,122,43,154,327,609,46,151,65
"318",16,17,12,15,5,6,13,6,2,18,22,19,22,33,44,15,6,13
"319",1,2,28,0,0,2,3,6,0,0,5,3,0,0,0,0,1,4
"320",3,17,22,1,1,0,3,2,0,1,2,0,10,5,11,1,1,1
"321",16,20,42,4,4,3,86,92,58,47,247,77,6,7,6,4,1,1
"322",12,14,48,23,14,13,42,47,44,26,120,27,4,10,3,6,3,0
"323",70,39,60,114,156,154,5,6,3,16,2,7,6,23,11,33,19,33
"324",539,614,483,451,552,420,593,412,251,373,567,355,746,422,976,396,471,472
"325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"326",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"327",51,69,51,17,29,18,36,25,51,24,57,20,79,123,74,25,19,28
"328",515,521,802,345,409,400,270,192,245,290,761,304,553,782,600,283,256,345
"329",1463,953,923,657,817,963,2609,1368,608,887,1558,816,1087,948,675,395,707,490
"330",16923,8105,14002,5257,8346,7238,9973,6744,3158,3687,5769,2732,5111,4749,1250,1215,2535,1171
"331",250,205,278,167,249,101,84,108,79,116,216,83,406,203,166,414,467,422
"332",3,5,1,3,0,0,1,1,0,7,1,7,1,1,0,0,0,0
"333",5,3,4,0,1,0,1,2,1,0,0,0,3,3,2,0,0,0
"334",3711,3232,1058,1441,1230,960,1129,1305,882,1163,407,685,10181,10864,10260,6196,8644,9002
"335",0,5,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
"336",7,6,2,1,0,0,0,4,1,1,1,1,18,8,36,5,5,20
"337",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338",0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1
"339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"341",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,4
"342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"343",2,0,1,0,2,0,3,1,0,2,1,0,1,0,2,0,0,3
"344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"347",2,0,2,2,0,0,1,2,4,1,0,0,0,0,0,0,0,0
"348",2,0,0,3,1,3,5,2,0,1,3,1,2,0,0,0,0,1
"350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351",531,678,344,206,207,189,174,124,83,178,181,151,1246,932,1184,469,812,850
"353",67,59,59,46,38,43,22,20,23,32,95,53,56,109,78,61,41,69
"354",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"355",173,128,195,99,122,168,135,90,70,158,254,221,136,162,175,49,99,141
"356",11,33,25,3,4,1,22,10,4,14,10,29,7,7,9,7,5,4
"357",1,6,9,1,1,0,1,0,3,0,0,0,1,1,1,1,0,1
"358",1,0,0,0,0,0,0,3,0,0,0,1,0,2,0,2,0,0
"359",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"360",17,54,61,12,8,0,145,71,67,55,286,35,31,24,15,11,8,5
"361",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"362",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"363",0,0,1,0,0,0,0,4,0,0,0,1,1,0,2,4,0,2
"366",3562,2041,304,461,176,94,93,442,242,518,37,229,5699,8058,1601,2677,6293,2947
"367",4,8,9,1,0,2,2,1,0,1,1,2,1,1,1,1,1,0
"368",4,2,2,1,1,0,2,5,3,0,0,0,4,8,11,3,3,4
"369",189,167,245,201,230,167,167,128,126,113,178,123,251,228,291,206,235,185
"372",1446,1360,1591,1049,1214,1006,670,468,334,914,1845,844,1884,1729,1603,947,1868,1101
"373",87,70,140,103,151,117,193,121,125,125,289,103,58,24,44,68,62,49
"374",268,544,604,111,83,142,67,75,72,76,143,66,332,643,371,327,350,353
"375",1853,1751,2384,1271,1077,1379,464,489,517,841,1200,774,2992,3705,2380,2114,2423,2323
"377",423,593,262,148,221,134,210,203,149,180,206,173,719,866,811,465,596,638
"378",817,993,1095,321,250,246,342,234,233,269,336,199,1010,1580,1041,434,747,534
"379",36,18,54,0,3,2,20,20,44,0,3,3,4,20,18,0,0,2
"381",14,21,24,21,21,17,9,7,15,4,13,12,23,46,44,23,22,14
"382",791,858,616,511,694,542,299,255,126,402,526,339,1456,977,1084,1368,1490,1812
"383",30,105,2,11,15,18,9,12,19,26,10,17,4,1,4,8,7,7
"384",161,137,220,73,121,98,150,79,72,45,149,69,141,150,190,102,131,125
"387",5242,5088,4173,3864,3054,2971,985,917,924,1978,2039,2066,10459,10099,9122,6220,7411,8149
"388",412,427,443,302,97,181,131,61,59,101,19,133,1104,572,2110,723,155,560
"389",59,147,49,17,9,19,13,16,16,24,30,18,134,91,71,63,38,58
"390",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13,0,5
"391",762,544,540,508,533,529,186,171,159,326,475,230,706,893,786,652,645,761
"392",149,203,156,90,125,97,51,74,43,47,122,72,194,272,353,106,98,174
"393",146,149,124,110,122,126,145,151,133,94,133,91,187,190,214,126,87,109
"394",455,368,548,437,516,529,515,234,252,528,1121,439,269,223,317,358,320,493
"395",8,8,11,6,5,3,1,0,0,9,0,3,13,4,2,5,2,7
"396",284,250,282,239,203,214,61,96,103,111,176,119,398,507,310,397,307,497
"397",3261,3712,4528,1943,2165,2188,1453,994,1168,2071,5181,2839,4111,5700,5433,1947,2082,4004
"399",1700,539,1729,838,1051,969,1192,817,429,571,1416,518,122,143,93,117,53,57
"400",66,41,70,81,134,86,25,15,32,62,175,90,50,75,75,33,40,33
"401",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"402",8,5,0,2,12,3,2,1,4,0,2,3,4,6,11,2,1,2
"403",19,19,4,15,24,8,23,17,47,10,23,8,27,34,57,13,8,24
"405",311,328,363,149,171,129,158,118,140,142,199,99,502,394,603,247,346,312
"406",111,120,133,87,103,77,204,140,30,109,177,109,143,100,40,96,87,109
"407",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"408",291,437,321,28,21,36,166,160,107,82,80,109,658,534,1074,293,319,335
"409",470,792,427,292,154,141,226,232,239,350,295,279,1404,1512,1772,1737,1658,1878
"410",29,28,40,13,18,12,19,13,31,8,19,8,29,36,21,17,14,27
"411",185,220,238,89,117,48,36,66,41,37,21,44,439,354,529,197,215,281
"412",94,49,55,61,125,74,26,11,5,15,30,34,135,117,156,55,43,82
"414",68,48,67,6,10,8,6,17,3,11,4,16,215,156,250,46,62,173
"415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"417",1,2,0,2,1,0,1,2,0,0,3,0,1,2,4,1,0,4
"419",0,0,2,2,1,2,5,1,10,0,0,1,0,0,1,0,0,0
"420",2,1,1,1,5,1,0,0,4,0,0,0,0,0,0,0,0,0
"421",7,6,3,3,2,1,6,6,1,2,4,1,5,7,3,2,3,12
"427",825,919,391,327,237,211,132,173,150,347,101,250,2065,2339,1854,1745,1678,1757
"429",0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"430",0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,2
"432",2,5,1,3,0,2,1,1,4,0,0,0,20,30,49,3,8,9
"433",29,24,3,0,2,0,0,7,26,4,1,3,85,113,131,48,68,72
"434",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"435",47,39,21,33,20,14,22,27,74,15,18,20,66,62,68,35,49,40
"438",0,1,2,4,0,2,1,2,0,3,0,4,1,0,2,4,1,3
"439",44,51,65,30,34,21,15,16,2,24,52,32,77,63,85,42,43,44
"440",128,99,120,111,132,78,214,192,169,79,135,60,18,34,40,12,59,6
"443",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"444",679,305,205,88,103,58,123,99,79,185,78,119,1450,377,523,620,1069,1717
"445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"460",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"462",1,1,0,0,0,0,0,3,0,1,1,0,0,0,1,2,1,0
"463",629,603,327,111,182,117,72,121,74,103,20,84,1699,968,1858,422,982,858
"466",258,184,139,64,77,73,99,67,58,46,113,49,213,190,175,56,100,47
"467",167,481,143,83,19,47,59,106,62,46,11,25,2196,1160,1971,500,351,323
"468",1528,2006,1650,960,717,1001,871,707,731,551,532,623,3029,3676,2626,1495,1981,1814
"471",113,84,240,115,201,132,55,49,55,52,217,101,46,65,73,61,24,20
"472",1704,1323,2678,681,889,760,2662,1799,2679,973,2651,1030,585,638,1008,210,212,238
"473",589,402,743,356,401,412,418,320,351,143,288,179,270,338,703,183,118,238
"474",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"475",20,27,15,11,18,9,1,5,41,8,17,8,46,50,41,30,43,28
"476",2831,2893,1854,786,896,728,1871,1365,1299,766,1597,939,6200,5113,3573,1778,2663,2316
"477",0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"478",17,12,41,6,6,4,34,27,30,1,5,4,1,6,8,4,0,1
"479",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"480",2,0,8,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
"481",72,277,194,17,13,7,68,72,155,37,13,17,145,322,255,62,34,29
"482",14,23,52,6,5,3,27,77,108,1,6,1,12,24,22,5,10,4
"483",4262,2374,2223,592,1146,980,2126,1763,476,586,1688,519,2339,2691,2589,722,2121,812
"486",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"487",1,2,0,2,2,1,0,4,1,1,0,2,4,3,6,3,1,1
"488",1337,1462,1245,685,698,550,1304,1077,814,580,730,517,2623,2039,2063,1163,1845,1089
