"","Collection","Gene_set","Size","NES_B_Cell","PValue_B_Cell","FDR_B_Cell","NES_T_Cell","PValue_T_Cell","FDR_T_Cell","NES_Monocyte","PValue_Monocyte","FDR_Monocyte"
"C7_Immunologic_signatures:C7_ALL_996_GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN","C7_Immunologic_signatures","C7_ALL_996_GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN",200,-2.8966,0,0,-0.9948,0.45,1,-0.8065,0.94,1
"C7_Immunologic_signatures:C7_ALL_1899_GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP","C7_Immunologic_signatures","C7_ALL_1899_GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP",192,-2.8879,0,0,-1.9496,0,0,-2.0358,0,0
"C4_Cancer_gene_neighborhoods:C4_CGN_419_GNF2_TNFRSF1B","C4_Cancer_gene_neighborhoods","C4_CGN_419_GNF2_TNFRSF1B",64,-2.8873,0,0,-0.7386,0.94,1,-1.1662,0.19,0.48
"C4_Cancer_gene_neighborhoods:C4_CGN_330_GNF2_CD33","C4_Cancer_gene_neighborhoods","C4_CGN_330_GNF2_CD33",51,-2.8853,0,0,-2.0468,0,0.0049,-1.4681,0.039,0.13
"C7_Immunologic_signatures:C7_ALL_73_GSE11057_PBMC_VS_MEM_CD4_TCELL_UP","C7_Immunologic_signatures","C7_ALL_73_GSE11057_PBMC_VS_MEM_CD4_TCELL_UP",193,-2.8696,0,0,-0.9716,0.55,1,-1.5515,0,0.011
"C7_Immunologic_signatures:C7_ALL_1746_GSE6269_HEALTHY_VS_STREP_AUREUS_INF_PBMC_DN","C7_Immunologic_signatures","C7_ALL_1746_GSE6269_HEALTHY_VS_STREP_AUREUS_INF_PBMC_DN",167,-2.863,0,0,0.6097,1,1,1.1068,0.21,0.98
"C7_Immunologic_signatures:C7_ALL_1905_GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP","C7_Immunologic_signatures","C7_ALL_1905_GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP",192,-2.8612,0,0,-1.9707,0,0,-2.0163,0,0
"C7_Immunologic_signatures:C7_ALL_37_GSE10325_CD4_TCELL_VS_BCELL_UP","C7_Immunologic_signatures","C7_ALL_37_GSE10325_CD4_TCELL_VS_BCELL_UP",195,-2.8543,0,0,1.2236,0.051,0.19,-1.7271,0,0.00039
"C4_Cancer_gene_neighborhoods:C4_CGN_329_GNF2_CD1D","C4_Cancer_gene_neighborhoods","C4_CGN_329_GNF2_CD1D",44,-2.8498,0,0,-1.9237,0,0.0073,-1.5934,0.011,0.074
"C7_Immunologic_signatures:C7_ALL_1884_GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_DN","C7_Immunologic_signatures","C7_ALL_1884_GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_DN",197,-2.8366,0,0,-1.7935,0,0.00052,-2.2058,0,0
"C4_Cancer_gene_neighborhoods:C4_CGN_392_GNF2_PECAM1","C4_Cancer_gene_neighborhoods","C4_CGN_392_GNF2_PECAM1",56,-2.8354,0,0,-0.7885,0.84,1,-0.7594,0.91,1
"C7_Immunologic_signatures:C7_ALL_1888_GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN","C7_Immunologic_signatures","C7_ALL_1888_GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN",191,-2.8171,0,0,-2.0907,0,0,-2.307,0,0
"C7_Immunologic_signatures:C7_ALL_1062_GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN","C7_Immunologic_signatures","C7_ALL_1062_GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN",199,-2.8108,0,0,-0.9525,0.59,1,1.2794,0.045,0.42
"C7_Immunologic_signatures:C7_ALL_1903_GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP","C7_Immunologic_signatures","C7_ALL_1903_GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP",193,-2.8016,0,0,-2.0208,0,0,-2.0913,0,0
"C7_Immunologic_signatures:C7_ALL_70_GSE11057_CD4_CENT_MEM_VS_PBMC_DN","C7_Immunologic_signatures","C7_ALL_70_GSE11057_CD4_CENT_MEM_VS_PBMC_DN",191,-2.8004,0,0,-1.042,0.35,1,-1.5241,0.0041,0.016
"C7_Immunologic_signatures:C7_ALL_68_GSE11057_CD4_EFF_MEM_VS_PBMC_DN","C7_Immunologic_signatures","C7_ALL_68_GSE11057_CD4_EFF_MEM_VS_PBMC_DN",196,-2.7957,0,0,-0.9305,0.64,1,-1.5583,0,0.0096
"C7_Immunologic_signatures:C7_ALL_1897_GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP","C7_Immunologic_signatures","C7_ALL_1897_GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP",191,-2.7895,0,0,-1.853,0,7.6e-05,-1.9649,0,0
"C4_Cancer_gene_neighborhoods:C4_CGN_404_GNF2_S100A4","C4_Cancer_gene_neighborhoods","C4_CGN_404_GNF2_S100A4",47,-2.7652,0,0,-0.8093,0.79,1,-1.181,0.19,0.47
"C7_Immunologic_signatures:C7_ALL_1284_GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_DN","C7_Immunologic_signatures","C7_ALL_1284_GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_DN",199,-2.7441,0,0,-0.8712,0.81,1,-1.3956,0.0065,0.065
"C4_Cancer_gene_neighborhoods:C4_CGN_353_GNF2_FOS","C4_Cancer_gene_neighborhoods","C4_CGN_353_GNF2_FOS",41,-2.7107,0,0,-1.9897,0,0.0039,-1.4643,0.018,0.13
"C4_Cancer_gene_neighborhoods:C4_CGN_328_GNF2_CD14","C4_Cancer_gene_neighborhoods","C4_CGN_328_GNF2_CD14",34,-2.7103,0,0,-1.6445,0.0057,0.098,-1.5044,0.024,0.11
"C2_Chemical_and_genetic_perturbations:C2_CGP_3357_ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION","C2_Chemical_and_genetic_perturbations","C2_CGP_3357_ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION",127,-2.6846,0,0,-1.1916,0.13,0.81,-1.272,0.055,0.45
"C2_Chemical_and_genetic_perturbations:C2_CGP_1522_VERHAAK_AML_WITH_NPM1_MUTATED_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1522_VERHAAK_AML_WITH_NPM1_MUTATED_UP",182,-2.6803,0,0,0.9557,0.58,0.86,-1.1285,0.16,0.59
"C4_Cancer_gene_neighborhoods:C4_CGN_376_GNF2_MCL1","C4_Cancer_gene_neighborhoods","C4_CGN_376_GNF2_MCL1",57,-2.6763,0,0,0.6816,0.98,1,-1.0858,0.3,0.64
"C2_Chemical_and_genetic_perturbations:C2_CGP_2547_RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2547_RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN",313,-2.6729,0,0,-0.8232,0.95,1,-1.2031,0.059,0.51
"C7_Immunologic_signatures:C7_ALL_43_GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP","C7_Immunologic_signatures","C7_ALL_43_GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP",195,-2.6647,0,0,1.1236,0.15,0.38,-1.5463,0,0.011
"C7_Immunologic_signatures:C7_ALL_1909_GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP","C7_Immunologic_signatures","C7_ALL_1909_GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP",190,-2.6559,0,0,-1.7713,0,7e-04,-1.4338,0.014,0.042
"C2_Chemical_and_genetic_perturbations:C2_CGP_321_JAATINEN_HEMATOPOIETIC_STEM_CELL_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_321_JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",223,-2.6502,0,0,1.769,0,0.054,-1.5824,0,0.25
"C2_Chemical_and_genetic_perturbations:C2_CGP_1455_GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN","C2_Chemical_and_genetic_perturbations","C2_CGP_1455_GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN",85,-2.6482,0,0,-1.5701,0,0.44,-1.1201,0.22,0.61
"C7_Immunologic_signatures:C7_ALL_1907_GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP","C7_Immunologic_signatures","C7_ALL_1907_GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP",193,-2.6424,0,0,-1.8862,0,8.8e-05,-1.679,0,0.0012
"C7_Immunologic_signatures:C7_ALL_40_GSE10325_CD4_TCELL_VS_MYELOID_DN","C7_Immunologic_signatures","C7_ALL_40_GSE10325_CD4_TCELL_VS_MYELOID_DN",199,-2.6298,0,0,-1.0852,0.27,1,-1.286,0.034,0.15
"C2_Chemical_and_genetic_perturbations:C2_CGP_3035_KAMIKUBO_MYELOID_CEBPA_NETWORK","C2_Chemical_and_genetic_perturbations","C2_CGP_3035_KAMIKUBO_MYELOID_CEBPA_NETWORK",27,-2.6119,0,0,-0.5732,0.98,1,-0.8192,0.75,0.94
"C7_Immunologic_signatures:C7_ALL_1070_GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN","C7_Immunologic_signatures","C7_ALL_1070_GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN",200,-2.6084,0,0,-1.0335,0.35,1,-0.9992,0.44,0.72
"C2_Chemical_and_genetic_perturbations:C2_CGP_1554_HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_1554_HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_DN",62,-2.6063,0,0,-1.0161,0.43,0.99,-1.4731,0.022,0.31
"C2_Chemical_and_genetic_perturbations:C2_CGP_1493_HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_1493_HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN",76,-2.6041,0,0,0.8666,0.76,0.96,1.14,0.24,0.83
"C7_Immunologic_signatures:C7_ALL_64_GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN","C7_Immunologic_signatures","C7_ALL_64_GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN",197,-2.6037,0,0,0.548,1,1,-1.1314,0.16,0.41
"C7_Immunologic_signatures:C7_ALL_1748_GSE6269_HEALTHY_VS_STREP_PNEUMO_INF_PBMC_DN","C7_Immunologic_signatures","C7_ALL_1748_GSE6269_HEALTHY_VS_STREP_PNEUMO_INF_PBMC_DN",169,-2.5953,0,0,-0.6937,1,1,0.7445,0.99,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_3030_LI_INDUCED_T_TO_NATURAL_KILLER_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_3030_LI_INDUCED_T_TO_NATURAL_KILLER_UP",305,-2.5816,0,0,-0.6567,1,1,-0.866,0.88,0.91
"C0_Hallmark:H_ALL_1_HALLMARK_TNFA_SIGNALING_VIA_NFKB","C0_Hallmark","H_ALL_1_HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,-2.5575,0,0,-1.7409,0,0.015,-1.2525,0.042,0.15
"C7_Immunologic_signatures:C7_ALL_1272_GSE29618_BCELL_VS_PDC_DN","C7_Immunologic_signatures","C7_ALL_1272_GSE29618_BCELL_VS_PDC_DN",197,-2.5557,0,0,0.7606,0.98,1,-1.349,0.012,0.097
"C4_Cancer_modules:C4_CM_156_MODULE_165","C4_Cancer_modules","C4_CM_156_MODULE_165",76,-2.5547,0,0,-0.9183,0.62,0.88,-1.6242,0.0039,0.11
"C2_Chemical_and_genetic_perturbations:C2_CGP_1984_MCLACHLAN_DENTAL_CARIES_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1984_MCLACHLAN_DENTAL_CARIES_UP",239,-2.5544,0,0,0.9099,0.75,0.91,-1.0171,0.4,0.73
"C7_Immunologic_signatures:C7_ALL_1064_GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN","C7_Immunologic_signatures","C7_ALL_1064_GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN",199,-2.5503,0,0,-0.6924,1,1,0.968,0.54,1
"C0_Hallmark:H_ALL_31_HALLMARK_INFLAMMATORY_RESPONSE","C0_Hallmark","H_ALL_31_HALLMARK_INFLAMMATORY_RESPONSE",196,-2.55,0,0,0.8484,0.9,1,1.0514,0.33,0.5
"C4_Cancer_gene_neighborhoods:C4_CGN_352_GNF2_FGR","C4_Cancer_gene_neighborhoods","C4_CGN_352_GNF2_FGR",32,-2.5392,0,0,-0.3997,1,1,-0.7511,0.87,1
"C7_Immunologic_signatures:C7_ALL_1631_GSE3982_DC_VS_BCELL_UP","C7_Immunologic_signatures","C7_ALL_1631_GSE3982_DC_VS_BCELL_UP",196,-2.5256,0,0,0.7754,0.98,1,-1.244,0.057,0.2
"C7_Immunologic_signatures:C7_ALL_961_GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP","C7_Immunologic_signatures","C7_ALL_961_GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP",200,-2.5233,0,0,1.1998,0.086,0.23,-2.3505,0,0
"C2_Chemical_and_genetic_perturbations:C2_CGP_160_GAL_LEUKEMIC_STEM_CELL_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_160_GAL_LEUKEMIC_STEM_CELL_DN",234,-2.5231,0,0,-1.0513,0.31,0.97,-1.0374,0.34,0.7
"C7_Immunologic_signatures:C7_ALL_4_KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_4_KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN",198,-2.5211,0,0,0.938,0.64,0.94,-0.9356,0.65,0.88
"C4_Cancer_gene_neighborhoods:C4_CGN_420_GNF2_TNFSF10","C4_Cancer_gene_neighborhoods","C4_CGN_420_GNF2_TNFSF10",30,-2.5206,0,0,0.6218,0.97,1,-0.7281,0.89,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_3056_VERHAAK_GLIOBLASTOMA_MESENCHYMAL","C2_Chemical_and_genetic_perturbations","C2_CGP_3056_VERHAAK_GLIOBLASTOMA_MESENCHYMAL",216,-2.5186,0,0,0.8439,0.9,0.97,1.3589,0.0038,0.56
"GO_BP:511686_GO_0050715_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION","GO_BP","511686_GO_0050715_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION",72,-2.513,0,0,-1.1769,0.2,0.9,-1.3269,0.067,0.62
"C4_Cancer_gene_neighborhoods:C4_CGN_366_GNF2_ITGB2","C4_Cancer_gene_neighborhoods","C4_CGN_366_GNF2_ITGB2",57,-2.5111,0,0,-0.4994,1,1,-0.9325,0.57,0.99
"C2_Chemical_and_genetic_perturbations:C2_CGP_3375_GHANDHI_BYSTANDER_IRRADIATION_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_3375_GHANDHI_BYSTANDER_IRRADIATION_UP",83,-2.5092,0,0,-1.6594,0.0018,0.38,-1.4411,0.021,0.33
"C7_Immunologic_signatures:C7_ALL_1090_GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_1090_GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN",199,-2.5081,0,0,-0.8276,0.89,1,-1.3805,0.012,0.074
"C4_Cancer_modules:C4_CM_70_MODULE_75","C4_Cancer_modules","C4_CM_70_MODULE_75",381,-2.5031,0,0,1.1802,0.05,0.41,-0.982,0.5,0.73
"C7_Immunologic_signatures:C7_ALL_1114_GSE2706_UNSTIM_VS_2H_R848_DC_DN","C7_Immunologic_signatures","C7_ALL_1114_GSE2706_UNSTIM_VS_2H_R848_DC_DN",189,-2.4972,0,0,-1.6907,0,0.0031,-1.2839,0.03,0.15
"C2_Chemical_and_genetic_perturbations:C2_CGP_1510_LENAOUR_DENDRITIC_CELL_MATURATION_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_1510_LENAOUR_DENDRITIC_CELL_MATURATION_DN",128,-2.4972,0,0,-0.8547,0.82,1,-0.8293,0.86,0.94
"C2_Chemical_and_genetic_perturbations:C2_CGP_2550_RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2550_RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP",406,-2.4942,0,0,0.6886,1,1,0.8418,0.96,1
"C7_Immunologic_signatures:C7_ALL_941_GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP","C7_Immunologic_signatures","C7_ALL_941_GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP",198,-2.4925,0,0,1.0673,0.28,0.53,-1.5742,0,0.008
"C7_Immunologic_signatures:C7_ALL_992_GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_DN","C7_Immunologic_signatures","C7_ALL_992_GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_DN",193,-2.4891,0,0,-0.8635,0.81,1,-1.0918,0.23,0.52
"C7_Immunologic_signatures:C7_ALL_16_GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_16_GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN",199,-2.4862,0,0,-0.7341,0.99,1,-1.1962,0.1,0.29
"C7_Immunologic_signatures:C7_ALL_1637_GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP","C7_Immunologic_signatures","C7_ALL_1637_GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP",199,-2.4857,0,0,-0.8296,0.92,1,-1.252,0.037,0.19
"C2_Chemical_and_genetic_perturbations:C2_CGP_1832_MCLACHLAN_DENTAL_CARIES_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_1832_MCLACHLAN_DENTAL_CARIES_DN",234,-2.4851,0,0,0.9588,0.58,0.86,-1.0694,0.28,0.67
"C7_Immunologic_signatures:C7_ALL_1060_GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN","C7_Immunologic_signatures","C7_ALL_1060_GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN",197,-2.4828,0,0,-0.8194,0.91,1,1.0867,0.25,1
"C7_Immunologic_signatures:C7_ALL_986_GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_DN","C7_Immunologic_signatures","C7_ALL_986_GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_DN",186,-2.4811,0,0,-0.8321,0.88,1,-1.0305,0.4,0.66
"C4_Cancer_modules:C4_CM_42_MODULE_46","C4_Cancer_modules","C4_CM_42_MODULE_46",374,-2.4701,0,0,1.1663,0.083,0.44,-1.0207,0.4,0.66
"GO_BP:516145_GO_0071219_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN","GO_BP","516145_GO_0071219_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",120,-2.4697,0,0,-1.0506,0.35,0.97,-0.9181,0.63,0.91
"C2_Chemical_and_genetic_perturbations:C2_CGP_2513_ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2513_ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP",130,-2.4679,0,0,1.0797,0.25,0.67,-0.8218,0.89,0.94
"C2_Chemical_and_genetic_perturbations:C2_CGP_1491_NEMETH_INFLAMMATORY_RESPONSE_LPS_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1491_NEMETH_INFLAMMATORY_RESPONSE_LPS_UP",88,-2.4663,0,0,-1.2303,0.14,0.77,-0.9369,0.6,0.84
"GO_BP:516148_GO_0071222_CELLULAR_RESPONSE_TO_LIPOPOLYSACCHARIDE","GO_BP","516148_GO_0071222_CELLULAR_RESPONSE_TO_LIPOPOLYSACCHARIDE",113,-2.4509,0,0,-0.9965,0.46,0.99,-0.9388,0.59,0.9
"C2_Chemical_and_genetic_perturbations:C2_CGP_360_HAHTOLA_MYCOSIS_FUNGOIDES_CD4_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_360_HAHTOLA_MYCOSIS_FUNGOIDES_CD4_UP",62,-2.4508,0,0,-1.3845,0.054,0.61,-1.0725,0.3,0.67
"C7_Immunologic_signatures:C7_ALL_6_KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_6_KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN",198,-2.4481,0,0,0.7683,0.99,1,-1.0171,0.37,0.69
"GO_BP:501901_GO_0032675_REGULATION_OF_INTERLEUKIN_6_PRODUCTION","GO_BP","501901_GO_0032675_REGULATION_OF_INTERLEUKIN_6_PRODUCTION",87,-2.4407,0,0,-1.1039,0.26,0.94,-1.0352,0.36,0.82
