"","symbol","chromosome","length","num_transcript"
"95","ACY1","chr3",1573.8,5
"97","ACYP1","chr14",608,5
"98","ACYP2","chr2",1224,1
"100","ADA","chr20",1437,4
"101","ADAM8","chr10",2990.8,5
"102","ADAM10","chr15",4894,2
"103","ADAR","chr1",6500.1,10
"104","ADARB1","chr21",5147.71428571429,14
"105","ADARB2","chr10",8426,1
"107","ADCY1","chr7",4807.25,4
"108","ADCY2","chr5",5021,2
"109","ADCY3","chr2",4354.42857142857,7
"111","ADCY5","chr3",5586.16666666667,6
"112","ADCY6","chr12",6268.875,8
"113","ADCY7","chr16",5399.27272727273,11
"114","ADCY8","chr8",4123.66666666667,3
"115","ADCY9","chr16",7647,2
"116","ADCYAP1","chr18",3336.33333333333,3
"117","ADCYAP1R1","chr7",6474.88888888889,9
"118","ADD1","chr4",4012.2,10
"119","ADD2","chr2",3890.4,5
"120","ADD3","chr10",4336.07692307692,13
"123","PLIN2","chr9",1931.33333333333,3
"124","ADH1A","chr4",1500,1
"125","ADH1B","chr4",3356.66666666667,3
"126","ADH1C","chr4",1473,1
"127","ADH4","chr4",1980,1
"128","ADH5","chr4",2652,1
"130","ADH6","chr4",2553,4
"131","ADH7","chr4",2195.5,2
"132","ADK","chr10",1881.4,5
"133","ADM","chr11",1449,1
"134","ADORA1","chr1",2807.8,5
"135","ADORA2A","chr22",2402,7
"136","ADORA2B","chr17",1885,1
"140","ADORA3","chr1",1498,7
"141","ADPRH","chr3",3439,1
"142","PARP1","chr1",3985,1
"143","PARP4","chr13",5469,1
"146","ADRA1D","chr20",2666,1
"147","ADRA1B","chr5",1853,4
"148","ADRA1A","chr8",3919.71428571429,7
"150","ADRA2A","chr10",3876,1
"151","ADRA2B","chr2",3275,1
"152","ADRA2C","chr4",1958,1
"153","ADRB1","chr10",2862,1
"154","ADRB2","chr5",2042,1
"155","ADRB3","chr8",2647,1
"156","ADRBK1","chr11",3444,1
"157","ADRBK2","chr22",8963.5,2
"158","ADSL","chr22",1476.5,2
"159","ADSS","chr1",2782,1
"160","AP2A1","chr19",3466,2
"161","AP2A2","chr11",4266.2,5
"162","AP1B1","chr22",4138,3
"163","AP2B1","chr17",5186.4,5
"164","AP1G1","chr16",6845.5,2
"165","AEBP1","chr7",4086,1
"166","AES","chr19",1743.25,4
"172","AFG3L1P","chr16",2679.33333333333,3
"173","AFM","chr4",1804,2
"174","AFP","chr4",2039,1
"175","AGA","chr4",1761,4
"176","ACAN","chr15",8779,3
"177","AGER","chr6",1446.5,10
"178","AGL","chr1",7217.57142857143,7
"181","AGRP","chr16",764,1
"182","JAG1","chr20",5987,1
"183","AGT","chr1",2584,1
"185","AGTR1","chr3",2320.4,5
"186","AGTR2","chrX",2899,1
"187","APLNR","chr11",2910.5,2
"189","AGXT","chr2",1598,1
"190","NR0B1","chrX",1585,1
"191","AHCY","chr20",2320.25,4
"196","AHR","chr7",6247,1
"199","AIF1","chr6",766,6
"202","AIM1","chr6",7967.5,2
"203","AK1","chr9",1865.33333333333,3
"204","AK2","chr1",3427.33333333333,6
"205","AK4","chr1",6922,3
"207","AKT1","chr14",2886.25,4
"208","AKT2","chr19",4663.125,8
"210","ALAD","chr9",3252.5,2
"211","ALAS1","chr3",2332.5,4
"212","ALAS2","chrX",2003.25,4
"213","ALB","chr4",2247,1
"214","ALCAM","chr3",3674,4
"215","ABCD1","chrX",3664,1
"216","ALDH1A1","chr9",2369,1
"217","ALDH2","chr12",1989.5,2
"218","ALDH3A1","chr17",1973,8
"219","ALDH1B1","chr9",3070,1
"220","ALDH1A3","chr15",3496,1
"221","ALDH3B1","chr11",2795,3
"222","ALDH3B2","chr11",2572,2
"223","ALDH9A1","chr1",2500,1
"224","ALDH3A2","chr17",3762.5,2
"225","ABCD2","chr12",5341,1
"226","ALDOA","chr16",1773,5
"229","ALDOB","chr9",2426,1
"230","ALDOC","chr17",1785,3
"231","AKR1B1","chr7",1402,2
"238","ALK","chr2",6265,1
"239","ALOX12","chr17",2046.75,4
"240","ALOX5","chr10",2472,3
"241","ALOX5AP","chr13",1066.5,2
"242","ALOX12B","chr17",2502,1
"245","ALOX12P2","chr17",2768,1
"246","ALOX15","chr17",2684,1
"247","ALOX15B","chr17",2613,3
"248","ALPI","chr2",2236,2
"249","ALPL","chr1",2308.66666666667,6
"250","ALPP","chr2",2424,2
"251","ALPPL2","chr2",2494,1
"257","ALX3","chr1",1478,1
"258","AMBN","chr4",2003,1
"259","AMBP","chr9",1434,1
"262","AMD1","chr6",3223.8,5
"265","AMELX","chrX",791,3
"267","AMFR","chr16",3487.33333333333,3
"268","AMH","chr19",2018,1
"269","AMHR2","chr12",1598,13
"270","AMPD1","chr1",2401,2
"271","AMPD2","chr1",3470,7
"272","AMPD3","chr11",4294,5
"273","AMPH","chr7",3363.4,5
"274","BIN1","chr2",2336.78571428571,28
"275","AMT","chr3",2089.8,5
"277","AMY1B","chr1",1719.33333333333,3
"278","AMY1C","chr1",1726.66666666667,3
"279","AMY2A","chr1",1632,1
"280","AMY2B","chr1",2242,1
"283","ANG","chr14",982,2
"284","ANGPT1","chr8",4336.5,2
"285","ANGPT2","chr8",5217,3
"286","ANK1","chr8",6571.66666666667,9
"287","ANK2","chr4",11486.5714285714,14
"288","ANK3","chr10",11364.4285714286,28
"290","ANPEP","chr15",3671,2
"291","SLC25A4","chr4",4420,1
"292","SLC25A5","chrX",1351,1
"293","SLC25A6","chrX",1484,1
"301","ANXA1","chr9",1399,1
"302","ANXA2","chr15",1618.5,4
"303","ANXA2P1","chr4",1343,1
"304","ANXA2P2","chr9",1310,1
"305","ANXA2P3","chr10",1350,1
"306","ANXA3","chr4",1562.5,2
"307","ANXA4","chr2",3388,2
"308","ANXA5","chr4",1599,1
"309","ANXA6","chr5",2812,3
"310","ANXA7","chr10",2120.25,4
"311","ANXA11","chr10",2538.1,10
"313","AOAH","chr7",2447.66666666667,3
"314","AOC2","chr17",2624.5,2
"316","AOX1","chr2",4934,1
"317","APAF1","chr12",6211,6
"318","NUDT2","chr9",967,4
"319","APOF","chr12",1689,1
"320","APBA1","chr9",6498.25,4
"321","APBA2","chr15",3683.75,4
"322","APBB1","chr11",2581.88235294118,17
"323","APBB2","chr4",7165,16
"324","APC","chr5",10790.6666666667,3
"325","APCS","chr1",931,1
"326","AIRE","chr21",1940,2
"327","APEH","chr3",2554.66666666667,3
"328","APEX1","chr14",1522,6
"329","BIRC2","chr11",3420.66666666667,3
"330","BIRC3","chr11",5631,2
"331","XIAP","chrX",8235.5,4
"332","BIRC5","chr17",2581.5,4
"333","APLP1","chr19",2448.5,2
"334","APLP2","chr11",3514.14285714286,7
"335","APOA1","chr11",918,3
"336","APOA2","chr1",473,1
"337","APOA4","chr11",1460,1
"338","APOB","chr2",14121,1
"339","APOBEC1","chr12",845,3
"341","APOC1","chr19",542,2
"342","APOC1P1","chr19",774.666666666667,3
"343","AQP8","chr16",1308,1
"344","APOC2","chr19",729,1
"345","APOC3","chr11",533,1
"346","APOC4","chr19",615,1
"347","APOD","chr3",1130,1
"348","APOE","chr19",1208.5,2
"350","APOH","chr17",1201,1
"351","APP","chr21",3462.9,10
"353","APRT","chr16",740,2
"354","KLK3","chr19",1840.6,5
"355","FAS","chr10",3143.375,8
"356","FASLG","chr1",1860,1
"357","SHROOM2","chrX",7492,2
"358","AQP1","chr7",2597.5,4
"359","AQP2","chr12",4179,1
"360","AQP3","chr9",1871,1
"361","AQP4","chr18",5163,2
"362","AQP5","chr12",1467,2
"363","AQP6","chr12",3141,3
"366","AQP9","chr15",3021,1
"367","AR","chrX",9381.5,2
"368","ABCC6","chr16",2917.5,2
"369","ARAF","chrX",2202.75,4
"372","ARCN1","chr11",3098.66666666667,3
"373","TRIM23","chr5",3087.75,4
"374","AREG","chr4",1238,1
"375","ARF1","chr1",1963.25,4
"377","ARF3","chr12",2717.33333333333,3
"378","ARF4","chr3",1740,1
"379","ARL4D","chr17",1585,1
"381","ARF5","chr7",1096,1
"382","ARF6","chr14",3939,1
"383","ARG1","chr6",1484,2
"384","ARG2","chr14",1981,1
"387","RHOA","chr3",1922,1
"388","RHOB","chr2",2367,1
"389","RHOC","chr1",1340,3
"390","RND3","chr2",2759.5,2
"391","RHOG","chr11",1411.5,2
"392","ARHGAP1","chr11",3446,1
"393","ARHGAP4","chrX",3312,2
"394","ARHGAP5","chr14",9547.4,5
"395","ARHGAP6","chrX",3993.5,8
"396","ARHGDIA","chr17",1918.66666666667,3
"397","ARHGDIB","chr12",1216,1
"399","RHOH","chr4",2111.76923076923,13
"400","ARL1","chr12",3448.5,2
"401","PHOX2A","chr11",1699,1
"402","ARL2","chr11",939.5,2
"403","ARL3","chr10",3874,1
"405","ARNT","chr1",4820.11111111111,9
"406","ARNTL","chr11",2795.22222222222,9
"407","ARR3","chrX",1330.5,2
"408","ARRB1","chr11",3074.875,8
"409","ARRB2","chr17",1769.9,10
"410","ARSA","chr22",3782,6
"411","ARSB","chr5",2653.75,4
"412","STS","chrX",6469.66666666667,3
"414","ARSD","chrX",4520.25,4
"415","ARSE","chrX",2082.5,6
"416","ARSF","chrX",2099,3
"417","ART1","chr11",1333.5,4
"419","ART3","chr4",1407.75,12
"420","ART4","chr12",1371,1
"421","ARVCF","chr22",3567.38461538462,13
"427","ASAH1","chr8",2500.5,4
"429","ASCL1","chr12",2484,1
"430","ASCL2","chr11",1849,1
"432","ASGR1","chr17",1445.5,2
"433","ASGR2","chr17",1503.75,12
"434","ASIP","chr20",639,2
"435","ASL","chr7",1995.5,4
"438","ASMT","chrX",1235.33333333333,3
"439","ASNA1","chr19",1280,1
"440","ASNS","chr7",2041.66666666667,6
"443","ASPA","chr17",1310.75,4
"444","ASPH","chr8",4523.60714285714,28
"445","ASS1","chr9",1703.25,4
"460","ASTN1","chr1",5151.66666666667,3
"462","SERPINC1","chr1",1667,2
"463","ZFHX3","chr16",14841,3
"466","ATF1","chr12",2505,1
"467","ATF3","chr1",2107.14285714286,7
"468","ATF4","chr22",1721,2
"471","ATIC","chr2",2138,2
"472","ATM","chr11",12276,7
"473","RERE","chr1",7341.125,8
"474","ATOH1","chr4",1065,1
"475","ATOX1","chr5",489,1
"476","ATP1A1","chr1",3745.5,4
"477","ATP1A2","chr1",5464,1
"478","ATP1A3","chr19",3667.25,4
"479","ATP12A","chr13",3725,2
"480","ATP1A4","chr1",3062.75,4
"481","ATP1B1","chr1",2200,1
"482","ATP1B2","chr17",3332,1
"483","ATP1B3","chr3",1853,1
"486","FXYD2","chr11",574.5,2
"487","ATP2A1","chr16",3405,3
"488","ATP2A2","chr12",5174,4
"489","ATP2A3","chr17",4690.625,8
"490","ATP2B1","chr12",6953,3
"491","ATP2B2","chr3",7658,11
"492","ATP2B3","chrX",6206.75,8
"493","ATP2B4","chr1",8831,2
"495","ATP4A","chr19",3559,1
"496","ATP4B","chr13",1500,1
"498","ATP5A1","chr18",1995.2,5
"501","ALDH7A1","chr5",4872,3
"506","ATP5B","chr12",1843,1
"509","ATP5C1","chr10",1129.5,2
"513","ATP5D","chr19",848,2
"514","ATP5E","chr20",439,1
"515","ATP5F1","chr1",1878,2
"516","ATP5G1","chr17",612,2
"517","ATP5G2","chr12",1024,2
"518","ATP5G3","chr2",2887,3
"521","ATP5I","chr4",337.5,2
"522","ATP5J","chr21",954.666666666667,6
"523","ATP6V1A","chr3",4593,1
"525","ATP6V1B1","chr2",2817.5,2
"526","ATP6V1B2","chr8",3044,1
"527","ATP6V0C","chr16",1100.5,2
"528","ATP6V1C1","chr8",5704,1
"529","ATP6V1E1","chr22",1354,3
"533","ATP6V0B","chr1",1420,3
"534","ATP6V1G2","chr6",1511.66666666667,3
"535","ATP6V0A1","chr17",4078.66666666667,6
"537","ATP6AP1","chrX",2100,1
"538","ATP7A","chrX",7454,3
"539","ATP5O","chr21",806,1
"540","ATP7B","chr13",6025.73333333333,15
"545","ATR","chr3",9565.5,2
"546","ATRX","chrX",10649.3,10
"547","KIF1A","chr2",9053.69230769231,13
"549","AUH","chr9",1406,9
"550","AUP1","chr2",1636,3
"551","AVP","chr20",619,1
"552","AVPR1A","chr12",8600.5,2
"553","AVPR1B","chr1",1773,1
"554","AVPR2","chrX",1706.5,4
"558","AXL","chr19",4525.66666666667,3
"563","AZGP1","chr7",1265,1
"566","AZU1","chr19",912,1
"567","B2M","chr15",705.5,2
"570","BAAT","chr9",3427.5,2
"571","BACH1","chr21",4125.2,10
"572","BAD","chr11",1097,2
"573","BAG1","chr9",3873,2
"575","575",NA,NA,NA
"576","576",NA,NA,NA
"577","577",NA,NA,NA
"578","BAK1","chr6",2201.5,2
"579","NKX3-2","chr4",2241,1
"580","BARD1","chr2",4798,8
"581","BAX","chr19",806.714285714286,7
"582","BBS1","chr11",3370,1
"583","BBS2","chr16",2351.5,4
"585","BBS4","chr15",2549.28571428571,7
"586","BCAT1","chr12",8295.33333333333,6
"587","BCAT2","chr19",1667.33333333333,3
"590","BCHE","chr3",2450.5,2
"593","BCKDHA","chr19",1772.5,2
"594","BCKDHB","chr6",1965,4
"595","CCND1","chr11",4196.5,2
"596","BCL2","chr18",2952.75,4
"597","BCL2A1","chr15",915,2
"598","BCL2L1","chr20",1592.41666666667,12
"599","BCL2L2","chr14",3582.5,2
"602","BCL3","chr19",2123,2
"604","BCL6","chr3",4304,4
"605","BCL7A","chr12",3682.5,2
"606","NBEAP1","chr15",548,1
"607","BCL9","chr1",6149.6,5
"608","TNFRSF17","chr16",994,1
"610","HCN2","chr19",3408,1
"611","OPN1SW","chr7",1098,1
"613","BCR","chr22",6861,2
"617","BCS1L","chr2",1620.2,10
"622","BDH1","chr3",2610.4,5
"623","BDKRB1","chr14",1301,1
"624","BDKRB2","chr14",4197,1
"627","BDNF","chr11",4082.17647058824,17
"629","CFB","chr6",2627,1
"631","BFSP1","chr20",2142.2,5
"632","BGLAP","chr1",545,1
"634","CEACAM1","chr19",3363.16666666667,6
"635","BHMT","chr5",2500,1
"636","BICD1","chr12",4610.5,6
"637","BID","chr22",2158.71428571429,7
"638","BIK","chr22",953,1
"639","PRDM1","chr6",5440,4
"640","BLK","chr8",2351.6,5
"641","BLM","chr15",4142.8,5
"642","BLMH","chr17",2537,1
"643","CXCR5","chr11",2891.5,2
"644","BLVRA","chr7",1128,2
"645","BLVRB","chr19",856,1
"646","BNC1","chr15",4659,3
"648","BMI1","chr10",3430,1
"649","BMP1","chr8",3182.83333333333,6
"650","BMP2","chr20",3150,1
"651","BMP3","chr4",4455,2
"652","BMP4","chr14",1800.75,4
"653","BMP5","chr6",2006,2
"654","BMP6","chr6",3105,1
"655","BMP7","chr20",4031,1
"656","BMP8B","chr1",2340.5,2
"657","BMPR1A","chr10",3616,1
"658","BMPR1B","chr4",5473.2,5
"659","BMPR2","chr2",12070,1
"660","BMX","chrX",2542.66666666667,3
"661","POLR3D","chr8",1929,1
"662","BNIP1","chr5",1270.5,4
"663","BNIP2","chr15",4437,2
"664","BNIP3","chr10",1534,1
"665","BNIP3L","chr8",3452,2
"666","BOK","chr2",2463.33333333333,3
"667","DST","chr6",21414.6818181818,22
"668","FOXL2","chr3",2917,1
"669","BPGM","chr7",1880.66666666667,3
"670","BPHL","chr6",1696,4
"671","BPI","chr20",1551.2,5
"672","BRCA1","chr17",5910.52631578947,19
"673","BRAF","chr7",6051,4
"675","BRCA2","chr13",11386,1
"676","BRDT","chr1",3428.28571428571,14
"677","ZFP36L1","chr14",3407,3
"678","ZFP36L2","chr2",3693,1
"680","BRS3","chrX",2324.33333333333,3
"682","BSG","chr19",1784.8,5
"683","BST1","chr4",1659,4
"684","BST2","chr19",1019,1
"685","BTC","chr4",1223,2
"686","BTD","chr3",2661.375,8
"687","KLF9","chr9",5208,1
"688","KLF5","chr13",3022.75,4
"689","BTF3","chr5",1128.5,2
"690","BTF3P11","chr13",640,1
"694","BTG1","chr12",4680,1
"695","BTK","chrX",2542,3
"696","BTN1A1","chr6",2884,3
"699","BUB1","chr2",3559,3
"701","BUB1B","chr15",3742,1
"705","BYSL","chr6",1990,1
"706","TSPO","chr22",903,4
"708","C1QBP","chr17",1163,1
"710","SERPING1","chr11",1890,2
"712","C1QA","chr1",1098,1
"713","C1QB","chr1",1111,2
"714","C1QC","chr1",1179.5,2
"715","C1R","chr12",1170,1
"716","C1S","chr12",2746,3
"717","C2","chr6",2355.5,6
"718","C3","chr19",5101,1
"719","C3AR1","chr12",1955,1
"720","C4A","chr6",5357,2
"721","C4B","chr6",5427,1
"722","C4BPA","chr1",2269.33333333333,3
"725","C4BPB","chr1",1107.25,8
"726","CAPN5","chr11",4393,1
"727","C5","chr9",5465,1
"728","C5AR1","chr19",1997,2
"729","C6","chr5",3560.33333333333,6
"730","C7","chr5",4012,1
"731","C8A","chr1",2392,1
"732","C8B","chr1",2202.6,5
"733","C8G","chr9",1071.5,2
"734","OSGIN2","chr8",4223,2
"735","C9","chr5",2693,1
"738","VPS51","chr11",2759,2
"740","MRPL49","chr11",2043,3
"741","ZNHIT2","chr11",1296,1
"744","MPPED2","chr11",2573,9
"745","MYRF","chr11",5832.2,10
"746","TMEM258","chr11",411,1
"747","DAGLA","chr11",5752.5,2
"750","750",NA,NA,NA
"752","FMNL1","chr17",3890.5,10
"753","LDLRAD4","chr18",8669.61538461538,13
"754","PTTG1IP","chr21",2680.33333333333,3
"755","C21orf2","chr21",2272.14285714286,7
"757","TMEM50B","chr21",2747,2
"758","MPPED1","chr22",2508,1
"759","CA1","chr8",1247.6,5
"760","CA2","chr8",1666,1
"761","CA3","chr8",1753,1
"762","CA4","chr17",1190.5,2
"763","CA5A","chr16",1183,2
"765","CA6","chr1",1147.5,4
"766","CA7","chr16",1521.66666666667,6
"767","CA8","chr8",2278,1
"768","CA9","chr9",1373.375,8
"770","CA11","chr19",1875.5,2
"771","CA12","chr15",3958.5,2
"773","CACNA1A","chr19",8634.6,5
"774","CACNA1B","chr9",9696.5,2
"775","CACNA1C","chr12",13408.7307692308,26
"776","CACNA1D","chr3",7914.2,5
"777","CACNA1E","chr1",14982,3
"778","CACNA1F","chrX",5994,3
"779","CACNA1S","chr1",6067.5,2
"780","DDR1","chr6",3701.64705882353,17
"781","CACNA2D1","chr7",6781.77777777778,9
"782","CACNB1","chr17",2613.14285714286,7
"783","CACNB2","chr10",3920.83333333333,12
"784","CACNB3","chr12",2587.375,8
"785","CACNB4","chr2",6894.85714285714,7
"786","CACNG1","chr17",1320,1
"788","SLC25A20","chr3",1686,2
"790","CAD","chr2",6944.83333333333,6
"793","CALB1","chr8",2531,1
"794","CALB2","chr16",1424.33333333333,3
"796","CALCA","chr11",857.5,4
"797","CALCB","chr11",1546.5,2
"799","CALCR","chr7",3627.66666666667,3
"800","CALD1","chr7",4685.55555555556,9
"801","CALM1","chr14",4173,2
"805","CALM2","chr2",1302,1
"808","CALM3","chr19",2259,1
"810","CALML3","chr10",1302,1
"811","CALR","chr19",1911,1
"813","CALU","chr7",5523.33333333333,6
"814","CAMK4","chr5",2242,1
"815","CAMK2A","chr5",4887.5,2
"816","CAMK2B","chr7",4048.71428571429,21
"817","CAMK2D","chr4",5096,18
"818","CAMK2G","chr10",3741.17391304348,23
"819","CAMLG","chr5",2242,1
"820","CAMP","chr3",745,1
"821","CANX","chr5",4926.5,2
"822","CAPG","chr2",1382.6,5
"823","CAPN1","chr11",3015.8,5
"824","CAPN2","chr1",3377,2
"825","CAPN3","chr15",2310.16666666667,6
"826","CAPNS1","chr19",1482.6,5
"828","CAPS","chr19",1667.5,4
"829","CAPZA1","chr1",2740,1
"830","CAPZA2","chr7",2356,1
"831","CAST","chr5",4203.57692307692,26
"832","CAPZB","chr1",1945.8,5
"833","CARS","chr11",2671,8
"834","CASP1","chr11",1389.75,8
"835","CASP2","chr7",4090.66666666667,3
"836","CASP3","chr4",2589.5,2
"837","CASP4","chr11",1335.5,2
"838","CASP5","chr11",1191.42857142857,7
"839","CASP6","chr4",1750.66666666667,3
"840","CASP7","chr10",2477.81818181818,11
"841","CASP8","chr2",2296.875,24
"842","CASP9","chr1",3005,7
"843","CASP10","chr2",3615.45454545455,11
"844","CASQ1","chr1",1958,1
"845","CASQ2","chr1",2702,1
"846","CASR","chr3",4909.83333333333,6
"847","CAT","chr11",2300,1
"857","CAV1","chr7",2747,4
"858","CAV2","chr7",3014.25,4
"859","CAV3","chr3",1383,2
"860","RUNX2","chr6",3492.55555555556,9
"861","RUNX1","chr21",5519.8,5
"862","RUNX1T1","chr8",7347.3125,16
"863","CBFA2T3","chr16",3955.8,5
"864","RUNX3","chr1",4176.25,4
"865","CBFB","chr16",3017.25,4
"866","SERPINA6","chr14",1492,1
"867","CBL","chr11",11231,1
"868","CBLB","chr3",5719.85714285714,7
"869","CBLN1","chr16",2435,1
"871","SERPINH1","chr11",2648.4,5
"873","CBR1","chr21",1636.5,2
"874","CBR3","chr21",1112,1
"881","CCIN","chr9",1943,1
"883","CCBL1","chr9",2042.16666666667,6
"885","CCK","chr3",1118,2
"886","CCKAR","chr4",1682,1
"887","CCKBR","chr11",2318,2
"889","KRIT1","chr7",3715.10526315789,19
"890","CCNA2","chr4",2798,1
"891","CCNB1","chr5",2169,1
"892","CCNC","chr6",2172.5,4
"894","CCND2","chr12",3799,2
"896","CCND3","chr6",2089.16666666667,6
"898","CCNE1","chr19",1885.66666666667,3
"899","CCNF","chr16",4287,1
"900","CCNG1","chr5",2418,2
"901","CCNG2","chr4",5474,1
"902","CCNH","chr5",1642.4,5
"904","CCNT1","chr12",6997,2
"905","CCNT2","chr2",6470.14285714286,7
"908","CCT6A","chr7",2596.5,2
"909","CD1A","chr1",2096,1
"910","CD1B","chr1",1396,1
"911","CD1C","chr1",1968,2
"912","CD1D","chr1",2322,4
"913","CD1E","chr1",1730.38461538462,13
"914","CD2","chr1",1535.33333333333,3
"915","CD3D","chr11",675,2
"916","CD3E","chr11",1513,1
"917","CD3G","chr11",1010.75,4
"919","CD247","chr1",1679.5,2
"920","CD4","chr12",2954.4,5
"921","CD5","chr11",3158,1
"922","CD5L","chr1",1986.5,2
"923","CD6","chr11",3151.25,8
"924","CD7","chr17",1283,1
"925","CD8A","chr2",2816.25,4
"926","CD8B","chr2",1176.66666666667,6
"928","CD9","chr12",1390,2
"929","CD14","chr5",1589.5,4
"930","CD19","chr16",1594.6,5
"931","MS4A1","chr11",3462.5,2
"932","MS4A3","chr11",1506,3
"933","CD22","chr19",3074.2,5
"939","CD27","chr12",1320,1
"940","CD28","chr2",4609,4
"941","CD80","chr3",2757,1
"942","CD86","chr3",2679.66666666667,6
"943","TNFRSF8","chr1",3541,3
"944","TNFSF8","chr9",2040.66666666667,3
"945","CD33","chr19",1199.4,5
"946","SIGLEC6","chr19",2192.75,8
"947","CD34","chr1",2713.5,2
"948","CD36","chr7",3371.625,8
"949","SCARB1","chr12",2677.5,2
"950","SCARB2","chr4",4554.5,2
"951","CD37","chr19",1243.4,5
"952","CD38","chr4",1186.5,2
"953","ENTPD1","chr10",10227.5555555556,9
"954","ENTPD2","chr9",2066.5,2
"955","ENTPD6","chr20",2556.75,12
"956","ENTPD3","chr3",1908.125,8
"957","ENTPD5","chr14",2323.71428571429,7
"958","CD40","chr20",1492.5,6
"959","CD40LG","chrX",1833,1
"960","CD44","chr11",4763.78947368421,19
"961","CD47","chr3",5165.16666666667,6
"962","CD48","chr1",1129.25,4
"963","CD53","chr1",1519.33333333333,3
"965","CD58","chr1",1245.33333333333,3
"966","CD59","chr11",7678.875,8
"967","CD63","chr12",973,8
"968","CD68","chr17",1815,2
"969","CD69","chr12",1676,1
"970","CD70","chr19",913,1
"971","CD72","chr9",1428.25,4
"972","CD74","chr5",1419.75,4
"973","CD79A","chr19",1201,2
"974","CD79B","chr17",1107.75,4
"975","CD81","chr11",1435,2
"976","976",NA,NA,NA
"977","CD151","chr11",1516,4
"978","CDA","chr1",960,1
"983","CDK1","chr10",1841.14285714286,7
"984","CDK11B","chr1",3061.94117647059,17
"987","LRBA","chr4",9452.77777777778,9
"988","CDC5L","chr6",4378.5,2
"989","SEPT7","chr7",3183.5,8
"990","CDC6","chr17",3053,1
"991","CDC20","chr1",1675,1
"993","CDC25A","chr3",3167.4,5
"994","CDC25B","chr20",3100.6,10
"995","CDC25C","chr5",2046.5,8
"996","CDC27","chr17",5502.8,10
"997","CDC34","chr19",1324,3
"998","CDC42","chr1",1991.66666666667,3
"999","CDH1","chr16",4815,1
"1000","CDH2","chr18",4029.33333333333,3
"1001","CDH3","chr16",4276,1
"1002","CDH4","chr20",6442,3
"1003","CDH5","chr16",4128,1
"1004","CDH6","chr5",8571,1
"1005","CDH7","chr18",2778,2
"1006","CDH8","chr16",4170.66666666667,3
"1007","CDH9","chr5",3075,1
"1008","CDH10","chr5",3244.5,2
"1009","CDH11","chr16",4195.71428571429,7
"1010","CDH12","chr5",4345,1
"1012","CDH13","chr16",2754.85714285714,7
"1013","CDH15","chr16",2859,1
"1014","CDH16","chr16",2958.71428571429,7
"1015","CDH17","chr8",3698.5,2
"1016","CDH18","chr5",2883.83333333333,6
"1017","CDK2","chr12",2242,2
"1018","CDK3","chr17",1570,1
"1019","CDK4","chr12",2002,1
"1020","CDK5","chr7",1143.5,2
"1021","CDK6","chr7",9136.75,4
"1022","CDK7","chr5",1427,2
"1024","CDK8","chr13",2432.33333333333,3
"1025","CDK9","chr9",2472,1
"1026","CDKN1A","chr6",2159.5,4
"1027","CDKN1B","chr12",2413,1
